cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.787,9,0,20927.4,-0.0544947,41.3304,11.0667,118.717,0.0733967,-0.891457,2.05648e-11,0.226045,-1.12203,1.519,-1.95972,-0.0388191,-31.2049,916.93,-5.72417,19142.8,14891.7,0.422534,-0.925537,1.91198,-1.76323,0.15767,10.7261,960.698,-4.10313,19186.5,0.0476839,1.00753,-0.000394098,20147.2,0.00045212,0.0756677,10.5446,15.3194,121.397,86.9739,1.75297,11.3657,11.9439,118.186,132.8,3.21089,-45.8258 
1,46.737,8,1,19200.8,-0.0296889,37.8554,-11.0376,118.806,0.00682646,-17.7272,1.53563e-10,3.22601,-0.0544728,0.895461,1.92479,-0.843549,-52.5207,1613.99,21.5473,16690.9,13605.7,3.55672,0.276236,1.55688,2.2555,-0.512841,0.78172,1687.66,24.2756,16764.6,0.091461,0.975446,0.00266033,18452.2,0.00059385,0.148424,10.454,12.3834,120.888,83.6342,1.50686,11.3605,12.1416,118.126,132.287,2.76223,-48.6524 
2,46.787,3,2,22474,-0.0672868,46.3706,-10.6921,118.603,0.0410168,-225.182,31.2829,2.16899,-0.0586835,0.150291,2.86821,-0.142945,-66.2698,193.732,-0.60052,21539.2,16440.6,2.58627,0.3586,0.984858,3.28549,0.274338,0.868503,286.682,2.84207,21632.2,0.0130792,0.982947,0.00024196,21918.9,0.00100344,-0.0598227,-10.9447,15.0825,94.2609,108,2.07631,10.9629,11.9216,118.166,132.521,-23.9048,-24.5214 
3,46.737,1,3,22344.3,-0.0650267,47.0702,10.4679,118.528,-0.02374,-37.0975,97.7912,3.98335,4.511,-0.813658,-1.00586,0.544228,-125.437,7.91341,-14.706,21735.6,16068.5,4.77319,5.30084,0.766025,-0.216017,1.33407,0.935941,183.851,-8.18977,21911.5,0.00832078,1.08455,-0.00068899,22095.4,-7.43812e-06,0.103821,-0.812095,-0.123174,108.191,76.4898,2.16869,10.814,11.6805,118.141,132.208,-9.95023,-55.7187 
4,46.737,5,4,23325.3,-0.0545865,45.0861,11.3749,118.705,-0.00763217,7.53238,43.5214,-0.191962,-0.50605,0.961174,1.92525,0.0531065,-7.34965,826.941,3.29106,21823.7,16696.9,-0.145683,-0.459771,1.05373,1.97152,0.0993853,0.581717,837.249,3.67286,21834,0.0369299,0.992382,0.000309778,22671.3,6.63932e-05,0.0635767,10.9184,16.4195,122.782,86.9294,1.9866,11.6742,11.7943,118.172,132.288,4.61012,-45.3591 
5,46.787,6,5,23406.5,-0.0192031,47.8657,-10.6674,118.61,0.00836454,-12.3189,164.512,-1.56806,-2.01918,0.614413,0.410607,0.00712453,7.00598,401.493,-1.68927,22146.3,16625.1,-1.61217,-2.0633,0.526183,0.366492,-0.0369903,1.1866,391.666,-2.05322,22136.5,0.0173857,1.00926,-0.00017089,22528.1,0.000697725,0.104758,-0.106201,50.8198,124.898,107.756,2.15784,10.9171,11.7174,118.139,132.713,6.75919,-24.9568 
6,46.737,3,6,23295.2,-0.0469897,48.1135,10.7049,118.418,-0.0124349,64.0444,500,1.64142,2.03391,2.47026,0.53106,-2.7154,-63.0944,338.305,-2.69562,22249.5,16792.5,2.03871,2.4312,3.26484,0.928348,-2.31811,0.485445,426.801,0.582014,22338,0.0187483,0.997619,4.79936e-05,22764.8,-6.63369e-05,0.0356712,-10.0452,15.57,125.104,94.1898,2.1899,10.9345,11.7278,117.979,132.41,7.12516,-38.2206 
7,46.737,10,7,19036.4,-0.0813559,38.0489,11.1101,118.841,-0.103428,169.988,292.976,-0.423176,-3.27206,-0.340853,-1.15615,-0.620077,-17.716,1398.54,1.14215,17047.4,14333.4,-0.311622,-3.16051,-0.117747,-1.0446,-0.508524,0.977105,1423.38,2.06246,17072.2,0.0769579,0.997471,0.000222491,18495.6,0.000135855,0.123094,10.6577,13.0568,121.636,84.932,1.56526,11.4206,11.9867,118.202,132.555,3.43349,-47.6228 
8,46.787,1,8,24770.6,-0.052571,49.0681,11.087,118.654,-0.161704,67.3076,0.251232,-1.42644,2.68317,1.90829,1.71832,-3.01094,-25.1691,81.8377,-9.85254,24022.4,18063.9,-1.26796,2.84165,2.22526,1.8768,-2.85246,0.211822,117.14,-8.54505,24057.7,0.00484552,1.14634,-0.000654725,24174.9,0.000176949,-0.0169455,8.95525,7.16825,115.824,74.0266,2.25786,11.4109,11.7293,118.242,132.78,-2.41856,-58.7535 
9,46.787,4,9,22877.6,-0.00386,46.4821,10.8294,118.507,0.0066421,-30.2983,500,-0.159296,2.40633,1.4924,2.90227,-0.144815,-19.2069,274.17,-18.3378,22016.4,16393,-0.0383557,2.52727,1.73428,3.02321,-0.023874,0.759879,301.11,-17.3401,22043.3,0.0134758,1.11207,-0.00145117,22344.4,-0.000103603,0.0363305,9.83997,13.9068,125.718,97.2109,2.14698,11.1611,11.5524,118.088,132.33,7.6302,-35.119 
