cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46.7753,0,30663.5,-0.683839,60.1854,12.3553,127.482,0.171035,-366.429,476.788,-3.27654,-0.253267,-5.28699,-3.85644,-2.4716,-114.052,254.625,21.3761,32701.4,26247,-2.55839,0.464888,-3.85068,-3.13828,-1.75344,0.644637,392.331,24.0243,32839.1,0.0133944,0.903211,0.00134582,29290.8 
1,46.9953,1,30502.9,-0.0422609,59.033,12.3583,126.798,-0.058775,29.5713,1.94905e-10,2.01898,-0.11687,-8.1693,-4.40162,-6.62756,-125.187,388.501,22.0266,32569,23805.8,2.80725,0.6714,-6.59276,-3.61335,-5.83929,0.475381,539.652,24.9333,32720.1,0.0183972,0.925194,0.00140175,29333.4 
2,46.9353,2,31965.3,-0.665934,60.9449,12.632,127.876,0.528005,270.353,48.7643,5.08689,0.459791,-3.04869,-0.279056,-5.37732,-199.901,874.802,17.8714,33309.2,29708.2,6.34561,1.71851,-0.531253,0.979665,-4.1186,1.12091,1116.16,22.5129,33550.5,0.0364275,0.965906,0.00123456,30640.6 
3,47.0353,3,29651,0.0922255,58.5377,12.0558,127.124,-0.136833,-2.2919,5.93357e-14,1.16587,0.218123,-6.74218,-5.05853,-3.44693,-91.7762,392.246,20.5084,31622.4,22983.6,1.74376,0.796014,-5.5864,-4.48064,-2.86904,0.462655,503.057,22.6394,31733.2,0.0176956,0.926993,0.00131249,28428.3 
4,46.9053,4,27845.4,-0.543551,55.4798,12.2186,127.688,0.154723,-74.1539,3.00918e-06,0.536799,0.138282,-5.33882,-6.10005,-5.16949,-167.29,1043.55,18.1299,29263.4,22441,1.59018,1.19166,-3.23205,-5.04667,-4.1161,0.663783,1245.54,22.0142,29465.4,0.0458338,0.969998,0.00137438,27175.1 
5,46.9753,5,28836.1,-0.279909,57.0108,12.1162,127.531,-0.629339,343.768,0.114495,1.94904,-2.80967,-3.09238,-4.80377,-5.59487,-86.5317,421.273,22.0846,30698.1,29529.2,2.4939,-2.26481,-2.00265,-4.2589,-5.05,0.819296,525.751,24.0938,30802.6,0.0190269,0.925756,0.00143882,27632 
6,47.1253,6,29777,-0.697574,58.1766,12.4776,126.405,3.0877,-351.541,89.2636,-2.78789,2.36886,-3.76699,-3.17104,-6.16729,-148.149,227.005,20.7054,31912.5,58965.7,-1.85504,3.30171,-1.90128,-2.23819,-5.23444,0.760158,405.879,24.1453,32091.4,0.0141686,0.90571,0.00138407,28646.3 
7,46.9153,7,34369.8,-0.291257,61.8048,13.0522,127.731,-0.0124773,-1.24108,128.014,0.035637,0.706411,-7.14065,-6.52204,-0.901954,-166.885,1256.6,27.011,35139.8,26261,1.08646,1.75724,-5.039,-5.47121,0.148874,0.32971,1458.1,30.8859,35341.3,0.0447841,0.964256,0.00160729,32558.4 
8,47.0253,8,32093.1,-0.660309,61.0793,12.6392,127.869,0.484461,86.2647,333.959,-1.77702,0.117682,-0.291617,-1.4611,-4.60454,-133.206,455.721,26.565,33670.4,26491.3,-0.938257,0.956443,1.38591,-0.622337,-3.76578,1.46444,616.553,29.658,33831.3,0.0202893,0.922356,0.00161227,30388.1 
9,46.9253,9,33045,-0.125033,62.3626,12.5303,128.176,-0.014355,-161.779,500,-1.46369,-0.563769,-6.67579,-7.82465,-8.18125,-13.8478,1203.49,24.2247,34093.4,25513.5,-1.3765,-0.476573,-6.50139,-7.73746,-8.09406,0.731192,1220.21,24.5462,34110.1,0.0390629,0.965994,0.00132386,31237.1 
