cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46,0,22896.8,-0.0698859,52.8997,11.2825,127.139,-0.146154,80.775,500,-1.58615,-0.969477,-1.82742,-3.14123,-3.83917,112.612,202.784,34.3051,26566.5,19813.4,-2.29524,-1.67856,-3.2456,-3.85032,-4.54825,0.792188,81.1759,29.3415,26444.9,0.0035159,0.61254,0.0020397,23088.2 
1,46.9098,1,20672.3,-0.015002,49.7847,11.0117,127.137,-0.0199671,8.69016,0.0203204,3.11574,-2.20947,-7.88073,-0.768299,-5.09316,49.4263,508.126,36.1075,24277.2,17851.9,2.80451,-2.52069,-8.50318,-1.07952,-5.40439,0.421681,454.751,33.9289,24223.8,0.0211222,0.884512,0.00257349,21529.5 
2,46.8748,2,19901.5,-0.071499,48.3585,10.9049,127.295,-0.00219006,-13.1289,500,2.74579,1.89674,-7.28366,-2.24152,-0.251649,37.0263,766.933,24.2945,22910.9,17167.7,2.51264,1.6636,-7.74995,-2.47467,-0.484794,-0.186246,726.948,22.6624,22871,0.0352465,0.948267,0.00182199,20624.7 
3,46.8548,3,18896.8,-0.0801948,46.9502,10.8326,127.109,0.0612068,-37.2397,500,-1.96992,1.3962,-3.07206,-2.39797,-1.59488,59.8674,824.239,38.3502,21955.5,16630.5,-2.34689,1.01923,-3.826,-2.77494,-1.97185,0.613553,759.589,35.7114,21890.8,0.0383541,0.92398,0.0029961,19804.6 
4,46.9798,4,21539.9,-0.0807064,51.6794,10.9619,127.36,0.0075613,61.7411,500,6.75062,-0.927653,1.02337,-1.57735,-1.01323,100.296,330.792,40.6129,25146.5,18456.7,6.11909,-1.55919,-0.239706,-2.20888,-1.64476,1.51379,222.483,36.1922,25038.2,0.0101102,0.778405,0.00265565,22005.7 
5,46.8998,5,20406.1,-1.04772,49.0977,-11.4479,127.046,-0.215914,444.393,484.45,-0.803535,-2.0666,-3.53893,-3.60057,-1.72667,102.449,589.627,23.7785,23503.5,21420.6,-1.44863,-2.71169,-4.82911,-4.24566,-2.37176,0.690578,478.994,19.2629,23392.9,0.0229945,0.93425,0.00151459,20830.8 
6,47.0598,6,19784.5,-0.202986,48.4911,10.9395,127.066,0.433542,-151.27,0.297005,0.517468,0.533005,-5.78923,1.43933,-1.2304,43.9651,234.223,36.2097,23480.6,19403.5,0.240632,0.256168,-6.3429,1.1625,-1.50724,-0.0245616,186.746,34.2718,23433.1,0.00907701,0.75691,0.00268691,20573.5 
7,46.9048,7,22039.6,0.0824576,51.4214,11.096,127.061,-0.218134,144.999,3.12955e-12,-2.76371,-3.95456,0.855251,-2.3798,-2.11014,88.8121,479.658,35.6997,25263.5,19603.6,-3.32293,-4.51379,-0.263201,-2.93903,-2.66936,0.9808,383.751,31.7851,25167.6,0.0172244,0.873402,0.00232107,22279.5 
8,46.8798,8,21365.7,-1.035,48.7995,11.9831,127.14,1.57219,-8194.05,325.937,-3.04746,-1.94517,-5.34224,-2.00762,-2.93531,110.288,662.108,39.2654,24224.9,438408,-3.74192,-2.63962,-6.73115,-2.70208,-3.62977,0.653828,543.009,34.4042,24105.8,0.0252385,0.900189,0.00262219,21515.1 
9,46.7898,9,21986,0.0249389,50.9008,-10.9534,127.872,-0.0843996,44.2846,1.05461e-05,-5.82335,-0.792123,-10.9121,-4.28854,-1.28725,-31.659,22540,79.2934,2426.84,18271.3,-5.624,-0.592775,-10.5134,-4.0892,-1.0879,0.520095,22574.2,80.6888,2461.03,0.91337,0.993784,0.0569564,24715.3 
10,46.8448,10,20656.8,-0.825023,48.5968,-11.4585,127.001,-0.284261,-509.015,453.541,-0.908249,1.46513,0.632238,-1.51171,-0.0216236,61.7351,942.129,47.1217,23480.6,22837.5,-1.29698,1.0764,-0.14522,-1.90044,-0.410353,0.945744,875.462,44.4006,23414,0.0412067,0.918481,0.00348107,21245.6 
11,46.9148,11,22767.1,0.000269844,51.9986,11.2794,127.081,-0.111663,247.54,5.86545e-13,-0.0928723,1.57824,-4.99168,-3.36436,-5.91168,97.1412,480.373,34.9025,25765,19992.7,-0.704544,0.966569,-6.21502,-3.97603,-6.52336,0.622242,375.472,30.6208,25660.1,0.0165408,0.875107,0.00219341,22699.7 
12,46.8598,12,18314.6,-0.617635,45.9488,10.9796,127.251,0.15766,-77.8046,2.73339e-06,1.85176,-0.811403,-4.80608,-3.98971,-2.06866,83.7739,753.914,34.7945,21132.5,16822.4,1.32426,-1.3389,-5.86108,-4.51721,-2.59616,0.548769,663.447,31.102,21042.1,0.0349734,0.924181,0.0027154,18970 
