cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46.5556,0,20151.9,0.0367297,34.0722,11.8555,116.071,0.0101126,-77.1498,0.00501158,-0.620489,-1.15888,-0.412069,0.260082,-2.13025,-110.96,-53.0646,18.8108,18280.1,13175,0.0781994,-0.460188,0.985308,0.95877,-1.43156,-6.54867,66.7605,23.7016,18399.9,0.00388625,0.616792,0.00236727,17178.7 
1,46.8956,1,20732.7,0.150662,33.841,12.2305,116.128,0.16356,-192.598,6.9455e-06,0.585409,4.51546,-0.0382787,1.62298,-5.34168,-111.104,189.577,33.6561,18473.1,14499.1,1.285,5.21505,1.3609,2.32258,-4.64209,0.754413,309.557,38.5532,18593.1,0.0175874,0.821051,0.00380512,17601.1 
2,46.7956,2,19677.3,0.285669,33.4848,11.537,116.337,0.350793,-189,499.754,-1.52502,3.48846,-5.69183,-0.382987,-4.22289,-51.5934,874.402,32.0176,16714.6,14734.1,-1.20015,3.81333,-5.04209,-0.0581172,-3.89802,0.210328,930.117,34.2916,16770.3,0.0562803,0.939391,0.00375257,16526.5 
3,47.2056,3,19159.5,0.0130586,32.844,-11.7175,116.052,-0.000512159,2.52768,0.634961,0.529365,-0.826477,3.36059,-0.615677,-4.24349,-135.085,-95.8556,7.87808,17262.2,12528.1,1.37996,0.0241162,5.06178,0.234916,-3.3929,-0.530222,50.0211,13.8322,17408.1,0.0030802,0.673889,0.00146157,16239.5 
4,46.9456,4,19885.9,0.358965,33.5929,-11.5857,116.141,0.0796367,21.7119,113.007,0.378551,-0.24182,2.60818,-3.52319,-5.15665,-96.9209,57.6276,24.9831,17750.4,12725.9,0.988836,0.368465,3.82875,-2.9129,-4.54637,2.68429,162.291,29.2551,17855,0.00967895,0.760191,0.00300917,16767.5 
5,46.8056,5,20155.1,0.0681252,35.1525,11.4041,116.177,-0.0505352,-23.1302,495.632,2.06961,-1.4492,-0.061405,0.505964,-2.3284,-102.321,748.24,15.4261,17415.5,13088.1,2.7139,-0.804918,1.22717,1.15025,-1.68412,0.528426,858.735,19.9361,17526,0.050049,0.960959,0.00209105,17157.9 
6,46.7156,6,21767.1,0.382484,38.0578,11.2839,116.091,0.0116218,-434.418,9.92758,-4.01334,5.37657,-0.0087395,-0.743893,-2.73273,-113.684,-53.6452,3.67525,19727.9,14144,-3.2975,6.09241,1.42294,-0.0280545,-2.01689,0.345143,69.1211,8.68612,19850.6,0.00373018,0.81973,0.000805408,18530.2 
7,46.5556,7,20242.3,0.444878,34.394,11.5403,116.037,0.932971,-1539.48,488.842,1.41665,4.11797,0.063988,2.5379,-1.09082,-164.652,-47.3667,21.3096,18292.9,59677,2.45342,5.15475,2.13753,3.57467,-0.0540474,0.838875,130.44,28.567,18470.7,0.0075363,0.72293,0.00284093,17308.2 
8,46.8756,8,19565.4,0.272442,34.2081,11.2113,116.188,-0.733631,323.223,499.894,3.23034,-1.07905,2.90344,2.84292,-0.501079,-105.358,202.332,-1.20667,17294.4,20204.1,3.89375,-0.415639,4.23026,3.50633,0.162329,0.628175,316.107,3.43719,17408.2,0.0191513,0.981327,0.000363585,16505.7 
9,46.9656,9,18538.6,0.205616,31.2517,11.6922,115.906,0.157953,-315.879,5.44912e-07,-1.12465,-0.251518,-5.19252,-5.19349,-4.23158,-95.1102,5.67528,23.5104,16472.6,13519.2,-0.52577,0.347365,-3.99476,-4.5946,-3.6327,0.677854,108.384,27.7026,16575.3,0.00698195,0.690944,0.00306929,15523.4 
10,46.8556,10,20759.2,0.214666,35.3053,11.5229,116.215,0.107306,3.30095,499.966,-1.55764,1.02786,0.807332,-4.30421,-5.53305,-124.278,361.488,16.917,18394.1,13254.8,-0.775097,1.81041,2.37242,-3.52166,-4.75051,1.48771,495.694,22.3948,18528.3,0.0279626,0.92673,0.00222157,17727 
11,47.1056,11,20385.3,0.0557025,33.5811,12.2309,116.001,0.961961,-756.135,500,-0.0724073,-4.53801,2.71653,-5.97967,-3.63461,-137.023,-81.6916,16.2832,18480.5,37048.9,0.790387,-3.67522,4.44212,-5.11687,-2.77182,1.7016,66.2777,22.3228,18628.5,0.00381108,0.629164,0.00220255,17390.8 
