cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.54,10,0,26190.9,-0.0950521,37.5365,15.6792,119.04,-0.0441633,41.2457,499.998,-0.468295,-0.0618586,0.658366,-0.444823,-2.86582,5.22948,118.691,-12.9034,25710.8,19218.3,-0.501223,-0.0947872,0.592508,-0.477752,-2.89874,1.1753,111.356,-13.175,25703.5,0.00431364,1.26111,-0.000945115,25814.8,-0.000547465,-0.0165305,9.02681,7.80237,112.106,78.7169,1.72916,16.0101,11.9113,118.321,135.339,-6.21528,-56.6217 
1,47.2461,10,1,22725,-0.144188,33.2262,-15.3857,118.836,-0.0203966,81.3223,499.915,0.724736,3.21766,1.8283,-3.0959,0.315834,-23.8562,80.2991,-21.0802,22094.5,16695.5,0.874952,3.36788,2.12873,-2.94569,0.466051,0.453039,113.76,-19.8409,22127.9,0.00511471,1.4393,-0.00165444,22241.7,0.000803998,-0.0728274,-6.04814,45.5116,96.0054,108,1.53336,15.9899,11.7204,117.945,135.379,-21.9393,-27.3786 
2,46.9461,10,2,23235.2,-0.09023,37.2791,13.813,119.129,0.0402379,80.4069,481.933,2.94803,0.181183,8.5094,-0.118342,0.179686,19.9798,559.696,2.6053,22214.5,16868.2,2.82222,0.0553758,8.25778,-0.24415,0.0538789,0.245528,531.673,1.56738,22186.4,0.023403,0.994867,0.00013012,22718.1,-0.00082863,0.0297484,10.7899,63.8478,127.548,108,1.65109,14.1183,11.8441,118.263,135.474,9.28559,-27.4739 
3,47.0211,10,3,26505.8,-0.0612714,37.7312,15.8497,119.136,0.0166621,11.548,500,-0.51612,1.95944,-0.673602,-3.26205,0.595669,-64.6756,255.683,-12.4594,26012,19474.1,-0.108875,2.36668,0.140888,-2.85481,1.00291,0.742341,346.396,-9.09966,26102.8,0.0130967,1.04819,-0.000642587,26449.1,-0.000609215,-0.0146529,-7.16359,5.43585,107.072,77.3541,1.713,16.2585,11.9874,118.381,135.694,-11.3098,-58.3396 
4,46.8861,3.5,4,27121.9,-0.252427,39.1665,15.7725,119.244,0.134758,120.895,36.9442,2.68851,-0.549039,2.90632,0.150827,0.408693,-4.0268,574.304,1.09932,26327.1,20640.3,2.71387,-0.523683,2.95703,0.176183,0.434048,0.486399,579.952,1.3085,26332.7,0.0215494,0.996067,9.15279e-05,26912.7,-0.00111885,0.054366,4.48826,67.5031,132.988,108,1.72634,15.8976,12.0905,118.289,136.007,14.6981,-28.0066 
5,46.9761,10,5,22694.2,0.00366936,33.0774,15.2548,119.208,0.0309815,-53.7933,499.957,-0.00239262,-1.8171,-2.39925,0.280085,-0.92532,-47.051,439.443,-3.92266,21866.8,16480.3,0.293875,-1.52084,-1.80672,0.576353,-0.629052,0.414616,505.437,-1.47846,21932.8,0.0225257,1.00515,-0.000124189,22438.3,-0.000554006,0.0360709,9.97014,16.9409,125.164,98.758,1.44702,15.8148,12.2231,118.491,137.031,6.67252,-38.2733 
6,47.1861,10,6,24914.9,-0.03832,35.9292,15.371,119.263,-0.0236172,-17.078,500,2.42502,1.91127,-1.86716,1.05721,-2.12235,27.8699,210.378,-2.67802,24191.5,17991.3,2.24953,1.73578,-2.21814,0.881718,-2.29784,7.31844,171.288,-4.1258,24152.5,0.00704201,1.04401,-0.000314774,24323.7,-0.00023814,-0.0101186,-10.2002,6.6069,110.889,76.1052,1.61557,15.8517,12.0784,118.557,135.615,-7.66804,-59.51 
7,46.9161,7,7,22821.9,0.0114275,35.601,14.2897,119.121,-0.00453881,-12.0603,3.98789e-11,0.210033,-1.58864,6.17365,0.435536,-2.7128,-18.204,583.978,-4.03028,21775.9,16562.5,0.324659,-1.47401,6.4029,0.550162,-2.59818,-0.997454,609.511,-3.08461,21801.4,0.027197,1.00894,-0.000260702,22410.9,-0.00121392,0.0273637,-11.7976,80.6701,127.155,108,1.58424,14.7614,11.6303,118.214,135.967,8.94099,-27.9673 
8,46.8411,1.5,8,22644.5,-0.0202375,37.935,-13.1924,120.094,-0.0149103,-0.0917508,500,-0.462433,-1.42633,2.91297,-3.45455,0.407703,63.7688,6117.23,33.9578,16004.9,16291.5,-0.863969,-1.82786,2.1099,-3.85609,0.00616744,1.47608,6027.79,30.6451,15915.5,0.274699,0.991182,0.00353442,21943.3,7.64876e-05,0.541628,12.5012,11.2755,121.244,85.539,1.20558,13.7197,12.0979,118.758,135.668,2.48649,-50.1291 
9,47.2761,10,9,25183.9,-0.103106,36.1148,15.6427,119.319,0.122439,-147.077,500,-0.798754,1.62087,-5.61664,1.41434,-0.0677385,12.9323,141.923,-1.40755,24570.3,18976.6,-0.880186,1.53944,-5.7795,1.33291,-0.14917,-0.468179,123.784,-2.07936,24552.1,0.00501639,1.03029,-0.000156035,24675.9,-0.000369901,-0.0135214,9.73796,7.47758,108.407,77.6997,1.63314,16.0269,12.0252,118.504,135.43,-10.0973,-57.7306 
