cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.2956,10,0,15267.3,-0.0763934,30.5875,-11.1259,118.54,0.00486353,27.4848,395.787,-1.42494,0.906492,3.44527,0.514924,-2.97212,-6.39714,162.588,-8.71872,14806.1,11082.7,-1.38465,0.946773,3.52583,0.555205,-2.93184,-3.95681,171.561,-8.3864,14815.1,0.0114476,1.09355,-0.00104385,14986.7,-2.81147e-05,-0.0147779,6.44762,-7.79284,110.709,77.609,1.48901,11.4133,11.0762,118.083,129.188,-7.37365,-51.5789 
1,47.1756,10,1,14670.3,-0.033589,29.3354,11.0525,118.473,-0.00392624,32.4511,0.00997972,0.938476,-0.130825,-2.58808,-1.01419,0.267958,-15.4527,215.194,-0.657067,14167.3,10558.9,1.03578,-0.033523,-2.39348,-0.916892,0.365259,-0.231938,236.868,0.145671,14189,0.0164196,0.998925,1.89115e-05,14425.9,-0.000644253,0.00530343,76.5492,-18.8846,110.953,71.97,1.42647,11.5186,11.0513,117.941,129.374,-6.98839,-57.4044 
2,46.8756,10,2,13110.1,-0.0232854,24.2487,11.9873,118.201,0.0149376,5.40199,500,-3.15949,-0.314445,-4.4373,-2.83659,-2.17881,8.01527,205.814,-5.69243,12606.6,9465.14,-3.20996,-0.364915,-4.53824,-2.88706,-2.22928,0.65696,194.572,-6.10881,12595.3,0.015213,1.05814,-0.000894232,12789.9,-0.000537619,0.0216436,-6.87913,63.0566,125.182,108,1.14471,12.4747,11.1262,117.424,129.333,7.75855,-21.3328 
3,46.8456,10,3,13015.7,-0.0201195,23.1719,-12.4866,118.249,0.0336915,-28.7165,500,2.35271,-1.1544,-2.86705,-1.36187,-1.09755,6.64233,418.786,-11.856,12217.2,9450.44,2.31089,-1.19622,-2.9507,-1.4037,-1.13937,0.326187,409.469,-12.201,12207.9,0.0324528,1.05501,-0.00184446,12617.4,-0.000181942,0.0322452,10.8066,15.9245,123.349,86.2222,1.04698,13.0297,11.4709,117.719,129.168,5.6303,-42.9455 
4,47.0406,10,4,12834,-0.0763464,25.2974,11.4533,118.012,0.0903888,31.4015,480.953,0.150778,0.188061,-0.90978,1.75758,1.15893,-41.9659,136.468,-18.8629,12542.1,9524.37,0.415026,0.452309,-0.381283,2.02183,1.42318,1.09699,195.329,-16.6829,12601,0.0152645,1.17573,-0.0024448,12796.3,-0.000375672,0.0184168,9.70671,17.091,125.577,94.0579,1.19593,11.8645,11.2369,117.489,130.36,8.08801,-36.3023 
5,46.7256,2.5,5,9201.11,-0.0656552,20.1252,10.405,118.395,-0.0037706,-55.8773,500,-4.48858,-0.602251,-6.50649,-0.2538,-1.44419,26.3471,-9.05526,2.8048,8805.7,6823.61,-4.65448,-0.768151,-6.83829,-0.4197,-1.61009,0.521487,-46.0096,1.43612,8768.75,-0.00527467,1.05778,0.000301604,8722.74,0.000279257,-0.037153,-12.2492,12.4717,96.2979,108,0.892838,10.9341,11.7348,117.86,129.171,-21.5626,-21.1706 
6,47.1606,10,6,14339.3,0.00600982,26.7075,12.0336,118.032,0.00321958,-26.449,2.66784e-11,0.682092,1.63234,-4.36865,-1.00076,0.0742787,5.49716,78.167,-10.1043,14026.1,10465,0.647478,1.59773,-4.43788,-1.03538,0.0396645,-0.39189,70.4567,-10.3898,14018.4,0.00500087,1.34782,-0.00136716,14088.9,-0.000534426,0.0243444,-8.5398,13.757,125.878,96.5124,1.3097,12.5298,10.9858,117.48,129.015,8.39827,-32.503 
7,46.7856,10,7,11656.1,-0.0357739,22.3227,11.5239,118.399,0.0181638,-0.521716,25.7646,3.47725,0.741408,-2.1826,4.89278,2.23753,20.1353,667.572,-3.07987,10562.6,8374.45,3.35046,0.614621,-2.43617,4.76599,2.11074,1.28983,639.33,-4.12586,10534.3,0.0572177,1.01142,-0.000721998,11173.7,-2.79473e-05,0.0581888,10.5992,13.6221,121.756,82.9858,0.976425,11.9989,11.5084,117.798,129.513,3.95803,-46.5276 
8,47.0256,10,8,13621.2,-0.0179669,26.8761,11.2426,118.289,0.00113287,-6.7114,1.20654e-11,3.89661,2.93135,-0.33977,0.271421,-0.538507,19.9798,49.6967,-5.71017,13161.5,9836.5,3.7708,2.80554,-0.591385,0.145614,-0.664314,1.10819,21.6731,-6.74808,13133.4,0.00164751,2.1972,-0.000947388,13155.1,-0.000367833,0.0204665,-8.67439,-15.5606,125.755,97.6808,1.29418,11.8311,11.0549,117.787,129.458,7.96793,-31.7773 
9,46.8006,10,9,11497.1,-0.0293289,21.6416,11.8064,118.325,0.0148362,-54.8626,479.077,2.33146,0.046985,4.75031,-1.04674,0.522588,-3.82236,543.53,-4.189,10576.7,8344.18,2.35553,0.0710534,4.79845,-1.02267,0.546656,0.289014,548.892,-3.99044,10582.1,0.049312,1.01289,-0.000695129,11131,-4.98565e-05,0.055234,10.1823,11.9098,121.079,82.9562,0.947268,12.3678,11.5138,117.72,129.251,3.35892,-46.2946 
