cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.5069,10,0,21482.6,-0.121027,43.7919,10.9699,118.461,-0.129717,285.952,50.217,-2.39882,-1.88542,-1.01447,0.691166,1.39892,2.24004,60.9937,-6.85391,21067.7,16845.9,-2.41292,-1.89953,-1.04268,0.677061,1.38481,0.683389,57.8519,-6.97027,21064.5,0.00273889,1.26718,-0.000609926,21122.4,0.000455329,-0.057608,-10.268,16.8234,93.9893,108,2.03873,11.2525,11.6343,118.082,134.06,-24.0925,-26.0603 
1,46.9269,10,1,19753.5,-0.0840891,40.5461,10.8424,118.569,0.218933,-140.101,27.5398,0.439946,-0.440623,2.07823,0.0808045,1.05882,-30.6993,532.765,1.19538,18803,15309.4,0.633251,-0.247318,2.46484,0.27411,1.25212,0.436866,575.824,2.79015,18846.1,0.0296482,0.991592,0.000272648,19421.9,-0.000297429,0.0567497,9.43924,15.2196,123.177,88.7757,1.81224,11.1875,11.7417,118.09,133.659,5.08684,-44.8829 
2,46.9869,10,2,20528.8,-0.24056,42.2208,10.8922,118.311,0.675177,-237.087,1.74186e-13,-3.21933,-2.14723,-0.268183,1.13385,-2.16308,-52.7847,275.789,-11.6787,19772.9,20181.4,-2.88695,-1.81486,0.39656,1.46622,-1.83071,1.08492,349.825,-8.93662,19846.9,0.0173209,1.0468,-0.000830148,20196.7,-0.000298044,0.0329855,9.58039,15.9622,124.828,95.097,1.96186,11.0546,11.5576,117.89,133.136,6.93767,-38.0392 
3,47.0469,10,3,20801,-0.0656612,42.6235,10.904,118.477,0.0836752,-11.4054,500,-0.770171,0.177877,0.172484,-3.23744,3.88757,-2.81898,187.425,-4.4148,20216.6,15160.8,-0.752421,0.195628,0.207985,-3.21969,3.90532,0.382509,191.379,-4.26836,20220.6,0.00937583,1.04062,-0.000389001,20412,-0.00037723,0.0351077,-9.02483,-13.3232,126.449,97.6618,1.96446,11.1851,11.6479,118.087,133.835,8.36154,-36.1729 
4,46.7069,10,4,22544.5,-0.126931,46.1849,10.9147,118.456,0.0645708,170.913,228.606,-2.36775,4.74249,3.26706,1.68289,-0.0531742,-26.7624,36.3435,-13.6738,22095.6,16769.2,-2.19924,4.91101,3.60409,1.8514,0.115342,0.56486,73.8805,-12.2836,22133.1,0.0033269,1.41036,-0.00102339,22207,-0.000184861,-0.017354,7.61698,7.83867,114.068,77.2339,2.20179,11.1729,11.3773,118.069,133.63,-4.0018,-56.3959 
5,46.8819,9,5,18818.9,-0.00175889,38.8272,10.8375,118.356,0.0226252,-128.384,500,-0.659394,-2.08211,2.75141,-0.697962,1.5788,0.291636,864.649,-8.96852,17559.6,13792.7,-0.66123,-2.08395,2.74773,-0.699799,1.57697,-2.1234,864.24,-8.98367,17559.2,0.0469099,1.01853,-0.000943352,18423.4,-0.000257709,0.0925788,9.87737,12.2823,120.869,86.2978,1.68433,11.167,11.8547,117.874,133.623,2.99509,-47.3248 
6,47.0919,10,6,21248.7,-0.0844048,44.2651,10.6433,118.317,0.0509266,-9.57441,234.902,-0.0162052,-0.995468,2.80644,-1.74168,1.59848,-33.6138,179.42,-14.9441,20593.6,15352.6,0.195452,-0.783811,3.22975,-1.53002,1.81013,-0.105509,226.567,-13.1979,20640.7,0.0108575,1.11351,-0.00117925,20867.3,3.09358e-05,-0.015396,-5.54868,-8.89778,107.284,80.1997,2.09936,10.9471,11.3452,117.99,134.06,-10.7064,-53.8599 
7,46.8069,1.5,7,26352.3,-0.0281733,54.2574,10.6088,119.645,-0.0393817,2.95344,16.6155,-0.325022,-4.92959,-0.297991,-1.51178,2.5744,219.236,21324.5,19.1703,4694.58,18741.7,-1.70549,-6.31006,-3.05893,-2.89225,1.19393,0.760512,21017,7.78143,4387.08,0.827308,0.999352,0.00325673,25404.1,0.0001289,2.38623,10.8472,10.1922,119.65,83.9956,0.499233,10.2172,11.2428,118.231,132.544,1.41821,-48.5484 
8,47.3019,10,8,21254.5,-0.0630468,44.5295,10.5285,118.276,0.0172574,3.28546,73.7883,-0.19477,-0.195102,4.74425,3.54964,1.08686,14.123,73.5972,-15.8879,20686.5,15263.8,-0.283699,-0.28403,4.56639,3.46071,0.997934,0.460066,53.7883,-16.6216,20666.7,0.00259591,2.17762,-0.00148375,20720.4,3.4138e-07,-0.0218004,7.60106,7.3731,108.488,81.7452,2.12139,10.8493,11.3702,117.874,133.773,-9.38569,-52.028 
9,47.1219,10,9,19818.5,-0.0367099,41.1555,10.715,118.482,0.0713073,-40.7338,22.523,0.164044,-1.21258,0.986918,-1.49698,1.04476,33.4235,100.342,-0.0549674,19308.4,14450,-0.0464151,-1.42304,0.566,-1.70744,0.834299,1.31859,53.4618,-1.79126,19261.5,0.00276789,1.06229,-0.000171339,19315,-0.000224982,0.0180817,14.3699,-9.08508,88,64.4646,1.94509,10.9566,11.4323,118.129,133.965,-30.1285,-69.5005 
10,47.2269,10,10,19916.1,-0.0756359,41.2233,10.7023,118.471,0.0825022,-6.35201,43.68,-3.2026,1.86364,4.32925,-2.15889,-0.877711,-36.6995,99.4971,-11.8458,19326.4,14379.1,-2.97152,2.09473,4.79142,-1.9278,-0.646624,-2.57514,150.972,-9.93935,19377.9,0.00773071,1.13022,-0.000945751,19528.8,-3.85117e-06,-0.00174952,74.0021,0.19739,110.108,77.8968,1.9545,10.9814,11.3766,118.063,133.352,-7.95546,-55.4557 
11,47.0019,10,11,19598.3,-0.0120899,41.0466,-10.5358,118.725,-0.00490543,-59.3997,500,0.292698,1.8678,1.09968,0.74924,-0.257026,-1.08416,259.283,1.76811,18866.9,14087.4,0.299525,1.87462,1.11334,0.756066,-0.250199,0.706503,260.803,1.82443,18868.5,0.0136337,0.987906,0.000178085,19129.3,-0.000363682,0.0359467,3.5337,-75.2686,126.293,108,1.9096,10.7316,11.5191,118.214,133.507,8.07901,-25.5067 
12,46.8369,2.5,12,21573.9,-0.270386,45.3006,10.6922,118.369,0.0522278,114.695,500,-1.54651,-2.15468,2.13589,0.821735,0.438676,-65.4431,123.48,-23.0195,21040.6,15962.6,-1.13443,-1.7426,2.96005,1.23381,0.850754,-0.365599,215.27,-19.6198,21132.4,0.010084,1.18976,-0.00171319,21347.6,-0.000170607,-0.00700913,-0.0129384,8.00219,108.526,76.8687,2.13903,10.9535,11.3853,117.992,133.972,-9.46541,-57.1031 
13,47.1369,10,13,19616.1,-0.0239264,41.2755,10.5831,118.365,0.00980502,-506.117,500,-2.14495,0.0720747,1.66062,-0.968118,-0.540111,33.7038,79.4086,-11.6462,19236.5,14381.5,-2.35717,-0.140149,1.23618,-1.18034,-0.752335,1.38705,32.1358,-13.397,19189.2,0.00167188,3.69761,-0.00128773,19221.4,-0.000192153,-0.0140364,4.58802,0.0163807,113.039,72.2416,1.9673,10.8493,11.3881,118.015,134.06,-4.97609,-61.8185 
14,46.9719,10,14,19969,-0.0401343,40.5471,-10.8211,118.486,-0.00380417,22.5201,500,-2.76247,-0.151593,1.86491,-0.629082,0.0517487,-14.0663,373.279,2.01946,18998.6,14286,-2.6739,-0.0630212,2.04205,-0.54051,0.14032,2.86479,393.009,2.75017,19018.4,0.0202463,0.987902,0.000266309,19411.4,-5.08715e-05,0.0351964,9.48152,16.8536,124.224,92.0983,1.85652,11.1416,11.5933,118.042,133.747,6.18204,-41.6484 
15,46.9419,10,15,18767.7,-0.0478208,38.3146,-10.7814,118.398,-0.0099566,-4.0051,486.856,-1.38774,1.34404,0.366758,-0.311186,-0.26972,6.15727,369.782,-16.0312,17902.9,13448.6,-1.42651,1.30527,0.289216,-0.349957,-0.30849,1.58966,361.146,-16.3511,17894.3,0.0197829,1.08605,-0.00168608,18255.4,-7.12757e-05,0.0358542,9.50845,16.7365,124.007,91.9735,1.78941,11.0614,11.3817,117.96,133.127,6.04701,-41.1534 
16,46.9569,10,16,19601.6,-0.0764161,39.4202,11.0208,118.441,0.169706,-152.778,12.3089,-1.87032,1.4896,3.94061,1.38117,4.71227,-1.51888,468.755,-7.58706,18533.3,14986.5,-1.86075,1.49916,3.95974,1.39074,4.72183,0.59223,470.885,-7.50816,18535.4,0.0247753,1.0287,-0.000746742,19006.3,-4.41236e-05,0.0379272,11.0523,16.0102,124.514,90.3657,1.79544,11.1978,11.6448,117.972,133.662,6.54165,-43.2961 
17,46.9119,10,17,18905.5,-0.0881755,38.4119,10.9454,118.45,0.00122756,52.2517,500,-1.2631,-2.60341,-0.939758,1.90288,1.8046,12.2049,630.043,-2.24745,17708.1,13688.7,-1.33995,-2.68026,-1.09346,1.82603,1.72775,0.299021,612.924,-2.88146,17690.9,0.0334861,1.0083,-0.000300129,18303.9,-5.0619e-06,0.071275,9.39712,12.6764,121.847,87.3509,1.66078,11.2183,11.9836,117.972,134.256,3.87489,-46.9046 
18,47.2419,10,18,21071.5,0.0235379,43.8201,10.6701,118.221,0.0539046,51.6734,500,2.77206,0.484823,5.41923,1.91822,0.423824,-6.99712,31.3753,-19.6191,20588.7,15311.4,2.81612,0.528882,5.50734,1.96228,0.467883,0.511869,41.1895,-19.2556,20598.5,0.00199564,5.49761,-0.00172498,20639.7,0.000541798,-0.0619248,10.4767,17.1544,94.269,108,2.07142,11.0918,11.3963,117.834,133.242,-23.5648,-25.242 
19,46.8669,5,19,20691.6,-0.0498384,42.3222,10.8576,118.339,0.147714,-104.705,2.89599e-10,2.42592,1.92467,3.46472,-1.89127,3.69323,7.29616,369.475,-8.08081,19848.1,15462.2,2.37998,1.87873,3.37284,-1.93722,3.64729,0.638945,359.241,-8.45983,19837.9,0.0177868,1.04298,-0.000786181,20197.1,-0.000225658,0.036113,-9.31702,17.6292,124.043,92.8262,1.95443,11.1389,11.5193,117.86,133.814,6.18303,-40.9877 
20,47.1969,10,20,21709.9,-0.126435,45.6116,-10.5933,118.535,0.126344,-30.5656,1.13467e-10,-1.38356,2.86776,3.60399,0.676819,0.371034,4.90761,77.6194,-15.1544,21221.8,15854.7,-1.41447,2.83685,3.54219,0.645917,0.340132,0.404737,70.736,-15.4094,21214.9,0.00332318,1.6161,-0.0013398,21285.6,-0.000151172,0.00140243,-0.0314881,-1.48087,105.406,77.1826,2.18847,10.8019,11.3434,118.19,134.735,-12.784,-57.5525 
21,47.1069,10,21,20502.7,-0.119693,43.1768,-10.6235,118.504,0.116005,-69.2059,395.08,-3.01753,1.37241,0.530766,2.87646,-1.18239,-26.649,83.5938,-5.34948,19998,15193.1,-2.84973,1.54021,0.866369,3.04426,-1.01459,0.453919,120.972,-3.96512,20035.4,0.00600166,1.06085,-0.000364696,20156.4,0.000576205,-0.0593882,-10.7856,16.2867,94.4329,108,2.11049,10.8418,11.0873,118.075,133.249,-23.642,-25.2486 
22,47.0769,10,22,20051.9,-0.127807,41.9564,-10.7266,118.371,0.454262,-265.416,243.968,-1.38591,1.50806,-0.364244,0.212966,0.610956,-14.9363,33.6,-7.44927,19579,18575.6,-1.29186,1.60211,-0.176144,0.307016,0.705006,1.15369,54.5496,-6.67335,19600,0.00277542,1.27241,-0.00062759,19654.5,0.000474145,-0.0574332,10.4191,16.0771,94.166,108,2.00134,10.9953,11.3052,117.97,134.269,-23.8039,-26.2694 
23,47.1819,10,23,18583.6,-0.176226,40.4161,10.4822,118.187,0.103876,-8.09166,10.8909,-4.43691,-3.07396,10.4845,-7.75882,-10.1223,3.79117,-364.116,-16.9855,19233.9,13818.5,-4.46078,-3.09783,10.4368,-7.78269,-10.1462,1.69345,-369.434,-17.1824,19228.6,-0.0195891,0.924733,-0.00164879,18859.2,-4.19887e-05,-0.0417695,15.0559,-19.669,116.406,55,1.94546,10.791,11.4653,118.152,133.774,-1.74627,-78.774 
24,46.8519,3.5,24,20727.2,-0.025424,43.1461,10.6103,118.057,-0.0749565,72.9626,500,0.806535,0.287722,7.2672,-0.613803,-7.64312,-40.5301,96.1937,-20.7768,20365.5,15080.7,1.06174,0.542929,7.77761,-0.358596,-7.38792,-3.75471,153.041,-18.6713,20422.4,0.00743805,1.27146,-0.001687,20575.4,-0.000608336,0.0124979,-3.87467,-5151.97,125.111,94.3647,2.05714,10.9359,11.403,117.791,134.338,7.32071,-39.9728 
25,47.0619,10,25,21401.8,-0.0349942,43.5976,10.754,118.289,-0.0259797,32.0466,71.2776,3.39965,3.51854,4.81251,-1.75208,-3.00831,-42.418,-69.139,-13.3495,21119.3,15289.6,3.66674,3.78563,5.3467,-1.48499,-2.74122,0.376323,-9.64367,-11.1459,21178.8,-0.000455553,0.33084,-0.000970402,21169.1,0.000216106,-0.019327,-10.3256,22.0971,118.073,55.0028,2.03063,11.0765,11.7235,118.057,133.418,0.015278,-78.4149 
26,47.2119,10,26,21433.4,-0.0379538,43.869,10.71,118.34,0.0165435,3.12106,499.74,-4.69546,-3.51924,-1.07575,-3.5508,-1.71323,140.069,4.1059,-30.2986,21035.2,15296.4,-5.57743,-4.40122,-2.8397,-4.43278,-2.59521,0.856915,-192.354,-37.5749,20838.8,-0.00931659,0.74524,-0.00333262,20646.4,0.000208204,-0.0183714,-10.576,22.5546,115.28,58.3726,2.11392,11.0283,11.3309,118.027,134.455,-2.74651,-76.0821 
27,47.2569,10,27,22034.4,-0.0744827,45.0462,-10.8126,118.483,0.105935,-37.7265,346.062,-1.1467,1.26394,-2.29709,2.43836,-4.70413,-32.5142,-34.3799,-17.5966,21823.2,15985.7,-0.941964,1.46868,-1.88762,2.64309,-4.49939,0.413275,11.2245,-15.9076,21868.8,0.000513003,-0.675615,-0.00134176,21880,0.000126156,-0.0167314,11.146,22.4539,115.882,57.2447,2.10259,11.1369,11.6357,118.218,134.067,-2.33596,-76.822 
