cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
4,47.2119,10,4,13700.1,-0.00332799,27.1614,10.9701,119.369,-0.00447581,4.36207,152.394,1.8499,0.381442,5.75568,-1.10643,1.70686,-14.4541,100.751,-7.06189,13001.3,9700.35,1.94092,0.472456,5.93771,-1.01542,1.79787,0.349901,121.024,-6.31103,13021.6,0.00920849,1.10042,-0.000893588,13142.6,0.000820286,-0.0458918,-9.8841,-15.0025,95.6175,108,1.30523,11.207,11.1646,118.814,131.338,-23.1966,-23.3379 
5,46.9719,10,5,12062.8,0.000305407,23.4812,11.1573,119.669,0.0021281,-24.0652,482.977,1.39963,2.10635,4.75431,0.641445,1.16612,38.7765,274.477,10.115,11043.8,8530.21,1.15546,1.86219,4.26598,0.397279,0.921958,0.504121,220.089,8.10068,10989.4,0.0196341,0.939487,0.00135604,11209.5,0.000462073,0.0334543,-9.87132,13.5586,125.8,97.5894,0.980985,11.3481,12.3007,118.994,132.022,6.80601,-34.4329 
6,47.2419,10,6,9175.9,-0.00832626,18.8414,10.6286,119.336,-0.00156037,-1.54551,5.37984,0.716445,-1.58396,3.09757,0.935697,3.95364,-4.0016,87.7175,4.70388,8705.31,6519.15,0.741642,-1.55876,3.14796,0.960894,3.97884,0.567027,93.3301,4.91175,8710.93,0.0106006,0.915668,0.00103761,8804.26,0.000291924,-0.00363868,46.4495,-0.109073,113.213,81.0721,0.866008,10.8725,11.519,118.795,130.382,-5.58247,-49.3101 
7,47.2869,10,7,12705.3,0.0409947,25.4511,10.6609,119.336,-0.0156928,-26.8893,2.65053,5.54257,2.1962,4.32723,-0.175179,-2.25559,15.6932,96.4948,-5.58629,12160.4,8846.44,5.44376,2.09739,4.1296,-0.273994,-2.3544,0.543304,74.4836,-6.40152,12138.4,0.00609876,1.17703,-0.000972427,12212.9,0.000382203,-0.0107544,9.98446,8.36503,111.811,76.2355,1.21017,10.9417,11.4272,118.843,131.259,-7.03172,-55.0235 
10,47.1519,10,10,15921.9,-0.0461684,32.3619,-10.8305,119.129,-0.00481498,-20.0293,4.0527e-10,0.885636,0.787852,-3.30807,2.82677,2.4537,-59.9118,87.7519,-4.7538,15343.8,11412.9,1.26288,1.1651,-2.55358,3.20402,2.83095,1.43212,171.784,-1.6415,15427.8,0.0110121,1.01701,-0.000196035,15599.6,5.29237e-05,-0.0129234,7.80012,7.81683,112.782,74.7551,1.59116,11.1159,11.035,118.669,131.316,-5.88677,-56.5614 
11,46.9269,10,11,12476.1,0.000748411,25.5549,10.6013,119.169,-0.0118184,-1.76303,102.261,1.16329,3.13312,0.98549,0.015496,-3.83757,-5.65713,282.205,-10.9408,11781,8819.85,1.19891,3.16874,1.05673,0.0511175,-3.80195,0.368569,290.14,-10.6469,11788.9,0.0240201,1.06862,-0.00166644,12079,0.000245387,-0.0429648,0.108059,15.0203,124.59,87.5338,1.23486,10.9752,11.03,118.635,131.258,5.9547,-43.724 
12,47.2269,10,12,14072.5,0.0612985,28.3047,10.5538,119.21,-0.0635116,-56.2708,333.559,0.0834611,1.16813,4.63654,2.82082,1.6565,51.957,70.2905,-14.2401,13297.4,9840.78,-0.243698,0.840975,3.98222,2.49366,1.32934,0.526067,-2.58425,-16.9392,13224.5,-0.000195452,0.0801869,-0.00236513,13221.9,0.000911573,-0.0441853,10.5686,14.5388,95.3738,108,1.40972,10.8614,10.8802,118.844,131.36,-23.4698,-23.3598 
35,47.3919,10,35,12803.7,-0.0158393,26.5783,-10.4322,119.309,-0.0108934,3.92931,500,2.52201,3.2115,0.967717,-0.646516,1.57588,-12.5932,37.8168,-23.1883,12221.5,9027.46,2.6013,3.2908,1.12631,-0.56722,1.65518,0.861059,55.48,-22.5341,12239.2,0.00451253,3.4577,-0.00340312,12294.7,0.000594741,-0.0466256,9.90926,13.3981,94.8237,108,1.34372,10.7237,10.7458,118.827,130.944,-24.0031,-22.9436 
36,46.5069,10,36,14141.8,0.0112678,28.4973,10.5882,119.145,-0.0123917,-5.00537,1.49739e-11,2.96137,1.24322,1.15965,1.01338,-2.708,-12.9813,17.3712,-5.09057,13516.4,9824.48,3.04311,1.32496,1.32313,1.09512,-2.62626,0.681946,35.5787,-4.41622,13534.6,0.00262182,1.2775,-0.000601422,13570.2,0.000327561,-0.0151238,-8.72537,12.1537,113.159,75.2718,1.45804,10.8645,10.7556,118.736,131.441,-5.57719,-56.1694 
37,47.1669,10,37,12725.6,0.0322747,26.117,-10.3923,119.204,-0.00842432,21.8902,500,5.21869,-2.29979,0.0480925,0.761772,-0.107837,-49.328,12.7258,-1.07852,12078,8841.45,5.5293,-1.98919,0.669304,1.07238,0.202769,0.877966,81.9132,1.48398,12147.2,0.00669821,0.96927,0.000224993,12229.1,0.000680409,-0.0484805,10.1292,-12.8391,94.6721,108,1.30509,10.7386,10.9035,118.82,131.161,-24.1482,-23.1606 
38,47.2719,10,38,12292.5,0.00680931,25.6484,10.4178,119.233,-0.0139178,8.88139,7.57618e-10,1.0852,-0.851148,-0.306105,0.249948,-0.816405,0.0938286,11.3247,-22.7076,11793.7,8702.24,1.08461,-0.851739,-0.307287,0.249357,-0.816995,0.521403,11.1931,-22.7125,11793.5,0.000948191,-0.392002,-0.00356024,11804.7,0.000172826,-0.0127491,7.40114,13.3837,112.768,74.961,1.30473,10.6423,10.7674,118.852,131.051,-6.08383,-56.0897 
39,47.3469,10,39,14038.8,-0.0051528,29.6455,10.2404,119.136,-0.00729924,1.56043,4.41559e-10,5.56018,-0.730065,0.361354,0.527599,1.19732,23.278,45.3826,-8.49804,13438.4,9882.97,5.4136,-0.876641,0.0682029,0.381024,1.05074,0.988702,12.7329,-9.70729,13405.7,0.000948914,-2.9926,-0.00133568,13418.4,0.000265592,-0.0149136,10.4167,6.59792,113.345,76.4741,1.48929,10.5024,10.8294,118.775,131.016,-5.43037,-54.5417 
40,47.2119,10,40,14315.5,0.0180239,29.0244,10.6431,118.909,-0.0655486,7.98047,380.73,3.04169,2.77955,2.15611,2.79811,0.969116,10.5542,95.4276,-2.23554,13643.5,10073.1,2.97523,2.7131,2.0232,2.73165,0.902659,0.821679,80.6243,-2.7838,13628.7,0.005881,1.06431,-0.000376412,13709.3,0.000345166,-0.00912097,8.25919,18.0529,115.443,64.8442,1.44264,10.8723,10.9663,118.542,130.99,-3.09917,-66.1457 
41,46.9719,10,41,13582.2,0.00698738,28.3545,10.3504,119.24,-0.012469,-3.15771,500,2.30378,0.468908,1.64947,1.91394,1.38665,43.8755,102.285,-13.7997,13016.7,9555.08,2.02751,0.192635,1.09693,1.63767,1.11038,0.819141,40.7451,-16.079,12955.2,0.00313522,3.23198,-0.00229152,12995.9,0.000304365,-1.32045,38.7647,-0.1479,120.897,98.3937,1.38874,10.5558,11.0687,118.852,131.057,2.04409,-32.6631 
42,47.2419,10,42,12509.7,0.00335131,25.747,-10.5391,119.13,-0.00446402,21.5761,23.3507,1.95946,2.8117,-0.143632,-0.971556,-0.856574,56.7474,66.7257,-7.34504,11937.9,8836.47,1.60214,2.45438,-0.858279,-1.32888,-1.2139,2.30943,-12.8682,-10.293,11858.3,-0.00108634,0.416704,-0.0016015,11845.4,0.000188611,-0.0127758,6.26058,10.2138,115.625,74.286,1.31433,10.7663,10.7067,118.745,131.925,-3.11923,-57.6392 
43,47.2869,10,43,13501.3,0.0270199,27.3092,-10.6226,119.2,-0.0200743,-3.15316,3.67744e-10,1.57807,-2.01918,-0.27179,0.852672,-1.66171,-34.5765,21.6959,-9.14137,12992.6,9445.6,1.79579,-1.80146,0.163647,1.07039,-1.44399,1.75897,70.1927,-7.34519,13041.1,0.00535362,1.22418,-0.00103862,13111.3,0.000211904,-0.0135325,7.52708,11.6092,112.981,76.0755,1.36824,10.9585,10.9178,118.816,131.456,-5.83457,-55.3804 
44,47.3319,10,44,11749.7,-0.00236646,25.0883,-10.1824,119.082,0.00333005,-21.2662,8.05388e-09,1.38024,2.98953,-0.975343,-1.2023,-1.36682,27.1478,23.4902,-10.4389,11346.6,8318.36,1.2093,2.81859,-1.31723,-1.37325,-1.53777,-5.5745,-14.5873,-11.8492,11308.5,-0.00129161,0.412963,-0.00193392,11293.9,0.000512441,-0.0416134,10.7613,14.4711,93.9528,108,1.28916,10.4292,10.6627,118.787,131.309,-24.8339,-23.3086 
45,47.1969,10,45,12345.2,-0.00683339,25.57,10.5175,119.193,-0.0190212,2.22942,68.8072,3.44913,-1.05569,4.09502,-0.590433,-4.39905,-35.6309,129.926,-16.7647,11844.7,8756.01,3.67349,-0.831329,4.54373,-0.366075,-4.17469,-0.597023,179.902,-14.9138,11894.7,0.0148992,1.16969,-0.00231502,12074.6,0.000155305,-0.00883356,6.20986,-17.9597,117.223,61.793,1.29123,10.8432,10.7221,118.821,131.077,-1.59792,-69.2844 
46,47.1519,10,46,11690.4,-0.0125427,24.9333,10.1319,119.145,0.00660204,-15.6139,500,1.54694,3.62428,-4.2987,-0.702504,-0.494227,-45.2231,67.3264,-9.7301,11216.5,8227.06,1.83169,3.90904,-3.72919,-0.417746,-0.209469,3.69387,130.756,-7.38085,11279.9,0.0114591,1.10961,-0.00120681,11410.7,0.000129753,0.00195924,904.003,0.778727,112.035,69.1386,1.27195,10.4249,10.656,118.755,131.167,-6.72034,-62.028 
47,46.9269,10,47,11671.7,0.0185746,24.207,10.3863,119.172,-0.0101907,-10.9756,495.173,0.527167,2.00699,3.48346,1.72857,-0.661221,-30.3378,190.672,-3.2302,10993.3,8188.22,0.718196,2.19802,3.86552,1.9196,-0.470192,0.530379,233.223,-1.65421,11035.9,0.0206958,1.01257,-0.000276197,11269.1,1.14018e-05,0.0234273,9.51027,16.5941,124.952,93.5102,1.22734,10.7492,10.5497,118.695,130.968,6.2572,-37.4577 
48,47.2269,10,48,13808.6,0.0231279,28.1031,10.5727,119.382,-0.00994655,-10.2979,500,-2.84976,-1.05193,-0.840011,2.55301,-1.11747,-28.8088,64.3632,-5.04367,13259.4,9675.78,-2.66836,-0.870531,-0.477208,2.73442,-0.936068,0.784823,104.77,-3.54711,13299.8,0.00781602,1.06298,-0.000491538,13404.6,0.00028551,-0.00929465,-9.60679,20.3633,117.092,59.8304,1.4067,10.8908,10.9058,119.014,131.712,-1.92124,-71.8814 
49,47.0169,10,49,11892.9,0.00361933,24.2881,10.6192,119.16,-0.00109936,8.9926,480.085,-1.23402,1.15434,6.21539,5.88063,2.59643,-37.1715,90.8499,-0.223625,11254.4,8396.49,-0.999962,1.3884,6.6835,6.11469,2.83048,0.582727,142.987,1.70736,11306.5,0.0124884,0.979531,0.000278093,11449.5,0.000695796,-0.0407809,10.9659,15.416,94.9673,108,1.2128,10.8879,10.828,118.732,131.988,-23.7646,-23.988 
50,47.0619,10,50,12356,-0.139117,25.9353,-10.3371,119.16,0.00679715,46.4278,500,5.17361,1.59576,3.72586,0.428411,3.19384,-71.9482,111.698,2.2628,11747.5,8737.67,5.62664,2.0488,4.63194,0.88145,3.64688,0.724874,212.612,6.00037,11848.4,0.0176281,0.952936,0.000932026,12061,6.20734e-05,0.0124135,12.4531,-12.6518,88,65.1396,1.31213,10.5582,10.7267,118.739,131.67,-30.7394,-66.5306 
51,47.3019,10,51,11462.1,0.0460341,24.4093,9.98608,119.062,-0.0350591,35.6653,497.988,1.26818,-0.60935,3.72993,1.43943,1.63416,-15.5783,4.59801,-12.4397,10892.5,7975.66,1.36627,-0.511258,3.92611,1.53752,1.73225,0.512339,26.4481,-11.6304,10914.4,0.00241737,4.33943,-0.00196682,10940.8,0.000242483,-0.0112428,8.86821,12.3268,113.074,74.1648,1.26116,10.337,10.6109,118.677,131.122,-5.60225,-56.9574 
52,47.0319,10,52,13044.6,0.00260875,27.5338,10.1978,119.536,-0.00174098,-12.7484,500,0.850536,-0.0692503,4.26325,0.551295,2.85429,-24.2261,74.2196,-1.18217,12389.5,9141.2,1.00308,0.0832951,4.56834,0.70384,3.00683,0.51221,108.199,0.0763258,12423.5,0.00863402,0.998767,1.13171e-05,12531.7,0.000738986,-0.0457127,-10.5014,13.2084,94.7507,108,1.37333,10.477,10.8381,119.131,131.781,-24.3799,-23.7811 
53,46.9569,10,53,12385.7,0.016001,25.3091,10.5246,119.059,-0.04112,17.9271,500,1.58952,2.63911,0.000896217,-0.129102,2.06603,0.0754202,129.786,-8.67515,11704,8695.15,1.58905,2.63863,-5.35843e-05,-0.129577,2.06556,1.00001,129.68,-8.67907,11703.9,0.0109586,1.13266,-0.00136788,11833.6,0.000140387,0.0214795,-10.0881,-15.2391,124.432,98.9368,1.26028,10.7996,10.7664,118.674,131.769,5.75781,-32.8323 
54,47.1219,10,54,12266.7,0.0110939,25.1912,10.4408,119.312,-0.0263886,5.35353,7.64311e-11,-0.774354,-2.52625,0.503096,-2.7518,-0.371124,-33.8536,32.8046,-4.66351,11709.4,8566.61,-0.561187,-2.31308,0.929431,-2.53863,-0.157957,1.20025,80.2877,-2.90488,11756.9,0.00678266,1.0676,-0.000455351,11837.2,0.000373094,-0.00944896,8.74187,17.4669,115.801,62.3363,1.27335,10.7274,10.7317,119.007,131.161,-3.20611,-68.8252 
55,47.0769,10,55,11151.1,0.00485162,23.4805,10.2098,119.279,0.00324773,-31.3018,0.00365879,2.22715,1.34819,3.75071,1.56478,-0.72068,-4.33685,-24.8287,0.547061,10798.4,7807.39,2.25446,1.3755,3.80532,1.59208,-0.693372,0.543398,-18.7458,0.772352,10804.5,-0.00173802,1.07771,0.000131665,10785.7,0.000170417,-0.0112903,9.26338,17.0723,117.568,67.109,1.21232,10.5742,10.6149,118.964,131.583,-1.39564,-64.4743 
56,47.0469,10,56,10515.6,-0.00783344,21.6916,10.3137,119.406,0.00188874,12.5245,5.02601e-11,1.10807,-2.06711,4.80117,1.65048,-1.47953,-30.9517,126.479,4.0259,9938.71,7283.62,1.30297,-1.87221,5.19096,1.84537,-1.28464,-0.00164262,169.892,5.63378,9982.12,0.0167348,0.945151,0.00103858,10152,0.000614159,-0.0366168,-9.41511,12.4241,94.5625,108,1.09717,10.5722,10.7441,119.11,131.318,-24.5473,-23.3177 
57,47.0919,10,57,12619.6,-0.0265859,25.9028,10.5794,119.312,0.00276857,-0.578269,1.91442e-12,1.08989,3.17074,-0.737412,2.01345,1.86166,-7.88253,152.928,-1.51777,12009.6,8920.81,1.13952,3.22038,-0.638143,2.06308,1.9113,1.08292,163.984,-1.10829,12020.7,0.0134582,1.01197,-0.000169869,12184.6,3.91299e-05,0.0132345,14.191,11.569,89.2952,65.5926,1.31464,10.8404,10.6614,118.923,131.713,-29.6275,-66.1209 
58,47.3619,10,58,11455.7,0.0467989,24.0187,10.1391,119.094,-0.02449,139.439,55.6052,1.44752,1.54822,4.26273,-1.21568,0.629614,-4.33065,78.8806,-11.3688,10910.7,8038.82,1.47479,1.57549,4.31727,-1.18842,0.656883,0.368452,84.9548,-11.1439,10916.7,0.00772198,1.29795,-0.00188397,11001.7,0.000180528,-0.0122768,11.8815,6.05118,113.458,78.2716,1.23589,10.5828,10.6097,118.745,131.5,-5.28719,-53.2286 
59,47.2569,10,59,13226.1,0.019693,26.8144,10.5292,119.138,-0.00653402,-16.0166,500,-1.55633,-2.28248,-2.00916,2.28259,-0.23685,-17.0262,76.9053,9.31304,12667.8,9194.3,-1.44912,-2.17527,-1.79474,2.3898,-0.12964,0.43186,100.786,10.1975,12691.7,0.00787857,0.849571,0.00147791,12792.5,0.000239993,-0.0516749,0.18025,0.848804,114.988,81.5414,1.37479,10.7999,10.6939,118.782,131.989,-3.7943,-50.4478 
