cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.5069,10,0,15384,-0.016597,29.2646,11.483,120.378,0.00633123,-18.0727,288.987,4.05507,2.75003,-4.95371,2.79507,-1.09034,-28.4397,65.1403,-8.51133,14850.6,10943.1,4.23414,2.92911,-4.59556,2.97414,-0.911262,1.99244,105.03,-7.03394,14890.5,0.00700407,1.13276,-0.000870926,14995.5,-0.000125883,0.0259019,-9.04397,9.94414,128.863,95.45,1.41469,11.8233,11.2365,119.891,126.777,8.97252,-31.3267 
1,46.9719,10,1,15028.3,-0.0186758,27.4948,12.0958,120.654,-0.00302485,0.341561,500,1.44302,0.161031,-4.28131,-0.219348,-3.35791,-36.0602,246.409,1.73269,14373.2,10826.3,1.67008,0.388093,-3.82719,0.00771326,-3.13085,0.217688,296.987,3.60595,14423.8,0.0201747,0.979194,0.000460314,14720.8,-0.000159324,0.0320247,9.5933,16.0438,125.865,88.2385,1.2316,12.6386,11.6573,119.977,126.741,5.8882,-38.5024 
2,46.8819,9,2,14411.7,-0.00216231,25.8366,12.2408,120.634,-0.0021373,1.64994,1.80904e-10,2.57637,-2.0563,3.00384,-1.27118,-2.36495,-39.3965,830.609,-2.16301,13092.7,10295.4,2.82444,-1.80823,3.49997,-1.02311,-2.11688,-1.54321,885.866,-0.116438,13147.9,0.0631237,1.00023,-1.63139e-05,14033.8,3.73992e-05,0.0827795,10.2662,12.4996,123.067,80.9731,1.11755,12.7382,11.6241,119.873,127.135,3.19375,-46.1618 
3,46.9869,10,3,18343.3,-0.0799008,35.2876,11.5481,120.509,0.0156102,59.2113,378.485,-0.539909,-2.12496,0.835412,-0.420911,-5.15067,-7.31267,278.129,-10.4096,17761.5,13295.7,-0.493863,-2.07891,0.927504,-0.374865,-5.10462,1.13018,288.386,-10.0297,17771.8,0.0159681,1.06481,-0.0010407,18060.2,-0.000386391,0.0314438,10.2678,16.6642,127.186,85.2889,1.64053,11.8953,11.5187,120.031,125.958,7.15524,-40.6689 
4,47.1519,10,4,14795.5,-0.0130609,26.7482,12.146,120.354,-0.00432615,14.3983,7.59974e-13,1.57017,0.229495,-4.40345,0.735657,-3.24785,-21.8041,135.725,-7.8111,14238.8,10578.1,1.70746,0.366789,-4.12886,0.872952,-3.11055,0.0380562,166.308,-6.67842,14269.4,0.0115206,1.07559,-0.000862893,14435.7,-0.00018,0.0273052,9.26391,11.6428,127.477,91.7159,1.26707,12.6105,11.3198,119.767,126.59,7.70955,-34.8743 
5,47.0319,10,5,15437.4,-0.00628325,27.0196,12.6082,120.244,-0.0116333,2.84674,1.77934e-11,-0.794647,-1.8082,0.66594,-1.05408,2.2438,-29.5409,97.2766,-3.99869,14987.1,11091,-0.608636,-1.62219,1.03796,-0.868066,2.42982,-1.81375,138.711,-2.4641,15028.5,0.00914541,1.03209,-0.000302126,15167.2,-0.000367471,0.0266923,4.14845,60.4082,130.022,108,1.259,12.9739,11.4896,119.543,126.326,10.4786,-18.3263 
6,47.0919,10,6,15381.4,-0.0656607,28.0822,12.1626,120.33,-0.0125357,25.7168,65.4056,3.10781,1.30253,5.44205,1.13417,-0.838731,-26.425,206.009,-10.6215,14882.1,11129.2,3.2742,1.46892,5.77483,1.30056,-0.67234,0.4819,243.073,-9.2488,14919.2,0.0160315,1.07134,-0.00114328,15162.2,-0.000329177,0.0306542,10.2607,12.1488,128.063,93.8195,1.33233,12.6324,11.2443,119.76,127.799,8.30264,-33.9799 
7,47.0169,10,7,16180.5,-0.0971891,31.9247,11.39,120.25,0.0193961,54.281,1.38084e-10,3.99379,2.21203,3.1695,-1.02489,-0.270734,-43.9169,207.008,-17.8253,15670.6,11871.3,4.27033,2.48856,3.72257,-0.748359,0.00579855,0.617763,268.606,-15.5439,15732.2,0.0167871,1.11268,-0.00182338,16000.8,-0.000498069,0.0502339,3.1597,57.3863,127.88,108,1.48145,11.6534,11.3628,119.532,126.733,8.34785,-18.7334 
8,47.3919,10,8,13956,-0.0356991,25.3766,12.1054,120.253,-0.0099169,36.155,142.261,2.90734,0.0127937,1.5516,-0.427714,1.72079,-10.6878,9.45019,-13.8586,13597.8,10011.8,2.97464,0.0800917,1.68619,-0.360416,1.78809,0.726649,24.4408,-13.3034,13612.8,0.00179221,21.0714,-0.00180348,13637.3,-0.000359559,0.0414916,-2.83195,-48.8379,128.142,108,1.23323,12.3948,11.1408,119.513,126.471,8.62818,-18.4713 
9,47.1669,10,9,14327.4,0.00749613,26.3541,12.0823,120.635,0.0106066,13.9433,4.46512e-10,3.66566,-1.17558,-1.82838,1.70122,-0.34896,21.2057,222.331,-18.4472,13936.3,10370.4,3.53213,-1.30911,-2.09544,1.5677,-0.482487,2.72778,192.588,-19.5488,13906.5,0.0136596,1.21601,-0.00259622,14099.1,-0.000396809,0.02541,9.28598,14.6265,129.712,91.6584,1.25411,12.4929,11.3382,119.978,127.032,9.73355,-35.374 
10,47.2719,10,10,15182.2,-0.0617268,28.4197,11.8502,120.415,-0.0970991,113.737,306.173,1.14043,0.912994,-4.97382,1.11115,1.65799,-6.64346,27.0675,-23.8063,14846.4,11322.8,1.18226,0.954826,-4.89015,1.15298,1.69983,50.0296,36.3856,-23.4612,14855.7,0.00244328,-7.78893,-0.00291767,14892.1,-0.00042117,0.0373797,-3.03878,48.4379,128.43,108,1.35316,12.1228,11.3638,119.748,126.349,8.68253,-18.3485 
11,47.1969,10,11,14726.4,-0.0156272,26.8653,11.9728,120.45,0.00104232,-5.25527,161.853,5.84891,-0.528938,2.66971,-1.85562,-3.5711,16.303,118.101,-15.1272,14217.3,10471,5.74626,-0.631593,2.4644,-1.95828,-3.67375,-0.265719,95.2341,-15.9741,14194.4,0.00666454,1.4155,-0.00207737,14289.7,-0.000205814,0.0281981,8.43608,13.565,128.881,90.3591,1.25679,12.3626,11.5918,119.839,125.914,9.04165,-35.5547 
