cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.6892,3.5,0,27725,-0.255993,45.1098,13.9938,116.22,0.724608,-391.865,304.497,-1.06475,-2.47162,6.49593,1.89624,-0.114444,74.3773,345.48,8.2094,25875.1,29793,-1.53309,-2.93995,5.55926,1.42791,-0.582779,-1.87843,241.159,4.34565,25770.8,0.00875089,0.969429,0.000310532,27558.2,0.00141075,-0.0183603,17.3007,-0.0697773,120.123,81.0762,1.7021,14.1045,13.3393,115.613,134.08,4.5098,-53.0039 
1,46.8592,10,1,18045.2,-0.209706,29.4821,14.2636,116.237,0.173827,214.923,2.20105e-08,1.73072,-0.891541,6.07286,1.29751,-3.05973,127.658,545.296,5.1616,16361.3,14905.5,0.926893,-1.69537,4.4652,0.493684,-3.86356,-12.6616,366.243,-1.47001,16182.3,0.0209049,1.00707,-0.000167366,17519.5,0.000913765,0.0250725,11.7039,17.9328,126.49,92.251,1.02118,14.4469,13.7732,115.619,135.443,10.8705,-43.1918 
2,46.8392,10,2,19672.4,-0.247553,28.0718,-16.2222,116.236,-0.665714,-449.117,481.937,-2.61438,3.27545,-0.180356,3.53314,0.220862,131.497,645.36,8.46544,17812,24557.3,-3.44238,2.44744,-1.83636,2.70513,-0.607142,-1.50421,460.922,1.63441,17627.6,0.0240739,0.993833,0.000170769,19146.1,0.00104384,0.0250524,11.6379,20.2448,125.219,88.5125,0.953904,16.3663,14.1362,115.396,134.98,9.8232,-46.4672 
3,46.9992,10,3,21005.1,-0.0238215,33.9834,14.1773,116.172,-0.0887928,-13.5525,500,-0.0716191,-0.202275,3.63507,0.252258,-0.116284,123.471,427.463,8.03285,19410.5,15723.2,-0.84908,-0.979736,2.08015,-0.525203,-0.893745,2.78153,254.284,1.6188,19237.3,0.0123165,0.988982,0.000154987,20645.8,-0.00167567,0.0260874,15.4555,10220,120.93,93.9218,1.22624,14.202,13.2828,115.329,135.251,5.6009,-41.3296 
4,46.9792,10,4,19376.5,-0.0559271,31.854,14.0054,116.265,-0.0241044,53.6825,500,-2.15546,0.297939,2.47374,3.25023,0.443939,60.7045,362.618,-6.32055,17684,14565.1,-2.5377,-0.0843013,1.70926,2.86799,0.0616987,0.152554,277.474,-9.47403,17598.8,0.0146562,1.06355,-0.000992651,18932.2,-0.00159665,0.0273784,14.6806,10225.9,119.843,83.1649,1.12767,14.2477,13.0967,115.492,135.764,4.3516,-52.5989 
5,47.0392,10,5,18240.1,-0.022996,30.4218,13.7933,116.243,-0.00175595,-48.9072,500,-1.8499,2.66127,1.69052,1.70829,2.35486,74.4742,345.178,1.33698,16711.6,13662.7,-2.31884,2.19233,0.752631,1.23934,1.88591,0.799372,240.721,-2.53181,16607.1,0.0134901,1.01875,-0.000280914,17844.2,-0.00154348,0.0254954,14.6013,10218.6,120.365,100.461,1.08817,13.9862,13.1009,115.394,134.714,4.97115,-34.2523 
6,46.8192,10,6,18321.9,-0.129663,29.7746,14.1823,116.015,0.00510503,-155.611,0.01845,1.46766,0.254829,3.54239,2.00047,1.41409,98.1536,732.556,14.1208,16563,13772.2,0.849614,-0.363218,2.3063,1.38242,0.796041,0.536064,594.886,9.02192,16425.4,0.0330387,0.974146,0.00101079,18005.8,0.000899617,0.0293289,13.4125,19.6007,124.456,89.1111,1.04016,14.2057,13.8286,115.306,135.289,9.1505,-46.1777 
7,47.0192,10,7,21929.6,-0.0535818,35.679,14.0294,115.946,0.0283926,-79.3435,500,-0.594587,1.11562,0.301797,0.196234,0.120434,74.0014,420.911,55.0553,20231.3,16368,-1.06055,0.649656,-0.630137,-0.269733,-0.345533,0.619552,317.117,51.2111,20127.5,0.0146459,0.779662,0.00466507,21652.3,-1.8073,1.81075,-2100.88,-4461.94,114.786,84.4097,1.26171,14.1716,13.8124,115.192,135.668,-0.406167,-51.258 
8,46.8992,10,8,19692.8,-0.221417,32.1521,-14.0852,115.833,0.166,48.3388,35.9435,-2.55863,-1.63602,2.00758,2.3336,2.57569,96.2073,454.578,-0.479048,18074.6,15003.5,-3.16442,-2.24182,0.795995,1.72781,1.9699,1.87229,319.638,-5.47683,17939.6,0.0165311,1.03091,-0.000562697,19335.6,0.00129166,0.099497,-0.189726,31.2031,127.21,102.372,1.17319,14.068,13.5058,114.901,135.648,12.3094,-33.2765 
9,46.7992,10,9,17995.3,-0.034111,28.5675,14.3939,116.478,-0.0073975,18.3336,500,-1.24444,1.06887,-0.0325239,1.37146,1.23078,89.4242,740.432,9.49802,16189.6,13390.3,-1.80752,0.505788,-1.15868,0.808377,0.667697,-0.177111,615.006,4.8526,16064.2,0.0348582,0.98638,0.000556146,17643.1,0.00093887,0.0358156,12.3395,17.0224,122.436,87.5132,1.01995,14.6544,13.3791,115.739,135.312,6.69779,-47.7987 
