cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.1359,0,15650.3,0.0838148,26.7571,12.3498,122.673,0.404746,-611.379,192.651,-1.13496,1.52175,0.280674,-1.88431,2.65553,-54.3353,174.879,23.1386,14860.4,18812.5,-0.792826,1.86389,0.964943,-1.54218,2.99766,0.72363,233.555,25.5335,14919,0.0162117,0.839405,0.00314281,14406.6 
1,47.2559,1,16929.9,0.0172878,29.0624,12.3717,122.789,-0.0193278,-16.2612,500,2.02542,3.06843,2.5735,1.205,-0.347851,-101.568,944.642,18.903,15346.9,11714.8,2.66497,3.70798,3.8526,1.84455,0.291697,0.688346,1054.32,23.3798,15456.6,0.0669919,0.962643,0.00277865,15738.1 
2,47.2159,2,14227.3,-0.00139838,26.1538,11.844,123,-0.0114279,-0.405952,5.49201e-10,-1.60603,-2.81039,-1.57477,-0.808037,0.910101,-38.9343,4052.65,40.5334,9967.03,10084.1,-1.36087,-2.56523,-1.08445,-0.562878,1.15526,0.754548,4094.7,42.2495,10009.1,0.301007,0.982264,0.00771575,13603.3 
3,47.2909,3,16821.7,0.0119712,29.5387,-12.324,122.572,0.0057362,-8.35446,20.9839,0.379789,5.67834,0.338354,2.33013,1.97388,-118.897,443.178,34.1437,15967.3,11852.1,1.12845,6.42701,1.83568,3.07879,2.72254,0.879172,571.574,39.3844,16095.7,0.036033,0.892392,0.00448719,15862.5 
4,47.2359,4,13964.3,0.00262644,24.5909,-12.1897,122.911,-0.00771157,-3.93351,500,4.37415,-2.11132,4.87095,3.40522,0.266188,-102.802,2368.87,21.7086,11202,9758.98,5.02146,-1.464,6.16558,4.05254,0.913502,0.580261,2479.89,26.2398,11313,0.187484,0.98182,0.00425447,13227.2 
5,47.2609,5,15895.9,0.0379399,27.7182,12.4002,122.918,0.000180491,-19.1663,128.461,1.40483,0.292146,3.90519,3.2565,2.70669,-76.9927,750.187,20.2729,14675.2,11189.1,1.88963,0.776948,4.87479,3.74131,3.19149,0.663207,833.33,23.6665,14758.3,0.0561024,0.952653,0.00294531,14853.7 
6,47.1759,6,15398.8,-0.0121149,27.2136,12.3416,122.758,-0.00783438,-1.93076,471.611,2.32716,-2.43467,3.21054,2.40444,0.000115899,-14.4474,111.137,10.1852,14888.9,10933.8,2.41813,-2.3437,3.39249,2.49541,0.0910876,0.439576,126.738,10.822,14904.5,0.00887148,0.869997,0.00133574,14286.1 
7,47.3059,7,15722,0.0140484,27.5125,-12.3084,122.617,-0.0173789,-0.578396,1.03016e-10,-0.0408556,-0.696065,7.13359,3.74545,2.72406,-12.6674,345.102,16.6884,14985.6,11024,0.0389079,-0.616301,7.29312,3.82522,2.80382,0.453485,358.781,17.2467,14999.3,0.0245604,0.922405,0.00211364,14608.1 
8,47.2709,8,14663.6,-0.0185531,25.905,12.3767,122.543,0.00548732,-9.8891,213.468,1.06574,-3.49567,2.43766,5.05067,1.85293,-62.928,560.062,23.2306,13820.2,10439,1.46198,-3.09943,3.23014,5.44691,2.24917,0.652253,628.018,26.0042,13888.1,0.0454369,0.932434,0.00343731,13821.8 
9,47.3459,9,14681.9,0.125023,25.5196,11.9412,122.566,-0.112362,-147.46,0.760244,6.09273,-0.841627,0.270367,-0.476576,-0.0692782,-133.247,146.411,20.2813,13786.8,10459.5,6.93176,-0.00260311,1.94841,0.362448,0.769745,0.805349,290.304,26.1545,13930.7,0.0214651,0.863809,0.00344658,13524.4 
