cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.2409,0,15456.1,0.111987,27.2379,11.8595,123.264,-0.282858,186.049,404.429,-6.53988,-4.40055,-4.59445,0.683517,-5.26507,-124.464,3959.04,26.5199,10556.5,12228.8,-5.75616,-3.61683,-3.02702,1.46723,-4.48136,0.803621,4093.45,32.0059,10690.9,0.287263,0.986502,0.00548455,14249.8 
1,47.1859,1,14982.9,0.0378071,26.6295,11.6413,123.033,-0.00340947,-27.5087,500,-1.37469,-1.39692,-4.7081,1.26861,-4.6683,-61.0617,3258.84,21.2587,10641.5,10094.7,-0.990196,-1.01244,-3.93912,1.6531,-4.28381,0.540492,3324.78,23.9501,10707.5,0.246337,0.987551,0.00410346,13496.9 
2,47.1409,2,15875,0.0801322,27.9317,12.0198,122.624,-0.0222681,-37.0378,141.482,-3.97691,-1.69483,-1.86487,2.61558,-0.975228,-122.009,1398.13,23.6808,13700.1,10956.1,-3.20865,-0.926567,-0.328357,3.38384,-0.206971,0.744809,1529.88,29.0586,13831.8,0.104286,0.96783,0.00385506,14670.1 
3,47.0959,3,15417.6,0.0148168,27.4948,-12.2064,122.531,-0.000476063,-26.1963,3.72773e-10,-0.807838,3.40135,-2.83967,0.828883,-1.7318,-48.8226,329.909,24.1133,14714.1,10925.7,-0.500415,3.70877,-2.22483,1.13631,-1.42437,4.19907,382.632,26.2652,14766.8,0.0265512,0.892757,0.00326579,14411.1 
4,47.0859,4,15842.6,-0.0106726,28.3436,12.0616,122.747,0.00820092,-5.72653,0.33675,0.129595,-0.746144,1.09868,-0.622235,2.71955,-59.263,211.776,18.1387,15057.1,11130.5,0.502758,-0.372981,1.84501,-0.249072,3.09271,0.617093,275.773,20.7509,15121.1,0.018836,0.883641,0.00252158,14640.8 
5,47.0659,5,15781.1,-0.00740335,27.8792,-12.3256,122.325,0.0106837,-25.6055,90.4069,-3.95982,-2.39958,-6.67446,5.02317,2.05957,-62.7608,106.116,14.988,15282,11195.2,-3.56463,-2.00439,-5.88409,5.41836,2.45476,-0.643603,173.891,17.7543,15349.8,0.0117842,0.84841,0.00212614,14756.2 
6,47.2359,6,16107.6,-0.144361,29.157,-11.9621,123.237,0.0523561,29.0513,5.80484e-12,2.20389,6.17765,2.47207,-1.95165,-0.481159,-80.5859,4386.77,44.4281,11091.5,11403.4,2.71132,6.68507,3.48692,-1.44422,0.0262692,0.695873,4473.8,47.9801,11178.6,0.296407,0.981578,0.00784456,15093.4 
7,47.2159,7,13807.9,0.0188292,25.6228,11.6222,123.176,-0.0140578,-12.1122,0.714425,-1.02971,0.609125,-5.84845,4.25904,3.23378,-60.7136,3967.29,31.0105,9390.29,9699.67,-0.647409,0.991422,-5.08386,4.64134,3.61608,2.44527,4032.86,33.6865,9455.85,0.30984,0.985593,0.00651973,13015.9 
8,47.2009,8,15809.2,0.00652247,28.8513,11.6353,123.172,0.0247651,-11.6825,10.7133,-1.10265,-2.12306,0.0797439,-0.0606802,6.59295,-83.037,4083.7,31.3392,11100.9,10937.4,-0.579793,-1.60019,1.12547,0.462181,7.11581,0.827474,4173.37,34.9992,11190.6,0.281901,0.985536,0.00572831,14804.4 
9,47.2909,9,15840.3,0.0100134,28.2975,12.1026,122.82,-0.00483669,-6.49434,4.41064e-10,-0.779176,-0.291095,4.58218,5.38349,4.52548,-90.4221,1897.22,24.7179,13452.4,11149.7,-0.209813,0.278269,5.72091,5.95286,5.09484,0.660219,1994.86,28.7034,13550.1,0.134176,0.975438,0.003887,14867.4 
10,47.2259,10,15378.4,0.0131581,27.9514,11.7916,123.094,-0.00305538,-20.1765,500,0.521329,3.59413,2.92885,1.81961,2.76749,-75.8869,4414.73,33.2838,10393,10731.3,0.999169,4.07197,3.88453,2.29745,3.24533,0.732073,4496.68,36.6287,10474.9,0.311235,0.985945,0.00640023,14447.9 
11,47.2659,11,14934.6,0.0435932,26.7448,11.9447,122.87,-0.0312147,17.3733,385.097,-2.18979,2.20172,1.49207,1.7477,-0.899702,-22.712,2959.26,21.0245,11330,10417.1,-2.04678,2.34473,1.77809,1.89071,-0.756691,0.446088,2983.78,22.0255,11354.5,0.216678,0.987247,0.0035606,13770.6 
12,47.2809,12,14594.9,0.00869152,25.9518,12.0231,122.752,-0.0252651,-9.7197,8.57332e-08,-4.22755,1.13536,4.97622,0.393822,0.884004,-93.95,2180.17,18.7942,11803.6,10165.3,-3.63597,1.72694,6.15937,0.9854,1.47558,0.0822415,2281.63,22.9352,11905.1,0.167872,0.982713,0.00353627,13591.5 
13,47.2859,13,15598.4,0.0887468,27.5394,11.9377,122.836,-0.0384255,-27.4412,156.386,-0.330085,-1.621,-2.27633,-1.65208,0.272828,-41.6952,2171.09,30.3776,12673.2,10736.4,-0.0675408,-1.35846,-1.75124,-1.38954,0.535372,0.5656,2216.11,32.2154,12718.2,0.15499,0.975192,0.00464442,14298.4 
14,47.1959,14,15547.9,0.00299016,28.438,11.8392,123.02,-0.0123815,-12.4726,500,-2.55258,0.118744,-2.46669,-3.8279,0.585321,13.4916,3826.67,32.7541,11183.4,10965.2,-2.63753,0.0337915,-2.6366,-3.91285,0.500368,0.695291,3812.1,32.1594,11168.9,0.264316,0.985452,0.00527614,14422.5 
15,47.1609,15,15057,0.170076,26.8466,11.9027,122.755,-0.109684,59.9882,0.298088,1.81544,-2.50678,0.0703121,1.257,-2.12,-39.4133,2240.03,34.9583,12367.1,10616.5,2.06361,-2.2586,0.566662,1.50518,-1.87182,-111.806,2282.59,36.6955,12409.7,0.16221,0.972636,0.00541761,14071.8 
16,47.2109,16,14619.3,0.0565096,26.4929,-11.7445,123.152,-0.0817551,-38.9578,470.897,-0.39808,-5.09438,-0.813713,0.248576,0.232975,-50.6319,4141.57,32.7457,9799.19,10232.5,-0.0792643,-4.77556,-0.176082,0.567392,0.551791,0.954986,4196.25,34.9774,9853.87,0.309517,0.985623,0.00649628,13557.4 
17,47.1909,17,16354.2,0.0443107,29.7902,-11.8776,122.966,-0.0273638,-22.067,6.00158e-12,-0.559182,0.0386721,1.05843,2.74433,0.581558,19.3981,4074.83,31.6317,11780.2,11538.2,-0.681327,-0.0834728,0.814145,2.62219,0.459413,0.739968,4053.88,30.7767,11759.3,0.266261,0.986888,0.00479808,15225.2 
18,47.2959,18,16244.8,0.0591856,28.5029,12.1443,122.577,-0.0505691,-5.36532,1.97325,-2.70012,-0.983991,3.95261,4.85888,-0.782096,-44.9317,1831.14,18.6578,13732.9,11277.1,-2.4172,-0.701068,4.51846,5.1418,-0.499173,0.25226,1879.66,20.6383,13781.4,0.125545,0.981148,0.00275104,14972 
19,47.2209,19,16286.7,0.0509955,29.5859,11.762,123.37,-0.0367843,-29.5642,70.8579,-0.61433,-4.38822,2.27876,2.21759,-0.662752,-49.0535,4641.14,49.8971,11043.4,11363.6,-0.305453,-4.07935,2.89652,2.52647,-0.353875,-3.23276,4694.11,52.0592,11096.4,0.3081,0.980961,0.00856826,15235.7 
20,47.2059,20,14194.3,-0.00162984,26.0185,11.7906,122.799,-0.000317068,7.32402,500,-4.55647,-3.13295,-6.2621,-1.377,-2.66919,1.70783,4131.78,19.3182,9770.18,9986.61,-4.56722,-3.14371,-6.28361,-1.38776,-2.67995,0.652114,4129.93,19.2429,9768.33,0.307978,0.991912,0.00361569,13409.9 
21,47.1259,21,16935,-0.0156319,29.9141,12.3563,122.39,0.0359866,-34.6197,127.907,-0.933188,3.31059,2.77703,1.48914,-1.83348,-58.424,986.495,29.0467,15588.3,12073.1,-0.565308,3.67847,3.51279,1.85702,-1.4656,0.499414,1049.59,31.6219,15651.4,0.0659355,0.949917,0.00370797,15918.4 
22,47.3559,22,17531.2,-0.0261324,31.1588,-12.2994,122.624,-0.00731209,18.6363,3.56484e-10,5.08109,-0.697864,-0.193233,1.63905,0.396831,-19.2348,378.745,14.4592,16850.1,12480,5.2022,-0.576748,0.0489998,1.76016,0.517948,0.992952,399.516,15.307,16870.8,0.024321,0.937164,0.00166857,16426.8 
23,47.2459,23,14405.7,-0.010939,26.8461,11.702,122.661,-0.0144587,9.43429,496.481,0.807009,-1.36464,-1.10382,-0.0708004,-0.779804,-42.4129,3666.86,17.4015,10519.8,10231.2,1.07407,-1.09758,-0.569694,0.196262,-0.512742,0.373743,3712.66,19.2709,10565.6,0.270011,0.990998,0.00334861,13750 
24,47.3259,24,16410.9,-0.012218,29.7856,12.0527,122.336,-0.0109701,2.18472,5.25969e-10,4.0544,-0.138483,0.747448,3.2577,-0.354807,-98.0329,833.77,11.8764,15287.2,11687.3,4.67168,0.478804,1.98202,3.87499,0.26248,0.824133,939.635,16.1974,15393.1,0.0603759,0.970717,0.00193461,15563.1 
25,47.3459,25,15918.5,-0.0388522,28.6899,12.2057,122.147,0.199472,-50.6971,34.3139,5.03083,1.47385,-3.8191,2.50104,1.85748,-32.9399,443.537,14.5117,15242.5,11728.7,5.23824,1.68126,-3.40428,2.70846,2.0649,1.41072,479.109,15.9635,15278.1,0.0319549,0.944904,0.00192106,14993.3 
26,47.1759,26,15601.4,0.00459762,28.5571,-11.8487,123.053,-0.0505862,42.1896,360.181,5.71328,2.56678,-0.538195,0.712133,-0.579482,-48.0249,3005.53,32.543,12109.2,11084.4,6.01568,2.86918,0.0666053,1.01453,-0.277082,0.993126,3057.39,34.6598,12161.1,0.209261,0.980547,0.00522269,14610.4 
27,47.1809,27,13798.7,-0.00740921,25.5753,11.8261,122.318,-0.0164939,-5.95695,500,1.00237,-0.303667,-1.34571,-1.79235,-1.94569,-35.1689,2992.21,25.2706,10518.6,9849.12,1.22382,-0.0822176,-0.90281,-1.5709,-1.72424,0.704612,3030.19,26.8207,10556.6,0.23204,0.984747,0.00465838,13058.9 
28,47.1359,28,16245.4,-0.0163284,29.3897,12.0697,122.359,-0.014897,-7.48535,477.958,0.822015,-2.02307,-0.518009,-2.71423,1.29268,-45.3919,1175.82,28.7596,14788.6,11551.1,1.10784,-1.73725,0.0536316,-2.42841,1.5785,1.03762,1224.84,30.7604,14837.6,0.0799471,0.957901,0.0038044,15320.6 
29,47.1709,29,15021,0.0114115,27.6656,11.7222,122.664,-0.000830619,-22.5026,4.83788e-11,-0.668222,-2.23633,-1.84646,0.067466,1.22511,-60.6249,2563.83,27.4663,12044.9,10557.7,-0.286484,-1.85459,-1.08298,0.449205,1.60685,0.0727934,2629.3,30.1385,12110.3,0.186025,0.980335,0.00456344,14134.1 
30,47.1159,30,14674.1,0.0123106,26.4051,12.02,122.279,-0.137165,-125.76,91.5157,4.71538,2.84855,-1.62699,-1.62029,-0.843089,-52.7038,636.742,26.4584,13617.4,10893.7,5.04724,3.18041,-0.963269,-1.28843,-0.511227,1.17627,693.657,28.7814,13674.3,0.0506902,0.932304,0.00386226,13684.2 
31,47.2759,31,15748,0.0229921,28.046,11.9862,122.666,-0.0410116,1.28627,2.37454e-11,0.949308,-0.0877173,2.32966,-2.55214,-1.15644,-22.3794,2476.98,34.8178,12636.9,10945,1.09023,0.0532001,2.6115,-2.41123,-1.01552,-6.95753,2501.15,35.8043,12661.1,0.172147,0.975561,0.00518229,14529.2 
32,47.3059,32,15710.8,0.103982,27.7895,-11.8559,122.172,-0.0411461,122.73,428.926,3.20293,1.40171,1.40782,1.18547,-3.48661,-65.7143,1452.72,17.1364,13497.1,10889.7,3.61672,1.81549,2.23539,1.59926,-3.07283,0.639106,1523.68,20.0329,13568.1,0.105713,0.977509,0.00271244,14413.3 
33,47.1559,33,17213.7,0.0644279,30.5309,12.0075,122.524,-0.0230321,-30.1969,403.279,-2.72269,-1.12427,-6.68691,-1.76798,-1.81354,-74.903,2255.92,18.7747,14304.2,11956.7,-2.25104,-0.65263,-5.74363,-1.29633,-1.3419,0.491063,2336.81,22.0762,14385.1,0.146026,0.983736,0.00281903,16002.7 
34,47.3659,34,15864.5,0.0305401,27.791,12.2511,122.348,0.00381479,-16.9485,5.80103e-10,0.0399265,1.28675,2.12397,2.05851,3.6554,-48.5464,323.281,17.9064,15048.3,11085.5,0.34561,1.59243,2.73534,2.36419,3.96109,0.751303,375.705,20.0462,15100.7,0.0255211,0.914601,0.00243943,14721.4 
35,47.2309,35,13592.7,0.00435511,24.9696,11.5824,122.665,-0.000348466,-0.010275,3.63042e-11,-0.299337,-3.40619,0.112587,-2.21305,-2.30247,-43.2045,4062.16,5.99359,8932.95,9414.66,-0.0272897,-3.13414,0.656682,-1.94101,-2.03043,1.1014,4108.81,7.89792,8979.6,0.325079,0.996647,0.00161758,12639.4 
36,47.0759,36,18149.9,0.0776215,31.393,12.2779,122.211,0.0533665,-60.3954,46.3799,1.96392,-2.40241,1.17722,0.707202,-3.15869,-59.6192,136.503,12.0068,17237.6,12652.3,2.33933,-2.027,1.92804,1.08261,-2.78328,-2.57248,200.885,14.6346,17302,0.012074,0.886927,0.00155569,16637.8 
37,47.2509,37,16249.3,0.00193976,29.1303,11.99,122.738,-0.0308154,7.93994,8.77202e-11,0.694487,-2.78246,1.00456,4.11087,0.621187,-77.6354,3710.56,36.7787,11901.5,11377.9,1.18334,-2.29361,1.98226,4.59972,1.11004,0.698825,3794.4,40.2006,11985.3,0.249953,0.981797,0.00614077,15180.4 
38,47.2709,38,17543.8,-0.0346453,31.322,12.2919,122.74,-0.00303993,8.88546,2.56638,-2.92686,-5.78076,1.23095,0.607814,1.89942,-31.2549,3120.26,34.1799,13978.2,12534.1,-2.73006,-5.58396,1.62456,0.804618,2.09622,1.4288,3154.01,35.5576,14011.9,0.191554,0.980653,0.00465289,16465.3 
39,47.1459,39,15872.3,0.0778105,27.7397,12.1107,122.61,-0.0301477,-26.2778,52.1897,1.1673,2.76127,5.46515,4.98891,1.86812,-99.1899,1659.54,21.1439,13526.2,10962,1.79187,3.38584,6.7143,5.61348,2.49269,0.664255,1766.66,25.5159,13633.3,0.120032,0.975348,0.00343582,14718.3 
40,47.2559,40,18028.5,0.0888188,31.7756,12.0071,122.816,0.00226433,-91.8362,326.442,-0.0883311,2.67696,-4.18503,0.209434,1.3827,-141.554,3929.41,45.406,13268.2,12427,0.802994,3.56829,-2.40238,1.10076,2.27402,1.44957,4082.28,51.6453,13421.1,0.242526,0.97834,0.00703866,16832.3 
41,47.1059,41,18815.5,-0.0111542,32.8735,12.3662,122.408,-0.00193734,-25.0914,5.68632e-11,0.899768,-2.1311,-3.03102,-1.69105,-2.06649,-95.0063,562.646,11.366,17707.7,13235.1,1.498,-1.53287,-1.83456,-1.09282,-1.46827,0.585926,665.242,15.5536,17810.3,0.0378301,0.960693,0.00160611,17585 
