cyc,vva,frequency,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,5,47.2759,0,14157.2,-0.0176772,26.1536,11.8347,122.203,-0.0392983,-6.46731,472.694,-0.747388,4.7141,5.13796,0.446943,2.9284,4.25709,944.066,23.2068,12988.3,10084.2,-0.774194,4.68729,5.08435,0.420137,2.9016,0.587282,939.469,23.0192,12983.7,0.0707753,0.958884,0.0032553,13274,-0.000328587,0.0685456,12.0054,15.942,125.096,87.1997,1.13503,12.3264,11.7892,121.682,131.904,3.41364,-44.7045 
1,5,47.2659,1,13149.4,-0.00392157,24.3371,11.9737,122.106,-0.00735253,1.38609,500,2.94165,0.678132,2.03072,0.0835767,1.37428,-28.5395,988.774,22.1442,12001.3,9486.54,3.12136,0.857837,2.39013,0.263282,1.55398,0.708043,1019.59,23.4021,12032.1,0.0818944,0.961384,0.00357005,12450.1,-0.000298797,0.0882055,12.2256,12.2064,123.42,83.871,1.01615,12.4615,12.0141,121.627,131.125,1.79329,-47.254 
2,2.5,47.1959,2,14306.8,-0.0266909,26.7053,11.97,121.953,-0.0253352,27.6406,5.29852e-11,1.20336,5.11439,2.94875,-2.25788,2.26927,36.9802,60.2442,11.3391,14180.8,10428.9,0.970503,4.88154,2.48304,-2.49074,2.03642,0.684924,20.3097,9.7091,14140.9,0.00150954,0.544486,0.00126319,13454.2,-0.000230482,-0.00768701,8.01332,11.036,120.361,71.5951,1.24655,12.3423,11.6481,121.718,132.313,-1.35735,-60.7184 
3,10,47.3559,3,14057.2,-0.033307,24.7754,12.478,122.244,-0.0583227,34.7169,500,-0.398577,-1.87219,5.6905,-0.159548,0.171356,8.41385,625.541,34.5119,13054.1,10129.7,-0.451557,-1.92517,5.58454,-0.212527,0.118376,-0.793561,616.455,34.141,13045.1,0.0473858,0.911644,0.00479795,13009.3,-6.57888e-05,0.0372844,12.3557,17.9517,125.293,87.3062,1.0573,12.7771,12.2075,121.728,131.195,3.56498,-43.8889 
4,10,47.3159,4,13428,-0.0319195,23.262,12.6943,122.264,-0.016773,37.3995,198.015,3.58092,0.23263,-2.43484,3.72232,-1.43162,19.0787,1113.95,12.1838,11978.3,9633.27,3.46078,0.112496,-2.67511,3.60219,-1.55175,1.90724,1093.34,11.3428,11957.7,0.0877963,0.982168,0.00174433,12453.2,-4.73544e-05,0.0794643,12.2779,13.9871,124.398,84.2183,0.942484,13.0536,12.3201,121.7,131.208,2.69798,-46.9895 
5,10,47.3359,5,12997.4,-0.0772372,23.1306,12.5843,122.039,0.00547126,76.8471,53.8424,5.10683,-2.02992,-4.14756,1.64236,3.64338,20.163,798.551,17.4541,12076.4,9489.35,4.97987,-2.15688,-4.40148,1.5154,3.51642,2.27456,776.778,16.5654,12054.7,0.0635208,0.964022,0.00252501,12228.7,-0.000259157,0.0515837,14.1597,13.7706,124.713,84.4418,0.968611,12.7655,12.3596,121.592,131.839,3.12064,-47.3969 
6,10,47.4059,6,13433.1,-0.0512891,24.4961,12.1478,121.929,-0.0342623,46.1864,3.36422,2.55151,1.30282,5.06914,2.50014,-2.48749,5.92027,197.64,7.85828,13037.7,9738.57,2.51423,1.26554,4.99459,2.46286,-2.52477,0.42673,191.247,7.59733,13031.3,0.0152133,0.935,0.0010728,12571,-0.000266032,0.0200241,10.7387,15.1112,128.604,96.2714,1.08935,12.5733,12.0517,121.567,131.777,7.03673,-35.5054 
7,10,47.3059,7,12972.2,-0.0202957,23.1138,12.2904,122.284,-0.00345878,-4.15506,58.6898,5.06463,-1.59715,1.76551,3.36035,4.26912,44.7766,1378.03,25.7022,11287.5,9248.09,4.78268,-1.8791,1.20161,3.0784,3.98717,0.892432,1329.67,23.7286,11239.1,0.110743,0.969716,0.00387409,12006.8,-1.50117e-05,0.113204,12.4941,12.0969,123.396,83.2602,0.914579,12.7009,12.2308,121.725,130.98,1.67057,-47.7199 
8,10,47.3959,8,13334.2,-0.0263803,24.2466,-12.0689,122.077,0.0132849,-1.41453,182.58,4.88943,0.295229,4.71956,3.66522,0.691523,2.04016,253.187,18.2384,12813,9526.71,4.87659,0.282382,4.69387,3.65238,0.678676,0.66907,250.984,18.1485,12810.8,0.020206,0.887673,0.00260283,12421.3,-0.000207671,0.0227667,10.2732,16.7744,127.085,97.5762,1.08733,12.5901,11.8607,121.694,132.598,5.39151,-35.0222 
9,10,47.3459,9,13479.8,-0.0191112,24.2167,12.1804,122.104,-0.00364627,17.5528,493.484,3.14884,-0.851118,2.22845,-0.382649,2.04333,22.3737,699.146,20.9458,12519.7,9604.3,3.00796,-0.991999,1.94669,-0.52353,1.90245,0.635559,674.985,19.9596,12495.6,0.0538017,0.950798,0.00293383,12545.8,-7.72322e-05,0.0471961,12.3771,15.3844,124.977,85.82,1.03214,12.4957,12.1948,121.52,131.29,3.45707,-45.4696 
