cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,46.3233,0,17085.5,0.00290874,31.3488,11.7982,122.229,0.0158448,5.01314,500,3.14403,0.546413,9.21136,1.9881,-0.212716,-38.5385,95.6581,45.37,16327.8,12042.7,3.3867,0.78908,9.69669,2.23076,0.0299505,0.39896,137.275,47.0687,16369.4,0.00875022,0.624986,0.00526888,15688.2 
1,46.3243,1,18077.3,0.0140362,32.6457,11.9208,122.112,-0.0203767,-32.4687,500,4.54776,1.99336,5.55186,2.47354,1.97002,-63.8457,46.7467,37.0762,17300.3,12690.1,4.94978,2.39538,6.3559,2.87556,2.37204,0.664573,115.693,39.8903,17369.2,0.00696255,0.623678,0.00421277,16616.5 
2,46.3253,2,17414.8,0.0490179,32.337,11.526,121.989,-0.172645,-2.37266,158.187,-0.192696,-0.930411,5.14362,-2.21181,0.419527,-48.4191,167.754,54.702,16543.9,12146.5,0.112186,-0.625528,5.75339,-1.90692,0.724409,-0.417953,220.042,56.8362,16596.2,0.0137643,0.688696,0.00626902,15986.4 
3,46.3263,3,17704.8,-0.0105422,32.047,-11.9504,122.068,0.0129309,-7.51031,2.88111e-11,1.30162,3.03366,1.68807,-2.27436,0.943608,-21.3498,142.577,66.4725,16963.5,12470.2,1.43605,3.1681,1.95694,-2.13992,1.07804,0.644142,165.632,67.4135,16986.6,0.0101597,0.584022,0.00725759,16302.9 
4,46.3273,4,16358.8,-0.00858738,30.5089,11.6789,122.076,-0.00592486,6.58931,457.207,0.928541,0.745267,3.62283,-2.54936,1.13612,-22.8481,147.576,41.7278,15770.1,11600.4,1.07241,0.889135,3.91056,-2.4055,1.27999,0.176133,172.25,42.7349,15794.8,0.0113492,0.697266,0.00495935,15177.3 
5,46.3283,5,17201,0.0073759,31.6872,11.7158,122.044,0.00569437,-32.2547,18.2811,2.28249,0.104688,1.50005,-1.16015,-2.47138,-3.36841,168.775,57.7702,16524.5,12091.1,2.3037,0.125898,1.54247,-1.13894,-2.45017,-3.02779,172.413,57.9187,16528.1,0.0108612,0.629771,0.0064138,15874.1 
6,46.3293,6,16809.1,-0.00843095,30.863,11.7535,122.258,-0.00172131,2.18804,500,1.8162,-0.860835,6.02155,0.583371,-1.16965,-107.509,216.36,52.0919,16084.2,11808.8,2.49316,-0.183881,7.37545,1.26032,-0.492694,0.294374,332.458,56.8306,16200.2,0.0211451,0.769736,0.00642063,15722.7 
7,46.3303,7,17287.2,0.0373519,31.9013,-11.6198,122.224,-0.0298872,-8.96074,500,3.68327,2.89942,3.10643,-4.75643,2.62968,-80.3587,172.187,61.446,16447.5,12075.8,4.18927,3.40542,4.11842,-4.25043,3.13567,0.611409,258.966,64.988,16534.3,0.0162192,0.694847,0.00718833,15966.6 
8,46.3313,8,17321.6,0.083527,31.8365,11.522,122.138,-0.0248521,-14.1504,116.076,-1.77211,2.13433,4.08964,0.890669,-2.83112,-20.8577,239.508,48.1486,16319.2,11952.6,-1.64077,2.26567,4.35231,1.022,-2.69979,-0.319111,262.032,49.0679,16341.7,0.0165984,0.75318,0.00550072,15786.6 
9,46.3323,9,17389.5,0.0697665,31.8364,11.6148,122.213,-0.0238723,-58.7008,500,-1.18694,3.36945,3.63711,2.06423,0.242426,-97.9048,233.739,62.8193,16441.7,12083,-0.570462,3.98593,4.87007,2.68071,0.858907,0.58816,339.465,67.1346,16547.5,0.0211379,0.742892,0.00741815,16059.6 
10,46.3333,10,17080,0.021359,31.6067,11.6615,122.58,0.0116542,0.00760004,278.616,3.23362,-0.972416,3.40329,1.6345,-3.91594,-29.3316,668.005,50.1463,15815.7,11998.5,3.41832,-0.787723,3.77268,1.81919,-3.73125,0.159987,699.68,51.4391,15847.3,0.044411,0.886009,0.00594378,15754.7 
11,46.3343,11,17175.7,0.0507223,31.0457,11.8319,122.293,-0.0259806,-67.7711,232.443,0.731453,2.68976,-0.403368,1.54385,-0.170816,-64.4974,421.451,53.8173,16027,12015.1,1.13758,3.09589,0.408878,1.94997,0.235307,0.940114,491.101,56.6601,16096.7,0.0311159,0.832013,0.00644242,15782.9 
12,46.3353,12,15686,0.050447,29.7888,11.2459,122.234,0.00191198,-40.0529,396.224,-0.375326,3.00827,3.30826,-5.08783,-2.14974,-5.46136,2196.47,53.0227,12968.5,10907.9,-0.340937,3.04266,3.37703,-5.05344,-2.11535,4.09808,2202.37,53.2634,12974.4,0.151595,0.959396,0.00750559,14528 
13,46.3363,13,16447.3,0.0284906,31.0866,11.3885,122.38,0.00489099,-12.9354,1.31147,1.9385,-0.501683,0.623964,-0.282991,-3.18155,-53.7917,2827.57,56.4253,13051.8,11526.9,2.27721,-0.162971,1.30139,0.0557207,-2.84284,-1.0706,2885.66,58.7963,13109.9,0.188113,0.965571,0.00819396,15340 
14,46.3373,14,15381.7,0.00325401,28.9818,11.4977,122.521,-0.0132017,-13.8724,1.20165e-10,1.25828,0.018531,1.58783,-2.26046,1.78437,-1.44319,2726.75,54.5399,12227.8,10853.5,1.26737,0.0276183,1.60601,-2.25138,1.79346,0.342629,2728.31,54.6035,12229.4,0.190176,0.966161,0.00815778,14346.2 
15,46.3383,15,15299.4,0.024809,28.9633,11.3197,122.623,-0.0981228,72.9263,500,-0.996148,-2.44005,8.51744,1.62601,-0.180578,-48.7074,2474.28,60.9167,12225.6,10905.8,-0.68945,-2.13335,9.13084,1.93271,0.126119,-0.0913095,2526.88,63.0635,12278.2,0.178059,0.958153,0.00937275,14191.2 
