cyc,time,chargetime,decoherencetime,VVA,PhaseOGain,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.1,0.8,0.9,4.2,-9,0,11785.1,-0.0752731,23.5079,11.3026,120.796,0.0192858,86.5376,500,0.471396,1.22594,-1.56132,0.761702,-0.199907,57.26,752.092,8.7137,11146.3,8703.75,0.110845,0.865387,-2.28242,0.401152,-0.560458,-0.55744,690.258,6.18985,11084.5,0.0591789,0.984549,0.00102762,11663.9 
1,0.11,0.79,0.91,4,-9,1,13501.8,0.0185602,26.6007,11.1314,121.011,-0.0115701,-16.927,500,1.35806,0.525646,-4.90076,-3.66897,3.38514,62.9329,1258.32,11.5214,12311.6,9645.52,0.961786,0.129374,-5.6933,-4.06524,2.98887,-0.0026045,1190.36,8.74752,12243.6,0.0894232,0.987303,0.00131437,13311.5 
2,0.25,0.65,1.05,3.25,-9,2,12374.7,-0.0679986,24.1409,11.454,120.892,-0.0972028,-94.6282,15.7586,-3.13195,0.396224,-1.85723,-1.70075,-4.85725,104.597,956.339,14.9486,11482.8,9300.72,-3.79056,-0.262393,-3.17447,-2.35936,-5.51586,0.789807,843.386,10.3383,11369.8,0.0697041,0.978999,0.00167218,12099.5 
3,0.17,0.73,0.97,3.5,-9,3,11504.2,-0.0166635,23.1118,10.9715,120.583,-0.00157455,0.790603,500,-0.936024,-1.3779,4.11751,2.13265,0.784327,96.3802,1009.47,12.0775,10565.6,8254.64,-1.5429,-1.98478,2.90375,1.52577,0.177447,-1.69046,905.395,7.82933,10461.5,0.0803915,0.985093,0.00137672,11262.3 
4,0.3,0.6,1.1,3.2,-9,4,12607.9,-0.0877977,24.7904,11.4488,120.728,0.0709284,-59.1689,436.087,0.751694,0.0434453,0.346362,2.06859,3.7212,65.0171,270.123,14.0977,12388.8,9375.89,0.342299,-0.36595,-0.472429,1.65919,3.3118,1.10557,199.912,11.232,12318.6,0.016128,0.910479,0.00167679,12395.4 
5,0.14,0.76,0.94,3.7,-9,5,13083.2,0.0206754,25.5978,11.0104,120.725,0.00741737,-31.744,499.088,3.67914,-2.07401,3.10096,1.44721,2.59285,51.4704,1543.28,25.7633,11341.1,9182.59,3.35505,-2.3981,2.45277,1.12312,2.26875,0.639383,1487.7,23.4947,11285.5,0.117508,0.973106,0.00382031,12660.4 
6,0.2,0.7,1,3.3,-9,6,12859.8,-0.0439197,25.2101,11.2779,120.689,0.0254246,-21.4458,450.579,-1.55786,-2.19444,1.77549,1.57005,3.50408,42.4048,1199.89,8.27563,11621,9273.15,-1.82488,-2.46146,1.24147,1.30304,3.23707,0.169721,1154.1,6.40655,11575.2,0.0914963,0.990379,0.00101851,12613.6 
7,0.1,0.8,0.9,4.2,-9,7,13106.1,-0.0552897,25.3913,11.4588,120.688,0.0132206,20.5729,466.19,-4.26983,-0.104194,0.0782526,-0.273561,2.58164,46.2006,1126.58,19.5848,11893.3,9480.35,-4.56074,-0.395108,-0.503574,-0.564474,2.29073,0.865108,1076.69,17.5484,11843.4,0.0841054,0.972269,0.00272202,12801.7 
8,0.11,0.79,0.91,4,-9,8,13763.5,-0.0265833,26.8867,11.2338,120.742,0.00633147,3.30998,6.07116e-10,-1.82587,-0.450698,1.95243,3.08328,-1.5292,-2.44028,1097.88,22.6041,12514.3,9833.08,-1.8105,-0.435332,1.98317,3.09865,-1.51383,-0.499952,1100.51,22.7117,12516.9,0.0815661,0.965143,0.00333132,13492.3 
9,0.25,0.65,1.05,3.25,-9,9,14086.7,-0.0326749,26.973,11.4815,120.885,0.00642921,4.61716,301.138,-0.446163,-5.4598,0.413998,-0.835385,1.83407,68.0237,1504.46,25.8378,12437.4,10082.4,-0.874491,-5.88813,-0.442656,-1.26371,1.40574,0.93733,1431.01,22.8395,12363.9,0.104672,0.972828,0.00339133,13671.3 
10,0.17,0.73,0.97,3.5,-9,10,12991.7,-0.0127238,25.2396,-11.238,121.031,0.00228828,8.76085,455.555,1.21838,1.55055,0.0465612,0.809315,0.506831,26.4166,1763.21,22.5172,11064.4,9234.15,1.05204,1.38422,-0.286115,0.642977,0.340493,1.09131,1734.68,21.3528,11035.8,0.137019,0.978913,0.00355156,12660.2 
11,0.3,0.6,1.1,3.2,-9,11,12383.7,0.0336456,24.0993,11.3013,120.791,-0.0096397,-7.58955,1.77638e-12,0.752631,-3.40764,3.60374,-1.35236,-0.685658,26.0197,793.174,12.7893,11583,8868.35,0.588791,-3.57148,3.27606,-1.5162,-0.849497,2.58086,765.076,11.6424,11554.9,0.0626883,0.97406,0.00185262,12204.4 
12,0.14,0.76,0.94,3.7,-9,12,12829.2,-0.0217402,24.4247,11.4871,120.749,0.014467,29.888,1.14246e-09,-0.537563,-0.479244,1.88236,5.38194,0.11879,26.4031,1389.57,16.4218,11307.2,9147.5,-0.703816,-0.645497,1.54985,5.21569,-0.0474632,0.71132,1361.06,15.258,11278.7,0.108651,0.980759,0.00248584,12526.9 
13,0.2,0.7,1,3.3,-9,13,12675.9,0.00339094,24.8505,11.2005,120.593,-0.0103054,7.33403,8.45776e-13,0.156183,-4.56697,0.641528,3.62389,-0.216215,39.0469,1046.45,24.7326,11686.9,9063.3,-0.0896855,-4.81284,0.149792,3.37803,-0.462083,1.08155,1004.29,23.0115,11644.8,0.0801339,0.961448,0.00362703,12532.6 
14,0.1,0.8,0.9,4.2,-9,14,12615.6,-0.00853005,24.3367,11.2996,120.768,-0.0113972,19.3802,157.738,3.99239,-6.77064,4.49106,1.16455,-1.01117,-25.8136,1062.31,14.1791,11397.8,8959.23,4.15493,-6.60809,4.81615,1.32709,-0.848632,-0.694967,1090.19,15.3169,11425.7,0.0879069,0.976003,0.00246338,12401.6 
