cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.1409,1.33,0,15884.3,0.00140873,31.5188,10.9417,121.587,0.00430038,-10.3383,93.7403,2.05018,-0.828486,-4.95919,-0.454615,-3.83665,-13.258,277.85,26.4752,15267.4,11228.1,2.13366,-0.745004,-4.79223,-0.371133,-3.75316,0.363401,292.167,27.0596,15281.8,0.0277437,0.860526,0.00325123,10530.9,0.00034675,-0.00732213,-7.52737,17.7884,120.93,63.7521,1.56727,11.1847,10.8861,121.279,136.171,-0.349253,-72.4192 
1,47.1709,1.33,1,15194.1,0.034796,30.3176,10.7559,121.583,-0.0486676,20.0183,462.289,-2.79829,2.29511,1.22665,4.78552,2.87721,49.2407,212.275,23.6706,14544.2,10647.1,-3.10834,1.98505,0.606538,4.47546,2.56715,0.907056,159.1,21.5002,14491,0.0161227,0.808742,0.00272567,9868.06,0.000306666,-0.0330392,11.4793,1.28425,124.379,81.9736,1.48382,11.095,11.0815,121.246,135.831,3.1333,-53.8571 
2,47.1959,1.33,2,15885.6,-0.000793299,31.6539,-10.8731,121.766,0.0185686,-22.1939,500,5.56157,1.96489,9.50545,4.22636,-5.78417,20.9573,308.394,31.231,15170.2,11217.5,5.42961,1.83292,9.24153,4.09439,-5.91613,0.370568,285.762,30.3073,15147.6,0.0273859,0.843454,0.00367215,10434.6,0.00026763,0.0140065,4.6672,-14.2691,96.0985,76.9391,1.58089,11.0244,10.9035,121.421,136.293,-25.3228,-59.3537 
3,47.4609,3,3,15508.6,0.0187208,28.7843,11.6295,121.88,-0.0200424,-28.6658,457.336,0.387363,5.93556,-4.837,8.4243,-1.88063,61.0267,572.035,11.4767,14433.9,10915.8,0.00309416,5.55129,-5.60554,8.04003,-2.2649,1.97931,506.133,8.78678,14368,0.0499505,0.970515,0.00112528,10132.7,0.000180101,0.0446826,10.349,-18.5726,126.622,108,1.37516,11.8326,10.9989,121.414,136.262,5.2079,-28.262 
4,47.3709,3,4,13323.7,-0.0100942,23.4551,12.3421,121.812,-0.00123369,7.36771,3.755e-11,-1.46728,1.18767,-0.00421657,-1.57996,-2.37775,98.0831,1230.92,33.4172,11641.5,9424,-2.08489,0.570069,-1.23942,-2.19757,-2.99536,0.844042,1125,29.094,11535.5,0.127064,0.956702,0.00462452,8853.81,5.96033e-05,0.0461059,18.2052,20.9357,125.469,91.1237,1.01718,12.3008,11.5793,121.35,136.373,4.11901,-45.2497 
5,47.1459,1.33,5,14000.1,0.00276512,27.9879,10.8543,121.651,-0.00628267,1.73365,372.035,-2.44143,1.07251,3.96845,3.07291,-1.3398,19.6042,321.378,42.9379,13321.7,9889.69,-2.56487,0.949073,3.72157,2.94946,-1.46324,-0.0360744,300.207,42.0738,13300.5,0.0325903,0.803044,0.00579341,9211.57,0.000384106,-0.0169564,-4.16263,-9.67582,120.245,73.4806,1.38251,11.0341,10.9423,121.26,135.917,-1.01425,-62.4365 
6,47.4059,3,6,15162.4,0.0183555,26.9611,12.1385,121.81,0.124675,-152.867,31.539,-2.5332,-0.317698,1.36021,4.44717,3.03949,90.0372,962.898,24.9096,13681.3,11274.1,-3.10014,-0.884638,0.226329,3.88023,2.47255,0.91276,865.668,20.941,13584,0.0868537,0.959386,0.00283173,9966.96,0.000213794,0.037414,11.4009,40.4483,126.697,106.422,1.22224,12.119,11.1797,121.275,135.906,5.42207,-29.484 
7,47.2559,1.5,7,15219.6,-0.00974247,30.1917,10.9983,121.51,-0.00784623,-9.99069,500,3.10747,4.13709,-2.01612,-1.28291,3.54548,24.6738,489.163,24.8998,14434,10812.1,2.95211,3.98173,-2.32685,-1.43828,3.39012,1.35477,462.518,23.8123,14407.4,0.0457238,0.917349,0.00303536,10115.5,-0.000122055,0.0486993,10.7634,20.3747,126.139,108,1.45146,11.2158,10.9054,121.14,136.121,4.99875,-28.1208 
8,47.4159,3,8,14768.3,0.0283093,26.384,12.0368,121.901,-0.0014126,9.59137,18.1855,1.79517,-1.73185,0.799026,-1.39996,-1.64576,86.1306,945.245,46.9895,13228,10338.7,1.25283,-2.27419,-0.285657,-1.9423,-2.1881,0.947464,852.234,43.1931,13135,0.0882901,0.918532,0.00602112,9652.65,0.000304848,0.0436578,12.0189,35.0977,125.953,108,1.19304,11.9938,11.0655,121.345,136.22,4.60815,-28.22 
9,47.1659,1.33,9,15601.8,0.0493865,31.1289,-10.7781,121.647,-0.0151324,4.18751,1.24816e-11,2.53225,-2.27758,-1.55981,-0.159581,0.411791,-87.7943,340.429,33.9686,14831.3,10924.1,3.08506,-1.72476,-0.454175,0.393236,0.964608,1.20061,435.237,37.8383,14926.1,0.0417065,0.86795,0.00464813,10435.7,0.00044271,-0.0182104,2.94992,-9.21566,120.78,81.6173,1.5398,11.005,10.9497,121.335,136.304,-0.555336,-54.6865 
