cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.01,3.99,0,13383.6,0.0424985,22.4249,12.7106,122.035,-0.00749657,-22.6928,7.03279e-07,0.424255,-0.181605,3.7118,-2.41173,2.22028,-28.3108,1669.33,116.466,11027.8,9284.36,0.602521,-0.00333881,4.06833,-2.23346,2.39854,0.158147,1699.9,117.714,11058.4,0.228167,0.891915,0.0192316,7450.27,0.000376063,0.0846657,13.0329,32.1827,124.786,108,0.859574,12.5588,11.399,121.122,134.289,3.66404,-26.2894 
1,0.53,3.47,1,17053.7,0.00047469,28.726,12.8935,122.01,0.0136258,-107.423,251.131,-2.80954,-3.02432,9.0473,-0.131237,1.44579,3.73682,1927.35,133.043,14328.1,12104.7,-2.83307,-3.04785,9.00024,-0.154767,1.42226,-1.05166,1923.32,132.878,14324.1,0.205222,0.892137,0.0168013,9371.85,0.000287225,0.100202,13.1329,34.3239,124.778,108,1.06558,12.824,11.6969,120.968,134.927,3.80947,-26.9268 
2,0.51,3.49,2,13889.3,-0.0015353,23.765,12.7699,122.177,-0.00385326,5.92182,4.55569e-11,0.751487,1.02463,2.26843,0.384896,-0.664482,37.4841,1754.64,126.758,11613.8,9879.88,0.515459,0.788601,1.79638,0.148868,-0.90051,0.235192,1714.16,125.105,11573.3,0.221689,0.886744,0.0195241,7732.27,0.000228245,0.0994594,12.8794,29.2714,124.723,108,0.912064,12.6096,11.2645,121.232,134.747,3.49161,-26.747 
3,0.39,3.61,3,14292.1,-0.0654113,24.1974,13.1362,122.024,0.0405141,11.9265,417.692,-3.22953,5.26159,-2.33101,1.29196,-0.46454,-7.71942,1579.22,88.6357,12266.8,10363.2,-3.18092,5.3102,-2.23379,1.34056,-0.415933,3.72375,1587.56,88.9759,12275.1,0.199176,0.91068,0.0131765,7970.63,0.000100037,0.0626828,14.9965,27.9016,126.169,96.8257,0.960316,12.7872,12.0143,121.243,133.912,4.92659,-37.0865 
4,0.25,3.75,4,15332,0.0277182,25.5268,-12.9233,122.288,-0.211783,119.163,197.479,2.9684,0.441847,-1.3896,0.439268,-3.10608,18.1487,1753,83.6139,12905.4,11560.6,2.85412,0.327569,-1.61815,0.32499,-3.22035,-0.214988,1733.4,82.8139,12885.8,0.205525,0.922844,0.0117002,8434.03,0.000328966,0.0751453,14.3413,25.694,125.574,98.0692,1.03391,12.8368,11.7267,121.553,134.704,4.02067,-36.635 
5,0.71,3.29,5,15073.8,-0.0178296,25.7213,12.8083,122.452,0.0479822,-18.9324,184.702,-2.78647,1.82799,-3.11998,-0.258111,1.79109,31.3586,1789.28,129.352,12591,10754.2,-2.98393,1.63053,-3.5149,-0.455568,1.59363,0.0577258,1755.41,127.97,12557.2,0.211875,0.886859,0.0184269,8285.15,0.00035545,0.105499,12.8613,29.5197,125.285,108,0.95305,12.5988,11.6381,121.46,135.08,3.82569,-27.0797 
6,0.45,3.55,6,13836.3,-0.0154685,23.6832,12.7643,122.409,0.0134389,15.453,40.8225,-3.97162,1.7499,6.44136,-0.331035,-1.61232,2.34451,1515,89.771,11828.1,9847.59,-3.98638,1.73513,6.41183,-0.345798,-1.62708,-1.93084,1512.47,89.6677,11825.5,0.197405,0.906002,0.0137754,7661.75,7.15337e-05,0.0695571,12.8463,38.0256,125.389,108,0.926351,12.7416,11.4033,121.533,135.32,3.85602,-27.32 
7,0.77,3.23,7,14955.9,-0.0495438,25.7883,-12.8153,121.933,-0.0519843,59.8776,498.769,2.15863,-0.227294,5.54003,0.563102,0.704584,-8.17221,2002.79,160.724,12477.3,10859.7,2.21009,-0.175836,5.64295,0.61456,0.756042,0.376318,2011.61,161.084,12486.1,0.236539,0.877089,0.0232135,8504.37,0.000150001,0.11276,12.8894,30.0043,124.116,108,0.93391,12.704,11.5972,121.074,135.198,3.0421,-27.198 
8,0.57,3.43,8,13335.2,-0.00326416,22.6396,12.6859,122.348,-0.00888816,18.3949,500,0.675371,2.3553,1.11157,0.486971,2.69652,20.5753,1629.79,124.609,11004.9,9354.75,0.545814,2.22575,0.852451,0.357414,2.56696,0.869823,1607.57,123.702,10982.7,0.219656,0.88132,0.0203265,7318.58,0.000423083,0.09263,12.93,28.7178,124.603,108,0.857,12.5957,11.409,121.494,135.179,3.10837,-27.1786 
9,0.37,3.63,9,14321.1,-0.0617625,24.6609,12.8964,122.02,0.00106809,32.5017,147.608,1.81413,-1.42827,3.21445,-0.826696,0.308229,-7.88485,1765.57,119.079,12101.6,10354.3,1.86378,-1.37862,3.31375,-0.777047,0.357878,0.0195259,1774.08,119.426,12110.1,0.219801,0.89461,0.0178422,8071.32,6.63397e-05,0.0871063,13.3601,34.4524,124.951,108,0.918394,12.5683,11.6517,121.014,134.579,3.93695,-26.5788 
