cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.01,3.99,0,14464.8,-0.0481934,24.7852,12.8973,122.036,0.0249659,18.5244,28.3063,-2.09699,2.60456,-2.12734,1.16862,0.0472865,68.2273,1504.61,747.651,11639,10421.1,-2.5266,2.17495,-2.98655,0.739014,-0.382322,-0.00169145,1427.92,729.608,11562.3,0.191917,0.527934,0.104136,7440.3 
1,0.53,3.47,1,13975.6,0.00440077,23.5749,-12.7955,121.883,-0.00647953,3.23644,3.29031e-11,-4.80205,-2.57282,-1.6174,-0.721029,-1.09455,49.8057,1639.38,845.79,10737.6,9820.46,-5.11566,-2.88643,-2.24463,-1.03464,-1.40816,0.823112,1583.4,832.619,10681.7,0.221831,0.520773,0.12556,7137.87 
2,0.51,3.49,2,15729.2,-0.0428135,26.878,-12.8922,121.976,0.00790147,21.1684,187.395,-1.26455,-3.36767,0.621619,4.00654,0.483491,57.6352,1569.92,797.261,12705.1,11285.7,-1.62747,-3.73058,-0.104208,3.64363,0.120577,0.938631,1505.14,782.018,12640.3,0.186324,0.523769,0.102306,8078.12 
3,0.39,3.61,3,13882.3,-0.0177859,24.5645,12.5578,121.964,0.0405234,4.32411,499.995,-1.16325,-5.08721,-5.62059,1.37261,5.32446,50.4555,1181.64,552.953,11650.1,10047.7,-1.48096,-5.40492,-6.256,1.05491,5.00675,0.116411,1124.93,539.609,11593.4,0.157257,0.543643,0.0789694,7153.48 
4,0.25,3.75,4,14515.9,-0.00336778,25.0781,12.8415,121.92,0.000493166,-11.6713,500,4.20995,-1.42439,-0.737145,0.208607,-1.77608,33.5328,1367.51,672.381,12047.6,10483.6,3.9988,-1.63554,-1.15944,-0.0025406,-1.98722,-0.475222,1329.82,663.513,12009.9,0.175555,0.533858,0.0923704,7574.98 
5,0.71,3.29,5,16061.3,0.015095,27.7421,12.7777,121.976,-0.0199266,-8.77462,5.11988e-11,1.60078,-1.47051,-3.94675,-3.64247,-0.392839,58.4208,1787.25,1061.12,12685.5,11545.2,1.23292,-1.83837,-4.68247,-4.01033,-0.760699,0.534497,1721.58,1045.67,12619.8,0.207823,0.484748,0.132423,8283.9 
6,0.45,3.55,6,14740.1,0.00611896,24.4711,13.0556,122.042,-0.0051295,-11.8234,346.806,0.881968,-4.35128,-9.49155,1.78738,-1.13177,40.9136,1686.78,769.011,11567.7,10402.2,0.624347,-4.6089,-10.0068,1.52975,-1.38939,0.277539,1640.79,758.191,11521.7,0.214986,0.552897,0.108115,7632.09 
7,0.77,3.23,7,14767.2,-0.0197892,24.9087,12.9982,121.732,0.00690079,-25.6593,500,1.4863,0.988924,-4.47425,2.07425,1.13697,58.2925,1470.2,747.577,11940.6,10545.5,1.11925,0.621872,-5.20836,1.7072,0.769917,-4.26036,1404.68,732.161,11875,0.185322,0.522972,0.101992,7579.71 
8,0.57,3.43,8,15193.1,-0.0478117,25.8899,12.9564,121.91,0.0626864,-50.7874,409.78,-4.43396,2.06073,-7.28803,-3.1732,1.94516,6.81881,1699.05,878.045,12103.6,11023.3,-4.4769,2.01779,-7.3739,-3.21613,1.90222,0.338481,1691.39,876.241,12096,0.211919,0.524492,0.117733,7981.28 
9,0.37,3.63,9,15545.2,-0.0444738,26.444,12.9598,121.965,-0.0384783,97.3255,48.6256,-5.42633,1.75463,-3.17954,0.480559,-2.11197,56.8571,1548.8,744.204,12785.5,11278.2,-5.78434,1.39662,-3.89557,0.122546,-2.46998,0.633556,1484.89,729.167,12721.6,0.183317,0.537822,0.0955011,8100.11 
10,0.81,3.19,10,14052.1,-0.00981054,23.5049,13.0333,121.579,0.00603943,-13.435,181.906,3.98179,-3.77669,-3.35861,-2.08131,-0.969011,52.246,1587.46,835.723,10991.2,9975.22,3.65281,-4.10566,-4.01656,-2.41029,-1.29799,0.508839,1528.74,821.905,10932.5,0.211924,0.515235,0.121644,7213.62 
11,0.29,3.71,11,14840.2,-0.0069256,24.8998,-12.8418,121.738,-0.00505992,-18.2967,492.221,-4.68001,0.381127,-4.11311,1.32417,2.25749,24.6612,1454.66,737.236,11897.6,10412.2,-4.8353,0.225842,-4.42368,1.16888,2.10221,0.232272,1426.94,730.714,11869.9,0.187773,0.527386,0.101851,7599.29 
