cyc,time,#2,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.01,3.99,0,7422.6,-0.0270223,13.9325,11.899,120.818,0.0189018,78.8108,500,-0.212081,0.0374861,-3.56052,3.36924,1.49108,4.08775,627.812,60.7794,6630.85,5445.25,-0.23782,0.0117466,-3.612,3.3435,1.46534,4.72081,623.398,60.5992,6626.44,0.153201,0.854618,0.0165671,4069.14,0.000168488,0.0491404,-11.5026,16.1782,124.155,106.314,0.576731,11.8899,11.5907,120.058,134.091,4.09713,-27.7774 
1,0.53,3.47,1,7170.73,-0.0177914,13.5063,11.6801,120.865,0.0126239,15.6538,8.69709e-09,0.376428,0.963672,0.327513,0.439039,1.01814,-21.9201,572.677,55.1047,6335.19,5141.89,0.514453,1.1017,0.603563,0.577064,1.15617,0.847313,596.348,56.0709,6358.86,0.152794,0.858707,0.0159836,3902.96,0.000198096,0.0518871,-11.271,14.9668,124.268,106.461,0.579146,11.6499,11.3198,120.232,133.61,4.03611,-27.1496 
2,0.51,3.49,2,6654.02,-0.016956,12.6033,-11.7261,120.832,0.00484188,1.3762,1.91724e-11,-1.31277,-1.17182,-0.106455,4.36134,-2.02756,2.26285,505.504,37.5824,5936.34,4811.19,-1.32702,-1.18607,-0.134952,4.34709,-2.04181,0.606276,503.061,37.4826,5933.89,0.14018,0.88465,0.0115022,3588.68,0.000145494,0.0280346,11.6281,22.4606,125.73,103.371,0.536298,11.6752,11.5315,120.256,133.123,5.47404,-29.7523 
3,0.39,3.61,3,6328.94,-0.00417171,12.2584,11.3393,121.213,0.00460239,-2.95266,4.72867e-10,-0.838732,-2.01438,0.150644,-1.00429,-0.290778,-12.7314,510.038,36.5127,5600.06,4525.41,-0.758566,-1.93422,0.310976,-0.92412,-0.210612,1.08843,523.786,37.0739,5613.81,0.152132,0.889786,0.0120191,3442.97,0.000136955,0.0408815,-10.9154,16.8825,124.551,104.768,0.522437,11.5001,11.3391,120.365,133.616,4.18538,-28.8485 
4,0.25,3.75,4,6761.33,-0.0482479,13.0655,11.6595,121.049,-0.0603915,4.37034,0.72423,-2.1888,-1.62739,3.82173,2.35559,1.97934,42.3,588.634,39.3913,6076.02,4967.69,-2.45515,-1.89374,3.28903,2.08924,1.71299,-0.199338,542.954,37.5268,6030.34,0.147593,0.892098,0.0113335,3678.73,8.32974e-06,0.0385266,11.5554,28.681,125.587,108,0.518903,11.6379,11.5875,120.117,134.175,5.47048,-26.1748 
5,0.71,3.29,5,6251.76,0.0097426,11.6944,11.4549,120.699,0.0251552,-8.26233,500,1.48545,-1.65826,2.16491,-2.33697,-1.41505,-45.6702,474.704,29.8756,5472.17,4367.52,1.77303,-1.37069,2.74006,-2.04939,-1.12747,80.4924,524.023,31.8886,5521.49,0.154342,0.903756,0.0105268,3395.2,0.000286086,0.0420873,-10.7007,14.926,124.621,105.194,0.493012,11.6199,11.5071,120.138,133.253,4.48278,-28.0593 
6,0.45,3.55,6,6943.95,-0.00329358,12.5407,11.9648,120.89,0.0100313,9.22576,8.41579e-11,-0.50509,-0.966318,-2.96776,3.05692,0.431976,42.0166,563.549,44.6999,6067.87,4887.54,-0.769657,-1.23088,-3.4969,2.79235,0.167409,-0.37799,518.175,42.8479,6022.5,0.141971,0.873586,0.0129364,3649.87,0.000266392,0.0415757,12.4696,20.2102,125.153,106.313,0.544443,11.7495,11.0869,120.116,133.067,5.03753,-26.7541 
7,0.77,3.23,7,6590.45,-0.0250311,12.7822,11.4216,120.943,0.00727754,-4.87953,21.2849,0.454743,-0.102353,-3.70104,0.656679,1.58153,35.5604,503.647,34.4812,5895.33,4753.72,0.230828,-0.326268,-4.14887,0.432765,1.35761,-0.690703,465.246,32.9138,5856.93,0.132517,0.889835,0.0102459,3510.85,9.2224e-05,0.0382925,10.8288,19.3397,124.789,104.676,0.529003,11.7327,11.5145,120.166,133.527,4.62378,-28.8514 
8,0.57,3.43,8,7377.13,-0.0163619,13.7397,11.7491,120.77,0.0179702,9.3075,500,1.26036,-2.03889,-1.48386,-2.7263,2.77179,6.0435,690.55,50.1299,6464.22,5260.52,1.22231,-2.07695,-1.55997,-2.76435,2.73374,0.362034,684.024,49.8635,6457.69,0.169228,0.886863,0.0140245,4042.02,0.000166649,0.0413719,11.8051,29.0053,124.567,108,0.551611,11.6886,11.4659,120.016,133.926,4.55136,-25.9257 
9,0.37,3.63,9,6623.5,-0.0129293,12.5046,11.6228,120.82,0.00352918,4.37752,102.841,-0.0344777,-0.80768,-0.711179,2.90703,0.38161,35.8195,611.771,56.3892,5874.12,4731.76,-0.260024,-1.03323,-1.16227,2.68148,0.156064,4.04239,573.09,54.8104,5835.44,0.15886,0.856626,0.017008,3607.52,0.000116787,0.0490743,-12.1895,13.5878,124.449,105.649,0.528813,11.7629,11.4819,120.191,133.857,4.25817,-28.2086 
