cyc,detuning,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,1,47.1829,1.7,0,18813.5,-0.0262887,34.5498,12.5608,115.934,0.0730614,-101.336,500,1.41512,-0.898181,-3.08013,0.267662,1.46003,-76.5733,1772.62,117.158,17955.8,14368.3,1.89728,-0.41602,-2.11581,0.749823,1.94219,2.02835,1880.02,121.136,18063.2,0.0829931,0.898668,0.0122028,22652.7,-0.00138684,0.0911558,14.0534,26.1531,117.783,100.101,1.18224,12.871,14.2156,115.509,139.969,2.27345,-39.8685 
1,30,47.2119,4,1,18406.9,0.0601958,34.0069,12.4292,116.009,-0.048041,-47.5645,0.00987613,-1.64514,1.92136,0.95457,-0.677623,0.283493,-111.089,3574.12,106.632,15691.7,13834,-0.945643,2.62086,2.35357,0.0218751,0.982991,0.532433,3729.93,112.403,15847.5,0.169893,0.949905,0.0128971,21954.6,-0.00121482,0.235723,12.6284,15.5217,117.305,90.6546,1.04239,12.8258,14.6782,115.47,140.172,1.83479,-49.5178 
2,45,47.2269,5,2,16927.8,0.00130438,32.0684,12.3103,115.939,-0.0166867,-19.9896,499.914,-3.68778,0.323198,0.340973,1.16381,4.40075,-134.299,2905.1,85.8305,15196.2,12862,-2.84214,1.16884,2.03226,2.00945,5.2464,0.733118,3093.47,92.8071,15384.6,0.148826,0.950117,0.0109903,20785.8,-0.00148187,0.181791,12.8059,16.621,117.417,91.2293,1.02798,12.7741,14.4181,115.407,139.966,2.00978,-48.7365 
3,90,47.2719,10,3,17012,-0.00958699,31.2432,12.6865,116.047,0.00138969,-12.4472,14.1003,1.53449,0.446544,0.815855,1.57994,-4.06037,-95.3142,3281.72,87.4806,14712.4,12903.6,2.13466,1.04671,2.01619,2.1801,-3.4602,0.485333,3415.41,92.432,14846,0.1667,0.954781,0.011339,20488.4,-0.0013508,0.187029,13.749,17.0158,117.574,90.2073,0.951925,13.016,14.8085,115.39,139.739,2.18401,-49.532 
4,10,47.1919,2,4,17825.2,-0.30733,33.8845,12.4553,116.095,0.395222,-755.923,326.863,-2.42868,0.575714,1.07681,0.363007,-2.00432,-33.9093,1740.94,130.758,17134,23464.4,-2.21516,0.789232,1.50385,0.576525,-1.7908,2.3234,1788.5,132.52,17181.6,0.0830034,0.885216,0.014009,21547.3,-0.00155684,0.0982852,13.2804,28.0134,117.113,103.319,1.11092,12.7828,14.3301,115.604,139.572,1.50872,-36.2528 
5,-5,47.1769,2,5,15912.6,-0.0194529,30.761,12.0539,115.747,-0.00265661,4.41629,2.65461e-05,1.64984,-2.29373,-2.7289,-2.05611,-1.69307,-116.748,1096.2,80.2803,15914.6,12070.8,2.38497,-1.5586,-1.25863,-1.32097,-0.957938,0.53576,1259.95,86.3451,16078.3,0.063795,0.892914,0.00979573,19750,-0.00145713,0.0622606,14.1993,22.9556,118.337,99.9526,1.10339,12.4144,14.2317,115.356,139.725,2.98124,-39.7724 
6,50,47.2319,5,6,18341.4,-0.0480113,34.1018,12.3999,116.109,0.134909,-103.69,3.92016e-08,0.0712595,-0.272735,2.42016,-0.710808,-0.244973,-111.182,2748.01,103.312,16563,14220.8,0.771345,0.427351,3.82033,-0.0107227,0.455113,0.300743,2903.95,109.088,16718.9,0.131218,0.938316,0.0118766,22130.7,-0.00129339,0.158297,13.2492,18.2962,117.856,92.5545,1.10158,12.8025,14.4904,115.569,140.469,2.28758,-47.9148 
7,25,47.2069,3,7,18256.7,-0.021395,33.7066,12.5416,115.746,-0.0116549,105.404,500,-2.36597,-0.350945,0.164327,0.568032,1.4997,-200.49,2543.92,123.922,16756.1,13801.3,-1.10354,0.911484,2.68919,1.83046,2.76213,0.620692,2825.12,134.337,17037.3,0.12602,0.923179,0.0143168,22418.1,-0.00141411,0.139626,13.1659,21.2047,117.996,95.4931,1.09812,12.902,14.4261,115.232,140.194,2.7632,-44.7011 
8,50,47.2319,5,8,18017.5,-0.0096288,32.8017,12.6792,115.855,0.0153643,-25.3165,500,-3.17702,-0.654062,-2.10668,1.65188,-1.73386,-24.1743,2603.59,125.517,16267.2,13551.5,-3.0248,-0.501843,-1.80224,1.8041,-1.58164,0.647064,2637.5,126.773,16301.1,0.123341,0.922412,0.0141236,21383.7,-0.00138469,0.13661,13.3778,21.9578,117.528,93.8784,1.03573,13.0737,14.7629,115.332,139.296,2.19551,-45.4179 
9,-40,47.1419,5,9,16740.4,-0.147497,31.5239,12.4205,115.608,0.0266391,138.747,499.999,0.925461,0.692608,0.631273,-0.717268,-0.602329,-70.2815,714.462,97.8836,17077.9,12866.3,1.368,1.13515,1.51636,-0.274724,-0.159786,0.577027,813.038,101.535,17176.5,0.0395332,0.820651,0.0107719,20566,-0.000505929,0.00100359,118.073,0.0560746,106.9,80.4497,1.16612,12.6887,14.3399,115.285,140.036,-8.38569,-59.5868 
