cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2659,6,0,10951.2,-0.0426818,23.6943,11.6935,121.436,0.00782373,-22.7604,1.69945e-08,-5.48204,-2.51421,-7.53145,-0.014524,-1.8704,-346.162,1103.8,69.0333,11981.5,9025.32,-3.30235,-0.334522,-3.17207,2.16517,0.309293,0.268178,1379.53,94.0997,12257.3,0.098506,0.89336,0.0139447,14004.5,-0.00237845,0.0946535,12.777,13.5623,122.809,86.8092,1.08636,12.2761,11.3095,120.999,131.779,1.81006,-44.9695 
1,47.4259,10,1,10667.7,-0.368334,23.2197,11.7784,121.685,0.137454,71.3638,331.894,-1.0676,-3.55808,-0.0756267,-2.9941,-0.106061,-362.053,307.418,80.0451,12336.8,9222.31,1.21214,-1.27833,4.48387,-0.714353,2.17369,0.23705,595.806,106.262,12625.2,0.0438099,0.76213,0.0152676,13599.8,-0.0015985,-0.0125795,24.2175,6.77885,103.518,69.6753,1.12146,12.3806,11.163,121.513,131.564,-17.9949,-61.8886 
2,47,10,2,10404.4,-0.121391,23.3767,11.2854,121.899,0.0549659,-17.2002,0.000150567,-1.33824,-2.77617,-7.20355,-1.78537,-0.0503776,-465.988,87.5506,72.5766,12448.4,8618.87,1.59596,0.158031,-1.33515,1.14883,2.88382,1.29993,458.727,106.32,12819.5,0.0335747,0.71144,0.0150477,13662.9,-0.00189682,-0.0152,18.6803,7.24653,106.979,74.9121,1.15857,12.0615,11.1562,121.637,131.992,-14.6578,-57.0798 
3,47.2299,2.5,3,10680.6,-0.452427,24.8155,11.4164,121.76,0.034736,162.308,423.274,-1.8857,-2.2758,-5.3482,-1.94655,-0.0851016,-418.408,1143.95,61.1396,11849.3,9406.03,0.748898,0.358803,-0.0789966,0.688052,2.5495,1.01852,1477.22,91.4375,12182.6,0.105326,0.902265,0.0136375,14025.3,-0.00250637,0.117571,11.7315,11.4895,122.992,86.279,1.12411,11.9632,11.1423,121.344,132.123,1.64807,-45.844 
4,47.4459,10,4,9743.02,-0.423925,22.5983,11.6404,121.484,0.435655,-96.0858,6.76188,-1.57582,2.81959,-3.16173,-2.2051,1.53746,-323.637,230.977,70.3352,11818.1,9925.91,0.46204,4.85745,0.913979,-0.16725,3.57532,0.905204,488.766,93.7705,12075.9,0.0378099,0.748648,0.0141024,12926.9,-0.00203816,-0.0134758,-15.5733,6.20569,109.908,72.7052,1.1098,12.0568,11.1354,121.173,132.081,-11.2645,-59.376 
5,47.3459,10,5,10976.3,-0.368985,23.6919,11.8295,121.863,0.0369495,1.29048,228.427,0.00653817,-2.73373,-5.8776,-1.6424,-2.60984,-447.155,725.455,74.4995,12240.7,9125.09,2.82216,0.0818919,-0.246362,1.17322,0.205778,1.06103,1081.63,106.879,12596.9,0.0769493,0.852571,0.015389,14056.4,-0.00233151,0.050591,14.4191,18.5829,122.46,92.3304,1.09197,12.4063,11.318,121.611,132.672,0.849477,-40.3413 
6,47.2459,5,6,12427.6,-0.405067,26.723,11.8206,121.78,-0.0370122,914.683,268.525,0.591252,0.15781,-4.31438,-3.08308,-1.4937,-429.634,1730.69,59.6848,12740.9,11385,3.29654,2.8631,1.09619,-0.377794,1.21159,0.864494,2072.91,90.7956,13083.1,0.133319,0.928805,0.0126227,15548.5,-0.00228792,0.165639,12.01,11.8137,122.664,85.2543,1.13945,12.4266,11.3397,121.473,131.674,1.1903,-46.42 
7,47.1959,3,7,10388.6,-0.0802244,23.0477,11.5852,121.657,0.0616458,84.2346,500,-2.11406,-1.3748,-6.39007,1.01257,-1.29909,-438.846,91.8484,75.2682,12581.9,8861.21,0.649229,1.38849,-0.863485,3.77586,1.46421,1.13462,441.405,107.046,12931.4,0.0320771,0.702052,0.0150199,13760.8,-0.00205624,-0.0166226,17.9084,7.4901,108.603,73.7127,1.17788,12.3359,10.8802,121.391,131.693,-12.7881,-57.9807 
8,47.2239,2,8,11074.2,-0.019193,24.418,11.3773,121.48,0.00649911,3.9861,6.71365e-12,-3.63495,-1.12181,-6.36948,-3.81115,-1.90821,-371.192,1255.62,56.5928,11906.2,9044.52,-1.29766,1.21549,-1.69489,-1.47385,0.429088,0.399363,1551.29,83.4717,12201.9,0.109871,0.91394,0.0124448,14119.2,-0.00224944,0.123954,12.0659,11.4216,122.669,86.0137,1.12982,12.0402,11.0167,121.147,131.857,1.5225,-45.8432 
9,47.2339,3,9,11967.6,-0.108478,25.5282,11.6188,121.521,0.0157207,81.8665,499.654,-1.04015,-4.47652,-6.03967,-2.93606,-3.35556,-412.368,1706.08,79.0758,12233.2,9697.42,1.55642,-1.87995,-0.846537,-0.339496,-0.758991,0.626839,2034.54,108.936,12561.6,0.13588,0.914327,0.0157238,14973,-0.00214103,0.15653,12.3606,11.6133,122.114,85.5719,1.13749,12.2896,11.0106,121.238,131.458,0.875786,-45.8862 
10,47.2959,7,10,12303.8,-0.127243,25.6428,11.8793,121.425,0.141526,-75.0219,500,-5.33858,-5.31776,-9.95294,-4.01134,-0.414726,-403.898,946.255,102.768,13307,10262,-2.79534,-2.77452,-4.86646,-1.4681,2.12851,0.502198,1267.97,132.015,13628.7,0.0828441,0.845879,0.0175309,15305.5,-0.00238327,0.0637202,13.2442,20.6939,122.111,91.4229,1.18094,12.5009,11.2722,121.089,131.368,1.02159,-39.945 
11,47.2319,2.5,11,11375.8,-0.433112,25.6467,11.5498,121.774,0.0532306,35.0492,96.6637,-3.57725,-2.8375,-5.94686,-5.02484,-3.50395,-385.528,1081.35,79.8783,12477.7,9703.5,-1.14968,-0.409931,-1.09173,-2.59727,-1.07638,0.827394,1388.44,107.795,12784.8,0.095381,0.880385,0.0152943,14556.7,-0.00237721,0.102056,11.8424,12.7859,122.691,86.7227,1.16997,12.056,11.128,121.502,132.024,1.18899,-45.3017 
12,47.1999,2.5,12,10304.1,-0.0248049,22.5211,11.6417,121.671,0.000126001,8.2399,500,-1.91787,-3.55284,-2.05633,-3.58333,-3.26849,-366.454,135.892,87.0737,12330.8,8534.96,0.389595,-1.24538,2.5586,-1.27587,-0.96102,5.79081,427.786,113.61,12622.7,0.0318549,0.682707,0.0163093,13429.2,-0.00196933,-0.0160469,18.5143,7.43246,109.458,73.8086,1.10885,12.3418,11.3851,121.294,132.115,-11.8357,-58.306 
13,47.2399,3.5,13,12244.8,0.00892858,25.9405,11.6633,121.452,0.00213227,-20.2592,9.61014e-12,-5.75769,-4.28027,-4.31603,-4.66975,-5.15453,-402.514,1390.39,70.5899,12884,9850.5,-3.22316,-1.74575,0.753018,-2.13523,-2.62,1.08394,1711.01,99.7369,13204.6,0.111745,0.907433,0.0137228,15311.7,-0.00220275,0.13252,12.0235,11.7158,122.648,86.1035,1.15444,12.3608,11.3509,121.125,132.184,1.52283,-46.0808 
14,47.2439,4,14,11614.4,-0.105484,25.0025,11.6633,121.613,0.00201819,30.6203,500,-3.19331,-3.54704,-5.20138,0.305103,0.218636,-334.232,1395.23,82.3758,12305.7,9494.94,-1.08874,-1.44248,-0.992242,2.40967,2.32321,1.82043,1661.45,106.578,12571.9,0.113716,0.899072,0.0153763,14610.5,-0.00228232,0.131159,11.9515,12.1812,122.699,86.0465,1.14168,12.2689,11.0607,121.221,131.482,1.47839,-45.4351 
