cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2659,6,0,12293.7,-0.468638,26.6351,12.021,123.469,0.0804947,125.29,496.291,-0.102507,-3.6495,-5.4504,-4.38775,-1.0254,-407.986,243.363,115.454,14210.1,10751.2,2.46647,-1.08052,-0.312443,-1.81878,1.54358,1.39138,568.339,144.997,14535.1,0.0365738,0.69134,0.0180446,15539.5,-0.00173871,-0.00473912,2189.06,-6.4661,132.528,71.4979,1.27573,12.2721,11.3876,123.265,127.65,9.2628,-56.1518 
1,47.4259,10,1,12307.9,-0.500384,27.3158,11.8391,123.29,1.20038,-873.908,194.046,-6.48093,-4.63609,-10.7349,-7.02418,-0.21158,-704.372,233.8,146.157,14620.6,44676.6,-2.04569,-0.20085,-1.86442,-2.58893,4.22366,0.247074,794.858,197.162,15181.6,0.0483728,0.69731,0.0233643,16431.9,-0.00222545,-0.014294,18.0895,5.34461,108.581,75.5623,1.30455,12.2257,11.4811,123.145,127.826,-14.5635,-52.2633 
2,47,10,2,11243,-0.435672,24.7706,-11.8536,123.334,0.237489,-527.519,240.565,-1.74169,-2.90127,-12.3348,-6.10643,-0.971282,-614.605,106.342,109.859,13395.5,13636.6,2.12831,0.968738,-4.59477,-2.23642,2.89872,-4.5,595.898,154.364,13885.1,0.0399998,0.688076,0.0200683,14897.5,-0.00202527,-0.0186749,17.7967,6.61351,111.935,73.3158,1.1961,12.2526,11.4704,123.186,127.991,-11.2506,-54.6754 
3,47.2299,2.5,3,11484.9,-0.442841,25.6893,11.6659,123.489,0.482279,-1391.92,165.559,-1.78387,-4.94526,-7.47817,0.648095,0.399791,-589.639,300.282,94.5315,13556.5,31608.7,1.92894,-1.23246,-0.0525617,4.3609,4.11259,1.00576,769.951,137.229,14026.2,0.0505985,0.762251,0.0177037,15216.9,-0.00201352,-0.0162615,-14.649,5.9734,104.572,72.6161,1.24302,12.1309,11.2824,123.339,128.292,-18.7668,-55.6755 
4,47.4459,10,4,12905,-0.000676386,27.0619,-11.7507,123.199,-0.0403932,12.0127,467.157,-1.61713,-8.08824,-8.53887,-2.07689,-5.03673,-684.82,247.296,128.952,14849,10367.6,2.69501,-3.77611,0.0853892,2.23524,-0.724597,0.834173,792.781,178.542,15394.5,0.0476171,0.7173,0.0209175,16649.1,-0.00185626,-0.0132045,23.7023,5.95686,105.494,73.4604,1.31703,12.3227,11.4476,122.972,128.125,-17.4783,-54.6643 
5,47.3459,10,5,12345.8,-0.135805,26.5532,11.7579,123.353,0.00702418,-2.53084,500,-6.36135,-6.07994,-9.0173,-5.16556,-5.05463,-675.018,240.854,109.828,14490.7,10164,-2.11095,-1.82953,-0.516484,-0.915156,-0.804226,0.916377,778.531,158.708,15028.3,0.0478868,0.737057,0.0190825,16257.7,-0.00203935,-0.0187647,18.1061,5.85082,104.624,74.8336,1.3034,12.3033,11.3248,123.162,127.934,-18.5383,-53.1 
6,47.2459,5,6,12959.1,-0.297382,27.2874,11.9618,123.377,0.528358,322.03,499.052,-0.914231,-3.38986,-4.19125,-4.95218,0.982335,-554.658,425.37,130.654,14762.8,16164.5,2.5783,0.102675,2.79383,-1.45965,4.47487,0.670928,867.176,170.818,15204.6,0.0524672,0.74365,0.0202757,16528,-0.00258346,0.0454545,14.3119,-17.4061,123.745,98,1.28188,12.4436,11.4949,123.242,128.431,0.502398,-30.431 
7,47.1959,3,7,11532.6,-0.453519,25.6131,11.7874,123.49,0.522072,225.655,229.998,-4.50815,-3.82469,-4.70141,-4.78112,1.82743,-698.451,176,119.79,13739.7,13663.3,-0.110189,0.573275,4.09451,-0.383161,6.22539,0.60629,732.343,170.366,14296.1,0.0473784,0.710678,0.0214808,15457.3,-0.00209338,-0.0142985,19.7298,6.82778,106.75,73.436,1.23712,12.2193,11.3999,123.268,127.978,-16.518,-54.5425 
8,47.2239,2,8,12036.6,-0.135719,25.9008,11.7668,123.244,0.0303796,21.788,500,-3.17295,-6.71546,-9.80985,-1.76748,-1.9512,-691.175,328.168,120.85,13951.1,9942.83,1.1792,-2.36332,-1.10556,2.58467,2.40094,1.41008,878.714,170.9,14501.7,0.0555605,0.746071,0.0212476,15815.4,-0.0018903,-0.0176903,17.0938,3.87357,103,74.9859,1.25357,12.2046,11.4336,122.975,128.401,-19.9745,-53.415 
9,47.2339,3,9,11149.7,-0.0642055,25.6198,-11.1764,123.289,0.0674633,-62.9007,500,-5.86294,-6.03751,-9.8744,-5.33529,-3.53268,-607.769,329.937,92.7086,13286.9,9459.38,-2.03598,-2.21055,-2.22048,-1.50833,0.29428,0.710915,814.048,136.719,13771,0.0542765,0.772851,0.01796,14998.1,-0.00214653,-0.000153681,-0.533203,-0.170427,129.835,82.4181,1.27888,11.8229,11.0072,123.074,127.733,6.76196,-45.315 
