index,filename,Added,LAT,dimer_y,dimer_x,dimer_z,B,e_B,s,e_s,Eby,e_Eby,Ebx,e_Ebx,Ebz,e_Ebz,freq97,notes
2,dimers2d_2022-08-12_F_LAT2_40ER_198G_FM,y,2,py,,,198,0.01,40,2,-110,1,,,,,44.1723,
3,dimers2d_2022-08-12_G_LAT2_40ER_198p3G_FM,yz,2,py,,sz,198.3,0.01,40,2,-48.8,0.8,,,,,44.2197,
4,dimers2d_2022-08-16_E_LAT1_80ER_198p3G_FM,yxz,1,py,sx,pz,198.3,0.01,80,2,-67,1,,,-165,2,44.2197,
5,dimers2d_2022-08-16_H_LAT1_80ER_198p3G_bare,,1,,,,198.3,0.01,80,2,,,,,,,44.2197,
6,dimers2d_2022-08-16_H_LAT1_80ER_198p3G_FM,,1,,,,198.3,0.01,80,2,,,,,,,44.2197,
7,dimers2d_2022-08-17_M_LAT1_80ER_198p3G_FM_lowatoms,,1,,,,198.3,0.01,80,2,,,,,,,44.2197,
8,dimers2d_2022-08-17_N_LAT1_80ER_198p3G_FM,xz,1,,sx,pz,198.3,0.01,80,2,,,-212,1,-166,2,44.2197,
9,dimers2d_2022-08-18_E_LAT1_80ER_198p4G_FM,xz,1,,sx,pz,198.4,0.01,80,2,,,-191,0.8,-144,1,44.2356,
10,dimers2d_2022-08-18_F_LAT1_80ER_198p2G_FM,yxz,1,py,sx,pz,198.2,0.01,80,2,-84.8,1.3,,,-180,5,44.2039,
11,dimers2d_2022-08-18_G_LAT1_80ER_198p6G_FM,xz,1,,sx,,198.6,0.01,80,2,,,,,,,44.2671,poor data
12,dimers2d_2022-08-18_I_LAT1_80ER_199p1G_FM,xz,1,,sx,,199.1,0.01,80,2,,,,,,,44.346,poor data
13,dimers2d_2022-08-22_P_LAT2_40ER_198p4G_FM,z,2,,,sz,198.4,0.01,40,2,,,,,-228,2,44.2356,
14,dimers2d_2022-08-22_Q_LAT2_40ER_198p4G_FM_evenwaveonly,z,2,,,sz,198.4,0.01,40,2,,,,,-219.57,0.03,44.2356,weird fit precision
15,dimers2d_2022-08-23_F_LAT2_40ER_198p2G_FM,,2,,,,198.2,0.01,40,2,,,,,,,,poor data
16,dimers2d_2022-08-23_G_LAT2_40ER_199p4G_FM,z,2,,,sz,199.4,0.01,40,2,,,,,-33,4,44.3933,would like weighted fits for this one
17,dimers2d_2022-08-23_H_LAT2_40ER_199p2G_FM,,2,,,,199.2,0.01,40,2,,,,,,,,poor data
18,dimers2d_2022-08-23_I_LAT2_40ER_199p6G_FM,,2,,,,199.6,0.01,40,2,,,,,,,,poor data
19,dimers2d_2022-08-24_H_LAT2_40ER_199p6G_FM,,2,,,,199.6,0.01,40,2,,,,,,,,poor data
20,dimers2d_2022-08-24_I_LAT2_40ER_199p6G_FM_evenwaveonly,,2,,,,199.6,0.01,40,2,,,,,,,,poor data
21,dimers2d_2022-08-24_J_LAT2_40ER_198G_FM,z,2,,,sz,198,0.01,40,2,,,,,,,44.1723,poor fit
22,dimers2d_2022-08-24_K_LAT2_40ER_199p5G_FM,z,2,,,sz,199.5,0.01,40,2,,,,,,,44.409,poor data
23,dimers2d_2022-11-30_K_LAT1_80ER_198p5G_FM,yz,1,py,,pz,198.5,0.01,80,2,-32.4,0.8,,,-129.3,0.9,44.2513,
24,dimers2d_2023-03-08_C_LAT2_80ER_199p5G_FM_freetofreebg,,2,,,,199.5,0.01,80,4,,,,,,,,
25,dimers2d_2023-03-08_D_LAT2_80ER_199p5G_FM_dimer,,2,,,,199.5,0.01,80,4,,,,,,,,
26,dimers2d_2023-03-12_B_LAT2_120ER_199p5G_FM,,2,,,sz,199.5,0.01,120,4,,,,,,,44.409,
27,dimers2d_2023-03-12_C_LAT2_120ER_199p7G_FM,,2,,,sz,199.7,0.01,120,4,,,,,,,44.4405,
28,dimers2d_2023-03-13_G_LAT2_120ER_199p8G_FM,,2,,,sz,199.8,0.01,120,4,,,,,,,44.4562,
29,dimers2d_2023-03-13_I_LAT2_120ER_200p0G_FM,,2,,,,200,0.01,120,4,,,,,,,,
30,dimers2d_2023-03-14_H_LAT2_120ER_198p5G_FM97kHz,,2,,,sz,198.5,0.01,120,4,,,,,,,44.2513,
31,dimers2d_2023-03-14_H_LAT2_120ER_198p5G_FM92kHz,,2,,,sz,198.5,0.01,120,4,,,,,,,44.2513,
32,dimers2d_2023-03-15_G_LAT2_120ER_198p5G_FM90kHz,,2,,,,198.5,0.01,120,4,,,,,,,,
33,dimers2d_2023-05-01_H_LAT2_120ER_200G_FM_8msblackman,,2,,,sz,200,0.01,120,4,,,,,,,44.4877,
34,dimers2d_2023-05-01_O_LAT2_120ER_200p1G_FM_8msblackman,,2,,,sz,200.1,0.01,120,4,,,,,,,44.5034,
35,dimers2d_2023-05-03_B_LAT2_120ER_200G_FM_blackman_8ms5p5V,,2,,,sz,200,0.01,120,4,,,,,,,44.4877,
36,dimers2d_2023-05-03_C_LAT2_120ER_200G_FM_blackman_8ms5V,,2,,,,200,0.01,120,4,,,,,,,,
37,dimers2d_2023-05-03_E_LAT2_120ER_200p1G_FM_blackman_8ms5p5V,,2,,,,200.1,0.01,120,4,,,,,,,,
38,dimers2d_2023-05-03_K_LAT1_120ER_198p5G_FM_blackman_8ms5V,,1,,,,198.5,0.01,120,4,,,,,,,,
39,dimers2d_2023-05-16_L_LAT1_120ER_198p5G_FM_blackman_8ms10V,,1,,,,198.5,0.01,120,4,,,,,,,,
40,dimers2d_2023-05-16_L_LAT1_120ER_198p5G_FM_blackman_8ms10V_1,,1,,,,198.5,0.01,120,4,,,,,,,,
41,dimers2d_2023-05-16_L_LAT1_120ER_198p5G_FM_blackman_8ms10V_2,,1,,,,198.5,0.01,120,4,,,,,,,,
42,dimers2d_2023-05-19_G_LAT1_120ER_199p7G_FM_blackman_8ms10V,,1,,,,199.7,0.01,120,4,,,,,,,,
43,dimers2d_2023-05-23_D_LAT1_120ER_199p7G_FM_blackman_8ms10V,,1,,,,199.7,0.01,120,4,,,,,,,,
44,dimers2d_2023-05-23_E_LAT1_120ER_199p7G_AM_blackman_8ms10V,,1,,,,199.7,0.01,120,4,,,,,,,,
