cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.03,0,11609.8,0.655833,15.8474,11.2202,124.183,-0.666144,-25.2487,5.21427,0.515864,3.04098,2.87902,0.004832,2.50331,307.397,4237.67,57.2103,3828.93,6335.83,-1.41973,1.10539,-0.992169,-1.93076,0.567713,0.62834,3905.72,43.6611,3496.98,0.465973,0.980813,0.0224823,8381.85 
1,43.98,1,9548.9,-0.00632114,17.0704,11.1637,123.993,-0.0095526,-4.81486,7.01768e-12,-0.916509,1.76775,7.32539,0.208979,3.37881,138.885,4304.76,51.7147,3844.23,6205.15,-1.79103,0.893227,5.57634,-0.665545,2.50429,0.144376,4154.78,45.593,3694.25,0.4677,0.981158,0.0222292,8883.41 
2,44.065,2,10895.1,0.4443,17.0893,10.9,124.133,-0.046807,-77.6402,44.0438,3.09359,1.71038,2.50635,0.857112,1.64317,264.224,4347.56,58.7178,3944.93,6182.13,1.42985,0.0466285,-0.821139,-0.806635,-0.0205743,-3.77759,4062.23,47.0716,3659.59,0.46444,0.980125,0.0231457,8746.51 
3,43.96,3,7570.98,-0.0199869,17.1331,-10.7899,124.108,-0.00826336,6.36068,500,-2.29532,3.74056,-4.8521,2.50254,1.44565,-38.4234,4140.51,44.9537,3868.04,6019.62,-2.05338,3.9825,-4.36821,2.74449,1.68759,3.19179,4182.01,46.6473,3909.53,0.455249,0.980854,0.0215067,9186.2 
4,44.04,4,4922.15,-0.25268,12.3504,10.977,123.981,0.0553701,-38.741,497.604,0.0531456,0.197628,-1.16981,-2.79842,4.16077,-12.0359,2877.77,24.226,2711.16,4483.12,0.128932,0.273415,-1.01823,-2.72263,4.23656,2.13384,2890.77,24.7565,2724.16,0.453263,0.985234,0.016465,6377.69 
5,44.09,5,11473.8,0.24007,17.176,11.2292,124.135,-0.406383,-113.706,500,-1.0157,3.85938,4.35413,1.16801,1.73507,273.528,4368.53,45.1418,3940.51,7782.86,-2.73804,2.13705,0.90946,-0.554323,0.012733,4.90129,4073.15,33.0854,3645.13,0.466094,0.985984,0.0164451,8738.91 
6,43.955,6,10573.9,0.614688,14.5811,10.9714,123.96,-0.328764,-484.011,99.3514,1.4826,4.93687,1.44337,1.68356,1.88635,293.048,3897.08,46.697,3389.16,10387.8,-0.362646,3.09162,-2.24712,-0.161691,0.041102,7.22015,3580.62,33.7803,3072.7,0.476547,0.983758,0.0198495,7513.68 
7,44.1,7,13073.3,0.457151,16.3195,11.5931,124.117,-0.107976,-164.002,499.998,-1.70987,2.39984,2.66231,-1.05434,0.867722,424.464,4249,66.0791,3984.57,6735.35,-4.38261,-0.272894,-2.68316,-3.72708,-1.80501,0.79153,3790.62,47.37,3526.2,0.456473,0.978599,0.0241487,8304.16 
8,44.045,8,8300.81,0.136708,13.7395,10.9517,124.099,0.104842,-62.766,500,-0.10459,2.08603,-4.01434,-3.34807,3.60392,190.925,3519.34,39.8549,3020.34,5112.56,-1.30679,0.883827,-6.41874,-4.55028,2.40172,0.286034,3313.16,31.4395,2814.16,0.479107,0.983665,0.0201648,6915.29 
9,44.08,9,5737.04,-0.320472,16.3312,10.7255,124.044,0.198726,-866.985,0.0484578,-0.560298,-1.81458,-4.3787,-3.94395,-1.30053,-115.597,3980.07,44.1387,3447.29,11310.7,0.167585,-1.08669,-2.92294,-3.21607,-0.572651,0.616954,4104.9,49.2339,3572.12,0.473067,0.979442,0.0247608,8677.21 
10,44.005,10,10450.8,0.635527,14.2458,10.876,123.798,-0.742548,-145.304,436.987,1.94029,2.64134,4.41414,-0.194752,-0.31505,255.838,3778.26,47.2401,3337.01,8556.05,0.329352,1.03039,1.19226,-1.80569,-1.92599,2.01067,3501.98,35.9635,3060.73,0.471983,0.982346,0.0211861,7419.72 
11,44.075,11,8242.41,0.128587,15.3316,10.7266,123.912,0.0872964,-228.407,391.353,-0.928946,-1.01452,4.18247,0.411414,0.0925446,120.746,3970.28,47.2674,3202.37,6002.66,-1.68925,-1.77483,2.66186,-0.348891,-0.66776,2.46347,3839.89,41.9453,3071.98,0.494066,0.981242,0.0245353,7772.02 
12,43.985,12,10510.4,0.484511,16.0484,10.8021,124.079,-0.247171,-1754.52,15.6088,-0.921495,1.70296,5.54213,2.42119,3.55702,258.342,4181.38,47.3751,3596.41,19760.6,-2.5482,0.0762542,2.28871,0.79448,1.93032,0.0994847,3902.4,35.9881,3317.43,0.478898,0.984118,0.019592,8148.7 
13,44.02,13,4195.59,-0.24488,14.2929,10.8792,124.22,-0.105335,455.669,0.0073212,-0.68882,2.78179,-1.27279,-0.586876,-0.694424,-129.1,3503.26,29.6721,2962.68,6624.36,0.12409,3.5947,0.353029,0.226034,0.118486,0.920063,3642.67,35.3624,3102.09,0.478458,0.983295,0.0205673,7613.35 
14,44.095,14,8067.9,0.0719021,15.2884,10.9294,124.251,-0.0829411,-56.5292,23.1689,-0.251029,-0.148929,0.138093,-3.41194,-0.315183,45.9454,3792.64,44.2148,3434.82,5592.06,-0.540335,-0.438235,-0.440518,-3.70124,-0.604489,0.923051,3743.03,42.1897,3385.2,0.463471,0.980656,0.0224429,8076.09 
15,44,15,2490.4,-0.407101,-13.0741,-10.2911,124.248,-1.92337,2677.47,0.0592579,-0.277372,-1.60142,-5.21874,-2.90703,-2.72378,-199.727,3026.32,24.0358,2591.05,172021,0.980255,-0.343795,-2.70349,-1.6494,-1.46616,0.478352,3242.01,32.8392,2806.73,0.47435,0.982583,0.0210982,6834.63 
16,43.965,16,8280.02,-0.136886,17.7065,11.0343,124.045,0.118234,274.592,273.608,-1.08369,1.39665,3.69896,-0.252439,1.78043,-7.98872,4383.96,45.296,3951.28,7417.06,-1.03338,1.44695,3.79956,-0.202136,1.83074,0.349583,4392.59,45.6481,3959.91,0.46427,0.982139,0.0207935,9461.27 
17,44.05,17,4573.53,0.0096177,12.1672,10.4005,124.144,0.00478747,4.46498,2.16415,-0.60901,2.19313,-4.16607,-2.85398,-2.43859,-86.77,3036.79,24.2203,2470.67,4120.15,-0.0626419,2.7395,-3.07334,-2.30761,-1.89222,0.331347,3130.49,28.0448,2564.37,0.488157,0.984564,0.0197481,6412.89 
18,43.95,18,5572.21,-0.299835,16.6896,10.6082,123.91,4.43771,-5478.24,0.00596981,-4.27224,0.88758,-2.63366,-0.807198,-1.06754,-127.858,3991.25,35.1946,3497.2,797163,-3.46715,1.69267,-1.02348,-0.00210707,-0.262449,0.665803,4129.33,40.8302,3635.27,0.470178,0.982991,0.0202705,8782.48 
19,43.975,19,14739.2,1.30655,15.797,10.8876,124.262,0.173471,-570.239,55.2657,0.917235,8.05197,11.4936,5.22805,3.33468,547.441,4330.85,64.3415,3901.78,8819.05,-2.52985,4.60488,4.59944,1.78096,-0.112406,0.448708,3739.67,40.2119,3310.6,0.468793,0.98153,0.0218853,7977.25 
20,44.025,20,11856.3,0.673892,16.3032,11.1092,124.364,-0.500432,3413.47,103.849,2.3343,3.42494,3.81935,-0.836584,1.93226,291.451,4403.22,59.3125,3866.35,61503.7,0.499117,1.58975,0.148975,-2.67177,0.0970772,1.44226,4088.48,46.4662,3551.62,0.473502,0.980499,0.0235333,8634.55 
21,44.06,21,8598.9,-0.0126811,15.3071,11.1504,124.005,-0.0182189,-27.4787,2.18963,-1.19511,0.544299,0.623243,-2.93409,-1.54483,121.695,3900.72,54.9094,3348.45,5572.54,-1.96139,-0.221983,-0.90932,-3.70037,-2.31111,0.90012,3769.3,49.5454,3217.04,0.477907,0.977514,0.0275875,7887.1 
22,43.99,22,9211.57,0.282291,15.2566,11.0167,124.263,-0.148666,-208.372,354.653,-1.8789,1.84283,2.39654,3.22598,-0.670081,139.549,3953.59,49.8461,3462.3,6479.89,-2.7576,0.964125,0.639135,2.34727,-1.54879,2.79605,3802.89,43.6952,3311.6,0.472894,0.980289,0.023729,8041.74 
23,44.085,23,7158.98,-0.153523,15.6126,11.0737,124.146,0.387076,248.607,459.919,-4.34502,-1.13919,1.05596,-2.60405,-2.04599,13.4617,3847.65,44.4327,3426.17,8760.74,-4.42978,-1.22396,0.886434,-2.68882,-2.13076,1.09246,3833.12,43.8394,3411.64,0.467453,0.980378,0.0231236,8200.01 
24,44.01,24,10844,0.645503,15.1951,10.6841,124.101,0.347897,1210.58,146.636,0.0921957,2.16266,0.980013,-0.0384302,0.554528,306.347,3890.94,48.1954,3504.13,18994.9,-1.83679,0.233677,-2.87796,-1.96742,-1.37446,0.632113,3560.11,34.6925,3173.31,0.467087,0.983233,0.0197414,7621.95 
25,44.015,25,4972.88,-0.354152,15.4517,10.6876,123.814,0.205503,-93.6668,500,-0.643706,-1.18675,0.362769,-3.38199,-0.96675,-114.836,3588.88,30.9632,3293.83,6002.51,0.0793827,-0.463657,1.80895,-2.6589,-0.243662,2.22401,3712.89,36.0249,3417.84,0.459077,0.983304,0.0190464,8087.72 
26,44.07,26,12331.8,0.159644,17.0597,11.5691,123.88,-0.0939996,29.3781,0.0601838,3.31793,1.71722,5.62257,-0.529647,2.77992,319.824,4422.23,56.3529,3988.81,6514.79,1.30409,-0.296623,1.59487,-2.54349,0.766073,-0.933376,4076.86,42.256,3643.43,0.466436,0.982185,0.0209176,8740.45 
27,43.995,27,4711.3,-0.0404842,14.3099,10.3739,124.09,0.0117703,22.7407,1.7994e-12,-2.03104,-1.93789,-6.33943,-1.17455,-1.4466,-157.79,3459.06,32.8013,2980.46,4841.22,-1.03748,-0.944327,-4.35231,-0.180987,-0.453039,0.375399,3629.46,39.7562,3150.86,0.473662,0.981191,0.022715,7662.55 
28,44.055,28,8905,0.01057,15.3183,10.837,123.919,-0.0812434,138.131,247.13,-2.79131,3.62274,0.972592,-1.01215,-1.98301,166.831,3744.22,50.7665,3307.28,5769.33,-3.8418,2.57225,-1.12839,-2.06264,-3.0335,0.849429,3564.06,43.413,3127.12,0.471015,0.979129,0.0249358,7566.77 
29,43.97,29,4388.36,-0.0127869,14.8226,-10.4113,124.154,-0.0168648,-36.9661,499.973,-2.20427,-2.94457,-3.6055,-1.93553,-0.83992,-159.935,3527.64,36.0405,3183.43,5044.01,-1.1972,-1.93749,-1.59136,-0.928457,0.167151,0.709995,3700.36,43.09,3356.14,0.462763,0.980029,0.0231046,7996.22 
30,44.035,30,5865.24,-0.0958743,12.9039,10.9144,123.984,0.403463,-128.086,499.554,1.75854,3.22204,1.66178,-2.21469,2.15809,23.002,3235.41,37.3327,2722.4,6267.03,1.6137,3.07721,1.37211,-2.35953,2.01325,0.759985,3210.57,36.3188,2697.57,0.481818,0.980588,0.0242011,6663.46 
31,44.03,31,4288.48,-0.218051,13.6389,11.3519,124.112,0.14454,101.262,448.215,-5.92782,-3.61169,1.21269,-4.0616,-0.370254,-167.165,3444.19,32.2951,2975.88,5516.62,-4.87523,-2.55909,3.31788,-3.009,0.682341,1.51495,3624.71,39.6633,3156.4,0.472897,0.98121,0.0226242,7664.9 
32,43.98,32,14143.3,0.258002,15.2774,12.117,124.028,0.0203414,-199.257,3.8223e-07,3.69874,4.68108,5.97432,2.07009,3.77543,518.658,4121.38,60.6109,3576.99,6158.11,0.432886,1.41523,-0.557391,-1.19576,0.509577,1.92201,3561.29,37.7499,3016.89,0.47977,0.981788,0.0225307,7422.91 
