cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.08,0,13455.4,-0.0116243,23.3214,11.954,123.393,-0.000127874,10.5268,4.50276e-12,-1.87717,-0.572852,-0.875689,-5.88797,-0.380918,-19.8396,5663.96,47.6157,5811.27,9075.38,-1.75225,-0.447927,-0.62584,-5.76304,-0.255993,0.929244,5685.39,48.4902,5832.69,0.432308,0.985294,0.0150834,13151.2 
1,44.04,1,15205.4,0.0563739,27.8338,10.9834,123.316,-0.0239139,-17.602,500,-3.39834,-2.01756,4.30241,5.62483,-3.79075,-39.3252,6372.89,67.574,6409.66,9965.55,-3.15072,-1.76994,4.79765,5.87245,-3.54313,-1.17451,6415.36,69.3074,6452.13,0.43719,0.981445,0.0194036,14674.1 
2,43.96,2,19929.6,-0.0393372,37.8021,11.1328,123.572,-0.061288,121.6,0.000165118,5.6716,3.19209,9.34478,0.913754,-1.03935,-61.9964,8577.5,76.9356,9055.53,13942.5,6.06197,3.58247,10.1255,1.30413,-0.648979,0.504261,8644.45,79.6682,9122.48,0.42539,0.984128,0.0158327,20321.2 
3,43.99,3,18988,0.0513932,34.4928,11.4146,123.537,0.0167387,-166.261,500,-1.98724,-1.68704,7.29063,1.09116,-2.8202,-12.9486,8283.03,77.6814,8364.76,12907.5,-1.90571,-1.6055,7.4537,1.17269,-2.73867,-2.13641,8297.02,78.2521,8378.75,0.436184,0.983763,0.0169131,19021.8 
4,44.11,4,15982.2,0.207759,29.5368,-10.9557,123.388,-0.0672165,-59.6083,4.27955,1.76918,-4.83721,-2.27865,0.0891918,-1.31871,-43.8422,6980.41,57.9369,6721.21,10664.6,2.04524,-4.56115,-1.72652,0.365254,-1.04265,0.649069,7027.76,59.8693,6768.56,0.44787,0.985311,0.0160326,15691.5 
5,43.97,5,17264.4,0.213772,31.5908,11.1034,123.735,-0.185075,-42.8315,489.383,-1.87949,-0.579415,-0.358315,-6.64241,0.30583,-85.6704,7588.23,78.1844,7313.56,11676.6,-1.34004,-0.0399713,0.720572,-6.10296,0.845274,1.12178,7680.74,81.9605,7406.08,0.447582,0.981668,0.0199787,17160.5 
6,44,6,18945.5,0.01434,35.1064,11.35,123.651,0.00189113,-33.9718,7.18872e-11,1.50508,6.15269,-3.99275,2.40047,2.27386,-42.478,8168.99,80.9678,8572.3,12973.2,1.77256,6.42016,-3.45781,2.66794,2.54134,1.34772,8214.86,82.8402,8618.18,0.426832,0.982659,0.0173987,19246.1 
7,44.1,7,18327.3,0.15016,33.4385,11.3961,123.309,0.0646696,-89.5161,477.294,0.192075,-0.771816,-0.515269,-2.50523,-6.91527,-32.0499,7767.13,74.297,8367.44,12593.5,0.393884,-0.570007,-0.111651,-2.30342,-6.71346,0.988001,7801.74,75.7097,8402.05,0.420435,0.983301,0.0163279,18556.4 
8,44.07,8,13487.1,0.0985452,23.1337,11.9395,123.392,-0.0653964,84.0505,500,-1.40797,-6.09371,1.02779,4.7127,0.946864,-48.0567,5778.57,46.2225,5677.21,9170.34,-1.10537,-5.79111,1.63299,5.0153,1.24946,-0.63091,5830.47,48.3407,5729.1,0.44292,0.985698,0.0153053,13163.7 
9,43.95,9,19378.7,0.0177663,35.5128,11.4877,123.498,-0.00405715,-15.3971,1.45457e-10,-2.50211,2.00728,-2.60281,0.354583,0.348965,-36.8537,8758.7,72.3328,8341.01,13282.5,-2.27005,2.23934,-2.13869,0.586641,0.581023,-1.13499,8798.5,73.9572,8380.81,0.450606,0.985503,0.0159958,19525.9 
10,44.14,10,16107.4,0.0410689,29.5686,11.321,123.486,-0.0289956,-11.5995,8.19051e-08,3.76734,1.25203,6.9997,2.79192,0.953202,6.20224,7326.44,56.7672,6712.86,10908.1,3.72829,1.21298,6.9216,2.75286,0.914148,0.554304,7319.75,56.4939,6706.16,0.460256,0.986673,0.0152811,15903.6 
11,44.06,11,15983.2,0.131076,28.1208,-11.6373,123.577,-0.147025,-30.2272,0.000272665,-2.15197,-2.36834,1.61936,0.112456,-2.15807,-22.5067,6897.87,63.6655,6949.14,10797.8,-2.01025,-2.22662,1.9028,0.254175,-2.01635,1.46452,6922.17,64.6575,6973.45,0.43678,0.983917,0.0167931,15848.2 
12,44.02,12,21287.2,0.196874,39.6163,11.1082,123.479,-0.321931,-55.8855,8.17575,-3.32553,-2.79057,3.91496,-1.0341,5.18328,-35.0946,9013.74,85.4443,9734.38,14911.2,-3.10455,-2.56959,4.35692,-0.813118,5.40426,-0.330796,9051.64,86.9911,9772.28,0.419832,0.98346,0.0161335,21560.2 
13,43.98,13,18501.4,0.334617,33.0902,10.9982,123.274,-0.790599,1405.59,122.44,-1.63567,-0.560878,4.90506,-3.90821,-1.73673,31.5593,7820.32,58.2249,7705.3,48022.4,-1.83439,-0.759599,4.50762,-4.10693,-1.93545,2.09177,7786.24,56.8338,7671.22,0.442264,0.987387,0.0134639,17605.4 
14,44.12,14,17585.7,-0.00192003,31.7909,11.3082,123.352,-0.0120132,6.11818,2.01236e-12,4.0718,0.0910942,5.61695,2.71,-1.68623,-37.7455,7463.53,80.9819,7547.65,11705.3,4.30947,0.328768,6.09229,2.94767,-1.44856,0.501842,7504.29,82.6456,7588.41,0.435854,0.981091,0.0196678,17217.5 
15,44.15,15,15355.4,0.0378605,27.2986,-11.6204,123.122,-0.0644613,29.9992,500,-1.80765,-0.9571,6.695,0.14597,-3.50348,-53.6415,6959.56,63.8309,6195.51,10389.5,-1.46988,-0.619334,7.37053,0.483736,-3.16571,-1.83555,7017.48,66.1952,6253.44,0.467151,0.983761,0.0191265,15021.9 
16,44.05,16,15787.1,0.11875,29.085,11.0049,123.556,-0.264796,-22.3535,500,-3.19986,0.696915,3.0141,5.89856,-1.35706,18.1566,6757.97,53.3652,6707.85,10612.3,-3.31418,0.582588,2.78545,5.78424,-1.47139,0.362116,6738.36,52.5649,6688.24,0.440436,0.986532,0.0142711,15299.3 
17,44.03,17,16602.8,0.0313343,29.821,11.2915,123.469,0.0793752,-46.0593,500,1.28305,1.64333,1.89855,2.2234,1.22601,-78.2768,7134.83,63.3392,6795.87,11080.5,1.77594,2.13622,2.88432,2.71629,1.7189,0.743197,7219.36,66.7894,6880.4,0.450471,0.984068,0.0175675,16026.3 
18,44.01,18,17762.7,0.216653,32.5043,11.0328,123.739,-0.103673,-131.083,500,0.0593211,-3.32385,9.68923,1.05794,-3.23134,12.7212,7583.58,69.5899,7660.07,12116.4,-0.0207807,-3.40395,9.52903,0.97784,-3.31144,-1.52712,7569.84,69.0292,7646.33,0.436122,0.984292,0.016358,17357.1 
19,44.13,19,15938.3,0.0761543,28.2006,11.1892,123.538,-0.00459967,-57.8571,0.000226276,0.178468,-3.40198,6.40817,1.54761,-3.21327,-104.34,6650.51,43.2125,6570.25,10280.7,0.835472,-2.74498,7.72217,2.20462,-2.55626,-0.414053,6763.18,47.8115,6682.93,0.441538,0.98778,0.0130075,15317.3 
20,44.09,20,17117.2,0.130824,31.8544,11.2065,123.822,-0.00969902,-52.6906,2.6828,0.487798,3.46307,-3.70951,1.33559,0.859528,-90.1799,7310.71,65.2347,7647.54,11637.4,1.05564,4.03091,-2.57384,1.90343,1.42737,1.44046,7408.09,69.2096,7744.92,0.42768,0.983914,0.0161947,17321.6 
21,44.15,21,15657.5,0.174662,27.5611,11.6214,123.562,-0.251594,39.2877,216.778,-0.433302,2.30628,6.78038,-2.1378,6.46141,-21.6596,6727.59,39.6415,6693.93,10748.5,-0.296917,2.44267,7.05315,-2.00142,6.5978,0.488727,6750.98,40.5962,6717.32,0.439827,0.989586,0.0110102,15349.2 
