cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.2848,0,24041.1,0.035268,36.5615,14.1737,123.086,0.000810458,-46.3334,3.49311,-0.839387,0.3929,1.42088,2.20359,-2.04085,22.426,7038.75,60.1039,15985.9,16870.7,-0.980598,0.251689,1.13845,2.06238,-2.18206,-2.92757,7014.53,59.1155,15961.7,0.28733,0.985466,0.00677616,24412.8,0.000628541,0.536542,13.5448,11.7643,123.75,84.6242,0.975711,14.6681,14.0027,122.223,135.246,1.52706,-50.6215 
1,44.3648,1,24486.3,-0.0124276,37.5569,14.1995,123.455,-0.00419091,-4.60224,78.0164,-3.13857,1.88013,4.62564,1.09447,3.79977,29.1863,8752.84,54.547,14841.3,17360.9,-3.32235,1.69635,4.25808,0.91069,3.61599,0.405193,8721.32,53.2606,14809.8,0.350761,0.989426,0.00658117,24864,0.000537253,0.653279,13.679,11.8542,123.864,84.8151,0.900246,14.7225,14.0857,122.578,135.355,1.28613,-50.5402 
2,44.3448,2,23789.9,-0.0895031,36.9156,14.2731,122.94,-0.0162958,63.1485,5.28209,2.1547,-0.622467,4.13021,-0.778125,1.40627,2.79062,7366.75,57.606,15806.8,17185.9,2.13713,-0.640039,4.09507,-0.795697,1.3887,0.33792,7363.73,57.483,15803.8,0.299462,0.986523,0.00665566,24589.9,0.000202588,0.543414,13.7565,12.0791,123.393,84.9045,0.96163,14.6771,14.0596,121.976,135.692,1.41651,-50.7873 
3,44.3348,3,24889.3,-0.0311022,37.2392,14.7336,122.748,-0.0104708,-8.98063,499.991,0.530538,1.69061,6.90895,-1.557,-0.586954,-31.6288,7848.51,65.7631,16398.4,17864,0.729696,1.88977,7.30726,-1.35785,-0.387796,0.10681,7882.67,67.1572,16432.6,0.305599,0.98531,0.00747211,25794.2,0.000285881,0.572407,13.9463,11.8977,123.46,84.6631,0.965152,15.1669,14.0775,121.73,135.59,1.73036,-50.9271 
4,44.4148,4,26384.4,-0.0136661,41.4129,13.8521,123.31,-0.0765251,12.9912,500,-6.68902,2.91382,0.463911,1.66667,-2.1668,-10.8082,12357.5,67.9307,13286.8,18706.8,-6.62097,2.98187,0.600024,1.73472,-2.09875,1.17632,12369.2,68.4071,13298.4,0.460428,0.990414,0.00938682,26864.5,0.000456093,0.943225,13.5254,11.8096,123.604,84.1056,0.835884,14.3196,13.8977,122.304,134.685,1.30084,-50.5796 
5,44.4248,5,23285.2,-0.0751467,34.8675,14.7505,123.605,-0.0540316,56.2282,484.754,-1.66062,2.83053,-1.12454,1.58271,-0.606394,6.43779,11790.8,66.9454,10683.6,16841.4,-1.70116,2.78999,-1.20561,1.54217,-0.646931,2.54871,11783.8,66.6617,10676.6,0.503123,0.990197,0.0113708,23421.4,0.000337818,0.820185,14.4392,12.1901,123.927,84.4726,0.590277,15.2809,15.1115,122.559,135.328,1.36806,-50.8553 
6,44.3248,6,23197.9,-0.0512703,34.8153,14.5725,123.278,0.0367255,23.0589,1.14455e-11,3.52106,7.0402,2.00281,2.60602,3.49378,-5.68794,7081.96,61.0236,15234.2,16543.4,3.55688,7.07601,2.07444,2.64184,3.5296,0.890118,7088.11,61.2743,15240.4,0.299075,0.985097,0.00735179,23700.1,0.000360493,0.516749,13.9585,11.9881,123.795,84.482,0.895183,15.1805,14.1888,122.278,135.207,1.51682,-50.7255 
7,44.3748,7,22889.5,-0.0160421,35.1022,-14.2165,122.959,-0.0144785,1.42661,0.775226,-1.57236,-5.93231,-2.06509,-1.89483,-2.75114,10.186,8935.19,53.0167,13194.6,16245.8,-1.6365,-5.99645,-2.19336,-1.95897,-2.81528,0.849776,8924.19,52.5678,13183.6,0.383106,0.989797,0.00729158,23294.3,0.000410387,0.675288,13.8592,11.6731,123.289,84.3026,0.811393,14.7006,13.8805,121.935,134.679,1.35406,-50.3767 
8,44.3148,8,25176.3,-0.0813796,38.2368,14.5435,122.821,-0.164334,114.904,422.067,1.00568,-1.41286,8.14133,-3.04134,-1.89234,47.9382,7596.88,49.4849,16833.8,18717.5,0.703827,-1.71472,7.53763,-3.34319,-2.19419,-6.61872,7545.11,47.3719,16782,0.292022,0.989132,0.00517297,25837.5,0.00029046,0.581818,13.6095,11.7147,123.425,84.0891,1.01027,15.0213,13.953,121.928,134.484,1.49656,-50.3952 
9,44.2948,9,25601.8,-0.0164137,38.6992,14.4181,123.033,-0.013723,-71.2037,228.531,3.28495,2.80408,8.10055,-0.842449,-1.75122,-19.9706,7996.79,59.8629,16531.9,18195.6,3.4107,2.92983,8.35205,-0.716699,-1.62547,0.323743,8018.36,60.7432,16553.4,0.30767,0.986916,0.00671426,26061.6,0.000641717,0.595005,13.6866,11.9538,123.608,83.9651,0.988086,14.9797,14.0188,122.168,134.306,1.43998,-50.341 
10,44.4348,10,24089,-0.00791649,35.185,14.8969,123.179,-0.0222955,10.2523,63.702,2.52653,-1.58536,1.64465,-3.33871,-0.760393,-3.53204,12184.3,70.534,10961.2,17070.2,2.54877,-1.56312,1.68913,-3.31647,-0.738153,2.22414,12188.1,70.6897,10965,0.504894,0.989952,0.0117364,24139.9,0.000588518,0.839348,14.7284,12.0939,123.321,84.3199,0.627157,15.0987,14.5242,122.399,135.076,0.921902,-50.7558 
11,44.3848,11,22132,-0.0171396,32.9613,14.8212,122.679,0.0199121,-11.7089,2.62736e-12,0.761745,-0.895164,4.21608,-1.32104,-2.85801,14.7861,8517.18,55.7404,12856.6,15910.7,0.66864,-0.988269,4.02988,-1.41415,-2.95111,7.15238,8501.22,55.0887,12840.6,0.377874,0.988787,0.00784102,22497.5,0.00034381,0.619146,14.2011,11.8406,123.136,84.0554,0.738017,15.3801,14.3027,121.591,134.811,1.54534,-50.7556 
12,44.3548,12,24589.2,-0.0276112,37.2665,14.4013,122.777,0.0121862,1.03094,5.13528e-10,8.45941,0.92361,11.712,1.60091,4.45426,-0.391804,7771.06,67.5491,15805.1,17471.3,8.46188,0.926077,11.717,1.60337,4.45673,0.568675,7771.48,67.5664,15805.5,0.310866,0.985013,0.00781321,24999.5,0.000559998,0.58237,13.853,11.7874,123.207,84.1656,0.9447,14.924,14.0773,121.86,134.732,1.34686,-50.5659 
13,44.3948,13,24864.5,-0.0239869,36.6274,14.8199,122.938,-0.00267557,-11.1186,360.574,1.42583,-0.099663,-1.58111,5.73671,0.645933,-1.87214,10183,64.8353,13811.2,17671.4,1.43762,-0.0878746,-1.55753,5.7485,0.657722,1.25128,10185,64.9178,13813.2,0.403505,0.988969,0.00858303,25241.4,0.00037221,0.704669,14.4978,12.2013,123.351,84.3426,0.784503,15.3234,14.5491,121.935,135.229,1.41554,-50.8864 
14,44.4048,14,22517.2,-0.0385487,33.8067,-14.7235,122.837,-0.003741,-68.6053,3.79974e-11,-1.35084,0.648225,0.453553,-3.86844,1.39656,6.93026,9724.39,64.4861,12093.3,16211.9,-1.39448,0.604587,0.366277,-3.91208,1.35292,1.1228,9716.9,64.1806,12085.8,0.424496,0.988573,0.00968757,22890.4,0.000383174,0.695347,14.1907,12.0397,123.157,83.7769,0.70172,15.0646,14.3624,121.751,134.018,1.40646,-50.2413 
15,44.3048,15,24268.9,-0.0350378,35.9782,14.7626,122.708,0.0652403,-73.6041,18.2093,3.61544,-1.01871,-1.16425,0.971164,-0.179767,-5.82908,7074.54,65.8862,16282.3,17446.4,3.65215,-0.982008,-1.09084,1.00787,-0.143063,1.44632,7080.83,66.1432,16288.6,0.285111,0.983916,0.00742471,24835.4,0.000393474,0.502132,14.0684,12.28,123.264,84.5095,0.9475,15.3364,14.1216,121.86,135.111,1.40409,-50.6012 
16,44.2848,16,26592.2,-0.0840047,41.9906,13.9798,122.339,-0.0229287,92.4986,332.258,4.8111,6.12602,4.77691,3.34153,3.03671,24.8559,8312.77,47.7951,17611.6,19178.5,4.65458,5.96951,4.46389,3.18502,2.88019,0.788973,8285.93,46.6995,17584.7,0.301819,0.990233,0.00486823,27453.3,0.000308328,0.668187,13.1606,11.5686,122.829,84.5842,1.14438,14.4048,13.3383,121.413,134.874,1.41596,-50.2894 
17,44.3648,17,23606.7,-0.0659417,36.8462,14.1195,122.829,-0.380159,-168.386,151.296,1.67382,0.00340498,1.12872,3.32516,-1.7808,35.2265,8472.51,54.1059,14504.4,19019.7,1.45201,-0.218407,0.685097,3.10335,-2.00261,0.773105,8434.47,52.5532,14466.4,0.348491,0.989214,0.00664748,24202.8,0.000340494,0.649178,13.557,11.6954,123.28,84.2311,0.896292,14.5751,13.9046,121.862,134.563,1.41806,-50.3318 
