cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.33,0,13397.2,-0.0167253,23.9892,13.8735,117.894,0.0287317,-29.5427,500,-0.846915,-3.81086,-3.1741,-1.30552,1.04409,148.65,6741.79,34.8696,8023.01,10861.8,-1.78292,-4.74687,-5.04611,-2.24152,0.108083,0.631922,6581.26,28.3175,7862.48,0.479121,0.992526,0.0065908,13736.1 
1,44.405,1,12966.2,-0.0586592,23.3162,13.9067,117.207,0.0295596,-48.98,499.205,-3.47396,-1.70612,-3.60668,-5.10575,0.126001,159.815,6315.49,43.0281,8073.23,10602.6,-4.48027,-2.71243,-5.61931,-6.11206,-0.88031,0.716259,6142.9,35.9839,7900.65,0.460747,0.989853,0.00832017,13332.5 
2,44.39,2,13623.7,-0.255082,23.4325,14.6867,116.969,-0.0360289,73.2577,2.91914e-09,-1.57882,0.191284,2.80607,0.346858,0.970256,142.884,6320.61,49.8784,8460.66,11289,-2.47852,-0.708419,1.00666,-0.552845,0.0705536,1.37808,6166.31,43.5805,8306.36,0.449273,0.987783,0.00957235,13725.1 
3,44.48,3,13734.5,-0.53541,24.3674,14.7659,116.754,-0.0265947,-330.058,489.697,-1.49505,-0.113944,-4.70285,0.016993,-0.399145,164.659,6022.47,47.473,9067.7,11998.7,-2.53187,-1.15076,-6.77647,-1.01982,-1.43596,0.475297,5844.66,40.2153,8889.89,0.419439,0.988102,0.00826429,13934.5 
4,44.435,4,13177,-0.471922,23.2715,14.5991,117.442,0.220673,9.31625,175.775,-0.756396,-3.72498,-4.01535,0.307217,-0.108169,167.401,6134.49,46.8646,8203.6,11126.6,-1.81048,-4.77906,-6.12351,-0.746865,-1.16225,0.581217,5953.71,39.486,8022.83,0.449185,0.988527,0.00898484,13254.5 
5,44.47,5,13104.4,-0.471051,22.6924,14.8978,116.845,-0.267168,275.502,101.886,0.174491,-2.03539,3.30027,0.61839,-1.008,176.121,6185.98,52.2204,8190.75,13401.2,-0.934494,-3.14438,1.0823,-0.490595,-2.11699,1.19313,5995.79,44.4575,8000.56,0.451616,0.98719,0.0101325,13276.3 
6,44.57,6,12661.6,-0.274867,21.7278,14.6324,117.467,-0.371018,533.793,0.0305464,-2.33624,-0.518278,-2.1525,0.671871,0.0401179,144.874,6311.13,51.4436,7386.4,16796.7,-3.24847,-1.43051,-3.97696,-0.24036,-0.872112,0.592875,6154.68,45.058,7229.95,0.483329,0.98735,0.0113499,12733.9 
7,44.45,7,13832,-0.0242003,23.378,14.4449,117.135,0.00527756,7.20368,0.29101,-2.8472,-3.19273,-0.276836,-3.64468,-1.58693,108.876,6426.66,50.7375,8418.48,10994.2,-3.53276,-3.8783,-1.64797,-4.33025,-2.2725,0.894778,6309.08,45.9385,8300.91,0.455105,0.987418,0.0100916,13862.9 
8,44.38,8,12907.1,-0.00855456,22.0862,14.2911,116.89,0.00303851,-0.531818,9.28792e-12,-3.50932,-3.94939,-3.34034,-3.51549,-2.71501,127.177,6015.85,41.4945,7823.91,10275.1,-4.31012,-4.7502,-4.94194,-4.31629,-3.51581,0.773662,5878.51,35.8889,7686.57,0.456644,0.989429,0.00852753,12873.3 
9,44.34,9,13253,-0.441621,22.7965,14.825,117.576,0.643695,390.466,474.087,-1.52287,-3.43448,-0.262793,-3.17348,-2.41361,124.798,5897.8,46.7597,8392.06,19183.6,-2.30869,-4.22029,-1.83443,-3.95929,-3.19942,0.881819,5763.03,41.259,8257.29,0.434056,0.987626,0.00912046,13277.2 
10,44.425,10,12403.4,-0.0726805,20.8701,14.6554,117.578,0.0140887,-20.5043,2.35791e-05,-3.3351,2.09871,-1.96408,-3.79831,-1.46316,116.787,5740.94,43.1732,7637.25,9966.19,-4.07048,1.36333,-3.43484,-4.53368,-2.19854,0.7332,5614.82,38.0255,7511.14,0.450991,0.988287,0.00923959,12450 
11,44.53,11,12250.8,-0.185725,20.6532,14.7923,117.978,0.0999689,98.196,499.999,-4.06391,-1.2289,-6.92801,-3.70014,-3.04891,75.8258,6404.33,48.7998,6849.43,10264.9,-4.54137,-1.70636,-7.88292,-4.17759,-3.52637,0.638971,6322.45,45.4576,6767.55,0.506569,0.987574,0.0122222,12480.9 
12,44.42,12,12264.1,-0.0319846,20.5964,14.5669,117.498,0.114609,-127.681,500,-2.98028,-5.00318,-6.0028,0.425386,-0.829835,74.0679,5965.57,50.9776,7336.12,10243.2,-3.44667,-5.46957,-6.93557,-0.0409999,-1.29622,0.596512,5885.59,47.7129,7256.14,0.471274,0.986012,0.0119678,12488.7 
13,44.43,13,12293,-0.0246074,20.3402,-14.6927,117.201,0.0132035,-8.03164,4.47004e-13,0.455592,-1.40636,-6.98001,-2.20311,-0.600859,85.7823,5677.24,50.7211,7502.38,9732.1,-0.0845568,-1.94651,-8.0603,-2.74326,-1.14101,0.42326,5584.6,46.9401,7409.74,0.453021,0.985504,0.011535,12327.5 
14,44.4,14,12667.5,-0.270604,21.2549,14.6761,117.737,0.02706,140.148,0.000355407,0.168536,0.578387,-4.39867,-0.589297,0.32545,127.799,5574.74,49.5263,7854.14,10278.1,-0.636181,-0.226331,-6.00811,-1.39401,-0.479267,0.31288,5436.73,43.8933,7716.13,0.43639,0.986068,0.0103702,12458.4 
15,44.51,15,12193.6,-0.0177041,20.2078,14.6139,116.961,-0.0129716,6.95864,498.381,-3.09271,-0.498663,-3.38215,-2.81687,2.07125,129.827,6907.55,58.4388,6196.93,9616.37,-3.91019,-1.31615,-5.01713,-3.63436,1.25376,0.602574,6767.35,52.7164,6056.73,0.551133,0.986551,0.0157803,12279 
16,44.5,16,14705.8,-0.417384,24.9808,-14.6819,117.746,0.463998,141.938,276.527,-0.140484,-3.06731,-0.949288,-0.48989,0.16998,76.6632,8806.75,58.6125,6932.94,14083.3,-0.623212,-3.55004,-1.91474,-0.972618,-0.312748,0.740316,8723.97,55.2334,6850.15,0.583246,0.989042,0.0146357,14957.6 
