cyc,freq (MHz),cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,44.2513,0,6199.96,-0.0177527,15.7867,10.1802,118.608,0.0303887,12.5031,500,-1.72983,-5.77772,-2.63552,-1.64755,-1.27244,48.8223,3915.56,-5.11924,3804.69,5244.05,-2.03726,-6.08514,-3.25036,-1.95497,-1.57986,0.781966,3862.84,-7.27119,3751.97,0.530819,1.0033,-0.00358273,7277.13 
1,44.2363,1,5160.16,-0.00648362,13.9124,9.91677,119.076,-0.00343773,1.62634,0.401279,-1.11623,-4.61315,-3.58206,-1.15414,-0.0515864,27.3253,4660.43,2.93393,1968.21,4491.42,-1.28829,-4.78521,-3.92618,-1.3262,-0.223647,0.660057,4630.92,1.72951,1938.71,0.724131,0.999347,0.00164063,6395.15 
2,44.1613,2,6570.26,-0.00207548,16.1002,-10.0968,118.705,-0.0220022,-0.750776,500,-1.31091,0.47566,-6.30765,-3.42236,-0.054759,50.1337,4758.46,-2.14437,3096.16,5292.45,-1.62659,0.159981,-6.93901,-3.73804,-0.370438,0.445504,4704.32,-4.35412,3042.02,0.629546,1.00162,-0.00264362,7472.56 
3,44.0863,3,7080.93,-0.232131,17.2254,10.4574,119.039,0.172729,-1355.36,221.238,-4.72226,-2.25483,-0.109528,1.84344,0.752841,58.6455,5327.35,7.67922,3118.03,13484.9,-5.09154,-2.6241,-0.848078,1.47416,0.383566,0.873534,5264.02,5.09429,3054.7,0.65442,0.998309,0.00306265,8043.8 
4,44.0113,4,6868.35,-0.0976196,18.0729,9.68331,118.87,-0.0935557,-98.3595,1.51282e-07,-2.55018,0.170989,-2.46153,-1.37453,1.79569,0.732529,5234.16,-5.29373,3026.5,5996.57,-2.55479,0.166377,-2.47076,-1.37914,1.79107,0.444429,5233.37,-5.32602,3025.7,0.655256,1.00178,-0.00325313,7986.76 
5,44.0063,5,7139.26,-0.219882,18.4446,10.0357,118.597,0.427349,572.55,385.201,-0.524324,-3.10316,-5.69457,-0.773791,-0.0558499,4.62336,5461.02,1.9696,3168.27,13990.8,-0.553436,-3.13227,-5.7528,-0.802903,-0.0849619,0.442902,5456.03,1.76581,3163.28,0.654623,0.999434,0.00102725,8334.61 
6,44.0713,6,6767.8,-0.264697,17.209,10.2867,118.864,-0.401741,688.578,429.853,-3.2811,-0.205631,-3.1541,0.276777,0.219912,60.1008,5019.87,-4.78958,3120.47,14767.9,-3.65954,-0.58407,-3.91098,-0.101662,-0.158527,0.535225,4954.97,-7.43865,3055.57,0.640546,1.00263,-0.00450473,7735.53 
7,44.0163,7,7657.79,-0.259561,19.8537,9.86079,118.63,0.470684,278.448,379.095,-2.08664,-4.44321,-3.71731,-1.4968,-1.4436,40.31,5725.2,-2.5313,3314.61,10639.6,-2.34046,-4.69703,-4.22495,-1.75062,-1.69742,0.712793,5681.67,-4.30805,3271.08,0.656207,1.00133,-0.00243198,8658.36 
8,44.2063,8,6864.61,-0.0322208,17.6048,9.93146,118.909,0.00298663,37.1505,500,-4.22094,-3.72973,-3.18062,1.65043,-1.5929,24.4802,4954.97,-3.70283,3343.21,5695.27,-4.37508,-3.88387,-3.48891,1.49628,-1.74704,0.709224,4928.53,-4.78185,3316.77,0.620191,1.0017,-0.00266287,7946.79 
9,43.9813,9,7302.2,-0.0216309,17.9318,10.178,118.88,-0.0032743,22.5796,500,-1.6102,0.57428,-2.44884,-3.3139,-0.444897,12.6412,5296.1,-9.59157,3379.96,5943.72,-1.6898,0.494682,-2.60803,-3.39349,-0.524495,0.662222,5282.45,-10.1488,3366.31,0.632948,1.00337,-0.0055846,8345.79 
10,43.9913,10,7684.98,-0.091591,19.4914,9.86931,119.097,0.0904666,-31.7336,1.01004,-3.37864,-1.71467,-4.24351,-0.0417887,0.466233,57.5082,5567.52,-1.61317,3527.36,6355.64,-3.74076,-2.07679,-4.96774,-0.403903,0.104119,0.551853,5505.42,-4.14797,3465.26,0.635817,1.00132,-0.0022099,8658.81 
11,44.0913,11,7005.5,-0.0310734,17.83,10.0095,118.833,-0.00840867,45.5005,485.872,-2.26936,-2.57868,-2.16749,-4.32957,-1.85356,47.927,5173.23,-3.35016,3268.2,5822.2,-2.57114,-2.88046,-2.77105,-4.63136,-2.15535,0.815378,5121.48,-5.46264,3216.45,0.636331,1.00187,-0.00313835,8048.44 
12,44.0213,12,6812.05,-0.0383351,18.2314,9.59257,118.981,-0.00870933,50.4813,500,-1.75759,-2.36722,-0.309871,-0.589601,-2.50723,56.0706,5037.98,-7.6074,3189.1,5707.43,-2.11065,-2.72028,-1.01599,-0.942662,-2.86029,0.894714,4977.43,-10.0788,3128.55,0.636141,1.00356,-0.00596989,7824.41 
13,44.2213,13,7619.96,-0.0243176,19.1103,10.0655,119.024,0.00585485,32.5921,485.506,-4.18632,-3.18516,-7.70652,-1.4162,-2.7137,55.1448,5607.88,1.51292,3469.24,6268.01,-4.53356,-3.53239,-8.40098,-1.76344,-3.06093,0.605426,5548.33,-0.917705,3409.69,0.64134,1.00029,-0.000496041,8651.15 
14,44.0563,14,7447.81,-0.265124,18.9318,10.1331,119.047,1.69018,-2823.21,346.076,-2.65146,-2.41578,-5.43435,-1.06044,2.63513,61.4739,5309.33,8.7138,3495.41,161581,-3.03854,-2.80286,-6.20852,-1.44753,2.24804,0.448102,5242.94,6.00421,3429.03,0.626894,0.998,0.00321514,8363.36 
15,44.0813,15,5520.36,-0.262795,14.5922,10.2598,118.985,0.284835,-146.748,114.108,0.11434,-5.27909,-1.17374,-0.01599,-1.25596,42.9335,4424.96,0.180453,2546.7,6234.32,-0.156001,-5.54944,-1.71443,-0.286331,-1.5263,0.814305,4378.6,-1.71193,2500.34,0.658049,1.00068,-0.00126285,6653.91 
16,44.0263,16,7602.3,-0.270556,19.4089,10.0889,118.885,0.0369526,145.813,326.316,-4.37339,0.373509,-5.22471,0.121824,-2.25993,56.6351,5538.61,-0.316961,3515.74,6549.82,-4.73001,0.0168934,-5.93795,-0.234792,-2.61654,0.56023,5477.45,-2.81327,3454.58,0.635353,1.0009,-0.00150239,8621.11 
17,43.9863,17,7375.39,-0.278748,18.8896,10.1545,119.059,1.37289,-1656.24,154.575,-0.254973,-2.04447,-1.43452,-0.0589777,-0.680896,51.9449,5481.12,-5.4048,3322.92,80264.7,-0.582056,-2.37155,-2.08868,-0.386061,-1.00798,0.675486,5425.03,-7.69438,3266.83,0.646003,1.00249,-0.00435763,8397.84 
18,44.2013,18,6480.56,-0.132464,16.9041,9.93455,118.863,-0.752899,414.892,6.26013e-07,-1.85092,1.75612,-6.04711,0.731508,-0.53146,31.7593,4818.79,4.74729,3101.5,15635.6,-2.0509,1.55614,-6.44707,0.531528,-0.73144,0.097269,4784.5,3.34744,3067.21,0.631562,0.998777,0.00200637,7575.65 
19,44.0013,19,5470.68,0.00863879,15.0818,9.59955,119.212,0.00109641,-22.6722,4.49885e-12,-4.35545,-3.76459,-6.56813,-1.9747,-1.03916,41.4146,4416.38,-2.06648,2518.11,4713.82,-4.61623,-4.02536,-7.08968,-2.23548,-1.29993,0.632024,4371.65,-3.89192,2473.39,0.660128,1.00156,-0.00290701,6622.43 
20,44.1113,20,8500.65,-0.0711258,21.8102,9.71334,118.577,-0.237551,267.064,500,-1.55766,-2.02664,0.594094,1.67873,0.132499,42.3004,5892.43,-2.27653,4122.36,8961.64,-1.82401,-2.293,0.0613852,1.41238,-0.133855,1.0221,5846.75,-4.14101,4076.68,0.611807,1.00124,-0.00187468,9556.53 
21,43.9513,21,7997.12,-0.317049,20.6273,10.1644,118.784,0.299536,247.547,150.984,-2.38749,-5.47966,-1.29412,-2.60581,-2.31882,25.868,5798.5,-5.2531,3771.02,9239.04,-2.55037,-5.64255,-1.61988,-2.76869,-2.4817,0.892461,5770.57,-6.39328,3743.09,0.628823,1.00194,-0.00315629,9176.78 
22,44.0963,22,6331.47,-0.00874206,16.3261,-10.0886,118.925,-0.00536993,4.38581,4.39194e-07,-1.06361,0.0242263,1.49047,1.658,1.95719,27.5995,4821.42,-10.9333,2950.01,5362.55,-1.23739,-0.149561,1.1429,1.48421,1.78341,0.622003,4791.62,-12.1498,2920.2,0.643256,1.00446,-0.00772345,7449 
23,44.1063,23,7809.6,-0.229466,19.7976,10.1484,118.928,0.336034,606.832,5.27744e-09,-3.28136,-2.17701,-2.10797,-0.180728,-1.33181,43.2094,5632.27,-1.19224,3670.18,13178.6,-3.55343,-2.44909,-2.65212,-0.452806,-1.60389,0.7524,5585.61,-3.09679,3623.52,0.628797,1.00097,-0.00157681,8883.01 
24,44.1763,24,4800.07,-0.00227349,11.4816,-10.8845,118.899,0.00219249,3.42982,0.00921865,-2.90204,-2.15726,-2.19717,-1.87587,-0.45738,52.3638,3941.86,3.70003,2101.74,4068.48,-3.23176,-2.48699,-2.85661,-2.20559,-0.7871,0.75306,3885.31,1.39198,2045.2,0.676125,0.999373,0.00125219,5746.44 
25,44.1913,25,5064.21,-0.0237696,13.0109,10.304,118.877,0.298316,15.1646,497.18,-3.55021,-3.57588,-0.109814,0.121707,-1.87153,68.1009,4039.43,-1.09012,2466.75,4511.5,-3.97902,-4.0047,-0.967441,-0.307106,-2.30034,0.916301,3965.88,-4.09181,2393.21,0.64552,1.00181,-0.0031595,6143.71 
26,44.1313,26,7488.35,-0.0146141,18.6149,10.0548,118.626,0.0594326,-20.4272,500,-4.16029,1.05764,-0.260516,-0.961551,-0.740044,35.6673,5554.67,-1.04688,3358.68,6132.49,-4.38488,0.833051,-0.709691,-1.18614,-0.964631,0.889323,5516.15,-2.61899,3320.16,0.646109,1.00083,-0.00145519,8537.5 
27,44.1863,27,3945.31,-0.259898,10.6176,10.8472,118.916,-0.413301,-339.11,308.928,-4.59531,-3.33052,-0.708308,-0.0502005,-0.686563,22.0513,3396.88,-0.738837,1940.53,8311.68,-4.73417,-3.46937,-0.98601,-0.189052,-0.825414,0.90337,3373.07,-1.7108,1916.72,0.659152,1.00089,-0.00164691,5117.28 
28,44.1013,28,6733,-0.13825,17.8267,9.87421,119.139,-0.138004,185.336,9.45874e-10,-3.96937,0.52336,-2.24498,1.20224,1.65843,34.164,4938.42,1.67798,3359.8,6562.79,-4.18449,0.308238,-2.67522,0.98712,1.44331,0.350839,4901.53,0.172126,3322.91,0.61846,0.999939,9.54113e-05,7925.38 
29,44.1463,29,6914.49,-0.0738614,17.2858,10.3126,118.893,0.34565,84.7306,2.35915,-2.79109,-1.50505,-6.86792,-0.9035,-0.603257,37.2382,5067.16,2.89868,3301.74,6756.38,-3.02557,-1.73953,-7.33687,-1.13798,-0.837735,0.478829,5026.94,1.25733,3261.53,0.628766,0.999562,0.000709632,7994.93 
30,44.1963,30,6178.89,-0.0412982,15.7785,10.2113,118.746,0.0584964,74.401,2.01633e-06,-2.27297,-1.81384,-0.60261,-1.91436,0.957281,37.2584,4634.21,4.592,3038.11,5386.62,-2.50758,-2.04844,-1.07182,-2.14897,0.722675,0.848058,4593.97,2.94976,2997.87,0.627417,0.998878,0.00180926,7322.03 
31,44.0413,31,8033.41,-0.0745236,20.6006,9.88218,118.763,-0.121925,137.42,17.971,-1.41753,-3.17826,-6.2613,-0.927114,-0.253228,21.9236,5811.73,-0.427599,3819.86,7172.61,-1.55558,-3.31631,-6.53739,-1.06516,-0.391275,0.491875,5788.05,-1.39393,3796.19,0.626237,1.00042,-0.000676863,9242.58 
32,43.9963,32,6729.96,-0.0767208,18.1215,9.7363,118.876,0.441955,-49.1327,0.00167424,-4.73223,-0.139159,-3.13311,-1.9388,-1.79615,20.9375,5348.6,-1.61969,2986.57,6450.48,-4.86406,-0.270997,-3.39679,-2.07064,-1.92799,0.728918,5325.99,-2.54255,2963.96,0.663824,1.00084,-0.0015827,8023.19 
33,44.1813,33,4663.84,-0.0112503,12.115,10.5623,118.807,-0.00476917,-8.76833,500,-2.67995,-1.04403,-5.76494,1.3568,-1.47134,11.2864,4140.32,-0.509964,2109.11,4166.96,-2.75102,-1.1151,-5.90707,1.28573,-1.54241,0.411052,4128.13,-1.00743,2096.92,0.683881,1.00043,-0.000885797,6036.33 
34,44.1713,34,5638.77,-0.0123784,14.7203,10.2069,119.001,0.0117683,-3.56403,6.18578e-12,-0.722828,-3.20483,-2.21644,-1.63908,-3.98284,34.4362,4547.8,-8.93888,2671.45,4892.44,-0.939663,-3.42166,-2.65011,-1.85592,-4.19968,0.797191,4510.61,-10.4567,2634.26,0.652974,1.00407,-0.00736612,6907.79 
35,44.1163,35,7347.88,-0.0601396,18.9018,9.96019,118.707,0.000856298,118.375,1.67632e-08,-2.71635,-6.7548,-1.9747,-2.8279,0.455218,59.5119,5318.43,-3.78353,3578.68,6131.96,-3.09108,-7.12953,-2.72416,-3.20263,0.0804874,0.830449,5254.16,-6.40665,3514.42,0.621627,1.00214,-0.0033694,8452.28 
36,43.9663,36,7223.19,-0.203686,18.6839,10.0712,118.734,-0.135502,439.618,2.13209e-05,-2.33618,0.861283,1.87837,1.73883,2.00142,38.3799,5419.5,0.644336,3345.99,8064.73,-2.57785,0.619614,1.39503,1.49716,1.75975,0.482115,5378.05,-1.04734,3304.54,0.641376,1.00034,-0.000584179,8385.18 
37,43.9013,37,7711.63,-0.0118495,19.7769,10.0449,118.911,-0.00799229,0.0514358,500,-4.19141,-3.59481,-0.377402,0.229721,0.228497,15.254,5810.83,-1.21425,3624.29,6466.99,-4.28746,-3.69087,-0.569502,0.133671,0.132447,0.931234,5794.35,-1.8866,3607.82,0.638323,1.00057,-0.000964203,9077.47 
38,44.3013,38,7894.45,-0.0588993,19.5973,10.1816,118.7,0.077561,112.74,0.000231649,-1.81196,-2.32087,-0.687844,1.33403,2.94084,-5.01904,5835.06,-15.6813,3643.59,6780.07,-1.78035,-2.28927,-0.624637,1.36564,2.97244,-0.753719,5840.48,-15.4601,3649.01,0.637532,1.00465,-0.00786602,9161.07 
39,44.2513,39,6433.93,-0.0181931,16.3926,10.188,118.992,0.00412244,8.51323,499.982,-0.45125,-2.25023,-2.70507,-0.695468,-0.702468,41.3854,3910.13,-3.4165,4051.68,5437.79,-0.711843,-2.51083,-3.22626,-0.956061,-0.963061,0.614455,3865.44,-5.24065,4006.99,0.514582,1.00238,-0.00241507,7511.8 
40,44.2363,40,6395.72,-0.281737,16.1101,10.6067,119.062,-0.108573,120.649,407.854,-2.71657,-2.72579,-4.29482,-2.76704,-0.138642,12.4707,5451.19,-5.22435,2390.46,5988.95,-2.7951,-2.80432,-4.45187,-2.84557,-0.217167,0.660526,5437.72,-5.77402,2377,0.715415,1.00186,-0.00449481,7600.79 
41,44.1613,41,6588.89,-0.0192624,16.7877,10.0269,118.816,0.00622478,10.1548,500,-0.151876,-3.49521,-2.80428,-1.74113,-0.00408844,16.5918,4858.77,2.21884,3118.7,5481.69,-0.256351,-3.59968,-3.01323,-1.84561,-0.108563,0.658497,4840.85,1.48752,3100.78,0.631754,0.999463,0.000882921,7662.56 
42,44.0863,42,6786.71,-0.0195736,17.6904,10.0072,118.67,0.0164637,2.96188,500,1.30574,-1.48063,0.638641,-0.765908,-0.398906,31.2114,5153.2,3.76776,3228.78,5764.54,1.10921,-1.67716,0.245582,-0.962438,-0.595436,1.13061,5119.49,2.39205,3195.07,0.637783,0.999183,0.00137723,8027.01 
43,44.0113,43,5767.19,-0.304024,16.5695,9.64116,119.064,0.288235,-84.2511,267.58,-3.68874,-3.62235,-1.00595,-4.27961,-3.78529,15.6395,4665.56,-8.67384,2652.15,5990.89,-3.78721,-3.72083,-1.20291,-4.37808,-3.88376,0.929127,4648.67,-9.36318,2635.26,0.659689,1.00354,-0.00658818,7046.76 
44,44.0063,44,7905.61,-0.336277,20.9232,10.023,119.01,0.297582,-207.651,44.7284,-3.79264,-0.587125,-2.61846,-1.54268,-1.68116,34.1182,5981.78,5.08522,3574.4,8838.45,-4.00747,-0.801958,-3.04812,-1.75751,-1.896,0.735201,5944.94,3.58139,3537.55,0.64872,0.998947,0.00186146,9164.11 
45,44.0713,45,6371.19,-0.0340365,16.986,9.92233,118.876,0.0148689,40.3396,500,-1.78094,-3.09392,-4.32599,-2.23312,-0.364984,7.98708,4884.59,-3.17177,3048.87,5506.07,-1.83123,-3.14421,-4.42658,-2.28342,-0.415277,0.634189,4875.96,-3.52382,3040.25,0.637999,1.00127,-0.00213967,7642.59 
46,44.0163,46,6388.59,-0.0252809,17.6111,9.57985,119.033,0.0278378,-21.4986,498.98,-3.2073,-1.13776,-2.99672,-1.5033,-2.4977,29.0414,4924.99,-10.1173,3071.89,5511.61,-3.39017,-1.32062,-3.36245,-1.68617,-2.68057,0.729706,4893.63,-11.3974,3040.53,0.638812,1.00409,-0.00695309,7660.52 
47,44.2063,47,6638.24,-0.295134,17.4386,10.1878,118.699,-1.03025,1224.72,345.942,-0.997899,-3.52381,-5.78057,-2.85441,-1.9382,9.74482,4763.27,-3.98673,3300.77,46858.2,-1.05926,-3.58517,-5.90329,-2.91578,-1.99956,0.618232,4752.74,-4.41625,3290.25,0.613505,1.00163,-0.00247865,7746.87 
48,43.9813,48,6329.51,-0.152472,17.4223,9.76074,118.926,0.0615208,273.812,500,-2.93213,-2.05909,-3.64258,-2.98322,-0.888191,5.94956,4834.08,-0.633971,3044.27,6084.2,-2.96959,-2.09655,-3.7175,-3.02068,-0.925654,0.707973,4827.65,-0.89621,3037.84,0.635879,1.00032,-0.000543745,7592.09 
49,43.9913,49,4997.73,-0.00509438,14.4635,9.47105,118.887,-0.00928839,7.12243,6.07471e-12,-0.329433,0.359078,-0.643116,1.00172,1.3645,-8.74754,4143.46,1.29734,2415.44,4461.46,-0.274352,0.414159,-0.532954,1.0568,1.41958,1.25583,4152.9,1.68291,2424.88,0.653019,0.999291,0.00127682,6359.55 
