cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2659,6,0,11719.3,-0.272928,24.3992,12.1822,123.497,1.24549,-983.855,10.6193,-2.22871,-2.49031,-3.78713,0.580948,-2.12739,-411.414,397.622,85.0119,13166.8,49566.2,0.361857,0.100253,1.394,3.17151,0.463171,0.74612,725.329,114.803,13494.5,0.0495964,0.783094,0.0154298,14624.6,-0.00220589,0.0433749,12.3882,21.5521,123.163,97.9997,1.19111,12.3913,11.021,123.396,127.389,-0.232245,-29.389 
1,47.4259,10,1,12876.5,-0.0387088,25.8902,12.0102,123.568,0.469508,-285.409,500,1.8067,0.191275,-8.77595,-4.69475,-0.289317,-454.685,129.483,96.554,14378.3,14484.5,4.66973,3.0543,-3.04989,-1.83172,2.57371,1.56311,491.656,129.479,14740.5,0.0313669,0.684525,0.0159232,15674.3,-0.00154404,-0.0176059,15.2658,7.26987,109.246,73.6671,1.23989,12.5372,11.6583,123.415,128.817,-14.1693,-55.1497 
2,47,10,2,10731.3,-0.137736,23.0297,11.6913,123.531,0.0356029,118.078,500,1.63329,0.338923,-6.08688,-1.81038,1.87526,-527.287,58.0069,86.4903,12520.6,8901.73,4.95348,3.65911,0.553493,1.5098,5.19545,0.965126,478.01,124.672,12940.6,0.0346214,0.686612,0.0174378,13806.8,-0.00162228,-0.0193137,20.5687,6.63943,111.402,74.135,1.15041,12.1114,11.2447,123.438,127.373,-12.0361,-53.2382 
3,47.2299,2.5,3,10970.2,-0.363082,24.303,11.4991,123.31,-0.00553874,239.175,295.94,2.4007,3.27098,-9.48358,-4.43804,-0.575323,-387.151,433.336,61.6747,12260.7,9140.56,4.83849,5.70877,-4.608,-2.00025,1.86246,1.79428,741.717,89.7092,12569.1,0.0541878,0.825315,0.012977,13687.9,-0.00199972,0.0405267,12.0093,21.9629,124.047,93.338,1.17756,11.7442,10.9559,123.175,127.725,0.872207,-34.387 
4,47.4459,10,4,11132.1,-0.387838,23.5348,12.1432,123.468,0.160229,-96.1678,59.0504,-3.11893,-2.36354,-0.344643,-2.97871,-0.447269,-428.952,131.741,100.144,12802,9804.91,-0.41793,0.337459,5.05735,-0.277713,2.25373,0.272627,473.417,131.206,13143.7,0.0337879,0.673398,0.0180566,14011.5,-0.0016644,-0.0117061,21.8969,7.43386,105.659,72.4228,1.157,12.4123,11.2414,123.408,127.17,-17.749,-54.7468 
5,47.3459,10,5,12164.9,-0.357037,24.4744,12.4509,123.597,-0.112839,74.5524,85.4143,-1.94853,-1.00246,-5.95349,-1.15064,2.36173,-393.176,311.921,101.43,13389.1,10193.8,0.527198,1.47327,-1.00204,1.32509,4.83745,1.13993,625.1,129.901,13702.3,0.0424129,0.733318,0.0171639,14738.4,-0.00131186,-0.00275631,3836.07,5.00106,128.804,73.683,1.1411,12.6174,11.7282,123.413,127.755,5.39027,-54.072 
6,47.2459,5,6,10889.2,-0.376579,23.6881,11.788,123.396,0.766198,889.682,269.831,-5.67068,-6.06187,-10.0191,-3.53432,-1.30298,-392.929,685.329,69.108,11941.4,31280.7,-3.19651,-3.5877,-5.07072,-1.06015,1.17119,0.568225,998.312,97.5609,12254.4,0.0732956,0.853956,0.0144536,13620.3,-0.00194949,0.0568108,12.1589,15.7615,124.444,85.5332,1.11275,11.9788,11.2253,123.167,127.039,1.27726,-41.5056 
7,47.1959,3,7,11547.1,-0.0998036,23.7258,-11.8578,123.554,0.0930971,-59.509,0.107267,-0.756809,-1.40158,-9.1208,-1.5774,0.947744,-388.089,41.597,77.6776,13051.1,9338.76,1.68688,1.04211,-4.23342,0.866293,3.39144,2.53758,350.724,105.78,13360.2,0.0248533,0.654532,0.0143753,14111.8,-0.00139561,-0.0137473,26.527,7.36284,110.377,72.7105,1.14763,12.3249,11.5642,123.546,127.823,-13.1684,-55.1126 
8,47.2239,2,8,11141.3,-0.0230187,23.4988,11.4153,123.451,-0.00280789,5.96181,500,2.94312,2.41423,-3.7462,-0.447573,1.46364,-378.778,450.053,56.6087,12181.2,8732.82,5.32818,4.79929,1.02392,1.93749,3.8487,0.939547,751.763,84.0369,12482.9,0.0552394,0.836382,0.0122494,13609.2,-0.00175807,0.0400675,12.4098,20.6438,124.193,92.7915,1.15956,11.8805,10.9378,123.302,126.933,0.891152,-34.142 
9,47.2339,3,9,12568.5,-0.339556,25.1665,12.3781,123.376,-0.0827778,301.689,499.164,-2.27958,-0.315282,-7.72084,-0.159573,-0.505601,-373.794,622.115,96.3868,13471.3,10953.7,0.0741034,2.0384,-3.01348,2.19411,1.84808,1.95933,919.856,123.454,13769,0.0609097,0.809803,0.0162481,15102,-0.00194568,0.0486652,13.5626,17.5038,124.517,89.0216,1.17513,12.6336,11.4163,123.205,127.062,1.31185,-38.0405 
