cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2659,6,0,12842.1,-0.0713986,25.6244,12.565,123.584,0.00454566,20.9471,9.45832e-06,-6.30312,-8.05482,-10.6924,-2.26682,-5.79425,-689.78,2094.91,117.136,12894.3,10484.3,-1.95976,-3.71147,-2.00571,2.07653,-1.45089,0.715554,2644.34,167.084,13443.7,0.160347,0.900435,0.022382,16491.4,-0.00247276,0.169616,12.7872,12.9531,124.408,82.4308,1.00152,13.2626,12.318,123.355,127.626,1.05261,-45.1948 
1,47.4259,10,1,12439,-0.426154,25.0533,-12.7137,123.526,0.0720945,28.1812,346.182,-9.32717,-6.58157,-12.9085,-3.49848,1.23928,-689.95,600.646,134.595,13746.5,10435.1,-4.98274,-2.23714,-4.21962,0.845953,5.58371,0.157733,1150.22,184.556,14296,0.072454,0.780766,0.0232285,15875.1,-0.00229808,0.0455312,13.4584,25.5033,123.117,98,1.09162,13.0491,11.8444,123.369,127.968,-0.251894,-29.9681 
2,47,10,2,10692,-0.0167788,23.4922,11.9511,123.539,-0.00617444,13.7883,500,-5.09254,-11.4786,-16.3617,-9.36885,-4.90303,-712.408,51.3233,101.058,13248.8,9142.39,-0.606698,-6.99279,-7.39004,-4.883,-0.417185,0.635774,618.782,152.645,13816.3,0.0416701,0.69847,0.019946,14849.6,-0.0023622,-0.0144612,28.4267,7.17562,113.137,72.8356,1.12153,12.6799,11.7276,123.464,127.982,-10.327,-55.1469 
3,47.2299,2.5,3,13764.5,-0.117751,28.6611,12.0084,123.382,0.00427515,-6.38315,499.727,-0.110125,-6.89972,-10.3438,-0.705955,0.651684,-599.051,2864.9,111.674,13084.8,11204.9,3.66194,-3.12765,-2.79962,3.06611,4.42375,1.53586,3342.06,155.053,13562,0.193061,0.924907,0.0206261,17310.9,-0.00229736,0.284394,11.4048,11.0395,124.61,80.8775,1.12263,12.5705,11.6762,123.012,126.914,1.59711,-46.0366 
4,47.4459,10,4,10922,-0.00244086,23.0273,12.0809,123.632,-0.00561546,36.7146,500,-5.99382,-3.223,-3.99452,1.90567,-3.37929,-655.519,429.86,113.75,12757.2,9062.77,-1.86619,0.90463,4.26074,6.0333,0.748345,0.577342,952.006,161.218,13279.3,0.0650734,0.771394,0.0218749,14629.7,-0.00253473,0.041834,14.2918,-19.1691,123.378,98,1.05838,12.6345,11.7842,123.449,127.347,-0.0709967,-29.3469 
5,47.3459,10,5,12536.1,-0.476874,25.248,12.927,123.578,0.363158,341.288,373.554,-10.3704,-6.71675,-13.6702,-7.83707,-2.75052,-643.179,1516.77,128.495,13081.2,14659.5,-6.32042,-2.66683,-5.57034,-3.78714,1.2994,0.673204,2029.08,175.069,13593.5,0.126577,0.868818,0.0231744,16030.4,-0.00248882,0.0950102,13.9806,17.362,124.972,84.0685,1.02669,13.2253,12.1608,123.304,127.77,1.66814,-43.7018 
6,47.2459,5,6,14084,-0.496944,28.4274,12.4989,123.681,0.286658,98.4508,301.548,-3.93577,-6.31086,-13.8449,-4.88576,-2.37142,-676.179,3253.31,109.998,13075.6,12485.3,0.321944,-2.05314,-5.32944,-0.628039,1.88629,0.0815086,3791.92,158.962,13614.2,0.212855,0.931652,0.0210558,17814.6,-0.00248722,0.298966,12.0585,11.4863,124.349,81.046,1.06987,12.935,11.9753,123.34,127.303,1.00874,-46.2572 
7,47.1959,3,7,10803.2,-0.0711151,22.4791,12.352,123.51,0.0225365,12.2615,436.403,-3.25449,-9.74195,-11.7698,-8.94538,1.47919,-616.832,177.782,121.542,12633.8,9047.8,0.629536,-5.85793,-4.00176,-5.06135,5.36322,0.551788,669.111,166.208,13125.1,0.0471604,0.697009,0.0227955,14188,-0.00152652,-0.0075927,5125.96,6.47018,113.143,72.5191,1.03104,12.7265,12.1296,123.394,126.985,-10.2502,-54.4658 
8,47.2239,2,8,14288.7,-0.343419,29.3877,12.0568,123.886,-0.591987,201.624,0.000196798,1.86432,-6.94693,-13.2062,-3.67912,-3.35334,-583.117,3622.9,104.071,12725.9,15419.8,5.53605,-3.2752,-5.86271,-0.00738536,0.318396,-0.781519,4087.37,146.296,13190.3,0.231272,0.941056,0.0200219,17673.4,-0.00220008,0.338872,11.8932,11.3606,124.843,81.6503,1.0738,12.5965,11.8192,123.422,127.961,1.42011,-46.3106 
9,47.2339,3,9,13213.1,-0.459619,28.0284,12.0994,123.766,-0.564542,405.27,497.432,-6.39896,-3.20193,-1.96556,-1.9879,-4.52405,-527.863,2768.76,88.0824,12634.7,18487.6,-3.07515,0.121884,4.68207,1.33592,-1.20023,-1.51118,3189.22,126.306,13055.1,0.191706,0.935185,0.01751,16636,-0.00234824,0.282567,11.6388,10.7758,124.583,80.7538,1.0972,12.5582,11.5459,123.487,126.937,1.09602,-46.1834 
