cyc,pulse time,wait time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.15,0.7,0,4215.06,0.000767414,14.8221,8.27244,124.236,-0.0014393,-4.9965,2.53794e-05,1.67472,0.912939,-4.87615,-3.98362,-2.76716,-441.35,3332.9,5.32131,2745.33,3991.76,4.45378,3.692,0.681966,-1.20456,0.0118955,0.91068,3684.45,37.2805,3096.88,0.535979,0.982601,0.0216943,6874.24,-0.00174674,0.567389,8.86048,8.16648,124.512,78.7386,0.444062,8.78899,8.92967,123.855,125.565,0.657045,-46.8263 
1,0.04,0.81,1,6887.8,-0.368425,22.7787,8.40229,124.092,-1.24874,1103.21,74.9435,0.698758,0.240345,-8.37325,-1.9727,-1.71561,-456.256,4891.97,13.2534,3994.3,51076.4,3.57168,3.11327,-2.6274,0.900227,1.15731,1.42966,5255.39,46.292,4357.73,0.539355,0.984819,0.019193,9743.85,-0.00194153,0.849668,8.71414,8.1447,124.203,79.1982,0.658153,8.61676,9.00375,123.883,126.186,0.319426,-46.9881 
2,0.18,0.67,2,3675.92,-0.21707,12.6648,8.32064,124.008,0.0840425,42.9357,500,-0.197242,0.0806021,3.26748,-1.57762,-2.66185,-407.529,2888.08,12.9599,2293.64,3547.91,2.36886,2.64671,8.39969,0.988481,-0.0957474,0.412937,3212.7,42.4701,2618.25,0.54365,0.977389,0.0290134,5909.5,-0.00138652,0.47028,8.73661,8.60105,124.308,78.1415,0.354206,8.7496,9.34444,123.682,124.925,0.62578,-46.7832 
3,0.05,0.8,3,6353.82,-0.0487813,20.1545,8.2897,124.214,0.066317,-20.001,499.991,0.513601,1.15388,-5.4774,0.548749,-0.255981,-288.863,4461.07,8.18076,3570.85,5482.01,2.33249,2.97277,-1.83962,2.36764,1.56291,1.24873,4691.15,29.098,3800.94,0.545095,0.989262,0.0139061,8606.12,-0.00157388,0.763176,8.694,8.22189,124.367,78.8098,0.579919,8.58302,9.07392,123.918,125.757,0.448963,-46.9471 
4,0.2,0.65,4,3662.87,-0.00525353,13.6011,8.26748,124.085,-0.00308157,-8.8309,500,1.92357,-3.03777,0.501139,-0.0401468,0.0528937,-417.936,2953.67,-5.74418,2631.74,3661.4,4.5552,-0.406132,5.76441,2.59149,2.68453,0.6205,3286.57,24.5196,2964.65,0.518374,0.987112,0.0150068,6340.15,-0.00182147,0.501522,8.95356,8.23406,124.365,78.9008,0.41093,8.84204,9.13817,123.709,125.76,0.656203,-46.8588 
5,0.12,0.73,5,5778.69,-0.321749,18.605,8.70783,124.356,0.153118,-21.5779,0.77966,2.48742,-1.15943,-7.04609,-4.0567,-2.75977,-418.01,4199.7,6.11716,3415.68,5381.48,5.11951,1.47266,-1.7819,-1.4246,-0.127671,1.54693,4532.66,36.3863,3748.64,0.540004,0.986146,0.0175663,8393.76,-0.00180549,0.682907,9.08004,8.38471,124.427,78.7138,0.534155,9.05048,9.07937,124.062,125.479,0.364737,-46.7652 
6,0.14,0.71,6,4208.05,0.0105026,14.8087,8.23926,124.075,0.0123633,12.4169,8.05432e-06,-1.84011,0.97599,-4.89708,2.8219,-4.64811,-343.811,3237.7,16.3111,2716.77,3976.93,0.324775,3.14088,-0.567305,4.98679,-2.48322,1.10502,3511.56,41.2073,2990.63,0.532707,0.979877,0.0247537,6591.91,-0.0016962,0.55021,8.7117,8.41185,124.341,78.8361,0.434505,8.71296,9.19199,123.757,125.43,0.584094,-46.5937 
7,0.02,0.83,7,9110.73,-0.301408,26.5217,8.75052,123.994,-3.85292,5640.89,307.814,-1.60422,1.01648,-4.19081,-2.39962,0.287355,-335.418,6186.84,24.3168,4618.14,715065,0.50782,3.12852,0.0332708,-0.287577,2.3994,0.994245,6454.01,48.6053,4885.31,0.561908,0.986992,0.0179978,11485.9,-0.00155443,1.01113,8.91367,8.37166,124.215,78.8501,0.722445,8.84057,9.0469,123.625,125.419,0.589797,-46.5688 
8,0.03,0.82,8,7790.05,-0.0125182,23.4736,8.41093,124.255,0.00094963,-83.3442,499.926,-3.07025,-1.48705,-4.06408,1.6995,-2.28362,-327.267,5431.02,18.4858,4080.31,6429.74,-1.00954,0.573663,0.0573447,3.76021,-0.222914,0.981846,5691.7,42.184,4340.99,0.560046,0.987196,0.017586,10162.9,-0.00161737,0.918998,8.86419,8.16802,124.484,78.4164,0.665736,8.66126,8.91146,123.866,125.067,0.618617,-46.6506 
9,0.07,0.78,9,5375.42,-0.00287862,17.7656,8.2056,123.859,-0.00148135,-48.779,500,-0.169413,1.01453,-3.27403,-1.29858,-0.365871,-417.146,3822.04,22.9255,3280.38,4747.88,2.45725,3.64118,1.97928,1.32808,2.26079,0.830346,4154.31,53.1321,3612.66,0.527508,0.978108,0.0263776,7875.35,-0.00162208,0.634325,8.72624,8.49077,124.035,78.6951,0.526529,8.56091,9.18407,123.617,125.535,0.418267,-46.8402 
10,0.1,0.75,10,4118.87,-0.0796287,15.0314,8.02169,124.225,-0.0222073,56.7866,500,-0.850902,-2.06484,-1.62253,-0.543125,-0.00460044,-256.203,3198.09,-1.68823,2704,3966.24,0.76234,-0.451594,1.60396,1.07012,1.60864,0.650817,3402.17,16.8641,2908.08,0.531797,0.9914,0.0105695,6397.48,-0.00173658,0.567059,8.53761,8.24614,124.524,79.2386,0.444743,8.68779,8.97162,123.92,126.167,0.603662,-46.9283 
11,0.08,0.77,11,5631.25,-0.354975,19.1882,8.47266,124.3,-0.957272,-872.001,0.360296,-1.87995,2.71479,-6.7225,-2.73128,-4.08204,-409.906,4171.18,21.6127,3441.78,32466,0.701126,5.29586,-1.56036,-0.150204,-1.50097,1.56018,4497.69,51.295,3768.29,0.536779,0.980432,0.0244619,8379.03,-0.00185837,0.716779,8.70326,8.21589,124.401,78.6249,0.554621,8.72769,8.99874,124.017,125.418,0.384641,-46.7928 
12,0.09,0.76,12,3909.53,-0.357268,15.2534,8.22346,123.843,0.351543,-205.327,318.887,-1.70743,0.126035,0.623801,-2.59208,-3.6687,-420.009,3045.89,2.42883,2892.23,6433.09,0.93726,2.77072,5.91317,0.0526085,-1.02402,0.316376,3380.44,32.8427,3226.78,0.504241,0.983282,0.0184042,6704.03,-0.001954,0.550557,8.37184,8.22405,124.055,78.9788,0.465938,8.8935,8.96135,123.446,125.753,0.609126,-46.7741 
13,0.11,0.74,13,4407.23,-0.0031769,14.9764,8.17629,124.472,-0.0074141,7.12101,4.87883,-0.27843,2.39052,-4.56191,-4.72961,-2.67486,-345.234,3324.18,9.41636,2721.82,3987.91,1.89542,4.56436,-0.214215,-2.55576,-0.501011,1.06718,3599.17,34.4156,2996.81,0.538324,0.983542,0.0207166,6685.88,-0.00152074,0.552268,8.73372,8.44872,124.707,79.3696,0.434062,8.64017,9.16527,124.1,126.549,0.607051,-47.1791 
