cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2319,2.5,0,12273.5,-0.0123199,24.9139,11.7014,124.584,0.00811631,8.87434,1.46244e-11,-5.73566,-6.82093,-5.14901,-0.256817,-0.980965,-547.613,503.174,18.5503,13646.8,9492.49,-2.28748,-3.37275,1.74735,3.19136,2.46721,-0.000953824,1142.81,30.6189,14286.4,0.0720662,0.955213,0.00393251,15857.8,-0.00210662,0.0479378,13.4475,18.3437,125.837,89.0276,1.15188,12.3817,11.7678,124.34,127.156,1.49698,-38.1288 
1,47.2959,9,1,13198.6,-0.0235459,26.0937,12.1015,124.359,-0.0287445,25.0944,0.0758818,-2.32381,-0.129551,-5.34708,-3.03954,0.0222713,-628.137,690.509,23.4924,14514.1,10303,1.6314,3.82566,2.56335,0.915678,3.97748,0.8015,1424.2,37.3356,15247.8,0.0831433,0.956136,0.0044903,17129.5,-0.00218971,0.0508149,13.9622,20.4676,125.553,89.5045,1.20232,12.6464,11.6822,124.223,126.811,1.3304,-37.307 
2,47.2259,2.2,2,12466.3,-0.278395,25.748,11.7429,124.368,-0.562194,809.676,498.486,-5.52365,-0.900242,-3.93277,-1.21832,-1.90412,-529.525,667.474,11.313,13583.8,24660.8,-2.18937,2.43404,2.73579,2.11596,1.43016,0.580823,1285.98,22.983,14202.3,0.0808065,0.969673,0.00297215,15914.3,-0.00198848,0.0597267,12.5421,17.5159,125.895,85.8082,1.20729,12.193,11.3625,124.121,126.293,1.77386,-40.4849 
3,47.2079,2,3,11889.4,-0.0225353,24.6927,11.7138,124.272,-0.025969,-13.0328,3.93583e-13,-0.480504,-0.802769,1.70717,1.70063,-1.14915,-571.763,111.998,11.1568,13874.4,9426.93,3.11974,2.79747,8.90765,5.30087,2.45109,0.605452,779.843,23.7577,14542.3,0.0494875,0.949385,0.00300041,15758.4,-0.00175751,-0.0189679,-16.2947,6.75354,107.744,71.7391,1.1927,12.391,11.6514,124.167,126.084,-16.4233,-54.3448 
4,47.2639,6,4,12367.9,-0.277325,25.1613,-11.927,124.31,-0.100878,315.56,499.187,-2.57461,-0.8907,0.408891,-3.90021,-0.564509,-523.544,694.824,19.0661,13464.1,10805.5,0.722008,2.40592,7.00213,-0.603594,2.73211,0.428797,1306.35,30.6042,14075.7,0.0826578,0.960617,0.00398925,15804.3,-0.00198313,0.056946,12.9585,18.3819,125.395,87.9456,1.15265,12.4284,11.5554,124.175,127.071,1.22037,-39.125 
5,47.5059,10,5,11983.3,-0.28212,24.1246,12.1158,124.4,0.0256043,157.141,208.899,-0.341879,1.78009,-6.03041,-2.64623,-3.17482,-519.838,143.619,20.3718,13579.6,9645.92,2.9314,5.05337,0.516156,0.627052,0.0984684,0.944057,750.813,31.8283,14186.8,0.0488708,0.930938,0.00411579,15363.2,-0.0013556,-0.0132566,21.1134,6.71741,106.29,70.1616,1.15619,12.4087,11.679,124.22,126.846,-17.9299,-56.6847 
6,47.2169,1.6,6,12760.3,0.00501787,25.0285,12.0723,124.273,-0.00105753,-11.4465,1.27187e-12,-1.20492,-0.859082,-4.81983,0.165856,-1.15241,-586.684,524.748,20.4996,14067.1,9836.4,2.48928,2.83511,2.56856,3.86005,2.54179,0.820315,1210.02,33.4292,14752.3,0.0737597,0.953882,0.00415692,16404.9,-0.00206821,0.0477187,13.0255,19.542,125.341,90.6121,1.15367,12.7066,11.7978,124.044,125.91,1.29754,-35.2979 
7,47.2139,1.7,7,11701.6,-0.0224646,23.5403,11.8604,124.299,-0.0255096,9.40518,500,-3.24898,0.54545,-1.53906,-3.79427,-0.104366,-420.97,332.643,12.7072,13060.9,9096.62,-0.59824,3.19619,3.76242,-1.14353,2.54637,0.515352,824.355,21.9848,13552.6,0.0557618,0.95541,0.00297933,14783.5,-0.00193753,0.0420236,12.154,17.7477,125.531,91.4929,1.10315,12.5789,11.6195,124.146,126.278,1.38522,-34.7847 
8,47.3459,10,8,11414.8,-0.0223128,23.5332,11.7556,124.312,-0.0233546,-8.7016,499.99,-2.45274,1.84787,-4.87698,-1.9295,-3.80089,-520.624,311.504,10.7007,13066.4,9012.42,0.825492,5.1261,1.67948,1.34872,-0.52266,0.801413,919.615,22.1745,13674.5,0.0612897,0.959511,0.00297824,15004.4,-0.00213599,0.0367411,12.5393,-20.9592,124.858,97.0169,1.13412,12.3881,11.3803,124.148,126.562,0.709508,-29.5456 
9,47.2149,1.6,9,11308.7,-0.0627741,24.0412,11.6622,124.389,0.0238481,-78.8011,1.81814e-12,-0.814315,0.517422,-5.79433,-1.02113,-0.228087,-571.781,145.519,13.7656,13346.4,9188.28,2.78604,4.11777,1.40637,2.57923,3.37226,0.901388,813.384,26.3668,14014.2,0.0533436,0.946317,0.00345383,15248,-0.00183828,-0.0065731,106.845,4.54301,152.996,70.878,1.1851,12.3487,11.3708,124.306,126.143,28.6902,-55.2649 
10,47.2179,1.7,10,11975.8,-0.329253,24.3334,12.2248,124.274,-0.288919,617.58,48.4664,-2.93597,-1.74755,-6.56157,-3.21105,-2.6995,-523.251,463.006,23.7906,13341.2,15492.2,0.3588,1.54722,0.027969,0.083721,0.595274,0.989296,1074.19,35.3223,13952.4,0.0695483,0.945586,0.00464188,15445.2,-0.00204755,0.0458478,12.7702,21.4049,125.168,93.6413,1.11428,12.5814,11.6027,124.069,126.459,1.09912,-32.8176 
