cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2319,2.5,0,12339.8,-0.25186,25.0875,11.9099,124.672,0.0925306,5.81129,93.5808,-5.65975,-7.23945,-4.46554,-0.807102,-2.22737,-551.142,574.816,261.157,13275.5,9744.11,-2.18935,-3.76905,2.47525,2.66329,1.24303,-4.84922,963.935,350.954,13664.6,0.0640977,0.610818,0.0451742,15038.5,-0.00207471,0.0482075,13.3705,18.8848,125.897,89.4303,1.15168,12.3865,11.7668,124.339,127.171,1.55721,-37.7405 
1,47.2959,9,1,13080.6,-0.0222376,26.0401,-12.1466,124.355,-0.027083,14.6056,500,-2.76604,-0.624223,-5.44526,-4.24467,-0.635695,-604.535,676.684,309.487,14060.8,10309.5,1.04055,3.18237,2.16793,-0.438075,3.1709,0.762384,1103.5,407.983,14487.6,0.0688578,0.607162,0.0493168,16025.8,-0.00229465,0.0497762,13.7975,22.167,125.351,90.6384,1.19938,12.6509,11.6611,124.214,126.854,1.13692,-36.2158 
2,47.2259,2.2,2,12254.3,-0.317457,25.6513,11.7804,124.374,-0.49735,273.82,330.958,-6.03285,-0.538755,-4.50356,-2.11686,-2.55076,-512.242,669.824,223.779,13208.4,14270.3,-2.8074,2.6867,1.94734,1.10859,0.674692,0.46056,1031.48,307.238,13570,0.0687258,0.657351,0.0400371,15008.6,-0.00212272,0.0580535,12.2168,18.2666,125.916,86.2676,1.20611,12.1784,11.3485,124.118,126.31,1.79812,-40.0424 
3,47.2079,2,3,11861,-0.358307,24.9067,11.9756,124.296,0.0249634,-26.9165,68.0057,-1.32079,-2.051,0.453161,0.771861,-2.04416,-586.818,135.129,259.394,13533,9731.61,2.37425,1.64404,7.84324,4.4669,1.65088,0.563763,549.436,355.003,13947.3,0.0368373,0.469326,0.0447873,14915.2,-0.00172977,-0.00551535,172.638,5.35903,147.995,73.5367,1.19077,12.4022,11.6609,124.155,126.083,23.8404,-52.5466 
4,47.2639,6,4,12346.5,-0.092105,24.9546,11.8803,124.324,0.000895049,47.6611,499.999,-2.87276,-0.591883,-0.0299118,-5.12246,-1.84945,-519.963,724.849,252.63,13095.9,9652.38,0.401311,2.68218,6.51822,-1.8484,1.42462,0.289795,1091.95,337.347,13463,0.0729973,0.64908,0.0441217,14958.8,-0.00201699,0.056127,13.0045,19.0323,125.453,88.2248,1.15216,12.4382,11.5428,124.164,127.072,1.28857,-38.8469 
5,47.5059,10,5,11909.9,-0.307578,24.1042,-12.1797,124.422,-0.297002,413.897,50.8933,-0.102749,1.84554,-7.67579,-4.01692,-4.53594,-529.602,178.859,282.64,13207.1,13558.8,3.23202,5.18031,-1.00626,-0.682156,-1.20117,1.1822,552.77,368.927,13581,0.0380141,0.461259,0.0476561,14541.2,-0.00141938,-0.0137693,21.5237,6.4895,105.412,70.5054,1.1554,12.4174,11.6812,124.209,126.843,-18.7967,-56.3375 
6,47.2169,1.6,6,12510.1,-0.340303,25.1747,12.327,124.256,0.487029,-307.85,1.3328,-2.28876,-2.06054,-4.33123,0.191291,-1.61962,-605.97,523.06,307.709,13612.9,14983,1.52687,1.75509,3.30003,4.00692,2.19601,0.741881,950.887,406.438,14040.8,0.0616943,0.572081,0.050624,15412.9,-0.00226639,0.0464412,12.9148,21.1141,125.069,92.2103,1.15086,12.6939,11.7815,124.045,125.952,1.02416,-33.7414 
7,47.2139,1.7,7,11708.6,-0.0407084,23.4399,11.9829,124.294,-0.0512999,45.029,500,-3.53426,-0.100889,-2.37824,-4.38248,-1.09907,-450.204,389.201,222.566,12725.9,9218.69,-0.699443,2.73393,3.29139,-1.54767,1.73575,0.40308,707.054,295.917,13043.7,0.0499964,0.57723,0.0401145,14142.1,-0.00196484,0.0414268,12.5392,18.3952,125.741,91.745,1.10134,12.5912,11.6255,124.135,126.281,1.60676,-34.5359 
8,47.3459,10,8,11267.4,-0.360766,23.6901,12.0581,124.292,0.0338842,298.776,329.475,-3.61726,0.959813,-5.18329,-2.86396,-4.24506,-535.979,321.7,237.643,12745.2,9628.63,-0.24234,4.33473,1.56655,0.510964,-0.870136,0.704412,700.113,324.969,13123.6,0.0492431,0.551788,0.0436244,14217.5,-0.00226897,0.037165,12.5622,21.3272,124.849,97.4758,1.13189,12.3901,11.3823,124.143,126.57,0.706723,-29.0942 
9,47.2149,1.6,9,11107.8,-0.286535,24.1117,11.8564,124.372,0.130829,-61.4165,7.57116e-07,-1.32387,-1.29945,-6.7676,-1.49557,-0.909351,-607.806,170.959,237.227,13056.9,9567.79,2.50333,2.52774,0.886795,2.33162,2.91784,0.92059,600.083,336.255,13486.1,0.0414115,0.504895,0.0439133,14490.7,-0.00265554,0.0441883,11.4619,17.3055,123.894,98,1.18384,12.3744,11.2109,124.311,126.263,-0.416263,-28.263 
