cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2189,1.8,0,12673.2,-0.399555,26.8928,11.9211,122.576,-0.0568451,-106.002,181.545,-3.95695,-8.58254,-8.38959,-3.71046,0.108021,-698.314,479.903,96.7968,14447.6,10632.5,0.440145,-4.18544,0.404601,0.686637,4.50512,0.781422,1036.14,147.363,15003.9,0.0628337,0.80071,0.0177711,16490.1,-0.00250196,0.0412802,13.7896,-19.7145,123.961,98,1.26778,12.2881,11.4789,122.239,131.529,1.72181,-33.5286 
1,47.2144,1.6,1,11896.7,-0.398912,25.6996,11.8154,122.484,0.142232,129.156,212.132,-1.3583,-3.60707,-12.1984,-2.82354,-4.39321,-688.933,256.703,97.5498,13885.9,10482.9,2.97973,0.73096,-3.5223,1.51448,-0.055187,3.13772,805.464,147.437,14434.7,0.0513912,0.757386,0.018468,15673.2,-0.00190078,-0.0138999,14.2933,5.64461,104.569,75.329,1.20967,12.1728,11.7694,122.236,131.277,-17.6674,-55.9477 
2,47,10,2,12599.1,-0.055117,27.0743,11.5927,122.444,0.0184499,4.58018,499.982,-2.68119,-7.45064,-10.6532,-2.94934,-3.36159,-655.355,159.938,95.7204,14797,10220.1,1.44541,-3.32404,-2.40005,1.17725,0.76501,-0.0272366,681.953,143.176,15319,0.0414296,0.731308,0.0169255,16460.5,-0.00207997,-0.0183618,16.7897,6.62619,107.874,75.8229,1.29945,12.1964,11.6934,122.178,131.381,-14.3037,-55.5585 
3,47.2859,7,3,11272.5,-0.0849756,24.7641,11.5471,122.654,0.00134815,-22.277,500,-7.46366,-5.10543,-7.19387,-2.94304,-3.84107,-683.1,207.242,93.1965,13450,9309.69,-3.16236,-0.80413,1.40873,1.35827,0.460227,2.90558,751.357,142.661,13994.1,0.0495446,0.750595,0.018433,15165.3,-0.00206564,-0.016339,15.6822,5.61085,103.003,75.3878,1.18029,12.1688,11.7156,122.402,130.868,-19.399,-55.4799 
4,47.4259,10,4,10485.4,-0.421559,24.1775,11.3975,122.567,0.191795,228.371,480.302,-1.52171,-4.99572,-9.21597,-5.11351,-5.93266,-610.529,147.25,81.2325,12722.9,10396.4,2.32263,-1.15138,-1.52729,-1.26917,-2.08832,0.588723,633.558,125.442,13209.2,0.0444946,0.74267,0.017193,14239,-0.00200537,-0.0129105,21.1198,6.98784,103.006,74.6547,1.19795,11.8046,11.1903,122.273,131.08,-19.2672,-56.4252 
5,47.2164,1.5,5,12308.2,-0.179153,26.0637,12.0912,122.652,0.182464,-90.5946,12.302,-0.0903799,-6.204,-7.03971,-0.757497,-2.29188,-607.069,276.182,139.415,14292.3,10797,3.73217,-2.38145,0.605387,3.06505,1.53067,0.9076,759.735,183.374,14775.9,0.0475461,0.703042,0.0223502,15978.9,-0.00194178,-0.0161393,17.5833,5.97241,103,76.2986,1.19462,12.4599,12.0587,122.202,131.147,-19.2016,-54.8479 
6,47.2659,6,6,12219.5,-0.418895,26.5164,11.801,122.442,0.197416,98.4969,459.614,-3.71673,-1.31628,-5.84834,-3.70975,-7.1877,-689.626,345.931,111.398,14175.8,10819.6,0.625661,3.02611,2.83644,0.632639,-2.84531,0.336588,895.243,161.336,14725.1,0.0557363,0.76024,0.0197837,16062.1,-0.00185009,-0.0148011,14.7847,6.36759,103,74.4188,1.23953,12.1059,11.7843,122.109,131.367,-19.1089,-56.9486 
7,47.2139,1.7,7,12957.1,-0.00787592,27.2646,11.8251,122.54,0.0723415,-29.3654,6.24455e-12,-8.47663,-5.06553,-10.647,-5.9311,-6.16507,-728.561,284.357,116.301,15073.7,10564.6,-3.88908,-0.477975,-1.47185,-1.34354,-1.57752,0.831979,864.683,169.057,15654,0.0508987,0.745074,0.019506,16988.3,-0.0020701,-0.0166581,12.3088,5.81725,112.361,74.8443,1.28376,12.3581,11.8956,122.17,131.546,-9.80895,-56.7014 
8,47.2329,2.5,8,11351.6,-0.229081,24.6899,11.6535,122.466,0.0417111,-213.443,500,0.65694,-1.47994,-6.55762,-7.09156,-1.651,-616.291,324.417,86.9566,13239.4,9656.15,4.53756,2.40068,1.20362,-3.21094,2.22962,0.83191,815.316,131.584,13730.3,0.0545087,0.779768,0.0173475,14957.5,-0.00176569,-0.0101577,16.0477,6.51463,103.017,73.6524,1.19657,12.0155,11.4549,122.157,131.241,-19.1404,-57.5886 
9,47.2134,1.7,9,12626.4,-0.0840917,26.6399,11.8083,122.618,-0.0505032,85.6687,499.409,-3.51424,-2.6819,-14.3821,-3.80926,-4.6727,-645.164,200.683,88.4021,14690.2,10381.2,0.548187,1.38053,-6.2572,0.253167,-0.610268,-0.335414,714.58,135.12,15204.1,0.0436389,0.751367,0.0161072,16374.8,-0.0019793,-0.0180396,17.4592,5.65267,107.578,74.8971,1.26715,12.401,11.7094,122.323,130.935,-14.7445,-56.0384 
10,47.2169,1.6,10,11449.7,-0.483498,26.1429,11.6106,122.426,-0.258904,661.885,1.61425,-0.470031,-4.72876,-0.314541,-5.78147,-3.70685,-684.58,181.586,87.5466,13858.6,15459.5,3.84059,-0.418137,8.3067,-1.47085,0.603765,0.235256,726.88,137.119,14403.9,0.0467058,0.751812,0.0172338,15562.9,-0.00227676,-0.0110218,16.4562,6.55417,109.731,74.1071,1.24388,11.9745,11.6225,122.145,130.451,-12.4145,-56.3443 
11,47.2184,1.7,11,12223.1,-0.00251907,26.07,-11.7775,122.527,-0.00950973,-3.31269,500,-2.1966,-0.297073,-8.83779,-7.68135,-4.45321,-685.656,318.64,107.121,14323.7,9996.2,2.12079,4.02032,-0.203002,-3.36396,-0.13582,1.08325,864.79,156.771,14869.9,0.0534456,0.759161,0.0190511,16180.8,-0.00208162,-0.00992062,-15.5459,6.79743,103.005,74.2719,1.22027,12.3396,11.937,122.265,131.698,-19.2599,-57.4259 
12,47.2149,1.6,12,13451,-0.158929,27.4619,12.0646,122.515,0.204708,303.89,0.0703027,-3.55998,-6.85405,-8.09251,-3.25482,-3.79257,-575.297,277.087,132.209,15125.4,12810.5,0.0625151,-3.23155,-0.84752,0.367674,-0.17008,0.778076,735.332,173.868,15583.7,0.043805,0.707322,0.0201386,16786.5,-0.00167642,-0.0133358,18.5689,6.30985,105.301,73.9871,1.26182,12.5015,12.0244,122.172,130.683,-16.8702,-56.6957 
13,47.2159,1.5,13,12667,0.019537,25.9516,11.896,122.584,0.00568054,10.7839,3.943e-12,-0.444851,0.758206,-5.87834,-2.00043,-0.592118,-708.133,236.205,121.673,14464.6,10051.8,4.01407,5.21713,3.03951,2.45849,3.86681,0.836551,800.259,172.95,15028.7,0.0491566,0.725581,0.020759,16279.8,-0.00174522,-0.016574,20.9554,5.82076,103,76.1032,1.2029,12.4704,12.0986,122.164,130.809,-19.164,-54.7056 
