cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2189,1.8,0,3122.39,-0.362077,-13.1631,-8.37338,123.509,1.1049,19.5636,9.75281,-4.21142,-3.14606,-7.12526,-7.8493,-1.25672,-632.825,132.882,65.9783,5152.38,4291.67,-0.226685,0.838669,0.844203,-3.86457,2.72801,-1.64119,636.951,111.803,5656.44,0.120744,0.765009,0.0351311,5275.24,-0.00177062,-0.00189977,0.114617,0.0888189,108.463,69.9433,0.791511,8.68721,9.14015,123.454,128.511,-14.9905,-58.5678 
1,47.2144,1.6,1,3200.21,-0.348695,-12.8181,8.64231,123.435,-0.177376,163.598,308.453,-3.72128,-1.69168,-11.9553,-4.68803,1.76033,-661.498,122.013,46.0233,5140.13,4550.84,0.443992,2.47359,-3.62473,-0.522754,5.92561,1.77192,648.92,93.924,5667.03,0.122533,0.797898,0.0296261,5295.89,-0.00162416,-0.0106726,14.9313,-5.67182,106.887,74.7987,0.81033,8.65866,8.93219,123.462,129.092,-16.5743,-54.2929 
2,47,10,2,2981.11,-0.187716,-11.9601,8.40604,123.989,0.259066,-106.899,500,-3.85178,-2.84757,-6.43979,-3.78136,-2.31599,-656.655,76.1213,53.5145,4972.25,4174.35,0.283004,1.28722,1.82978,0.353419,1.81879,0.671625,599.171,101.064,5495.3,0.117362,0.772094,0.0327682,5105.32,-0.00164676,-0.0116931,18.5699,-6.748,106.652,74.4937,0.75478,8.81367,9.1489,123.757,128.427,-17.1055,-53.9329 
3,47.2859,7,3,3279.42,-0.0645016,-12.755,8.57667,123.736,-0.168998,91.27,499.999,-3.49532,-1.61317,-6.76921,-5.16727,-5.54707,-627.861,193.027,50.7509,5236.73,4063.3,0.458154,2.3403,1.13774,-1.2138,-1.5936,-0.00792153,693.141,96.2159,5736.84,0.128422,0.804557,0.0299691,5397.35,-0.00215379,0.0290749,12.4611,-19.8877,124.104,98,0.777502,8.96984,9.01721,123.594,128.813,0.509712,-30.813 
4,47.4259,10,4,2996.03,-0.197855,-11.7364,8.51864,123.782,0.799638,118.29,0.0408831,-4.16505,-0.599244,-8.52625,-3.95743,-1.15492,-594.384,61.8058,42.5618,4931.99,6333.79,-0.422374,3.14343,-1.0409,-0.214757,2.58776,1.25681,535.254,85.6026,5405.43,0.107747,0.781326,0.0283454,4967.71,-0.00162772,-0.0135201,14.2393,-6.07489,110.13,74.0359,0.72578,8.92026,9.34277,123.639,128.353,-13.509,-54.3175 
5,47.2164,1.5,5,2946.9,-0.00187695,-11.6966,8.14133,123.653,0.0104299,-1.36984,500,-0.379109,-5.21265,-9.36349,-4.41119,-1.37549,-577.884,83.984,35.2856,4826.63,3100.38,3.25967,-1.57387,-2.08592,-0.77241,2.26329,2.91235,544.29,77.1316,5286.94,0.111544,0.801286,0.0261713,4879.58,-0.00157303,-0.0129642,-13.863,5.34598,106.698,75.7775,0.744341,8.59197,9.21226,123.42,128.29,-16.7219,-52.5127 
6,47.2659,6,6,3336.55,-0.0314813,-12.6431,8.41437,123.78,0.0463097,-7.48941,1.88575e-05,-6.27299,-3.06777,1.05291,0.735949,-4.52229,-624.409,196.554,35.0643,5179.34,3474.43,-2.34126,0.86397,8.91639,4.66768,-0.590555,0.225755,693.918,80.2792,5676.7,0.129733,0.83163,0.0253894,5348.81,-0.00205009,0.0254252,11.6505,21.9885,123.372,97.9999,0.766485,9.03383,9.07517,123.577,128.138,-0.205499,-30.1383 
7,47.2139,1.7,7,3219.06,-0.00407308,-12.669,8.2825,123.904,-0.025626,10.0354,462.07,-5.46573,0.287222,1.69898,0.478343,-1.02623,-641.285,131.48,30.584,5163.19,3424.22,-1.42773,4.32522,9.77498,4.51634,3.01177,0.516104,642.287,77.021,5674,0.121301,0.826546,0.0243954,5294.97,-0.00168098,-0.015608,11.8803,-4.75989,103.017,74.9158,0.803643,8.81961,8.98317,123.679,128.125,-20.662,-53.2094 
8,47.2329,2.5,8,3185.83,-0.0925327,-12.4943,8.26741,123.572,0.00379445,74.4475,5.22445e-05,-3.27568,0.334282,-3.88872,-0.295571,-5.58671,-608.652,98.9551,35.6008,5109.34,3371.82,0.55684,4.1668,3.77633,3.53695,-1.75419,0.632751,583.769,79.6748,5594.15,0.112893,0.807203,0.0255655,5170.97,-0.00158784,-0.0138439,14.0631,-5.93574,105,73.9096,0.765324,8.75009,9.29468,123.374,127.847,-18.3736,-53.9376 
9,47.2134,1.7,9,2860.85,-0.383321,-12.3405,8.5581,123.444,0.909411,115.803,32.4394,-5.38661,-4.76998,-0.302401,-4.03017,-3.08032,-599.014,132.797,35.6272,4870.26,6866.27,-1.61478,-0.998144,7.24127,-0.258335,0.691518,-0.430649,609.934,79.0033,5347.4,0.122114,0.815213,0.0264945,4994.8,-0.00171303,-0.0092474,-13.5673,6.39625,103.004,72.9202,0.748071,8.78958,9.07296,123.32,128.982,-20.3166,-56.0615 
