cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2189,1.8,0,4188.74,-0.00505354,14.5991,8.50511,123.461,-0.00544853,-5.15511,6.42967e-12,0.383578,2.90768,-2.18332,-2.09725,-3.33215,-152.742,274.039,74.2815,5884.88,4042.96,1.34535,3.86945,-0.259773,-1.13547,-2.37037,1.17925,395.703,85.3419,6006.54,0.0743654,0.725992,0.0255054,5321.07,-0.00195702,0.0309661,12.5152,-23.3001,124.99,98,0.843439,8.90711,9.24764,123.303,131.115,1.68648,-33.1152 
1,47.2144,1.6,1,4168.96,-0.00158571,14.0629,8.61113,123.62,0.0117776,3.87709,1.42987e-06,-2.42269,-1.66733,4.59515,0.43062,-2.55157,-168.768,258.861,62.1049,5860.45,3943.62,-1.36,-0.604642,6.72052,1.49331,-1.48889,-0.411785,393.291,74.3258,5994.88,0.0740787,0.751471,0.0223289,5309.09,-0.00193914,0.0284998,-14.0304,-19.8266,125.562,98,0.844157,8.97873,9.24667,123.381,130.646,2.18102,-32.646 
2,47,10,2,4578.12,-0.293521,14.5574,-9.11769,123.345,-0.586747,218.678,499.773,2.62254,-0.291975,-7.22644,-1.46941,-0.778726,-159.013,266.895,93.1341,6106.67,8497.66,3.62381,0.709288,-5.22391,-0.468145,0.222538,-3.59681,393.555,104.649,6233.33,0.0714919,0.682437,0.0299986,5504.88,-0.00114676,-0.00874431,-18.4282,-5.73945,103.002,77.8314,0.84345,9.18729,9.41421,123.144,131.353,-20.1422,-53.5218 
3,47.2859,7,3,4632.9,-0.00720421,14.3139,-9.03336,123.544,-0.0343853,75.2992,1.18449e-11,-1.90738,-2.70938,-6.07959,1.14076,-0.838573,-114.117,419.144,99.0889,5969.2,4293.52,-1.18881,-1.99082,-4.64247,1.85933,-0.120011,0.236786,510.042,107.352,6060.1,0.0930847,0.730815,0.031601,5479.33,-0.00175187,0.0395629,13.2214,21.394,124.081,98,0.795429,9.22843,9.52349,123.282,130.594,0.798937,-32.5942 
4,47.4259,10,4,4299.84,-0.327753,14.3245,9.11498,123.453,0.583,191.986,111.903,1.40103,0.671246,-6.27536,-1.56828,-1.59507,-204.01,255.518,79.7943,5935.77,7894.01,2.68563,1.95584,-3.70617,-0.283686,-0.310476,11.8641,418.019,94.5671,6098.28,0.0771452,0.716385,0.0277725,5418.61,-0.00133344,-0.0167646,-12.8088,-1.09444,110.473,76.4783,0.808505,9.13487,9.67329,123.222,131.11,-12.7489,-54.632 
5,47.2164,1.5,5,4590.67,-0.316168,14.9527,-9.09558,123.101,-0.176444,-695.169,148.442,2.06433,1.74586,-6.52953,-3.13237,-2.35101,-169.846,273.314,75.8726,6207.57,8420.29,3.1338,2.81533,-4.39058,-2.0629,-1.28154,-1.4585,408.602,88.1715,6342.86,0.072838,0.725885,0.0249676,5609.74,-0.0223204,0.0258773,461.194,139.348,103,98,0.876971,9.03688,9.31732,123.071,130.43,-20.0712,-32.43 
6,47.2659,6,6,4470.43,-0.0979148,14.6361,8.74787,123.463,0.254307,158.519,499.928,1.33593,-1.86425,-7.81548,-2.23498,-2.03311,-99.5624,459.907,65.8694,5834.79,5480.27,1.96285,-1.23733,-6.56164,-1.60807,-1.40619,0.258603,539.212,73.079,5914.09,0.100062,0.808292,0.0222558,5388.77,-0.00181649,0.0379009,12.7221,23.2267,124.086,98,0.804296,9.03635,9.46706,123.362,131.112,0.724518,-33.1117 
7,47.2139,1.7,7,4218.58,0.00132921,14.6817,8.52365,123.409,-0.00788458,6.20429,4.58297e-12,1.68547,2.15768,-9.30701,-2.96019,1.70644,-141.779,255.721,77.1762,5973.15,4075.36,2.57821,3.05042,-7.52151,-2.06744,2.59919,-4.52594,368.653,87.4428,6086.08,0.0687884,0.706668,0.0257843,5359.24,-0.00202575,0.031965,13.6095,-20.4513,124.358,98,0.880902,8.85523,9.09243,123.244,130.509,1.11434,-32.5088 
8,47.2329,2.5,8,4569.57,-0.0183137,14.5787,8.85033,123.402,0.016517,-6.97159,500,2.9371,-0.0383128,-5.2626,-0.642256,0.584021,-147.43,393.495,77.806,6005.18,4203.98,3.86543,0.890013,-3.40595,0.28607,1.51235,2.08197,510.928,88.4817,6122.61,0.0923675,0.767423,0.0259311,5531.47,-0.00181033,0.0337429,13.1505,24.3806,124.176,98,0.835458,8.97206,9.38071,123.258,131.158,0.918115,-33.1583 
9,47.2134,1.7,9,4291.9,-0.00324749,13.9748,8.66581,123.334,0.118715,-42.5455,500,-0.858749,-0.24339,-4.94284,-1.43569,-3.03861,-177.552,304.926,97.1459,5771.96,4106.72,0.25925,0.874608,-2.70685,-0.317695,-1.92061,0.289783,446.353,110.003,5913.39,0.0842918,0.698673,0.0331321,5295.33,-0.0197797,0.0244008,326.09,-125.056,118.04,98,0.808082,8.92322,9.34871,123.301,131.095,-5.26046,-33.0954 
