cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-4.04,43.1827,0,9220.23,-0.476747,29.1563,8.72633,123.762,-0.46469,258.919,267.426,-4.01204,-2.98577,-12.1506,-6.53155,-4.44106,-609.39,6063.64,37.4535,5816.54,12199.2,-0.174871,0.851404,-4.47622,-2.69438,-0.603895,0.369365,6549.04,81.5809,6301.94,0.558953,0.978665,0.0232913,11716.6 
1,-4.037,43.1857,1,9694.47,-0.0066155,30.2715,8.58936,123.789,-0.00294303,-38.8759,500,-2.3598,-3.13568,-7.90879,-8.51498,-8.48117,-741.387,6339.37,32.631,6323.16,8468,2.30852,1.53264,1.42785,-3.84666,-3.81285,1.5973,6929.91,86.3166,6913.7,0.55003,0.978668,0.0224814,12599.1 
2,-3.992,43.2307,2,7037.92,-0.479176,23.8202,8.69907,124.007,2.73291,-3687.63,465.186,-5.53271,-5.34442,-9.81707,-1.3076,-6.8081,-702.503,4930.43,34.0501,4851.7,334817,-1.10924,-0.920948,-0.970124,3.11587,-2.38463,0.572457,5490,84.92,5411.27,0.553024,0.973644,0.0280962,9927.24 
3,-3.974,43.2487,3,9959.97,-0.0250653,29.8542,8.72172,123.914,0.000973777,-8.05281,500,0.295697,-2.93017,-10.7089,-1.76435,-7.40217,-670.098,6553.99,41.0042,5918.61,8476.48,4.51513,1.28926,-2.27005,2.45508,-3.18274,1.8088,7087.75,89.5276,6452.37,0.572577,0.978373,0.0249225,12378.7 
4,-3.977,43.2457,4,9971.8,-0.34108,30.6494,8.7393,123.956,0.162643,313.309,499.985,-5.52944,-4.57403,-6.922,-9.4563,-3.96447,-587,6714.61,27.9061,5944.2,10378.4,-1.83325,-0.877845,0.470371,-5.76011,-0.268283,1.05688,7182.18,70.4122,6411.77,0.577354,0.983133,0.0198284,12439.8 
5,-4.007,43.2157,5,10014.5,-0.2684,29.9402,8.83666,123.777,0.249348,670.974,0.00485133,-5.22839,-0.449942,-10.5447,-4.87003,-8.39291,-661.534,6355.31,29.4909,6231.18,14059,-1.06288,3.71556,-2.21369,-0.70452,-4.22741,0.507296,6882.25,77.3942,6758.12,0.553952,0.9807,0.02066,12423.9 
6,-3.998,43.2247,6,8055.45,-0.0553105,25.7128,8.49653,123.611,0.00449864,65.923,500,-5.21942,-2.71911,-10.3948,-8.33654,-9.91014,-693.583,5366.49,30.9451,5274.64,7121.56,-0.852107,1.6482,-1.66015,-3.96923,-5.54283,0.840003,5918.95,81.1692,5827.11,0.553319,0.976564,0.0250178,10697.2 
7,-4.001,43.2217,7,8625.74,-0.200421,26.6952,8.71777,124.071,0.395927,314.786,7.38274e-07,-3.55645,-0.0407249,-11.6591,-7.2791,-4.039,-758.851,5693.31,40.0304,5602.41,11633.1,1.22184,4.73756,-2.10257,-2.50081,0.739282,2.00347,6297.76,94.9807,6206.86,0.553047,0.974286,0.027416,11387.4 
8,-3.959,43.2637,8,9418.27,-0.000162836,29.5786,8.38456,123.762,-0.0162547,1.84723,500,-3.37901,-1.25828,-9.74091,-2.23298,-4.73873,-703.581,5991.11,29.3573,6110.06,8074.31,1.05125,3.17198,-0.880388,2.19728,-0.308468,1.16828,6551.53,80.3053,6670.49,0.544992,0.979,0.0216958,12021.3 
9,-4.019,43.2037,9,9872.27,-0.102859,30.0357,8.54957,123.757,0.0123635,285.841,491.018,-1.82736,-7.36431,-8.04259,-5.57413,-6.78918,-598.187,6290.63,29.8585,6104.99,8474.5,1.93926,-3.59769,-0.509348,-1.80751,-3.02256,0.927214,6767.11,73.1746,6581.47,0.556327,0.981428,0.02007,12163.9 
10,-4.016,43.2067,10,9134.9,-0.120474,29.224,8.5809,123.707,0.125061,-176.047,7.0054e-09,-2.99652,-2.0752,-12.4912,-4.59251,-5.03955,-725.395,6246.78,29.8547,5855.39,8880.05,1.5711,2.49241,-3.356,-0.024895,-0.471928,16.9291,6824.59,82.3824,6433.2,0.564024,0.979312,0.023046,12099.8 
