cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-4.002,43.2207,0,10446.5,-0.016327,30.3614,8.8142,123.709,-0.00239985,-10.059,7.30649e-06,-5.35696,-0.416415,-8.6531,-7.43739,-1.98067,-568.387,6504.76,30.797,6280.11,8712.42,-1.77798,3.16257,-1.49514,-3.85841,1.59831,0.369313,6957.5,71.9553,6732.85,0.557562,0.982223,0.0193068,12478.4 
1,-3.962,43.2607,1,10176,-0.0264976,29.8933,8.74655,124.01,-0.00173472,-3.7148,480.396,-4.49513,-1.39783,-7.83697,-2.99052,-6.24034,-540.184,6497.65,24.6245,5952.82,8511.7,-1.09373,2.00356,-1.03418,0.410868,-2.83895,0.594825,6927.93,63.7405,6383.09,0.569634,0.984154,0.0180627,12162.1 
2,-3.98,43.2427,2,10241.8,-0.02209,30.1934,8.67424,123.895,0.0078372,25.3657,500,-0.817947,-0.527211,-9.10637,-5.08796,-4.75915,-593.897,6511.12,27.0623,6018.64,8532.35,2.92167,3.2124,-1.62715,-1.34835,-1.01954,1.76069,6984.18,70.0678,6491.7,0.567479,0.982746,0.0194951,12307.4 
3,-3.972,43.2507,3,10196.5,-0.0218505,30.675,8.5361,123.737,-0.0029422,9.00317,500,-5.33755,-3.07804,-11.6309,-6.64589,-4.77493,-594.867,6623.82,25.2311,5895.77,8524.79,-1.59183,0.667684,-4.13944,-2.90017,-1.0292,0.539702,7097.66,68.3069,6369.61,0.576074,0.983437,0.0193718,12320.7 
4,-4.016,43.2067,4,9842.42,-0.162782,29.0462,8.70662,123.736,-0.000119594,194.027,1.22465e-08,-4.4962,-1.22492,-7.49817,-4.88305,-4.1484,-574.013,6430.22,43.0756,5635.43,8233.31,-0.881792,2.38949,-0.269356,-1.26865,-0.533995,0.522673,6887.45,84.6412,6092.65,0.579585,0.978947,0.0249526,11883.4 
5,-4.01,43.2127,5,9723.45,-0.0112604,29.4901,8.52861,123.801,0.00935923,-23.1874,500,-3.65962,-2.35983,-10.0796,-3.62992,-3.17863,-594.098,6240.71,30.415,5821.14,8194.53,0.0812523,1.38105,-2.59789,0.110952,0.562242,-4.6184,6713.93,73.4351,6294.36,0.565369,0.981218,0.0210393,11875.3 
6,-4.025,43.1977,6,10309.8,-0.422202,30.3163,8.96621,123.738,-0.133175,445.016,209.933,-7.00265,-0.177362,-9.06143,-3.26404,-2.48743,-626.868,6784.96,33.4326,5896.98,10778,-3.05543,3.76986,-1.16698,0.683184,1.4598,1.69034,7284.29,78.8257,6396.31,0.581382,0.981415,0.0221975,12529.3 
7,-3.989,43.2337,7,8079.9,-0.0125404,25.7221,8.36586,123.647,0.00748582,6.72063,8.02708e-12,-2.86455,-3.15096,-10.8514,-9.49048,-6.94241,-583.336,5331.02,24.456,5070.68,7006.69,0.808559,0.522146,-3.50519,-5.81737,-3.2693,0.688736,5795.66,66.6968,5535.32,0.5608,0.980258,0.0217141,10334.6 
8,-3.984,43.2387,8,8442.28,-0.191686,26.8582,8.56779,123.61,0.514923,296.831,0.00128813,-4.02795,-0.536053,-9.7657,-5.26485,-3.4579,-625.808,5711.34,15.9075,5255.59,12466.6,-0.0874003,3.40449,-1.8846,-1.3243,0.482644,4.18977,6209.82,61.2238,5754.07,0.56824,0.983039,0.0192234,10928.2 
9,-4.004,43.2187,9,9600.73,-0.386854,28.3196,8.91298,123.995,0.276665,285.983,488.81,-4.13255,-5.99494,-8.89463,-4.64999,0.898808,-597.221,6077.46,37.6492,5737.26,10792.5,-0.372006,-2.2344,-1.37354,-0.889443,4.65935,-5.5393,6553.17,80.8955,6212.97,0.56261,0.978854,0.0234232,11647.8 
10,-3.965,43.2577,10,9561.25,-0.429955,29.7923,8.60768,123.71,0.276472,812.392,6.70832,-4.12471,-4.47899,-10.1796,-8.28665,-5.98707,-633.384,6383.39,24.7467,5679.69,15659.6,-0.136458,-0.49074,-2.20314,-4.2984,-1.99882,0.758628,6887.9,70.6115,6184.2,0.575962,0.982376,0.0206,11958.9 
11,-3.968,43.2547,11,10807.4,-0.0226413,31.3155,8.81709,123.583,-0.0137936,-0.457267,500,-4.52069,-0.580862,-4.96628,-8.30204,-4.7526,-578.398,6789.05,25.1188,6403.71,8988.55,-0.878676,3.06116,2.31775,-4.66002,-1.11058,2.82448,7249.77,67.002,6864.43,0.562931,0.984084,0.0176628,12878.6 
12,-4.013,43.2097,12,10985.9,-0.0410019,31.429,8.82264,123.966,-0.0510698,331.644,0.0453015,-5.50822,0.831524,-13.5591,-5.35944,-5.29888,-576.638,6577.53,41.2942,6612.13,9577.96,-1.87729,4.46246,-6.29727,-1.7285,-1.66795,0.114127,7036.84,83.0499,7071.45,0.548236,0.979764,0.0211763,12835.4 
13,-3.971,43.2517,13,9298.57,-0.021709,28.1958,8.56416,123.984,-0.0532655,-11.7664,482.99,-3.54385,-0.748036,-10.9237,-5.10893,-4.43181,-547.622,6141.8,21.4813,5530.99,7881.15,-0.095618,2.70019,-4.02728,-1.6607,-0.983576,0.00976178,6578,61.136,5967.19,0.573441,0.983996,0.0185234,11471.1 
