cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,47.2189,1.8,0,4092.83,-0.0281469,15.407,-8.7928,123.05,-0.148402,65.1034,500,-4.32637,-3.31087,-8.54182,-6.30967,-5.08178,-917.437,387.952,76.9625,6545.71,4724.53,1.45048,2.46599,3.01189,-0.532818,0.69508,0.575229,1118.72,143.396,7276.49,0.157891,0.816785,0.0350303,7085.44 
1,47.2144,1.6,1,3526.76,-0.147421,-14.8733,8.80678,122.847,-0.22949,-523.947,497.314,-5.26404,0.539174,-8.48618,-4.52916,-6.01728,-972.544,184.088,77.91,6444.98,8178.24,0.859812,6.66302,3.76152,1.59469,0.106566,0.710332,958.755,148.334,7219.65,0.139377,0.786935,0.0364675,6878.86 
2,47,10,2,3537.46,-0.465471,-14.3787,9.01505,123.414,0.851211,-311.415,499.616,-0.758195,-0.432959,-2.81111,-4.67807,-1.22599,-977.472,125.725,79.8967,6297.1,12848.9,5.39669,5.72192,9.49866,1.47682,4.92889,0.648497,904.317,150.678,7075.7,0.134844,0.774242,0.0377471,6706.39 
3,47.2859,7,3,3247.08,-0.55398,-14.6603,9.09625,123.094,0.480314,-775.38,74.7334,-1.2629,-3.66895,-9.04631,-5.24364,-8.71367,-901.415,348.207,61.1402,6030.48,16464.8,4.41307,2.00702,2.30563,0.432334,-3.0377,0.623284,1066.22,126.414,6748.49,0.161549,0.828168,0.0333556,6599.98 
4,47.4259,10,4,3795.65,-0.00643507,14.0591,9.1315,123.146,0.00679147,-15.7764,500,-5.37104,-2.47229,-11.0785,-4.57994,-5.81452,-751.764,211.591,87.5978,6314.74,4182.71,-0.637377,2.26136,-1.61117,0.153724,-1.08086,-0.762154,810.399,142.035,6913.54,0.125071,0.765278,0.036465,6479.51 
5,47.2164,1.5,5,3772.7,-0.30178,14.9048,8.95176,123.134,0.293185,-123.609,499.982,-6.84471,-1.08099,-6.8033,-3.44783,-3.13917,-740.04,192.275,85.2731,6324.32,5523.15,-2.18487,3.57885,2.51637,1.21201,1.52066,0.6212,781.744,138.861,6913.79,0.121181,0.762862,0.0356781,6451.05 
6,47.2659,6,6,3884.62,-0.0415388,14.8039,9.13088,123.308,0.147839,14.8965,500,-3.07254,-0.245045,-14.9835,-3.47377,-6.97092,-745.421,387.402,45.5657,6412.09,4472.02,1.62117,4.44867,-5.59603,1.21995,-2.27721,-8.59137,981.157,99.5434,7005.84,0.145876,0.849223,0.0255062,6725.95 
7,47.2139,1.7,7,3614.99,0.004331,-14.7764,8.56438,123.33,-0.0315572,29.8666,0.00126851,-4.7048,-5.26929,-7.70852,-10.4958,-7.07409,-824.71,254.16,78.0381,6213.95,4150.33,0.488179,-0.0763172,2.67744,-5.30284,-1.88111,1.65389,911.072,137.757,6870.86,0.139197,0.79076,0.0356178,6545.18 
8,47.2329,2.5,8,3712.07,-0.15007,14.8265,8.65986,123.246,0.433906,-113.034,500,-1.4394,-0.420634,-3.93079,-5.57008,-4.59578,-738.855,359.03,49.4783,6124.81,5776.31,3.21297,4.23174,5.37395,-0.917704,0.0565904,0.550581,947.555,102.981,6713.33,0.146851,0.840202,0.0274808,6452.49 
9,47.2134,1.7,9,3400.11,-0.0111202,-14.2783,8.72228,122.866,-0.000343907,9.87499,2.00866e-12,-3.78645,-0.743477,-9.39819,-5.69753,-3.77603,-883.155,231.648,62.8035,6105.68,4054.29,1.77454,4.81751,1.72379,-0.136537,1.78496,0.827003,935.113,126.755,6809.15,0.143453,0.808268,0.0331546,6518.61 
10,47.2169,1.6,10,3379.68,-0.0114948,-13.948,8.65099,123.093,0.0153682,-23.678,500,-6.31486,-2.81214,-3.38937,-2.50035,-4.06179,-775.82,228.275,75.1314,5951.12,3939.87,-1.42973,2.07299,6.3809,2.38478,0.823344,0.376395,846.244,131.31,6569.09,0.135771,0.786445,0.0355144,6232.9 
11,47.2184,1.7,11,3235.18,0.0229307,-13.9913,8.39567,123.228,-0.0129649,30.8223,2.67267e-10,-6.18924,-3.03575,-6.96511,-5.3727,-5.19999,-777.111,175.001,58.5824,5876.22,3836.94,-1.29597,1.85751,2.82141,-0.47944,-0.306725,-0.0865022,793.998,114.855,6495.21,0.129737,0.797993,0.0315464,6120.07 
12,47.2149,1.6,12,3636.35,-0.203367,-14.3746,8.79235,123.179,3.71344,-791.165,500,0.112623,0.0088151,-4.78955,-6.08102,-2.88132,-830.288,119.089,71.6366,6183.01,99754,5.34073,5.23692,5.66665,-0.852918,2.34678,0.680539,780.444,131.76,6844.37,0.122081,0.771935,0.0342476,6392.83 
13,47.2159,1.5,13,3624.43,-0.00644557,-14.2646,8.65432,123.182,0.0238533,-3.00057,0.00187232,-2.7253,-2.70815,-12.3899,-5.56369,-1.40504,-815.38,136.803,63.3188,6215.81,4021.05,2.40893,2.42608,-2.12141,-0.429456,3.7292,1.35278,786.283,122.362,6865.29,0.122554,0.785955,0.0317888,6415.82 
14,47.2959,8,14,3918.26,-0.00977297,15.2902,-8.86533,123.295,0.022508,11.2528,2.92494,-3.90366,-2.52792,-9.64304,-4.00683,-4.13054,-840.802,414.997,62.6939,6524.69,4420.92,1.39065,2.76638,0.945571,1.28747,1.16376,0.874822,1084.73,123.578,7194.42,0.155312,0.833771,0.0306713,6984.15 
15,47.2369,2.5,15,3612.15,0.00363148,14.6707,8.72812,123.237,0.00666353,6.24386,1.2219e-13,-4.06743,-2.79783,-10.6106,-7.3319,-1.99627,-809.82,247.174,69.7505,6278.45,4169.74,1.03179,2.30138,-0.412135,-2.23269,3.10295,1.10871,892.226,128.392,6923.5,0.135813,0.798833,0.0330322,6569.5 
16,47.3459,10,16,3777.48,-0.475472,14.8572,9.15192,123.048,-0.291889,-197.591,5.12194,-5.47373,-2.11341,-8.66315,-7.91282,-6.99905,-822.393,286.792,88.1177,6248.76,6303.84,-0.295346,3.06497,1.69363,-2.73443,-1.82066,19.4405,941.858,147.669,6903.82,0.142641,0.784699,0.037908,6602.99 
17,47.5459,10,17,3590.93,-0.0242022,-14.6302,8.61339,123.388,0.0169927,-131.154,498.015,-6.2348,-5.27993,-11.506,-5.13446,-7.31349,-879.612,103.989,86.503,6347.8,4174.79,-0.696111,0.258751,-0.428641,0.404225,-1.7748,0.80835,804.633,150.198,7048.44,0.122204,0.753769,0.0377714,6584.35 
18,47.2039,2.2,18,3718.55,0.00103495,14.3488,8.62608,123.289,0.0144995,3.92838,8.56605e-12,-4.98158,0.780396,-9.84192,-4.27736,-4.42824,-803.879,123.475,69.3622,6285.25,4031.11,0.0802332,5.84221,0.281706,0.784458,0.633571,0.963041,763.794,127.573,6925.57,0.118551,0.773817,0.032819,6442.77 
19,47.2209,2,19,3977.19,-0.104031,14.3829,-8.97508,123.309,0.0405739,-66.461,386.819,-0.954688,-4.44234,-11.9427,-5.22404,-3.21479,-801.774,423.777,61.8923,6223.18,4290.02,4.09387,0.606218,-1.84561,-0.175485,1.83376,1.40898,1062.42,119.951,6861.82,0.158828,0.835017,0.031197,6689.11 
20,47.2179,1.7,20,3320.47,-0.00926669,-14.5111,8.47988,123.014,-0.00944907,-1.25858,500,-5.75807,-0.450433,-7.23505,-8.38543,-6.44218,-902.787,195.285,80.0284,6125.74,4006.15,-0.073458,5.23418,4.13417,-2.70081,-0.757569,0.29167,914.389,145.401,6844.85,0.14009,0.782304,0.0376573,6527.16 
21,47.2289,2.2,21,3252.81,-0.00528882,-14.5987,8.17477,123.072,0.030046,-8.288,0.002372,-0.909211,-3.50077,-13.8785,-7.25174,-5.43037,-809.986,292.018,59.5131,5880.52,3893.06,4.19106,1.5995,-3.67793,-2.15147,-0.330104,-8.96857,937.202,118.166,6525.7,0.14904,0.819238,0.0322798,6288.28 
22,47.2759,7,22,4002.01,-0.0938907,16.0823,8.54916,123.278,0.224964,166.096,19.628,-4.211,-3.47736,-10.4167,-3.37401,-1.446,-868.099,410.916,69.7953,6490.76,5692.14,1.25518,1.98883,0.515687,2.09217,4.02018,0.947763,1102.39,132.656,7182.23,0.157668,0.826046,0.0329043,6991.82 
