cyc,freq,vva,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.2189,1.8,0,3661.28,0.000915492,-11.5994,-9.36064,124.133,0.0065208,7.60775,1.57476e-11,-6.35561,-4.27485,-5.56901,-0.479962,-3.99865,-723.507,425.202,66.4172,5149.02,3536.17,-1.79988,0.280886,3.54246,4.07577,0.557086,0.467806,1001.5,118.808,5725.32,0.175817,0.828087,0.0368188,5696.26,-0.00185789,0.0348971,12.7363,26.3609,122.441,98,0.599738,9.68944,10.1439,123.983,129.705,-1.54163,-31.7051 
1,47.2144,1.6,1,4228.69,-0.103136,11.4535,10.1027,123.895,0.0799182,-81.137,459.688,-3.39439,-3.63625,-2.52625,-0.282388,-2.61903,-582.829,219.713,95.4751,5584.23,3977.85,0.275527,0.0336717,4.81359,3.38753,1.05089,0.49655,683.958,137.679,6048.47,0.12119,0.739497,0.0402437,5643.71,-0.000996972,-0.0057268,67.4588,-5.8157,103,75.3639,0.577912,10.6732,10.9972,123.725,129.212,-20.7246,-53.8485 
2,47,10,2,3031.08,-0.0875361,-9.86761,-9.90953,123.937,0.110687,-122.882,494.672,-4.58497,-5.42953,-6.04171,-0.100988,-1.93742,-680.784,91.5182,76.1298,4793.28,3625.94,-0.298253,-1.14282,2.53172,4.18573,2.34929,0.668,633.787,125.427,5335.55,0.126531,0.742762,0.0415064,5008.94,-0.00131083,-0.0104724,31.3892,-6.60337,106.578,76.0516,0.543293,9.94913,10.6407,123.684,129.646,-17.1056,-53.5944 
3,47.2859,7,3,3816.3,-0.0635694,11.2884,9.97301,123.867,0.0935964,40.3806,0.105236,-3.59705,-4.15725,-8.57523,-3.96029,-0.849927,-639.215,509.762,79.3879,5010.32,3787.86,0.427917,-0.132289,-0.525302,0.0646715,3.17504,1.17452,1018.92,125.675,5519.48,0.183758,0.822472,0.0402551,5544.89,-0.00173153,0.0343741,14.0459,29.2077,122.211,98,0.538318,9.94435,10.5931,123.609,129.839,-1.39734,-31.8387 
4,47.4259,10,4,2690,-0.0040719,-10.0267,9.05528,123.849,-0.0116735,5.23102,500,-3.15965,-1.60382,-0.202993,-3.05888,-0.841496,-657.939,135.582,80.3005,4587.21,2957.66,0.983219,2.53905,8.08274,1.08399,3.30137,0.494524,659.655,127.943,5111.28,0.135986,0.746591,0.0440783,4850.9,-0.00137194,-0.00576603,162.699,-4.73955,103,77.6491,0.540263,9.56633,10.5953,123.799,129.701,-20.7986,-52.0517 
5,47.2164,1.5,5,2931.55,-0.00926523,-10.2041,9.14546,123.915,0.013439,3.61851,3.09476e-12,-2.64224,-4.61903,-2.75342,-6.9753,-1.09888,-524.869,46.5455,68.9394,4677.9,3039.5,0.662722,-1.31407,3.8565,-3.67034,2.20608,-1.21525,464.623,106.946,5095.97,0.100063,0.712853,0.0372204,4643.32,-0.00121596,-0.00805259,78.2451,-5.7479,103,77.3436,0.577641,9.43418,10.309,123.775,130.1,-20.7754,-52.7567 
7,47.2139,1.7,7,3543.68,-0.00345534,-11.0944,9.50558,123.617,0.00782931,16.0414,1.25053e-12,0.673028,-5.12301,-10.0741,-3.20366,0.00598532,-537.232,207.746,79.8456,5052.59,3437.13,4.05583,-1.74021,-3.30845,0.179145,3.38879,2.28478,635.67,118.748,5480.52,0.12392,0.753629,0.0383815,5129.69,-0.00798965,0.011745,194.608,-86.6798,131.668,98,0.58835,9.56606,10.4871,123.428,128.363,8.23973,-30.3633 
8,47.2329,2.5,8,3557.49,-0.00947956,-11.8306,9.09761,123.791,-0.0190593,3.9655,500,0.20412,-4.58425,-9.92426,-2.99868,3.79578,-594.39,395.107,82.265,5030.78,3506.19,3.94683,-0.841534,-2.43884,0.744036,7.5385,1.27253,868.56,125.306,5504.24,0.161381,0.798422,0.0402484,5382.03,-0.00187172,0.0400825,11.8846,24.0636,121.688,98,0.597733,9.56326,10.1676,123.75,129.424,-2.0614,-31.4236 
9,47.2134,1.7,9,3130.09,-0.220464,-10.4979,9.80684,123.788,0.31318,-80.2242,500,-1.51593,-0.949572,-11.9914,-5.01187,-2.61914,-655.054,234.316,95.2392,4776.92,4169.29,2.60878,3.17513,-3.74195,-0.887171,1.50556,2.40656,756.091,142.673,5298.7,0.148223,0.751754,0.0472568,5101.02,-0.00119421,-0.00383525,142.61,-5.63421,103,76.9703,0.52975,9.85855,10.9213,123.741,130.285,-20.7411,-53.3149 
10,47.2169,1.6,10,3281.76,-0.137938,-10.9178,-9.37827,124.087,0.830816,-399.973,495.22,-3.89885,-5.39545,-5.78095,0.265283,-4.28259,-558.242,198.291,88.682,4800.08,14150.7,-0.383748,-1.88035,1.24925,3.78038,-0.767491,0.374763,642.951,129.106,5244.74,0.130056,0.739972,0.0433786,4943.64,-0.00114492,-0.0031636,5122.65,-4.44409,120.036,78.1912,0.556615,9.58459,10.8173,123.981,129.583,-3.9452,-51.3914 
