cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-4.055,43.1677,0,6998.05,-0.568862,25.1955,8.59352,121.185,1.12582,-710.15,363.323,-7.24901,-5.53495,-9.38836,-8.20625,-6.00384,-887.692,4937,25.5151,5165.96,33074.7,-1.65945,0.0546093,1.79077,-2.61669,-0.41428,1.62943,5644.08,89.7951,5873.04,0.53065,0.972912,0.0273931,10636.2 
1,-3.99,43.2327,1,6973.87,-0.0524269,25.1574,8.48043,121.195,0.0256401,54.6683,500,-3.1373,-2.80245,-17.5314,-7.36454,-7.49027,-1068.42,5027.12,33.2251,5401.06,6990.73,3.59026,3.92511,-4.07631,-0.636979,-0.762708,2.99881,5878.16,110.592,6252.09,0.52519,0.968125,0.0315564,11192.4 
2,-4.015,43.2077,2,5867.95,-0.256495,24.3917,8.03164,120.898,-0.138362,89.2972,500,-4.46825,-9.09134,-16.9291,-4.16294,-11.4512,-1129.93,4679.71,-2.74119,4827.09,6779.57,2.64659,-1.97651,-2.69946,2.9519,-4.33634,0.209256,5579.74,79.0794,5727.12,0.534059,0.975798,0.0248047,10447.8 
3,-4.04,43.1827,3,7394.5,-0.646464,27.511,8.51287,120.983,-1.07188,4100.24,423.491,-6.94928,-10.1339,-18.5179,-3.88195,-12.4544,-1065.87,5346.66,37.7858,5669.3,150695,-0.237763,-3.42238,-5.09491,2.82957,-5.74289,0.563357,6195.67,114.968,6518.31,0.527909,0.968548,0.0314682,11736.2 
4,-4.035,43.1877,4,6528.8,-0.0341584,25.0401,8.13909,121.245,0.0174526,84.2255,499.843,1.23605,-6.73911,-6.52088,-2.89012,-10.682,-948.077,4960.38,15.3398,5046.48,6682.34,7.20584,-0.769324,5.4187,3.07967,-4.71225,0.469931,5715.56,83.9924,5801.65,0.536825,0.974928,0.025976,10647 
5,-3.925,43.2977,5,6693.2,-0.0219067,24.828,8.08661,121.007,0.0170297,-15.8673,500,-8.90512,-0.804422,-2.84611,-2.74313,-7.32277,-865.866,4786.51,18.7053,5108.75,6544.66,-3.453,4.6477,8.05814,2.709,-1.87065,0.201469,5476.21,81.4047,5798.45,0.526311,0.974646,0.0252095,10404.9 
6,-3.995,43.2277,6,6173.02,-0.117004,24.0332,8.18069,120.953,-0.779365,829.342,3.52323e-05,-5.15743,-3.16702,-12.0296,-10.0723,-7.12723,-937.259,4533.51,17.8004,5050.63,27441.4,0.744245,2.73465,-0.226292,-4.17065,-1.22555,0.894433,5280.08,85.6696,5797.19,0.517265,0.97239,0.0265008,10207.7 
7,-4.03,43.1927,7,8474.3,-0.645264,29.5006,8.71953,121.201,-0.137388,785.889,495.417,-6.16542,-2.20837,-13.3201,-7.33598,-11.399,-894.799,5769.88,14.9621,6196.99,11888.6,-0.531104,3.42595,-2.05151,-1.70167,-5.76464,0.690243,6482.62,79.7567,6909.73,0.524658,0.978923,0.0208201,12355.9 
8,-3.96,43.2627,8,7814.49,-0.0364411,27.591,8.33337,121.065,-0.0272359,21.9858,500,-1.32919,-1.97582,-11.5785,-1.58573,-1.109,-930.695,5492.29,15.5578,5726.65,7504.35,4.53115,3.88451,0.142203,4.2746,4.75134,0.991913,6233.62,82.9517,6467.99,0.531362,0.977242,0.0230797,11731.4 
9,-3.94,43.2827,9,8523.57,-0.0151878,27.9207,8.51827,121.154,0.00380704,9.20421,4.99939e-05,-4.98053,-1.77963,-5.24703,-7.82487,-2.40494,-811.51,5664.78,25.8392,5895.38,7743.49,0.129328,3.33023,4.97269,-2.71501,2.70492,0.409571,6311.17,84.6026,6541.78,0.531616,0.977079,0.023269,11871.7 
