cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-3.99,43.2327,0,7321.09,-0.118065,25.2532,8.46655,120.247,0.119872,124.17,500,-5.51939,-3.92327,-12.6786,-5.96542,-4.24374,-841.015,5090.01,13.5517,5382.65,7444.69,-0.223746,1.37238,-2.0873,-0.669776,1.05191,-2.75049,5759.91,74.4516,6052.55,0.52821,0.97788,0.0221574,10904.6 
1,-3.93,43.2927,1,7579.33,-0.0785356,25.7185,8.58345,120.19,0.0552766,137.091,4.01712e-08,-5.37421,-3.53181,-16.0099,-6.75473,-3.38129,-846.596,5275,16.1799,5488.89,7432.93,-0.0434206,1.79898,-5.34836,-1.42393,1.9495,-0.743706,5949.34,77.484,6163.23,0.531757,0.977716,0.0226347,11188.1 
2,-3.97,43.2527,2,8003.12,-0.19926,27.079,8.54177,120.465,-1.3191,2092.48,0.529595,-6.69645,-7.62841,-7.17728,-3.45881,-4.98369,-845.665,5203.54,14.9126,6023.75,97383,-1.37152,-2.30348,3.47257,1.86611,0.341233,-0.732033,5877.14,76.1493,6697.35,0.507969,0.977828,0.0205152,11569.9 
3,-4.025,43.1977,3,7469.79,-0.0315482,25.8034,-8.32804,120.484,0.0225264,23.4799,500,-1.88133,-6.22997,-6.80275,-3.89815,-8.4053,-782.485,5130.37,8.14507,5365.65,7012.65,3.04578,-1.30287,3.05145,1.02895,-3.47819,-0.301194,5753.65,64.8067,5988.93,0.530572,0.98067,0.019544,10844.2 
4,-3.98,43.2427,4,8440.41,-0.0904751,26.7993,8.68784,120.283,0.0210919,79.4425,499.824,-4.93127,-3.11077,-6.13581,-3.83105,-5.67017,-761.871,5504.03,14.8812,5896.47,7633.87,-0.133969,1.68652,3.45879,0.966247,-0.872873,0.322433,6110.89,70.0501,6503.33,0.525048,0.980334,0.019456,11638.7 
5,-4.04,43.1827,5,8365.86,-0.0390542,26.7661,8.60449,120.168,0.0324178,11.4623,500,-2.70595,-8.03273,-13.0109,-7.16913,-5.1892,-752.905,5578.94,8.75117,5628.4,7509.4,2.03489,-3.29189,-3.52925,-2.42829,-0.448363,0.539437,6178.66,63.2708,6228.12,0.53856,0.982395,0.01837,11472.6 
6,-3.94,43.2827,6,7716.09,-0.536747,26.1991,8.72062,120.558,-0.823432,2016.96,419.569,-5.09351,-5.64731,-7.68497,-10.5142,-6.93188,-753.038,4952.22,16.0927,5770.72,61503,-0.351831,-0.905632,1.79838,-5.77252,-2.1902,1.24231,5552.04,70.6219,6370.54,0.50625,0.978225,0.0200124,10967 
7,-3.96,43.2627,7,8153.51,-0.0211453,26.3746,8.65449,120.405,0.0059651,-26.4768,500,-3.59102,-3.44043,-14.1126,-3.60767,-6.66812,-807.2,5489.43,5.19303,5729.15,7435.73,1.49171,1.64229,-3.94714,1.47506,-1.58539,-3.27424,6132.4,63.6444,6372.12,0.531003,0.982162,0.0180665,11548.7 
8,-3.995,43.2277,8,6066.89,-0.52579,22.6031,8.46819,120.338,0.222906,224.47,317.161,-4.28163,3.47067,-17.1832,-6.77878,-3.96354,-777.576,4428.81,1.38907,4681.39,7859.78,0.614562,8.36686,-7.39083,-1.88259,0.932654,12.5364,5048.18,57.6953,5300.76,0.528393,0.980392,0.019656,9553.82 
9,-3.955,43.2677,9,8565.23,-0.081861,27.8491,8.54641,120.385,0.0797874,22.9961,500,-0.947531,-2.75683,-14.6605,-7.50272,-6.78802,-853.014,5498,19.8814,6122.27,7807.74,4.42367,2.61437,-3.91813,-2.13152,-1.41682,-8.14551,6177.45,81.6502,6801.73,0.516556,0.977392,0.0216348,11958.9 
