cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-3.98,43.2427,0,7925.01,-0.491457,26.5126,8.595,119.313,0.716797,235.204,370.344,-2.50697,-5.47548,-9.67433,-4.45412,-7.74116,-728.056,4988.52,-3.26673,5710.57,12906.4,2.07741,-0.891108,-0.505579,0.130258,-3.15679,0.784476,5568.44,49.4536,6290.5,0.510147,0.984696,0.0142752,10915.4 
1,-4.005,43.2177,1,8646.32,-0.489617,27.4803,8.85488,119.134,0.653338,616.81,259.775,-0.398221,-1.34301,-10.6984,-4.7156,-0.566709,-726.022,5067.94,0.57284,6374.45,21039.9,4.17335,3.22856,-1.55525,-0.144032,4.00486,1.16021,5646.25,53.1459,6952.76,0.488595,0.983795,0.0138853,11556.1 
2,-3.945,43.2777,2,8759.56,-0.0341764,26.5836,-8.62433,119.257,-0.00257086,13.3518,500,-5.72324,-2.96174,-10.5382,-6.21805,-2.19846,-521.137,5229.61,-31.6869,5850.98,7464.47,-2.44177,0.319721,-3.97529,-2.93659,1.083,0.500022,5644.72,6.04992,6266.08,0.514518,0.998128,0.0017754,10970.9 
3,-3.96,43.2627,3,9647.64,-0.000971796,29.1683,8.59071,119.305,-0.00300928,-27.0664,0.0241784,-1.12724,-4.65938,-9.75415,-9.19484,-4.70598,-603.715,5719.83,-0.292245,6341.87,8159.75,2.6742,-0.85794,-2.15128,-5.39341,-0.904549,0.67567,6200.71,43.4243,6822.75,0.516724,0.987893,0.0115884,12000.1 
4,-4.045,43.3127,4,8517.78,-0.0114247,27.0156,8.3037,119.24,-0.0236544,-30.8613,500,-6.52805,-1.83152,-13.0148,-12.2709,-2.694,-655.217,5224.34,-19.3486,5780.11,7326.43,-2.40233,2.29421,-4.76338,-8.14517,1.43173,0.58883,5746.24,28.0973,6302.02,0.517542,0.991516,0.00814605,11103 
5,-3.94,43.2827,5,9956.15,-0.370854,29.1397,8.86482,119.075,-0.140832,146.648,75.1894,-0.329973,-7.14459,-12.0537,-6.84066,-7.75276,-538.832,5665.61,5.70622,6475.58,9081.43,3.06291,-3.75171,-5.26791,-3.44778,-4.35988,0.617279,6094.81,44.7243,6904.78,0.509435,0.987321,0.0117912,11963.9 
6,-3.955,43.2677,6,9270.21,-0.0335418,28.3882,8.48946,119.039,0.0153926,-7.04348,500,-0.543061,-1.38657,-5.39213,-7.36919,-6.58998,-534.785,5223.7,-25.8877,6345.08,7848.91,2.82434,1.98083,1.34267,-4.00179,-3.22258,2.24722,5649.67,12.8374,6771.05,0.495365,0.996039,0.00348034,11405.1 
7,-4.03,43.1927,7,8173.59,-0.0829509,26.4151,8.32067,119.321,0.3576,183.489,0.256517,-3.31381,-5.13702,-10.2071,-1.09301,-9.78465,-568.828,4893.09,-13.674,5724.25,9290.93,0.267946,-1.55526,-3.04354,2.48875,-6.20289,0.621685,5346.18,27.5162,6177.34,0.504503,0.991073,0.00813864,10596.9 
8,-3.995,43.2277,8,8180.19,-0.054921,25.5379,8.53268,119.072,0.200947,-69.3434,500,-3.65038,-5.16738,-9.97368,-8.24307,-4.87867,-591.82,4701.47,-15.5597,5905.12,7547.2,0.0761515,-1.44084,-2.52061,-4.51654,-1.15213,0.736171,5172.88,27.2955,6376.53,0.488333,0.99085,0.00782366,10592.9 
9,-4.02,43.2027,9,8067.1,-0.0698549,25.9209,8.30673,119.291,0.0968974,3.78529,500,-2.51694,-5.63969,-7.93171,-8.27646,-4.94791,-599.971,4632.06,-18.6564,5815.9,7021.26,1.26092,-1.86183,-0.375994,-4.4986,-1.17005,0.943422,5109.96,24.7889,6293.8,0.488539,0.991582,0.00720311,10459.7 
10,-3.975,43.2477,10,9436.19,-0.199689,28.5633,8.63804,119.26,-2.29032,-7878.08,3.88783,-2.18687,-2.90489,-11.0739,-5.78332,-2.76046,-608.112,5266.65,-3.24297,6458.8,595402,1.64225,0.924233,-3.41567,-1.9542,1.06867,-0.968998,5751.03,40.7919,6943.18,0.493535,0.987739,0.0107067,11652.7 
11,-4.015,43.2077,11,10161.9,-0.420459,30.3065,8.85662,118.983,0.266724,101.307,118.359,-6.06681,-1.13,-14.0869,-5.01819,-4.85994,-612.644,5732.05,-12.6217,6706.23,9617.36,-2.20916,2.72766,-6.37155,-1.16054,-1.00228,0.205133,6220.05,31.7413,7194.22,0.504255,0.991149,0.00806196,12335.1 
12,-4.035,43.3027,12,9501,-0.428717,28.8806,8.82921,119.458,2.06338,-1188.23,111.074,-5.15553,-3.7143,-3.98581,0.554489,0.910891,-656.666,5392.36,-5.01411,6584.66,88114.3,-1.02068,0.420551,4.28388,4.68934,5.04574,0.680756,5915.41,42.5366,7107.72,0.494725,0.987572,0.010904,11957 
