cyc,detuning,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-3.97,43.2527,0,8579.11,-0.362818,26.4148,8.60778,119.315,0.068217,-408.439,466.813,-6.82426,-3.54963,-8.05579,-0.348072,-5.0309,-463.135,4782.57,-11.4667,5922.25,8308.75,-3.90802,-0.63339,-2.22331,2.56817,-2.11466,0.647721,5151.47,22.07,6291.15,0.490665,0.992558,0.0064208,10499 
1,-4.005,43.2177,1,7482.9,-0.360607,23.4359,8.68042,119.27,0.220215,507.461,486.582,-1.48503,-1.97418,-5.52237,-2.93523,-3.95663,-476.439,4292.56,-13.0399,5285.44,10260.3,1.51499,1.02584,0.477651,0.0647855,-0.956622,0.775396,4672.06,21.4603,5664.94,0.492456,0.992026,0.00693001,9487.26 
2,-3.975,43.2477,2,7276.59,-0.35597,23.0051,8.62507,119.021,0.506312,334.889,397.388,-1.71564,-1.10973,-7.98515,-3.13289,-5.85567,-451.422,4254.06,-15.4847,5045.45,11978.9,1.12684,1.73276,-2.30018,-0.290409,-3.01318,0.161795,4613.63,17.2039,5405.03,0.501051,0.993517,0.00582913,9207.9 
3,-3.995,43.2277,3,7399.8,-0.0218219,22.7917,-8.49636,119.047,0.00221215,6.54288,500,-2.16044,-0.778133,-4.11084,-6.34183,-4.19819,-534.688,4369.13,-18.3975,5087.01,6304.31,1.20634,2.58866,2.62274,-2.97504,-0.831399,-0.00437969,4795.03,20.3206,5512.91,0.505751,0.992638,0.0067442,9481 
4,-4,43.2227,4,7347.84,-0.377966,23.2156,-8.72121,119.14,0.611723,483.441,469.952,0.977936,-2.0306,-4.31676,-5.0076,-0.880272,-493.811,4207.57,-2.31695,5285.7,16218.1,4.08733,1.0788,1.90204,-1.8982,2.22913,0.742936,4600.91,33.4411,5679.04,0.488,0.98744,0.0107309,9428.1 
5,-3.96,43.2627,5,8192.47,-0.365032,25.2391,8.69081,119.09,1.31672,-530.617,377.319,-0.30713,-2.72958,-11.4511,-5.47418,-5.1523,-529.811,4796.06,0.610229,5501.43,29884.6,3.02895,0.606495,-4.7789,-2.13811,-1.81622,0.0625532,5218.08,38.9751,5923.44,0.508931,0.987097,0.0119755,10253 
6,-3.965,43.2577,6,9320.9,-0.0260916,26.8454,8.71585,119.183,-0.00474998,-14.2548,499.952,0.0203845,-3.51106,-9.97435,-3.50363,-5.10243,-466.227,5235.31,-4.20575,6039.92,7619.03,2.95609,-0.575349,-4.10293,-0.56792,-2.16672,0.0794045,5606.68,29.5549,6411.29,0.507104,0.990859,0.00842028,11056.3 
7,-4.015,43.2077,7,7890.62,-0.345894,24.4115,8.62794,119.092,1.84297,-657.242,368.952,-1.56201,-1.81054,-3.49671,-2.16313,-4.78401,-434.813,4567.09,-11.4889,5396.33,46287.4,1.17589,0.927365,1.97909,0.574774,-2.04611,0.242019,4913.43,19.9969,5742.68,0.501642,0.992928,0.00637363,9794.71 
8,-3.945,43.2777,8,8831.59,-0.0171889,26.621,8.4949,119.272,-0.0148932,-3.52793,500,3.56175,-1.95151,-8.81629,-2.9739,-2.09191,-365.087,5034.87,-7.93377,5765.75,7363.41,5.86061,0.347344,-4.21859,-0.675048,0.206947,3.77308,5325.68,18.5031,6056.56,0.508478,0.993957,0.00559622,10473.8 
9,-4.025,43.1977,9,8359.79,-0.0377096,25.8006,8.52692,119.296,0.0390219,-12.4542,495.207,1.78039,-1.40424,-4.63002,-0.500516,-6.91413,-453.439,4730.88,-13.255,5887.75,7177.52,4.63557,1.45095,1.08035,2.35467,-4.05895,0.802228,5092.06,19.5797,6248.93,0.489449,0.993316,0.00573871,10403.7 
