cyc,detuning (MHz),freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,-4.04,43.1827,0,9763.82,-0.0318535,27.3927,8.91475,119.344,-0.00998033,8.15809,500,0.620015,0.341883,-3.61122,-3.65406,-3.35049,-445.15,5514.82,-10.3439,6215.51,7952.14,3.423,3.14487,1.99476,-0.851069,-0.5475,0.721561,5869.4,21.8905,6570.09,0.512434,0.993516,0.00610016,11454 
1,-3.97,43.2527,1,8813.03,-0.0499914,25.6173,-8.69819,119.477,0.0624572,44.4671,499.998,-0.195093,-1.79262,-2.84157,-3.44164,-7.88142,-434.96,5285.27,-18.3946,5470.37,7344.08,2.54374,0.946204,2.63609,-0.702812,-5.14259,-8.39364,5631.73,13.102,5816.83,0.532499,0.995945,0.00413206,10576 
2,-3.95,43.2727,2,10100.5,-0.290147,28.4329,8.87354,118.893,-0.129146,16.3501,307.249,-0.0976935,0.967443,-3.51536,-0.940532,-2.59133,-405.509,5744.8,-2.54958,6193.05,8281.95,2.45569,3.52083,1.59141,1.61285,-0.0379455,0.825939,6067.8,26.8143,6516.06,0.522796,0.992326,0.00752344,11606.5 
3,-3.98,43.2427,3,10021.7,-0.334951,28.0637,9.11032,119.128,0.18366,31.7023,489.721,-2.4899,-1.24102,-2.18205,-1.26627,-1.95917,-393.183,5591.82,-2.1021,6349.5,8512.43,-0.0141335,1.23475,2.76949,1.20949,0.516597,0.515502,5905.01,26.3692,6662.69,0.510448,0.992246,0.00723782,11568.3 
4,-4.08,43.1427,4,10400.7,0.00137289,28.421,8.93759,119.199,-0.00124346,51.8808,1.18815e-12,-2.86254,-0.569915,-3.83671,-3.77624,-4.91936,-388.933,5571.3,-4.3376,6594.53,8271.14,-0.413537,1.87909,1.0613,-1.32723,-2.47036,1.83519,5881.1,23.826,6904.33,0.500528,0.99296,0.00631672,11749.8 
5,-3.89,43.3327,5,10256.1,-0.0841518,29.2419,8.81033,119.056,-0.2655,173.616,0.00565609,-1.9233,-1.03052,-7.19826,-3.84628,-0.505118,-456.042,5727.11,-1.59094,6546.37,9887.28,0.948277,1.84105,-1.45511,-0.97471,2.36646,1.5338,6090.36,31.4322,6909.62,0.509077,0.991049,0.00831018,11963.5 
6,-4.09,43.1327,6,9717.87,-0.340538,27.8754,8.95785,118.949,-0.564868,1549.39,284.857,0.963214,-0.458455,-3.69738,-4.04341,-4.87106,-381.585,5698.59,-2.42046,5944.48,36619.4,3.36595,1.94428,1.1081,-1.64067,-2.46832,0.520166,6002.54,25.211,6248.43,0.530555,0.992704,0.00737766,11313.7 
7,-3.96,43.2627,7,9297.14,-0.0104292,26.5585,8.71279,119.18,0.00311465,-31.6244,500,3.23258,-2.93292,-4.27687,0.470826,-4.21495,-405.233,5246.41,-5.54807,5930.04,7535.98,5.78422,-0.381276,0.826422,3.02247,-1.6633,0.891096,5569.19,23.7958,6252.82,0.511682,0.992578,0.00696155,10884.1 
8,-4.07,43.1527,8,10500.2,-0.364525,29.632,9.03967,118.843,0.569362,-481.003,449.479,-3.99287,-1.20799,-5.54251,-1.35126,-6.44273,-448.253,5839.36,-8.36617,6758.28,17635,-1.17034,1.61454,0.102548,1.47127,-3.6202,1.064,6196.41,24.0929,7115.33,0.506059,0.993242,0.00619881,12244.4 
9,-4.03,43.1927,9,10304.8,-0.0146859,28.2465,8.98323,119.048,0.00619003,-2.03054,0.0523028,-3.71966,-5.49403,-5.92175,-4.14917,-3.32413,-395.634,5916.2,-7.83541,6218.78,8260.66,-1.22846,-3.00282,-0.939337,-1.65796,-0.832923,0.877395,6231.34,20.8134,6533.91,0.528744,0.994189,0.0058337,11785.2 
10,-3.99,43.2327,10,9401.82,-0.0301507,27.148,8.87935,119.334,0.0391699,25.7201,499.996,-0.10745,0.462754,-4.93752,-0.576894,-3.15324,-408.283,5160.35,-1.04041,6321.59,7879.99,2.4634,3.0336,0.204175,1.99396,-0.582393,0.971295,5485.56,28.5244,6646.8,0.492626,0.990982,0.00784328,11135.3 
11,-4.01,43.2127,11,9651.09,-0.0226977,27.1229,8.89245,119.139,-0.000976339,5.94652,500,-2.52529,-2.21243,-4.30382,-1.76502,-6.57544,-374.331,5674.33,-6.92809,5894.77,7851.7,-0.168231,0.144634,0.410304,0.592039,-4.21838,1.12665,5972.5,20.1781,6192.94,0.531527,0.994122,0.00596622,11236.5 
12,-3.94,43.2827,12,10639.8,-0.316358,29.5341,9.03995,119.032,0.0271207,123.444,382.516,-0.587172,2.35501,-1.63848,-6.61998,-2.95962,-407.691,5882.17,-3.84982,6557.33,8800.3,1.97995,4.92213,3.49576,-4.05287,-0.392506,0.412721,6206.91,25.672,6882.07,0.514811,0.992814,0.00682468,12056.7 
13,-3.91,43.3127,13,10420.6,-0.10857,29.5079,8.95388,119.049,0.0898344,162.611,500,-4.70959,-2.68169,-2.18381,-3.06639,-4.57249,-445.257,5969.43,-17.2459,6614.49,9076.45,-1.90593,0.121972,3.42351,-0.262725,-1.76883,9.73342,6324.09,14.9962,6969.15,0.516342,0.995867,0.0039482,12247.9 
14,-3.9,43.3227,14,10792.3,-0.327723,29.7597,9.12151,119.261,-0.0631654,-164.585,356.234,-1.11621,-3.55048,-2.27435,-4.33754,-5.41638,-445.52,5781.49,-3.83871,6973.49,9175.14,1.68911,-0.745157,3.3363,-1.53221,-2.61105,-23.3556,6136.36,28.4225,7328.36,0.49625,0.991959,0.00709378,12365.5 
15,-4,43.2227,15,9016.66,-0.328809,25.9723,8.97661,119.026,-0.265921,413.189,496.249,-6.63008,1.57244,-5.10872,-4.15624,-3.71156,-466.287,5404.04,-12.6493,5557.64,11166.4,-3.69399,4.50853,0.763455,-1.22015,-0.775478,2.82804,5775.45,21.1157,5929.06,0.534015,0.993642,0.00651771,10815.2 
16,-4.02,43.2027,16,9623.58,-0.161729,27.5548,-8.82746,118.93,0.3048,-76.0285,3.91645,-4.22075,-2.33947,3.42682,-4.2488,-5.89633,-466.28,5447.88,-1.33736,6176.72,8672.59,-1.28471,0.596577,9.29891,-1.31276,-2.96028,-1.14372,5819.29,32.4271,6548.13,0.511128,0.990343,0.00903987,11385.2 
17,-4.05,43.1727,17,9413.96,-0.352256,27.4832,8.89386,119.148,0.251238,478.615,345.427,-1.43303,-1.8641,-4.32034,-5.46578,-4.06178,-482.976,5374.16,-7.91188,6102.01,11871.5,1.60814,1.17707,1.762,-2.42461,-1.02061,-0.59892,5758.86,27.0616,6486.72,0.510874,0.991844,0.00762637,11272.6 
18,-3.92,43.3027,18,10429.2,-0.290924,29.0953,8.91998,118.97,0.0638028,-260.044,407.556,-1.84762,-0.820162,-3.02675,-8.60919,-3.93313,-421.75,5909.04,-16.6345,6290.34,8988.65,0.808028,1.83549,2.28454,-5.95355,-1.27748,1.992,6244.98,13.9054,6626.28,0.52579,0.996118,0.00385082,11877.3 
19,-3.93,43.2927,19,8302.32,-0.0519488,24.7474,8.49665,119.055,0.0507314,-64.93,499.183,-0.924919,1.41806,-5.55297,-3.02708,-3.29418,-393.585,5051.55,-12.6321,5116.11,6952.21,1.55338,3.89636,-0.596373,-0.548783,-0.815882,1.17094,5365.05,15.8684,5429.61,0.537568,0.994851,0.00535483,9980.22 
20,-4.06,43.1627,20,10486.8,-0.305105,28.9992,9.04815,119.241,0.128425,-477.131,333.184,-5.40802,-3.76664,-7.50864,-5.79856,-4.71901,-383.889,5982.11,-8.12572,6305.01,10536.4,-2.99078,-1.34939,-2.67415,-3.38131,-2.30176,0.789394,6287.89,19.6726,6610.79,0.528081,0.994555,0.00545191,11907.1 
21,-4.04,43.1827,21,11324,-0.199797,30.432,9.07038,119.235,0.360734,-371.583,0.00059094,-3.3873,-0.692995,-7.71009,-1.76682,-6.79901,-451.092,6207.82,9.76076,6784.49,13349.2,-0.546895,2.14741,-2.02928,1.07358,-3.9586,0.387625,6567.13,42.4254,7143.8,0.519578,0.988821,0.0108215,12639.4 
22,-3.97,43.2527,22,10441.3,-0.325195,28.9108,9.12041,119.184,0.111159,102.844,51.1005,-5.25999,-2.02757,-4.7497,-2.71636,-4.78873,-412.107,5856.79,-11.6979,6407.82,8955.76,-2.66506,0.567362,0.440164,-0.121429,-2.1938,1.1108,6185.05,18.1438,6736.08,0.519285,0.994893,0.00493726,11910.7 
23,-3.95,43.2727,23,9467.59,-0.020232,27.1729,8.77808,119.097,-0.0149862,-11.0713,500,-2.17641,2.05126,-10.1052,-5.69999,-6.46023,-370.392,5219.47,-7.91488,6165.19,7770.2,0.155847,4.38351,-5.4407,-3.36774,-4.12797,0.35207,5514.5,18.9061,6460.22,0.501059,0.994036,0.00536208,11005.7 
24,-3.98,43.2427,24,9195.07,-0.0566877,26.511,8.78003,118.907,-0.00768987,-281.761,452.345,-1.1274,1.79677,-4.1122,-5.75708,-5.46537,-372.619,5178.8,6.3578,5809.08,7647.89,1.21889,4.14305,0.58037,-3.41079,-3.11909,1.98773,5475.61,33.3401,6105.88,0.513389,0.989457,0.00995832,10665.6 
25,-4.08,43.1427,25,10006.1,-0.246357,28.3242,8.76787,119.323,0.107453,254.479,409.895,-0.0771929,-1.3848,-8.00095,-5.77447,-7.42112,-405.794,5329.39,8.52732,6484.28,8974.53,2.47799,1.17038,-2.89059,-3.21929,-4.86594,0.605513,5652.62,37.9119,6807.51,0.494153,0.988399,0.0101547,11439 
26,-3.89,43.3327,26,10149.1,-0.334003,28.8511,8.95392,119.085,0.392153,326.81,98.7906,-1.50174,-0.76721,-6.17572,-4.68504,0.214044,-453.182,5760.32,-7.66731,6303.15,12581.5,1.35183,2.08636,-0.468583,-1.83147,3.06761,1.11142,6121.3,25.1487,6664.12,0.519379,0.992862,0.00690364,11785.8 
27,-4.09,43.1327,27,9683.1,-0.308562,27.5613,8.90098,119.107,-0.133463,639.075,214.073,-1.70158,-3.84911,-5.1866,-2.16079,-4.95832,-397.042,5432.02,6.69688,6125.21,10762.6,0.798486,-1.34904,-0.186456,0.33928,-2.45825,0.934714,5748.28,35.4477,6441.47,0.512163,0.989324,0.0100355,11223.5 
28,-3.96,43.2627,28,8983.56,-0.00520752,26.221,8.68894,119.14,-0.00300111,-17.4757,498.466,-1.07624,-1.20916,-8.37876,-4.62253,-7.68423,-439.054,5334.74,-6.11053,5693.48,7418.42,1.68837,1.55545,-2.84954,-1.85792,-4.91962,0.553591,5684.46,25.6825,6043.2,0.525308,0.992155,0.00776779,10821.2 
29,-4.07,43.1527,29,10157.9,-0.124586,27.8103,9.00166,118.884,0.0366459,41.9251,499.867,-2.50228,-1.92364,-10.8675,-3.99908,-5.48565,-370.669,5454.62,-1.63302,6440.08,8199.38,-0.168272,0.410365,-6.19953,-1.66507,-3.15165,0.424593,5749.87,25.208,6735.33,0.501083,0.992386,0.00684716,11474.9 
30,-4.03,43.1927,30,9994.99,-0.315057,27.7638,9.10663,119.023,0.035509,316.52,239.519,1.26121,-2.55764,-2.79274,-1.53731,-5.77758,-406.374,5768.72,-2.63087,6095.91,8596.48,3.82004,0.00118738,2.32491,1.02152,-3.21875,0.411252,6092.41,26.7957,6419.6,0.527524,0.992362,0.00763035,11549.1 
31,-3.99,43.2327,31,8775.38,0.00155784,25.855,-8.63796,119.153,-0.0212314,2.25505,6.16583e-12,0.744058,-6.11421,-3.79975,-3.91265,-2.97521,-455.135,5068.08,-11.612,5733.67,7271.84,3.60992,-3.24835,1.93198,-1.04678,-0.109349,-0.698562,5430.62,21.3454,6096.21,0.511724,0.993168,0.00640866,10612.4 
32,-4.01,43.2127,32,10150.2,-0.338485,28.8961,8.95781,119.456,-0.00208602,1.95203,345.993,-4.64454,-3.595,-1.45766,-2.88897,-5.52286,-347.618,5714.53,-5.47543,6406.55,8426.43,-2.45568,-1.40615,2.92005,-0.700119,-3.334,1.58684,5991.42,19.6964,6683.44,0.5133,0.99428,0.00539946,11672.3 
33,-3.94,43.2827,33,10191.2,-0.0722654,28.6221,9.00733,118.952,-0.0824333,570.017,217.439,0.366186,-4.29899,-8.89076,-5.16094,-4.45146,-480.949,5904.4,-4.16006,6282.18,9922.15,3.3946,-1.27058,-2.83395,-2.13253,-1.42305,0.335615,6287.49,30.6666,6665.28,0.526019,0.991537,0.00840422,11953 
34,-3.91,43.3127,34,10154.4,0.011656,28.5654,8.67703,119.227,-0.0160631,56.6932,54.65,-3.99476,-1.55078,-1.33268,-0.835511,-4.17838,-433.039,5607.11,0.422306,6525.77,8098.39,-1.26803,1.17596,4.12079,1.89122,-1.45165,0.077769,5952.04,31.7797,6870.7,0.504747,0.990743,0.00844848,11792.1 
35,-3.9,43.3227,35,9644.6,-0.0227435,26.8446,-8.83574,119.171,-0.0152088,11.1269,500,-2.093,-2.11926,-7.64337,-3.61057,-2.15441,-390.787,5291.91,-5.69232,6162.47,7726.9,0.367683,0.341425,-2.72201,-1.14989,0.306274,0.0470871,5603.18,22.6055,6473.75,0.504524,0.992989,0.00639129,11105.9 
36,-4,43.2227,36,8980.42,0.0115883,25.69,8.71359,119.224,-0.00382243,-37.4479,6.79104e-12,-1.32243,-0.475129,-8.00681,-3.83259,-6.00726,-458.719,4964.52,-3.44344,5905.15,7291.78,1.566,2.4133,-2.22996,-0.944163,-3.11883,0.0361756,5329.91,29.7735,6270.53,0.499998,0.990319,0.00867077,10659.9 
37,-4.02,43.2027,37,10802.5,-0.264907,29.0722,9.10448,119.24,-0.112828,-58.2523,473.244,-0.274313,-1.00737,-8.15794,-4.20076,-6.40674,-377.087,5807.08,16.1589,6667.43,8830.4,2.10011,1.36705,-3.4091,-1.82634,-4.03232,0.412285,6107.45,43.4647,6967.79,0.507682,0.987699,0.0113604,12030.1 
38,-4.05,43.1727,38,10543,-0.0682485,28.3396,9.09397,119.237,0.115957,261.518,1.10588,-1.59411,-2.12933,-9.09879,-6.20049,-4.55505,-381.406,5889.08,16.9602,6356.15,9376.78,0.807503,0.272281,-4.29556,-3.79887,-2.15343,0.531466,6192.88,44.5788,6659.95,0.522437,0.98756,0.0121801,11853.8 
39,-3.92,43.3027,39,9220.65,-0.34832,26.6838,8.98622,119.17,-0.392759,-947.973,412.294,-3.90998,-0.286954,-4.65252,-3.45621,-5.8873,-505.248,5409.23,-5.07669,5908.77,19926.2,-0.728568,2.89446,1.7103,-0.274803,-2.70589,-0.90988,5811.68,31.5095,6311.21,0.520004,0.990601,0.00911313,11176.2 
40,-3.93,43.2927,40,10689.7,-0.0280857,28.6722,-9.05657,119.09,0.0123241,16.7507,500,-4.55051,-1.6734,-0.849412,-1.85828,-1.02156,-436.115,6069.16,5.78265,6410.98,8459.9,-1.80441,1.0727,4.64279,0.887823,1.72454,0.288291,6416.54,37.3628,6758.36,0.527626,0.989913,0.0100812,12161.1 
41,-4.06,43.1627,41,9964.62,-0.162629,27.6267,8.90593,119.43,0.401484,407.603,6.76797e-09,-2.72193,-0.943615,-3.81587,-6.21553,-0.942558,-324.556,5468.26,6.87376,6211.62,13336.7,-0.678289,1.10003,0.271406,-4.17189,1.10108,1.11415,5726.78,30.3756,6470.15,0.510117,0.990803,0.00857405,11226.4 
42,-4.04,43.1827,42,10056.9,-0.115406,28.3509,8.8485,119.087,0.0319405,13.4513,2.26336e-07,-2.49137,-1.98627,-3.58825,-4.49976,-0.863349,-432.931,5770.21,-1.79903,6199.26,8180.39,0.234677,0.739785,1.86385,-1.77371,1.8627,0.363289,6115.05,29.5505,6544.1,0.523659,0.991614,0.00824959,11677.5 
43,-3.97,43.2527,43,9253.64,0.0733179,25.7811,8.75478,119.258,0.0533605,-22.5547,1.67996e-12,-0.799858,-1.14557,-6.08709,-7.06611,-5.21237,-403.84,5246.33,-13.6364,5746.63,7386.7,1.74301,1.3973,-1.00134,-4.52324,-2.6695,0.801862,5568.01,15.6066,6068.3,0.51911,0.995119,0.00471524,10726.1 
44,-3.95,43.2727,44,8490.6,-0.0631089,25.5398,8.53176,119.391,0.00739141,-16.675,500,-5.47204,-1.98679,-6.25578,-7.71325,-7.2053,-439.441,5076.7,-18.4265,5389.29,7097.37,-2.705,0.780257,-0.721686,-4.94621,-4.43825,0.940014,5426.73,13.3946,5739.32,0.526604,0.995699,0.00428075,10305.1 
45,-3.98,43.2427,45,9802.22,-0.291175,27.237,9.0296,119.217,-0.0139642,450.109,445.204,-3.52264,-2.92167,-3.76998,-3.46921,-0.471762,-419.032,5533.25,-4.41551,6105.47,8210.74,-0.884109,-0.283143,1.50708,-0.830681,2.16677,0.100742,5867.03,25.9276,6439.24,0.517357,0.992326,0.00736262,11340.4 
46,-4.08,43.1427,46,9879.27,-0.00743901,27.8548,8.85958,119.336,-0.00326581,18.8593,500,0.212387,0.510432,1.50344,-3.38944,-1.25701,-397.84,5584.26,13.4827,6312.08,8035.57,2.71748,3.01552,6.51362,-0.884344,1.24808,0.483471,5901.15,42.2913,6628.97,0.511552,0.987614,0.0116157,11535.8 
47,-3.89,43.3327,47,10304.6,-0.350475,29.2253,9.01872,119.061,0.194866,-115.152,366.461,2.15726,-5.97823,-4.01144,-3.14674,-6.34285,-401.054,5771.79,8.1967,6578.58,9310.71,4.68259,-3.4529,1.03922,-0.621416,-3.81752,1.4789,6091.25,37.238,6898.04,0.509533,0.989415,0.0098464,11954.6 
48,-4.09,43.1327,48,9663.59,-0.367017,28.5154,8.82078,119.207,-0.0182731,957.69,338.372,-2.30982,-0.881698,-7.49854,-5.05861,-7.0556,-466.017,5504.64,-8.28112,6279.23,8757.76,0.62457,2.05269,-1.62976,-2.12422,-4.12121,0.68646,5875.84,25.4643,6650.43,0.50967,0.992473,0.00700398,11528.7 
49,-3.96,43.2627,49,9077.64,-0.0140158,26.1146,8.80472,119.176,-0.00190666,1.25427,500,-1.25949,0.552241,-6.04154,-7.09252,-2.92041,-325.011,5326.12,-6.16505,5673.96,7485.11,0.78702,2.59875,-1.94853,-5.04602,-0.873904,0.565321,5585,17.3698,5932.84,0.525503,0.994587,0.00536426,10627.9 
50,-4.07,43.1527,50,9760.4,-0.358289,27.8721,9.06431,119.382,0.635052,-456.244,421.527,-0.931079,-2.31468,-8.25484,-3.56867,-3.1213,-360.907,5783.39,-13.011,6055.79,17656.3,1.34146,-0.0421453,-3.70977,-1.29613,-0.848761,0.185624,6070.86,13.1232,6343.27,0.529622,0.996231,0.00379654,11462.6 
51,-4.03,43.1927,51,10100.4,-0.335851,28.387,9.04473,119.262,0.174062,-404.47,170.944,-0.638754,-1.48909,-0.579422,-4.50658,-6.80461,-333.482,5864.39,-8.54605,6147.85,10650,1.46109,0.610752,3.62027,-2.40673,-4.70476,3.5506,6130.03,15.6022,6413.48,0.529295,0.995566,0.00446133,11581.5 
52,-3.99,43.2327,52,9440.93,-0.319708,27.0994,8.9836,119.137,0.158486,396.244,7.31701e-06,-0.299197,-3.66983,-4.68611,-1.8029,-4.9078,-394.018,5183.49,-13.2467,6308.82,9969.43,2.18183,-1.1888,0.275948,0.678127,-2.42677,1.57529,5497.34,15.2851,6622.67,0.494072,0.995158,0.00423358,11126.6 
53,-4.01,43.2127,53,10786.3,-0.0853745,29.5127,9.00495,119.155,0.101039,6.23278,287.947,1.9773,-7.30536,-5.60456,-1.51219,-2.19265,-416.036,5946.41,-2.79423,6722.11,8671.9,4.59697,-4.68569,-0.365223,1.10748,0.427022,1.33799,6277.8,27.332,7053.5,0.511502,0.992439,0.00708748,12273.3 
54,-3.94,43.2827,54,9637.62,-0.0217586,26.7374,8.8993,118.985,0.00256836,12.211,500,-1.88507,-3.42518,-9.27313,-5.58555,0.523283,-450.186,5365.06,-9.28249,6099.02,7746.89,0.949634,-0.590478,-3.60373,-2.75085,3.35798,-0.366374,5723.65,23.3166,6457.61,0.510465,0.992921,0.00660736,11212.6 
55,-3.91,43.3127,55,10015.2,-0.0666179,28.5811,8.81651,119.265,0.00345859,56.5096,9.06364e-13,-3.04574,-5.59012,-1.4026,-3.66494,-1.33231,-437.08,5927.89,5.76988,6115.63,8209.32,-0.293568,-2.83794,4.10176,-0.912764,1.41987,-1.77643,6276.04,37.4199,6463.78,0.533212,0.989674,0.0105517,11770.3 
56,-3.9,43.3227,56,11104.8,-0.28784,29.7149,9.21606,118.847,0.0254747,72.5045,61.7818,-3.14201,-4.3079,-2.46307,-0.502034,-2.67036,-458.84,6142.92,2.36327,6757.09,8974.98,-0.252817,-1.4187,3.31532,2.38716,0.218838,0.219888,6508.4,35.589,7122.58,0.518078,0.990521,0.00912041,12562.6 
57,-4,43.2227,57,10062.1,-0.136945,27.7441,8.90259,119.247,0.10453,96.7453,0.00122667,-1.46934,-1.47181,-7.27278,-4.29733,-5.0715,-385.271,5616.22,3.32546,6234.33,8369.7,0.956602,0.954132,-2.42088,-1.87138,-2.64555,0.518432,5923.11,31.2238,6541.22,0.515809,0.990859,0.00871646,11483.1 
58,-4.02,43.2027,58,10369.7,-0.326646,29.0101,9.04126,119.085,-0.254347,267.351,174.506,-6.6223,1.93212,-4.6608,-3.61058,-7.60659,-457.343,5731.18,8.88817,6554.2,10751.9,-3.74253,4.81189,1.09873,-0.730812,-4.72683,1.33401,6095.48,42.0055,6918.49,0.508966,0.988084,0.0110606,11976.2 
