cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.05,47.2727,1.8,0,8502.08,-0.0560155,20.1099,10.1971,117.669,-0.0790498,27.7425,0.828555,-5.91988,-4.77107,-8.76993,-0.125565,-5.89979,-108.331,1139.73,9.19899,8411.46,6746.84,-5.23775,-4.08894,-7.40568,0.556563,-5.21766,0.653835,1226.02,17.0435,8497.75,0.126085,0.97625,0.00368101,9723.77,-0.000916377,0.156089,9.4435,9.74352,117.68,86.2156,0.939076,10.4736,10.4269,116.898,134.011,0.7819,-47.7955 
1,-1,46.2227,10,1,8139.78,-0.0204353,20.0905,10.1075,117.356,-0.0219322,33.86,500,-8.34243,-7.84301,-8.25659,-4.07259,-1.85581,-162.023,-34.1087,45.5431,9531.5,6634.59,-7.32222,-6.8228,-6.21616,-3.05238,-0.835596,0.743655,94.9486,57.2756,9660.56,0.00973282,0.486465,0.0108035,9755.51,-0.000917817,-0.012612,19.7861,10.3858,116.23,73.0305,1.07473,10.2524,10.4448,116.723,134.073,-0.492801,-61.0421 
2,0.25,47.4727,5,2,6864.28,-0.11328,15.0095,11.6886,117.508,0.00625389,106.501,4.32931e-06,-9.20752,-6.04408,-10.5215,-2.88515,-4.31795,-151.063,628.218,25.7096,7296.21,5732.82,-8.25632,-5.09287,-8.61904,-1.93395,-3.36674,0.683924,748.546,36.6485,7416.54,0.0916764,0.921082,0.00902057,8165.09,-0.00110185,0.0393932,16.5367,14.4042,118.04,88.6459,0.701028,11.4854,11.1824,116.769,133.928,1.27077,-45.2818 
3,1,48.2227,10,3,8040.32,0.00171358,18.9107,10.5084,117.895,0.000579264,-8.57236,0.000884693,-7.91356,-3.76008,-11.9475,-4.48448,-3.24544,-130.161,29.822,43.9786,9158.37,6469.23,-7.09397,-2.94049,-10.3083,-3.66489,-2.42585,0.610029,133.5,53.4039,9262.05,0.0142089,0.588218,0.0105097,9395.55,-0.000940556,-0.012562,-10.3244,9.3154,109.23,75.4157,0.977406,10.7858,10.7001,117.134,134.471,-7.9039,-59.0557 
4,2,49.2227,10,4,8110.8,-0.100937,19.8031,10.2595,117.572,0.216728,-27.0663,1.40055e-07,-5.89023,-4.73753,-8.38206,-0.47962,-1.28412,-106.704,-33.4434,29.6527,9396.15,6804.84,-5.21834,-4.06564,-7.03829,0.192265,-0.612231,0.579609,51.55,37.3793,9481.14,0.00540771,0.440735,0.00721013,9532.69,-0.00107301,-0.00439957,32.024,0.0681155,131.84,73.5167,1.04296,10.441,10.4959,116.92,134.013,14.9198,-60.4965 
5,-1,46.2227,10,5,7927.36,-0.0407375,19.2216,10.187,117.513,-0.0261707,-98.0742,500,-7.13449,-3.86378,-4.83934,-5.7659,-2.06751,-104.074,-16.2706,45.7753,9126.51,6457.82,-6.47917,-3.20845,-3.52868,-5.11058,-1.41218,0.821234,66.6284,53.3116,9209.41,0.00718285,0.416627,0.0105511,9276.04,-0.000742314,-0.012541,19.3571,10.1111,113.634,73.026,1.0335,10.296,10.3296,116.895,134.16,-3.26058,-61.1336 
6,0.5,47.7227,8,6,7377.98,-0.237161,15.9266,11.7512,117.418,-0.0400962,-5496.39,58.5185,-4.56513,-6.50029,-5.03615,-3.14889,-4.06631,-73.2174,174.404,30.4543,8092.31,13266.8,-4.1041,-6.03926,-4.11409,-2.68786,-3.60528,0.799807,232.725,35.7562,8150.63,0.0277603,0.788101,0.00801639,8383.35,-0.000563009,-0.00373633,112.975,-5.71538,103,72.1637,0.751358,11.6552,11.4357,116.695,134.159,-13.6952,-61.9952 
7,-1,46.2227,10,7,7762.97,-0.114815,18.9636,10.1154,117.492,0.135252,161.383,0.10185,-5.95636,-9.49913,-4.24105,-4.58581,-5.2057,-92.1722,-14.4637,40.473,8868.21,6955.1,-5.37598,-8.91875,-3.08029,-4.00543,-4.62531,0.881554,58.9548,47.1474,8941.63,0.0065501,0.416751,0.00961961,9000.59,-0.000732622,-0.0114173,15.4534,9.747,114.554,72.0896,1.01268,10.221,10.3397,116.943,133.652,-2.38915,-61.5625 
8,1.5,48.7227,10,8,8245.61,-0.101431,19.5935,10.394,117.643,0.122647,-0.150898,500,-7.09865,-4.06176,-2.9903,-1.76263,-6.3297,-142.516,48.06,56.9681,9341.28,6630.24,-6.20126,-3.16438,-1.19553,-0.865245,-5.43231,0.929085,161.579,67.288,9454.8,0.0168025,0.578446,0.0129403,9616.38,-0.000777699,-0.0112806,-22.0422,7.08,115.648,74.5282,1.00162,10.5409,10.7605,117.013,133.769,-1.36476,-59.2406 
9,0.15,47.3727,3,9,8225.71,-0.0252953,18.6863,11.1031,117.629,0.0106637,29.7475,500,-6.13116,-7.82767,-6.3663,-3.5014,-5.90805,-139.854,1362.12,70.2715,8137.09,6764.37,-5.25053,-6.94704,-4.60505,-2.62078,-5.02743,0.811661,1473.52,80.3987,8248.49,0.151565,0.912838,0.0176384,9722.01,-0.00123464,0.0965271,12.5836,15.07,117.487,87.4479,0.804879,10.9729,11.2822,117.055,134.555,0.432644,-47.1076 
