cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.008,47.2307,1.32,0,9470.49,0.0860137,18.7395,10.3679,117.644,-0.150803,-121.793,500,-4.85728,-2.57305,-4.81624,-2.34961,-1.25364,8.57385,601.429,38.2466,8440.94,6922.64,-4.91127,-2.62704,-4.92421,-2.40359,-1.30763,0.695543,594.6,37.6257,8434.11,0.0658566,0.900302,0.0081509,9028.71,0.000498564,0.0756908,-9.36424,10.548,117.592,88.1576,0.943571,10.4981,10.2631,117.092,135.413,0.499601,-47.2557 
1,0.045,47.2677,1.7,1,10028.1,0.151311,18.8536,10.6434,117.593,-0.0226143,-123.36,1.74222,0.626656,-0.959498,-0.616077,-2.14728,0.511138,-10.1156,995.139,48.5651,8519.08,6623.19,0.690351,-0.895802,-0.488686,-2.08358,0.574833,0.778161,1003.2,49.2976,8527.14,0.105264,0.920814,0.0105375,9530.33,0.000662595,0.113419,-9.97145,-10.034,117.128,87.4093,0.897605,10.786,10.5714,116.873,134.645,0.254923,-47.2361 
2,-1,46.2227,10,2,8769.02,0.12964,16.9334,10.3803,117.42,-0.0234302,-38.1525,150.707,-0.99701,-2.43966,0.841613,-3.07182,-1.5122,34.4825,115.861,56.7957,8197.8,5751.15,-1.21414,-2.65679,0.407358,-3.28895,-1.72932,1.04803,88.3941,54.2987,8170.34,0.0107031,0.48193,0.0120943,8258.73,0.000731417,-0.0123241,9.74148,6.94807,109.648,79.8,0.913904,10.4017,10.3243,116.741,135.6,-7.0924,-55.8003 
3,0.03,47.2527,1.6,3,10081.5,-0.0032449,18.8155,10.9825,117.362,0.00677596,-2.19422,0.00137267,-2.08156,-2.37698,-5.56935,1.64361,-2.93565,10.588,1107,53.8219,8464.37,6727.36,-2.14823,-2.44365,-5.70269,1.57694,-3.00232,0.51342,1098.57,53.0552,8455.94,0.114979,0.92207,0.0114259,9554.5,0.000635508,0.12557,10.3048,9.69385,116.888,87.9339,0.850559,10.9913,10.9301,116.722,135.475,0.166363,-47.5408 
4,-1,46.2227,10,4,7889.34,-8.4223e-05,15.5652,10.236,117.727,0.00565854,-13.1029,3.63369e-12,-1.83229,-3.18265,1.78593,-1.12365,-1.29455,2.5352,60.9746,31.4296,7419.28,5188.97,-1.84825,-3.19862,1.754,-1.13961,-1.31051,1.30542,58.9552,31.246,7417.26,0.00788571,0.518809,0.00770031,7476.21,0.00122898,-0.00186788,239.502,-51.5701,148,55,0.858708,10.3501,10.0044,117.146,134.882,30.854,-79.882 
5,0.06,47.2827,1.8,5,10252.2,0.109539,19.5798,10.7392,117.327,-0.654214,175.322,480.482,-1.10699,-1.96739,1.43252,-0.27855,0.467332,38.8409,934.135,57.7598,8832.43,10578.8,-1.35156,-2.21196,0.943382,-0.52312,0.222761,1.32302,903.197,54.9472,8801.49,0.0930681,0.90378,0.0113694,9704.69,0.000504343,0.0883884,10.4802,12.8793,117.719,88.621,0.943756,10.7901,10.4788,116.683,134.829,1.03564,-46.2076 
6,-1,46.2227,10,6,9638.02,0.0210397,18.9603,10.409,117.405,0.0228925,-70.4231,500,-1.90389,-0.754087,1.02052,0.15464,-0.374826,29.9154,70.9246,71.5265,9060.69,6477.1,-2.09226,-0.942456,0.643785,-0.0337294,-0.563196,1.21547,47.0959,69.3602,9036.86,0.00518452,0.27954,0.0139415,9083.96,0.00145144,-0.002351,117.941,54.0533,106.235,55.0325,1.00776,10.3641,10.4002,116.799,135.066,-10.5635,-80.0334 
7,-0.002,47.2207,2,7,9344.37,-0.00426423,18.7055,10.2872,117.68,-0.00122309,-10.6291,8.08219e-12,-1.78951,-1.21036,-1.52278,2.00082,-1.22439,45.6264,1251.15,36.2413,7624.17,6264.6,-2.07681,-1.49766,-2.09738,1.71352,-1.51169,0.616568,1214.81,32.9374,7587.82,0.138005,0.954701,0.00793281,8802.63,0.000643464,0.176138,9.20497,9.23465,117.513,87.7691,0.872924,10.2196,10.1569,117.051,135.48,0.461472,-47.7111 
8,0.015,47.2377,1.4,8,10212.8,0.133791,19.4533,10.6237,117.234,0.181286,393.083,207.225,0.844898,-1.84126,-0.296855,-1.10411,4.56275,-32.4049,886.717,78.1585,8866.5,9047.42,1.04894,-1.63722,0.111235,-0.900061,4.76679,0.967184,912.529,80.505,8892.31,0.0930692,0.86626,0.0164036,9804.84,0.000562467,0.0915045,-9.88856,-11.7406,117.591,88.6187,0.913879,10.8667,10.7469,116.568,135.091,1.02294,-46.4721 
9,0.075,47.2977,2,9,9379.35,0.124858,17.3598,10.9203,117.664,-0.0326525,50.5975,0.160366,-2.94616,-3.29732,-0.172249,1.40826,-1.61575,26.9455,1055.86,31.0816,7842.09,6225.06,-3.11583,-3.46699,-0.511585,1.23859,-1.78542,0.933049,1034.4,29.1304,7820.62,0.116815,0.953032,0.00681476,8855.02,0.000593705,0.111057,10.6073,10.4718,117.319,87.6065,0.811244,10.9643,10.6092,117.138,134.95,0.18074,-47.3431 
