cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95
0,0.045,47.2677,1.7,0,9746.24,-0.0285814,22.4194,10.2556,117.479,0.0295768,-14.4234,496.642,-4.91375,-3.79715,-3.61977,-4.68275,-2.63209,-168.164,912.663,3.53471,10095.1,7498.67,-3.85486,-2.73827,-1.502,-3.62386,-1.5732,0.887001,1249.65,13.5941,10432.1,0.118628,0.981319,0.0023947,10534.2 
1,-0.002,47.2207,1.8,1,9649.41,-0.0181402,22.2321,10.1117,117.302,0.00433988,6.97757,500,-4.64354,-3.75939,-4.18138,-0.548732,-6.82623,-161.148,2094.02,8.2103,8744.76,7319.13,-3.62883,-2.74469,-2.15196,0.465977,-5.81152,0.844859,2416.95,17.85,9067.69,0.230467,0.987241,0.00361314,10487.2 
2,0.1,47.3227,2.2,2,10461.4,-0.074162,22.3446,10.9481,117.394,0.0341097,30.009,500,-4.07175,-5.28833,-8.06987,-1.90914,-8.47729,-126.493,1173.24,5.60669,10462.5,7996.91,-3.27526,-4.49184,-6.47688,-1.11264,-7.6808,0.718854,1426.72,13.1734,10716,0.130128,0.984099,0.00225941,10964 
3,-1,46.2227,10,3,10498.5,-0.192053,23.2481,10.746,117.343,0.0690492,-44.0825,163.837,-8.20474,-7.3202,-12.8351,-3.61651,-4.1275,-143.905,-26.8892,19.7037,11630.8,8231.66,-7.29861,-6.41407,-11.0228,-2.71038,-3.22137,0.640568,261.486,28.3119,11919.2,0.0240568,0.840705,0.00435654,10869.6 
4,0.06,47.2827,1.8,4,10373.8,-0.0632052,22.8247,10.6096,117.423,0.035374,59.8071,500,-0.282907,-5.40225,-7.67047,-3.75076,-6.54599,-99.7112,870.529,7.77124,10637,7952,0.344948,-4.7744,-6.41476,-3.12291,-5.91814,0.677411,1070.34,13.7359,10836.8,0.0998912,0.978035,0.00232947,10715.1 
5,0.145,47.3677,2.8,5,10623.6,-0.186575,22.1141,11.3717,117.631,0.181837,109.323,364.198,-2.97247,-5.48281,-7.02413,-3.12238,-5.57308,-165.189,1533.53,20.3717,10291.5,8833.45,-1.93232,-4.44266,-4.94382,-2.08223,-4.53293,0.724332,1864.55,30.2532,10622.6,0.164733,0.972389,0.00521896,11318.6 
6,0,47.2227,1.32,6,9571.08,-0.160342,22.2582,10.1485,117.553,0.213537,57.2207,460.088,-5.41602,-6.23862,-5.65707,-2.63844,-6.31063,-119.254,515.214,15.5652,10138.8,7751.11,-4.66511,-5.4877,-4.15525,-1.88753,-5.55972,0.809001,754.192,22.6989,10377.8,0.0754915,0.949966,0.00401299,9990.42 
7,0.205,47.4277,3.6,7,9980.45,-0.151891,20.544,11.3909,117.203,0.116519,70.4404,353.243,-5.37453,-6.81047,-9.81607,-2.99743,-1.94801,-128.508,1200.45,32.964,9940.51,7885.15,-4.56534,-6.00129,-8.1977,-2.18825,-1.13883,0.628919,1457.98,40.6513,10198,0.138404,0.953477,0.00728945,10534.2 
8,-0.004,47.2187,7,8,9500.95,-0.120967,21.613,10.3965,117.519,0.0172221,87.3459,499.993,-4.06692,-3.06034,-6.53217,-0.997257,-3.88004,-93.6958,431.886,3.11101,10245.2,7363.68,-3.47695,-2.47036,-5.35221,-0.40728,-3.29006,0.643111,619.646,8.71579,10433,0.062559,0.975976,0.00153655,9904.98 
9,0.16,47.3827,3,9,10954.8,-0.182612,22.1782,11.663,117.338,0.0863036,-7.22319,85.7889,0.200764,-5.99693,-7.56731,-4.76935,-6.33201,-138.088,1547.73,11.2572,10517.8,8440.65,1.07027,-5.12743,-5.82831,-3.89984,-5.46251,0.697196,1824.44,19.5175,10794.5,0.159597,0.981623,0.00331964,11431.6 
10,0.006,47.2287,1.32,10,9651.3,-0.162095,22.1814,10.3017,117.426,0.233629,-369.503,454.516,-2.75719,-3.25412,-8.06596,-2.82334,-8.11075,-128.183,596.183,11.2187,10166.5,10248.8,-1.95005,-2.44699,-6.4517,-2.01621,-7.30361,0.680111,853.053,18.8864,10423.3,0.084212,0.962701,0.00332667,10129.8 
11,0.075,47.2977,2,11,9884.06,-0.0367613,21.9497,10.565,117.411,-0.0541338,-260.062,500,-1.13241,-3.3032,-9.93184,-3.8219,-1.88165,-132.58,1162.12,-1.50355,9896.57,8007.37,-0.297587,-2.46838,-8.2622,-2.98708,-1.04683,0.451457,1427.81,6.42723,10162.3,0.136342,0.992184,0.0011637,10472.2 
12,0.008,47.2307,1.35,12,9771.7,-0.175244,22.2305,10.4419,117.539,0.320696,110.841,499.903,-4.83199,-4.8908,-6.79545,-5.17946,-5.97229,-124.49,940.803,27.2214,9942.66,8713.72,-4.04811,-4.10692,-5.22769,-4.39558,-5.18841,0.77238,1190.27,34.6683,10192.1,0.115997,0.951501,0.00622686,10261.3 
13,-1,46.2227,10,13,9606.28,-0.170671,21.7068,10.5044,117.396,-0.0367659,112.27,20.9204,-3.99166,-4.33155,-8.15658,-5.82311,-2.42536,-135.561,-57.8081,5.45918,10851.5,7557.09,-3.13807,-3.47796,-6.4494,-4.96952,-1.57177,0.671062,213.847,13.5683,11123.1,0.0211449,0.900062,0.00224201,10113.4 
14,0.13,47.3527,2.6,14,10230.2,-0.144794,21.3933,11.1547,117.602,-0.0750962,111.461,410.843,-4.3736,-0.899784,-0.891545,-2.87516,-3.78897,-96.0216,1347.32,7.70095,9971.96,8040.84,-3.76898,-0.295161,0.317699,-2.27054,-3.18435,1.03453,1539.74,13.4449,10164.4,0.14545,0.984949,0.00243071,10586 
15,0.19,47.4127,3.4,15,11015.4,-0.146803,21.5944,11.8512,117.248,-0.00347285,-16.273,319.869,-3.69916,-3.14448,-4.72121,-2.4282,-1.98849,-130.017,1500.21,31.2649,10640.1,8332.84,-2.88048,-2.3258,-3.08385,-1.60952,-1.16981,0.721409,1760.75,39.0423,10900.6,0.153613,0.962646,0.00655456,11462.3 
16,0.004,47.2267,1.32,16,10039.8,-0.139911,22.9059,10.2133,117.312,0.13517,94.2761,20.7893,-4.54443,-3.30424,-6.55846,-3.39869,-3.58188,-147.909,818.458,36.9187,10394.1,8030.52,-3.61309,-2.3729,-4.69577,-2.46735,-2.65054,0.702793,1114.86,45.7665,10690.5,0.104884,0.932975,0.00782439,10629.4 
17,0.002,47.2247,1.32,17,9690.56,-0.162447,21.9037,10.451,117.523,0.0273786,54.2876,430.399,-3.04671,-5.83114,-5.7646,-2.39838,-2.25746,-133.559,920.818,4.71344,9904.24,7500.34,-2.20572,-4.99015,-4.08263,-1.55739,-1.41648,0.713547,1188.46,12.7028,10171.9,0.116044,0.981639,0.00229517,10241.4 
18,-1,46.2227,10,18,10416.2,-0.172081,23.3378,10.531,117.371,0.0114748,-163.879,437.974,-8.74906,-6.08309,-11.398,-4.80008,-0.721483,-171.795,21.0829,13.0671,11550.4,8061.84,-7.66732,-5.00134,-9.23449,-3.71833,0.360263,0.63444,365.349,23.3437,11894.7,0.0333603,0.89943,0.00360218,10951.6 
19,0.115,47.3377,2.4,19,10363.7,-0.176092,21.9662,11.1573,117.403,-0.0714723,-302.327,208.188,-6.70501,-4.57294,-3.24009,-3.19764,-5.12296,-143.691,1484.05,22.234,10111.4,8681.7,-5.80022,-3.66816,-1.43053,-2.29286,-4.21817,0.917833,1772,30.8294,10399.3,0.160691,0.970453,0.00543136,11027.4 
20,0.03,47.2527,1.6,20,10365.5,-0.179374,22.8835,10.7281,117.522,0.0346341,16.963,239.774,-4.6471,-6.23819,-3.76773,-1.3529,-1.26129,-140.909,1137.3,4.13703,10382.2,8010.82,-3.75984,-5.35092,-1.9932,-0.465628,-0.374026,0.833116,1419.67,12.5661,10664.6,0.130112,0.984746,0.00216585,10911.1 
21,0.016,47.2387,1.4,21,9740.23,-0.0556438,21.6865,10.4239,117.597,0.0533117,9.46183,500,-1.05107,-5.09649,-6.64284,-3.06471,-0.133418,-138.03,748.735,15.6183,10062.7,7375.35,-0.181938,-4.22735,-4.90457,-2.19557,0.735718,0.544765,1025.34,23.8751,10339.3,0.100255,0.960847,0.0042357,10227.3 
22,0.175,47.3977,3.2,22,11120.2,-0.159552,22.1268,11.7829,117.521,-0.184928,-150.724,500,-3.80435,-4.5898,-11.4458,-2.1517,-3.87466,-122.183,1482.04,26.8938,10781.4,9394.58,-3.03499,-3.82045,-9.90709,-1.38234,-3.1053,0.533788,1726.89,34.2027,11026.3,0.14964,0.966501,0.0056816,11540.3 
23,-1,46.2227,10,23,10133.3,-0.160608,22.2702,10.7014,117.481,0.108033,66.792,499.468,-3.09577,-6.03362,-8.13171,-4.58049,-0.599824,-73.125,-90.4978,8.57991,11253.3,7993.1,-2.63532,-5.57317,-7.21082,-4.12004,-0.139375,0.633573,56.0399,12.9542,11399.8,0.00549309,0.711982,0.0020889,10201.9 
24,0.012,47.2347,1.4,24,9773.53,-0.154168,22.0171,10.4364,117.722,0.102431,477.58,13.0443,-4.68623,0.0239794,-4.54229,-3.85269,-2.08644,-118.73,1354.99,18.9525,9454.18,9072.53,-3.93862,0.771593,-3.04706,-3.10508,-1.33883,0.714106,1592.92,26.0549,9692.11,0.15588,0.972172,0.00492765,10218.9 
25,0.045,47.2677,1.7,25,10443.2,-0.168658,23.0672,10.6632,117.426,-0.0327422,72.4019,0.20578,-0.726462,-2.12951,-4.89151,-1.50997,-1.52686,-149.493,855.596,9.73542,10706.6,8084.27,0.214859,-1.18819,-3.00887,-0.568645,-0.58554,0.414205,1155.17,18.678,11006.2,0.105489,0.972483,0.0031164,10950.6 
26,-0.002,47.2207,1.8,26,9078.13,-0.217428,21.9139,10.1359,117.648,0.207635,231.434,449.776,-6.02221,-4.15244,-3.60892,-1.62431,0.0255972,-130.497,1431.52,20.1412,8787.19,8794.99,-5.20051,-3.33074,-1.96552,-0.80261,0.8473,0.811949,1693.02,27.9474,9048.7,0.173708,0.971923,0.00565725,9746.37 
27,0.1,47.3227,2.2,27,10662,-0.081278,22.6193,11.0668,117.311,0.200761,1026.26,0.00521681,-0.854529,-7.27166,-7.07582,-4.12134,-1.18542,-104.927,1256.08,20.455,10527.3,14855.9,-0.19383,-6.61096,-5.75442,-3.46064,-0.524725,0.652187,1466.35,26.7316,10737.5,0.133029,0.969084,0.00456507,11022.8 
28,-1,46.2227,10,28,10455.9,-0.152515,23.2403,10.6073,117.468,0.108723,-57.0585,493.813,-6.41669,-6.09755,-9.17991,-3.36343,-4.24299,-92.1913,-60.9836,21.0005,11533.6,8226.87,-5.83618,-5.51705,-8.0189,-2.78293,-3.66248,0.689401,123.762,26.5153,11718.3,0.0117276,0.727311,0.00415087,10553 
29,0.06,47.2827,1.8,29,11070.2,-0.0697801,23.6029,10.8377,117.52,0.0344288,-79.3788,500,-6.75102,-4.3218,-8.82631,-3.98645,-0.806124,-120.945,946.612,32.3156,11020.9,8416.16,-5.98946,-3.56024,-7.30319,-3.22489,-0.0445644,0.637061,1188.98,39.5504,11263.2,0.106033,0.94499,0.00642691,11213.2 
30,0.145,47.3677,2.8,30,11019,-0.150581,22.464,11.4149,117.48,0.0504292,-57.2756,15.5135,-4.78261,-3.88595,-4.93279,0.0826348,-3.88182,-103.326,1533.66,28.0277,10486.3,8441.49,-4.13199,-3.23534,-3.63156,0.733249,-3.23121,0.730933,1740.72,34.2085,10693.4,0.154623,0.966752,0.00585843,11257.8 
31,0,47.2227,1.32,31,10138.1,-0.182825,23.3249,10.33,117.517,0.026304,312.201,4.22536,-5.68411,-4.66388,-7.70308,-3.77739,-1.85096,-129.14,927.237,9.21053,10319.4,8110.95,-4.87094,-3.85072,-6.07675,-2.96423,-1.0378,0.676776,1186.03,16.9356,10578.2,0.111883,0.975621,0.00294052,10600.6 
32,0.205,47.4277,3.6,32,10647.7,-0.156373,21.4711,11.5978,117.292,0.0479995,-103.76,0.984873,-3.91606,-3.53582,-3.79736,-0.847705,-2.0729,-108.12,1219.46,38.6906,10447.6,8268.47,-3.23526,-2.85502,-2.43576,-0.166904,-1.3921,0.758478,1436.12,45.1582,10664.3,0.131425,0.947842,0.00774008,10927.3 
33,-0.004,47.2187,7,33,9962.94,-0.025129,22.5386,10.4752,117.429,-0.00221321,-18.3735,500,-4.42071,-3.56944,-6.72383,-2.37351,-1.18206,-138.008,676.674,7.90996,10433,7687.04,-3.55171,-2.70043,-4.98582,-1.5045,-0.313063,0.618106,953.234,16.1655,10709.6,0.0909159,0.971178,0.00277283,10484.8 
34,0.16,47.3827,3,34,10544.2,-0.173629,21.5958,11.5173,117.509,0.0358029,-8.56677,154.582,-3.03645,-3.04707,-7.13441,-3.49623,0.86823,-103.702,1486.39,23.5405,10091.7,8106.83,-2.38347,-2.39409,-5.82845,-2.84325,1.52121,0.511366,1694.2,29.7439,10299.5,0.155993,0.970192,0.00529165,10860.8 
35,0.006,47.2287,1.32,35,9887.49,-0.0296574,22.8737,10.145,117.417,-0.0177235,-68.4754,500,-7.79718,-1.32164,-7.93841,-4.24883,-2.3166,-128.32,662.703,26.9438,10323.7,7593.62,-6.98919,-0.513644,-6.32242,-3.44084,-1.50861,0.663248,919.847,34.6197,10580.8,0.0889876,0.938206,0.00599112,10336.8 
36,0.075,47.2977,2,36,10436.6,-0.174783,22.8617,10.783,117.269,0.0579035,-21.6007,282.323,-5.76698,-2.48869,-4.30636,-3.12721,-2.85584,-100.421,1087.86,12.2107,10376.9,8065.71,-5.13465,-1.85637,-3.04171,-2.49488,-2.22352,0.793798,1289.1,18.2178,10578.2,0.120435,0.975866,0.00316245,10703.7 
37,0.008,47.2307,1.35,37,10041.7,-0.0885515,22.8102,10.48,117.432,0.0605766,-38.2403,8.35986e-05,-8.70459,-3.17697,-5.3516,-4.16663,-2.70428,-132.043,883.553,10.082,10284.6,7857.31,-7.87315,-2.34553,-3.68872,-3.33519,-1.87284,0.807029,1148.16,17.9807,10549.2,0.108965,0.973325,0.00312996,10537 
38,-1,46.2227,10,38,10621.1,-0.196323,23.4623,10.782,117.448,-2.5714,-7772.4,499.998,-4.95271,-4.24853,-5.6765,-2.30995,-2.41782,-133.788,-81.2929,-0.241586,11735.9,658844,-4.11029,-3.4061,-3.99165,-1.46752,-1.57539,0.725678,186.809,7.76146,12004,0.0171851,0.93222,0.00118964,10870.4 
39,0.13,47.3527,2.6,39,11350.8,-0.113492,23.0509,11.5423,117.188,-0.0283422,208.82,481.147,-6.68058,-5.04012,-7.77346,-4.44545,-2.68147,-128.425,1575,23.2199,10804.3,8853.84,-5.87192,-4.23146,-6.15614,-3.63678,-1.87281,0.717208,1832.36,30.9022,11061.7,0.156917,0.971333,0.00511981,11677.2 
40,0.19,47.4127,3.4,40,10790.5,-0.163904,21.8566,11.5741,117.536,0.171276,134.994,26.8326,-6.96694,-6.64705,-6.2536,-3.30989,-1.14261,-89.8193,1328.71,27.4613,10518.5,8987.75,-6.40137,-6.08148,-5.12246,-2.74432,-0.577044,0.755219,1508.7,32.8342,10698.5,0.136777,0.963312,0.00562171,11030.4 
