cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-0.005,47.2177,8,0,15982,0.0746426,26.0182,-13.0174,116.992,-0.0272518,-62.4909,8.61003,-2.56461,1.83182,-2.68842,2.09348,-6.41589,-248.511,2662.67,151.67,12733.8,11080.9,-0.999804,3.39663,0.4412,3.65829,-4.85108,0.731832,2860.62,169.666,12931.7,0.192154,0.905966,0.0235982,14887.1,0.000299488,0.177031,14.0411,13.1692,117.217,93.3801,0.96921,13.0585,12.5602,116.474,142.442,0.743202,-49.0624 
1,0.19,47.4127,3.3,1,17636.9,0.0316745,27.1197,13.9938,117.044,-0.00758143,1.49554,6.72765,-3.64743,-2.2585,-6.09795,0.500489,-7.50982,-255.004,2325.62,150.21,14510.3,12354.6,-2.04173,-0.652805,-2.88656,2.10618,-5.90413,0.692233,2528.74,168.676,14713.4,0.155978,0.895471,0.0206813,16212.2,-3.18451e-06,0.109023,16.6721,17.7431,118.087,94.0207,1.00207,13.8461,-13.2567,116.467,142.837,1.61998,-48.8166 
2,0.008,47.2307,1.35,2,16268.4,0.0385693,26.4309,13.2043,117.176,0.0121099,-38.7367,85.1963,-1.85489,-6.02608,-2.8967,0.369773,-5.9496,-246.156,1415.55,130.581,14368.3,11376.4,-0.304917,-4.47611,0.203257,1.91975,-4.39962,1.0288,1611.62,148.406,14564.4,0.106332,0.861217,0.0184245,15156.5,4.89996e-05,0.0725363,15.5943,16.9612,118.351,96.3883,1.08613,13.1303,-12.5869,116.658,142.302,1.69286,-45.9135 
3,0.1,47.3227,2,3,16156.7,-0.0214145,26.3324,-13.3382,116.976,-0.00429624,9.14123,500,-2.67715,-0.138165,1.23526,-2.11107,-3.56155,-290.138,1419.73,120.366,14419.4,11434.9,-0.850224,1.68876,4.8891,-0.284144,-1.73463,-0.318221,1650.83,141.376,14650.5,0.108068,0.869665,0.0174656,15275.8,-0.00013569,0.0649774,16.7092,18.4903,118.545,96.5978,1.09259,13.1645,-12.5012,116.412,142.638,2.13335,-46.0401 
4,0.006,47.2287,1.32,4,17323.4,-0.000269696,27.997,13.2046,116.794,-0.00280408,-0.996269,7.54545e-12,2.33497,0.317812,-6.54962,1.78672,-1.90807,-217.978,1196.62,154.804,15533.6,12034.8,3.70752,1.69036,-3.80452,3.15928,-0.535521,1.90216,1370.25,170.588,15707.3,0.0857585,0.821109,0.0196137,15978,3.84552e-05,0.0495405,18.0291,20.7979,119.442,98,1.16704,13.099,-12.6374,116.289,142.504,3.15297,-44.504 
5,0.03,47.2527,1.6,5,15923.9,0.0378079,25.923,13.1776,116.997,0.0491328,-124.849,470.006,2.01289,4.32742,1.97036,3.93998,-3.69232,-266.913,1642.55,142.607,13827.2,11320,3.69357,6.0081,5.33172,5.62066,-2.01164,0.714,1855.16,161.935,14039.8,0.124406,0.867487,0.0208047,14912.2,-1.29312e-05,0.0855937,-15.937,16.2025,118.219,95.7533,1.02919,13.1922,12.7586,116.52,143.161,1.699,-47.408 
6,0.012,47.2347,1.4,6,15842.9,0.0652227,25.5649,13.1718,117.052,-0.0511312,-39.1087,86.5222,1.09764,2.67993,-6.16346,0.950512,-6.44239,-226.323,1566.93,144.568,13749.2,11026.9,2.52273,4.10502,-3.31327,2.3756,-5.0173,5.92475,1747.21,160.957,13929.5,0.118844,0.861168,0.020842,14701.6,0.000109027,0.0808293,16.4553,-15.9146,118.185,95.0351,1.03594,13.0675,12.667,116.561,142.287,1.62349,-47.2518 
7,-1,46.2227,10,7,15524.5,0.0579117,25.2053,13.057,117.069,0.0193314,-110.919,499.996,-4.18516,-0.082895,-2.9014,1.60975,-7.90131,-217.47,639.415,119.4,14361.2,10783.2,-2.81581,1.28646,-0.162693,2.9791,-6.53196,0.968981,812.638,135.148,14534.4,0.0567103,0.774571,0.0168403,14329.6,-0.000622849,0.011436,84.906,21.6053,103,88.89,1.11956,12.9888,-12.3714,116.548,142.41,-13.5478,-53.5204 
8,0.175,47.3977,3,8,18194.5,0.0296664,27.7881,14.0781,116.918,0.0937754,-53.231,434.758,-2.00683,0.440048,-4.72098,4.35411,-0.967765,-233.801,2112.77,147.391,15249.7,12897.5,-0.534647,1.91223,-1.77662,5.82629,0.504416,1.29951,2299.01,164.321,15436,0.138042,0.888825,0.0192327,16654.4,1.91996e-05,0.10071,16.7681,16.738,117.477,95.1463,1.03181,14.0636,13.3997,116.39,143.423,1.08751,-48.2764 
9,0.004,47.2267,1.32,9,15842.5,0.0325452,25.7845,13.203,116.867,-0.0358235,8.03998,46.4118,-3.64121,2.12434,-5.78766,-2.26711,-5.63584,-265.562,1717.76,131.403,13710.8,11091.6,-1.96903,3.79651,-2.44332,-0.594931,-3.96366,0.52781,1929.29,150.633,13922.4,0.129682,0.87979,0.0195412,14877.1,-4.11699e-06,0.0950464,15.7109,-15.1706,117.516,95.8417,1.03915,13.0707,-12.6307,116.329,142.828,1.18701,-46.9861 
