cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,47.6227,9,0,11590.8,-0.263977,20.0609,14.0425,119.056,0.00241438,62.3499,450.261,-10.5866,-6.30264,-10.2357,-3.10861,-7.9936,-177.821,483.524,57.3386,11862.1,9175.31,-9.46692,-5.18295,-7.99628,-1.98893,-6.87391,0.746222,625.165,70.215,12003.7,0.0495028,0.835736,0.0106604,12628.9,-0.00156549,0.0163074,-13.7039,70.8106,125.808,98,0.832447,14.1853,12.5754,118.13,138.767,7.67773,-40.7673 
1,46.2227,10,1,12722.7,-0.0239946,22.9991,13.3111,118.852,-0.0351391,20.1036,499.992,-4.56759,-7.0481,-10.2104,-6.75404,-6.0191,-154.624,70.5755,76.3492,13739.7,9988.96,-3.59397,-6.07447,-8.26317,-5.78041,-5.04547,0.71266,193.739,87.5459,13862.9,0.0137827,0.558415,0.0114993,14056.6,-0.00118453,-0.0160174,17.7643,7.92469,111.465,77.7793,0.998173,13.6799,12.788,118.008,139.421,-6.54351,-61.642 
2,46.2227,10,2,12884.3,-0.307664,24.0678,13.0779,118.928,0.137149,-63.3222,28.9343,-5.82889,-8.07388,-10.5478,-5.57373,-7.58395,-145.168,-35.3013,72.1795,13953,10529.1,-4.91481,-7.15979,-8.71966,-4.65965,-6.66987,0.728561,80.3302,82.6915,14068.7,0.00567744,0.356959,0.0107114,14149,-0.00112208,-0.0183261,16.3323,8.75228,113.626,78.3867,1.06995,13.325,12.3515,118.133,138.25,-4.50789,-59.8634 
3,47.2427,1.9,3,10265.8,-0.293249,18.3982,13.9277,119.064,-0.093922,243.746,499.883,-7.16539,-7.10435,-8.0082,-4.70729,-2.46068,-157.142,1219.02,48.8445,9963.1,9086.82,-6.17591,-6.11487,-6.02924,-3.71781,-1.4712,0.743535,1344.19,60.2235,10088.3,0.117577,0.927296,0.0108771,11432.5,-0.00133161,0.093641,14.6457,-11.7409,119,91.6646,0.682194,14.027,13.3966,118.264,139.747,0.735592,-48.0829 
4,46.2227,10,4,13889.7,-0.130379,25.5552,-12.9216,118.795,-0.165673,12.5206,499.905,-3.68717,-4.80698,-14.9544,-3.72717,-3.21347,-211.928,36.5525,72.723,14869.5,10817.1,-2.35272,-3.47252,-12.2855,-2.39272,-1.87902,0.451112,205.361,88.0692,15038.3,0.0134719,0.571269,0.0106728,15243.7,-0.00101168,-0.0206936,13.6181,-8.13988,113.154,76.9455,1.18286,13.1323,12.01,118.042,138.72,-4.88823,-61.7745 
5,46.2227,10,5,12877.4,-0.0207689,24.2876,12.6208,118.909,-0.00605138,20.5995,500,-6.22401,-5.21039,-8.09394,-5.29109,-5.89146,-130.817,-11.9245,59.3953,14007.2,9982.56,-5.40029,-4.38667,-6.4465,-4.46737,-5.06774,0.749831,92.2759,68.8681,14111.4,0.00649664,0.433637,0.00890998,14203.6,-0.00114701,-0.0193611,14.7668,9.04703,112.993,78.8616,1.12796,12.9805,12.0428,118.128,139.51,-5.13527,-60.648 
6,47.7227,10,6,11676.7,-0.301034,21.2097,13.568,119.151,0.0695274,-40.5746,81.908,-6.66902,-7.31024,-11.5951,-5.27129,-2.56533,-136.334,231.097,63.3687,12337.3,9459.83,-5.81056,-6.45178,-9.87819,-4.41283,-1.70687,0.650456,339.692,73.2409,12445.9,0.0265684,0.726049,0.0107241,12785.6,-0.000990214,-0.0120132,9.91543,5.65694,105.881,76.2633,0.883805,13.8602,12.8591,118.373,138.197,-12.4917,-61.9336 
7,47.2727,2.4,7,11188.8,-0.309994,20.8655,13.3326,119.162,0.218291,-365.512,171.871,-4.02857,-4.00485,-9.01218,-6.60966,-6.32495,-205.958,1461.33,64.6559,10950.8,11653.4,-2.73171,-2.70799,-6.41846,-5.3128,-5.02809,0.710868,1625.38,79.5698,11114.8,0.127578,0.92109,0.0130158,12740.2,-0.00155281,0.124783,13.212,11.6576,118.619,90.9783,0.801332,13.6822,12.7197,118.38,139.242,0.239201,-48.2635 
8,47.2327,1.38,8,12986.1,-0.00679223,23.8051,12.8986,118.992,-0.00743296,5.90855,500,-8.77294,-6.55753,-16.7306,-8.81796,-4.23931,-153.744,398.657,75.8719,13592.6,9996.99,-7.80486,-5.58944,-14.7944,-7.84988,-3.27122,0.623646,521.12,87.0049,13715.1,0.0366053,0.773888,0.0115509,14236.2,-0.00146118,0.0395308,12.8646,-13.6583,121.282,97.836,1.01008,13.3408,12.8003,118.093,138.967,3.18906,-41.1307 
9,47.2977,3.2,9,12385.1,-0.0240536,22.1205,13.3247,118.981,3.42238,38.051,499.893,-4.21987,-7.92772,-16.5556,-2.50194,-2.45406,-150.027,2354.18,92.6891,11071.3,13834.3,-3.27519,-6.98304,-14.6663,-1.55726,-1.50938,0.476039,2473.68,103.553,11190.8,0.18103,0.931742,0.0167601,13664.5,-0.0014515,0.182538,13.5293,12.1912,119.052,90.6412,0.78457,13.9197,12.9865,118.127,139.194,0.925618,-48.5524 
10,47.3727,5,10,12297.4,-0.27717,22.2119,13.441,119.009,0.100411,95.2044,14.9885,-3.52561,-5.034,-9.56638,-2.63366,-2.70165,-126.842,2191.21,56.9092,11083.5,10030,-2.72692,-4.23531,-7.969,-1.83496,-1.90295,0.573146,2292.24,66.0942,11184.6,0.170088,0.951965,0.0107685,13476.8,-0.00145747,0.159865,14.0468,12.6962,118.687,89.9733,0.783556,13.9372,13.0423,118.288,138.622,0.398123,-48.6488 
11,47.4227,6,11,12112.8,-0.312524,20.9444,14.2544,118.886,-0.0195608,303.602,304.491,-7.36617,-5.66079,-9.79927,-5.77794,-6.05139,-138.412,1590.11,88.9422,11370.8,9912.12,-6.49463,-4.78925,-8.05619,-4.9064,-5.17984,0.726225,1700.36,98.9649,11481.1,0.128997,0.907561,0.0156305,13181.4,-0.00141571,0.0920887,15.7315,14.7619,118.694,90.6729,0.762649,14.3372,13.4178,118.008,138.693,0.686416,-48.0197 
12,47.2377,1.5,12,12541.6,-0.0123039,23.3895,12.8717,118.782,0.000612776,-18.5797,1.33102e-05,-7.63407,-8.54164,-13.4952,-4.8858,-6.66412,-196.123,737.025,49.5604,12993,9800.96,-6.39914,-7.30671,-11.0253,-3.65087,-5.42919,0.673915,893.244,63.7621,13149.2,0.0636101,0.888952,0.00885348,14042.5,-0.00155639,0.0641253,13.3482,-12.4807,119.555,94.0983,0.97956,13.4184,12.5245,117.931,139.177,1.62353,-45.0783 
13,47.2527,2.1,13,13194.3,-0.285063,23.9826,13.2983,118.764,-0.204097,589.163,71.2944,-6.18637,-6.42393,-10.0046,-0.648438,0.0393049,-206.039,2098.36,36.7906,12056.6,14296.5,-4.889,-5.12656,-7.40983,0.648932,1.33667,0.520082,2262.48,51.7103,12220.8,0.156214,0.961541,0.00773431,14483.2,-0.0013868,0.183749,13.1474,11.2899,118.329,90.6696,0.893747,13.5893,12.6531,117.951,138.999,0.378005,-48.3294 
14,46.2227,10,14,11721.3,-0.137021,22.1083,12.8647,118.996,0.0039549,44.2188,500,-9.25143,-10.3457,-13.6496,-5.38746,-4.22664,-119.713,-47.2592,36.9183,12934.6,9264.42,-8.49763,-9.59188,-12.142,-4.63366,-3.47285,0.683291,48.0964,45.587,13029.9,0.00367765,0.376124,0.00640359,13078,-0.00124387,-0.0203481,15.0808,7.56185,112.067,78.9183,1.01468,13.2057,12.1822,118.248,138.615,-6.18172,-59.6964 
15,47.2207,1.32,15,11631.7,-0.280494,21.4375,13.2703,118.833,0.0163238,2.71333,478.726,-4.7722,-6.38227,-11.77,-4.37908,-1.3905,-131.121,580.458,45.2761,12057,9262.24,-3.94657,-5.55664,-10.1187,-3.55345,-0.564867,0.573773,684.9,54.7709,12161.5,0.0533147,0.877235,0.00822793,12846.4,-0.00138971,0.0557075,12.904,-12.0129,119.185,93.9946,0.9098,13.5484,12.4292,118.177,139.282,1.0076,-45.2873 
16,47.2287,1.34,16,11925.5,-0.322107,22.0567,13.4003,118.996,0.0972115,382.872,0.766928,-7.47597,-7.38099,-12.9746,-4.15369,-5.21472,-146.479,222.582,42.6787,12814.2,10833.3,-6.55363,-6.45865,-11.1299,-3.23135,-4.29238,0.64852,339.258,53.2857,12930.8,0.0255656,0.784397,0.00753379,13270.1,-0.00181817,0.0107007,8.26825,5112.08,127.052,82.9542,0.966582,13.559,12.251,117.952,139.025,9.09982,-56.0705 
17,47.2227,1.32,17,12992.5,-0.0033545,24.6884,12.3337,118.867,-0.0034692,0.0227904,5.37072e-12,-8.00318,-8.12953,-9.96795,-5.37872,-6.83097,-171.191,492.461,71.1189,13479.2,9912.48,-6.92523,-7.05158,-7.81206,-4.30077,-5.75302,0.754667,628.821,83.5152,13615.6,0.0441452,0.81141,0.0111729,14244.4,-0.00123053,0.0487944,12.0517,-14.2508,119.56,95.8036,1.12913,12.6895,11.7202,118.129,138.437,1.43104,-42.6334 
18,47.2127,1.7,18,11657.6,-0.0129801,21.4058,12.9109,119.048,-0.00523524,27.2608,474.654,-4.32383,-4.38539,-3.85241,-6.90556,-6.35608,-165.533,661.083,51.9443,11930.3,9001.36,-3.28151,-3.34307,-1.76777,-5.86324,-5.31376,0.909666,792.936,63.931,12062.2,0.0616825,0.876351,0.00966896,12855.1,-0.00126653,0.0598015,13.3832,-11.8949,119.299,92.7877,0.905342,13.4673,12.3788,118.268,138.431,1.03161,-45.6434 
19,47.4727,7,19,12198.1,-0.0894499,20.4821,14.0568,119.07,0.0766137,-2.54926,0.0104559,-8.47587,-8.05487,-8.17164,-1.89999,-2.83484,-139.735,1323.63,95.2416,11434.3,9378.83,-7.596,-7.17499,-6.41189,-1.02011,-1.95496,0.734585,1434.94,105.36,11545.6,0.110545,0.886137,0.0165323,12980.6,-0.00115598,0.0756767,16.1221,14.8353,119.478,90.5485,0.773907,14.4713,13.1647,118.257,138.197,1.22168,-47.6483 
20,47.3227,4,20,11426.2,-0.290072,20.6306,13.6249,119.256,0.000948189,115.698,5.58385,-6.88947,-4.59963,-7.79244,-6.05307,-7.90483,-161.848,1955.04,31.2934,10462.5,9153.97,-5.87036,-3.58052,-5.75421,-5.03396,-6.88572,0.787861,2083.95,43.0132,10591.4,0.16441,0.965139,0.00742553,12675.3,-0.00142652,0.157131,13.7986,11.8247,118.477,90.1197,0.753984,13.9962,12.7165,118.466,138.946,0.0107927,-48.8265 
21,47.2247,1.32,21,12458.9,-0.254926,23.3507,12.8433,119.041,-0.175788,169.207,17.6876,-8.54642,-7.07123,-11.8162,-4.93507,-7.56615,-214.812,476.046,70.3361,13018.1,10731,-7.1938,-5.71862,-9.11101,-3.58245,-6.21353,0.713665,647.152,85.8912,13189.2,0.0467719,0.811515,0.011854,13836.3,-0.0013835,0.0477617,13.6297,-12.2826,119.986,95.3345,1.00566,13.1321,12.4104,118.175,139.187,1.81115,-43.8521 
22,47.2027,10,22,11843.9,-0.162007,21.5063,13.4145,119.216,-0.0317159,-143.768,499.451,-7.5604,-7.4368,-13.4249,-6.67214,-3.6506,-151.814,255.55,69.3769,12564.2,9539.96,-6.60447,-6.48087,-11.513,-5.71621,-2.69468,0.651219,376.475,80.3701,12685.1,0.028823,0.728019,0.0115365,13061.6,-0.00153624,0.0150691,6.93149,-99.4951,125.748,98,0.941456,13.4413,12.4391,118.187,139.623,7.56041,-41.6229 
23,47.2177,1.38,23,12635,-0.100816,22.9838,13.1094,118.863,0.03687,40.5361,500,-7.18481,-4.16447,-13.6345,-4.01044,-4.31235,-244.433,912.818,52.2756,12662,9857.07,-5.64568,-2.62534,-10.5562,-2.47131,-2.77322,0.561468,1107.52,69.9756,12856.7,0.0793113,0.900439,0.00992659,13964.2,-0.00131533,0.0794135,13.1615,11.9891,118.737,93.3681,0.951552,13.3959,12.597,118.038,139.62,0.699278,-46.2522 
