cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,0.004,47.2267,1.35,0,5961.28,-0.472879,15.9247,11.4987,119.718,0.323251,-78.4836,85.7681,-8.17822,-2.40662,-15.2768,-7.69943,-6.67093,-245.323,576.747,39.4398,7611.44,6786.83,-6.63348,-0.861891,-12.1873,-6.1547,-5.1262,0.606398,772.156,57.2042,7806.85,0.0900053,0.885233,0.0133181,8579,-0.0021443,0.0677733,10.0225,12.6562,119.898,89.8526,0.766516,11.6065,10.5917,118.889,135.921,1.00895,-46.068 
1,0,47.2227,1.32,1,6495.03,-0.0384329,16.4182,11.1794,119.514,0.0245096,29.4305,500,-9.4272,-4.52204,-16.7029,-7.02113,-8.19977,-179.292,261.258,54.9129,8329.04,5998.51,-8.29825,-3.39308,-14.445,-5.89217,-7.07082,0.630556,404.071,67.8959,8471.86,0.0455244,0.772767,0.0145484,8875.93,-0.00213714,0.033658,12.4857,16.5281,120.578,97.5087,0.831978,11.4955,10.6988,118.807,136.606,1.77171,-39.0976 
2,0.2,47.4227,4.2055,2,7784.74,-0.432438,17.569,12.4155,119.506,0.92335,1548.15,473.175,-2.8949,-1.93345,-13.7145,-6.7968,-4.29767,-164.154,988.527,49.1681,8557.69,53635.1,-1.86127,-0.899814,-11.6473,-5.76317,-3.26404,0.503009,1119.28,61.0548,8688.45,0.114122,0.912859,0.0127793,9807.73,-0.00183373,0.0729288,14.3484,13.6709,119.727,90.6506,0.762639,12.2769,11.3807,118.78,137.878,0.946105,-47.2277 
3,-0.005,47.2177,1.36,3,6134.23,-0.0702661,15.741,11.0742,119.541,-0.0664799,74.8978,500,-11.5916,-5.84205,-13.594,-7.16653,-5.00399,-320.913,24.0747,22.8956,8178.16,5836.74,-9.57092,-3.82135,-9.55256,-5.14583,-2.98328,0.692586,279.694,46.1337,8433.78,0.032099,0.776005,0.009976,8713.47,-0.00192707,0.0233204,0.181024,-10.4767,124.021,97.9992,0.83671,11.5381,10.5443,118.76,136.351,5.26112,-38.3517 
4,-1,46.2227,10,4,6807.63,-0.186011,17.1784,11.2289,119.641,-0.135401,506.962,0.38738,-8.50628,-5.01132,-11.823,-5.92212,-6.85792,-352.599,61.1306,57.2672,8864.2,8513.91,-6.28606,-2.7911,-7.38257,-3.70189,-4.6377,0.702308,341.989,82.7998,9145.06,0.0360479,0.702397,0.0164049,9487.05,-0.00304121,0.00601217,5139.87,21.711,129.098,55,0.885878,11.633,10.7568,118.842,136.465,10.2552,-81.4649 
5,-0.02,47.2027,10,5,6038.9,-0.485664,16.0773,11.5854,119.772,-0.0663296,424.093,40.3565,-7.94134,-10.086,-16.5861,-7.02643,-5.88139,-346.952,46.5077,50.0924,8223.96,6979.18,-5.75668,-7.90134,-12.2168,-4.84177,-3.69672,0.644998,322.868,75.2161,8500.32,0.0365931,0.710387,0.0160387,8823.18,-0.00200151,-0.00127435,26.0423,-0.0211003,132.381,78.3601,0.820433,11.5778,10.7166,119.075,136.443,13.3059,-58.0833 
6,0.125,47.3477,3.039,6,6609.82,-0.455234,16.408,11.8967,119.548,-0.87337,-1209.41,494.065,-4.7433,-3.19012,-16.3529,-4.10426,-6.26319,-274.332,928.162,21.9848,7723.84,40739.3,-3.0159,-1.46273,-12.8981,-2.37686,-4.5358,0.468982,1146.68,41.8499,7942.35,0.126161,0.939965,0.00961312,9089.03,-0.00206481,0.0930747,12.3136,-11.5338,119.313,89.9047,0.714002,12.0821,11.1808,118.703,136.913,0.61023,-47.0082 
7,0.05,47.2727,2.1512,7,6474.25,-0.250974,15.6166,11.7579,119.461,-0.449422,354.486,499.948,-7.42132,-5.44381,-11.2793,-1.68454,-3.21609,-308.51,1047.77,8.19533,7354.65,11163.6,-5.47871,-3.5012,-7.39405,0.258062,-1.27348,0.574795,1293.51,30.5353,7600.39,0.145437,0.960327,0.00734645,8893.9,-0.00188104,0.121977,11.7743,9.86254,119.264,89.1548,0.69689,11.9995,10.9172,118.578,137.559,0.68589,-48.4046 
8,0.008,47.2307,1.36,8,6533.74,-0.137221,16.63,11.0517,119.649,-0.355194,-747.88,0.00368284,-11.2874,-7.58261,-10.787,-6.00816,-4.16329,-306.319,429.806,5.46498,8075.3,14630.5,-9.35863,-5.6538,-6.92941,-4.07935,-2.23448,0.75476,673.8,27.6463,8319.29,0.0749242,0.933007,0.00608436,8993.09,-0.00143385,-0.00797036,35.1012,0.0739294,123.919,73.2682,0.820951,11.5544,10.5399,118.931,137.772,4.98789,-64.504 
9,0.075,47.2977,2.447,9,6923.73,-0.19562,16.3932,11.7203,119.62,0.206629,337.308,4.94813e-11,-8.48831,-8.83552,-18.8397,-7.82933,-5.62404,-372.699,942.558,36.9507,7899.95,8523.47,-6.14152,-6.48874,-14.1461,-5.48255,-3.27726,0.601923,1239.43,63.9387,8196.82,0.131347,0.917197,0.0141657,9436.24,-0.00191701,0.0987589,11.0322,-11.5178,119.421,90.172,0.731925,12.21,11.0685,118.839,137.358,0.58167,-47.186 
