cyc,time,buffer,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
589,7,8,2,589,21164.8,-0.0756149,39.1775,-12.5301,118.246,-0.106765,40.7435,1.1001e-09,-5.88044,-3.18791,-3.59402,-7.29364,-1.64686,-145.83,11693.3,32.136,10582.3,16122,-4.96218,-2.26966,-1.75751,-6.37539,-0.728605,0.890793,11809.4,42.696,10698.4,0.524681,0.993713,0.00729794,22507.9,-0.00148007,1.11312,12.7628,10.3749,117.731,89.0494,0.900754,12.6408,11.6398,117.622,138.81,0.109034,-49.7611 
590,2,3,2,590,23142.8,-0.0410394,42.4852,12.4973,118.076,-0.0634703,-1.19463,500,-7.97644,-4.55357,-4.56495,-4.35924,-6.311,-246.649,12978.1,48.5118,11183.3,17286.6,-6.42336,-3.00049,-1.45878,-2.80615,-4.75792,0.920919,13174.6,66.3723,11379.8,0.536548,0.991261,0.0106298,24554.4,-0.00134658,1.23654,12.7868,10.3142,117.588,87.929,0.990065,12.4751,11.2726,117.362,137.268,0.226325,-49.3387 
591,1,2,2,591,22548.4,-0.24285,42.2131,12.4449,118.097,0.135978,82.798,500,-10.8054,-1.88873,-9.59748,-1.90738,-3.54399,-203.199,12482.5,34.004,11140.8,17467.9,-9.52586,-0.609239,-7.0385,-0.627892,-2.2645,0.649232,12644.3,48.7181,11302.6,0.528014,0.993302,0.00787755,23947,-0.0013747,1.19941,12.6214,10.3436,117.582,87.9353,0.985289,12.3242,11.4333,117.345,137.03,0.237126,-49.0945 
592,9,10,2,592,23981.8,-0.0272847,43.1251,12.747,118.103,0.0258589,0.305133,2.05269e-06,-7.39785,-5.07889,-8.8529,-2.41424,-4.47848,-237.004,13040.2,72.8658,11884.9,17895.4,-5.9055,-3.58653,-5.86819,-0.921888,-2.98613,0.695447,13228.9,90.0278,12073.7,0.522829,0.988231,0.0135496,25302.6,-0.00134582,1.20173,12.8069,10.6282,117.611,88.3253,0.976661,12.8223,11.8989,117.411,137.743,0.200037,-49.4176 
593,30,31,2,593,23134,-0.295895,42.0125,12.7558,118.179,-0.088792,146.423,139.997,-3.06414,-2.15574,-11.1039,-4.75033,-0.630038,-193.645,12473.9,39.495,11586.7,17868.7,-1.8448,-0.93641,-8.66521,-3.53099,0.589295,0.397753,12628.2,53.5173,11741,0.518203,0.992638,0.00832672,24369.1,-0.00130889,1.16361,12.9716,10.4006,117.615,88.1992,0.976982,12.6421,11.7151,117.561,137.518,0.0536257,-49.3185 
594,25,26,2,594,20603.7,-0.309992,38.6385,12.4926,118.181,0.0299526,107.296,499.961,-6.4014,-6.54491,-11.0499,-8.81345,-4.24083,-200.22,11577.5,30.4513,10148.9,15818,-5.14067,-5.28419,-8.52845,-7.55272,-2.9801,0.710764,11736.9,44.9497,10308.4,0.5324,0.993343,0.00796847,22045.3,-0.00139712,1.1387,12.6493,10.0741,117.565,87.516,0.90467,12.5132,11.2004,117.584,136.958,-0.0193805,-49.442 
595,20,21,2,595,21325.6,-0.313116,39.9735,12.4766,118.244,-0.437394,159.576,482.498,-2.99942,-4.11481,-4.09877,-5.74055,-4.9093,-173.471,11780.7,31.9899,10581.7,18507.6,-1.90712,-3.02251,-1.91417,-4.64825,-3.817,0.874965,11918.9,44.5514,10719.9,0.52648,0.993501,0.00759753,22638.8,-0.00128096,1.13208,12.7128,10.2744,117.742,87.7733,0.938607,12.2713,11.3965,117.514,137.059,0.228099,-49.286 
596,6,7,2,596,22140.3,-0.300858,41.6389,-12.3701,118.268,0.129254,205.013,51.3355,-3.66901,-9.68684,-10.3306,-7.20659,-5.52875,-236.653,11853.6,21.1042,11361.7,17630.1,-2.17887,-8.1967,-7.35027,-5.71644,-4.0386,0.732531,12042.1,38.2408,11550.2,0.510425,0.994473,0.00606195,23592.3,-0.00131528,1.16563,12.5256,10.1842,117.783,88.3825,1.03624,12.1924,11.1522,117.491,137.879,0.29264,-49.497 
597,8,9,2,597,22389.8,-0.183761,41.6692,12.3898,118.214,0.0665629,-77.7803,1.78503e-10,-9.07866,-3.9667,-9.37813,-2.02352,-3.78581,-191.659,12331.7,29.5276,11011,16974.9,-7.87183,-2.75988,-6.96448,-0.816694,-2.57899,0.66823,12484.4,43.4061,11163.7,0.527924,0.993952,0.00711147,23648,-0.00120383,1.2011,12.4651,10.2968,117.764,87.7679,0.980582,12.3196,11.3357,117.463,137.096,0.301236,-49.3284 
598,10,11,2,598,22564.7,0.0142064,41.8439,12.3699,118.187,-0.0132604,-15.4852,4.11349e-12,-9.15659,-6.5082,-10.4337,-7.12495,-6.06962,-200.356,12533.8,24.6131,11094.4,16856.4,-7.89501,-5.24661,-7.91056,-5.86336,-4.80803,0.750641,12693.4,39.1213,11254,0.530053,0.994635,0.0063628,23947.4,-0.00132536,1.23175,12.5803,10.128,117.681,88.1165,0.990057,12.3993,11.2407,117.537,137.434,0.144138,-49.3178 
