cyc,detuning,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,-3.8,43.4227,4,0,15371.8,-0.131424,32.8621,11.1082,118.813,-0.106689,124.822,2.54152e-07,-4.3481,-4.57613,-9.96077,0.000417393,-4.49756,-197.249,8863.15,-3.9443,7794.66,12316.7,-3.10607,-3.3341,-7.47673,1.24244,-3.25554,0.530651,9020.26,10.3389,7951.77,0.531478,0.997998,0.0023894,16972,-0.00134815,1.05541,11.4195,9.21298,118.337,88.4732,0.867018,10.9587,10.1104,118.09,138.001,0.247128,-49.528 
1,-4.08,43.1427,4,1,14930.7,-0.0299768,32.039,-11.0164,119.029,0.0184919,-17.0891,9.85318e-10,-3.98275,-6.62045,-7.05309,-7.51151,-7.58554,-178.809,8169.23,8.91615,8132,11500.1,-2.85684,-5.49454,-4.80126,-6.3856,-6.45962,0.815321,8311.66,21.8642,8274.43,0.501122,0.995418,0.00484396,16586.1,-0.00143059,0.97281,11.245,-9.39391,118.591,89.7186,0.864459,11.112,10.4182,118.267,139.468,0.323698,-49.7492 
2,-4.29,42.9327,4,2,16306.3,-0.279768,34.6057,11.1541,118.766,0.10718,29.9029,440.581,-6.15186,-5.97792,-12.4653,-1.58391,-5.0027,-158.532,9000.59,10.9076,8494.9,12669.7,-5.15362,-4.97968,-10.4688,-0.58568,-4.00446,0.584442,9126.86,22.3873,8621.18,0.514246,0.995726,0.00476076,17748,-0.00125086,1.06305,11.2482,-9.42058,118.278,89.4627,0.904422,11.2119,10.3109,117.996,139.258,0.282844,-49.7956 
3,-3.77,43.4527,4,3,15252.5,-0.367598,33.4017,11.1669,118.711,-0.409303,2015.82,120.182,-0.813588,-6.09837,-2.94564,-2.81035,-2.842,-191.154,9052.85,-1.09417,7784.19,39001.3,0.390057,-4.89472,-0.538353,-1.6067,-1.63836,0.935045,9205.11,12.7478,7936.46,0.537005,0.997582,0.00295011,17141.6,-0.00167678,1.08011,11.4095,-9.25414,118.238,88.844,0.862976,10.999,10.1304,117.95,138.425,0.288329,-49.5805 
4,-5,42.2227,0,4,15779.2,-0.302165,34.0347,11.0773,119.055,0.147187,85.4604,425.052,-4.5164,-3.7288,-9.59834,-2.8654,-2.37071,-193.636,9012.47,-13.5643,8141.66,12682.5,-3.29712,-2.50953,-7.1598,-1.64613,-1.15143,0.545814,9166.71,0.457359,8295.89,0.524934,0.999913,0.000101546,17462.6,-0.00145834,1.08688,11.2772,-9.22444,118.519,89.3126,0.894558,11.0682,10.1562,118.351,138.79,0.167635,-49.4775 
5,-5,42.2227,0,5,15071.5,-0.323586,32.655,11.1491,118.825,0.244499,-49.8869,154.06,-2.59753,-1.77179,-2.98317,-2.32774,-2.50064,-159.913,8634.33,-16.4744,7838.19,12248.8,-1.5906,-0.764856,-0.969311,-1.32081,-1.49371,0.842113,8761.71,-4.89471,7965.57,0.523798,1.00098,-0.00113323,16727.3,-0.00147575,1.05089,11.2441,-9.16645,118.322,89.1376,0.852663,11.2126,10.133,118.131,138.671,0.191442,-49.533 
6,-4.38,42.8427,4,6,16529,-0.293634,34.2434,11.4572,118.814,0.0932307,62.9535,422.966,-1.76703,-1.68862,-7.19155,-3.44914,0.444432,-203.313,9191.2,13.8381,8460.92,12962.8,-0.48682,-0.408408,-4.63113,-2.16894,1.72464,0.224351,9353.15,28.5605,8622.87,0.520313,0.994685,0.00606437,17976,-0.001186,1.0453,11.5813,-9.50818,118.331,89.7748,0.883125,11.259,10.4519,118.056,139.449,0.274365,-49.6743 
7,-4.23,42.9927,4,7,15665.1,-0.326199,33.3563,-11.31,118.687,0.273042,80.4769,274.401,-4.48291,-2.47682,-4.05629,-4.62379,0.505457,-176.442,8910.05,14.793,8130.54,12996.4,-3.3719,-1.36581,-1.83427,-3.51278,1.61647,0.783395,9050.6,27.5696,8271.08,0.522501,0.994697,0.00610273,17321.7,-0.00145081,1.05127,11.444,9.30485,118.274,88.7015,0.875147,11.2169,10.2048,117.738,138.13,0.535696,-49.4282 
8,-4.12,43.1027,4,8,16156.9,-0.247792,34.813,10.9813,118.967,0.0673323,184.081,499.816,-4.49324,-2.04308,-5.29943,-3.81713,-5.94594,-220.217,9229.14,1.452,8162.24,12848.4,-3.10659,-0.656429,-2.52613,-2.43048,-4.55929,0.809764,9404.55,17.3985,8337.65,0.530067,0.996773,0.00382926,17742.2,-0.00131298,1.12074,11.1208,-9.27883,118.509,88.9593,0.885032,11.1097,10.23,118.189,138.556,0.320057,-49.597 
9,-3.96,43.2627,4,9,14275,-0.00882229,31.5258,10.7841,118.901,-0.00165872,9.15466,0.444097,-3.31123,-3.27419,-6.34211,-2.98853,-0.680945,-201.169,8207.64,-15.9567,7486.61,11067.9,-2.04452,-2.00748,-3.8087,-1.72182,0.585763,0.576659,8367.88,-1.38961,7646.85,0.522511,1.00029,-0.000334864,16014.7,-0.00148001,1.00253,11.0934,-9.27843,118.49,88.998,0.830739,10.9923,10.1074,118.083,138.46,0.407016,-49.4617 
