cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
1,7,43.248,4,46.05,-0.2,0.19,0.01,1,6430.96,-0.0343157,13.5708,11.5473,116.137,-0.0039191,2.09826,500,-2.92893,-2.39753,-8.41575,-4.44057,-4.4705,29.7206,-98.5771,-11.8592,7364.82,5101.58,-3.11607,-2.58468,-8.79004,-4.62771,-4.65765,0.6303,-122.251,-14.0113,7341.15,-0.0149574,0.832938,-0.00352825,8173.25,-0.00078462,-0.010281,13.195,10.0713,110.538,74.1462,0.737975,11.7803,10.4757,115.039,137.708,-4.50036,-63.5621 
2,97,43.248,4,48.5,-0.2,0.19,0.01,2,18041.8,-0.139521,35.4507,11.5009,115.621,-0.00919626,170.125,497.112,0.398893,1.20483,1.04484,0.0605092,-1.40436,63.1175,9122.08,9.58166,9378,13323.4,0.0014589,0.807395,0.249976,-0.336925,-1.80179,1.23148,9071.81,5.01117,9327.72,0.462561,0.999034,0.000988662,19612.1,-0.000525869,1.04007,11.5093,9.47121,114.969,89.1908,0.956374,11.4999,10.4588,114.801,138.834,0.168277,-49.6428 
3,97,43.248,0,48.5,-0.2,0.19,0.01,3,19760.2,-0.0886519,38.2555,11.4826,115.62,-0.00502329,-0.457155,486.387,1.66044,-3.60706,-2.43385,2.94993,-2.38248,142.464,10489,-3.42644,9411.53,14299.9,0.763388,-4.50411,-4.22796,2.05288,-3.27953,0.540206,10375.5,-13.7426,9298.06,0.496856,1.00232,-0.00273007,20882.3,-0.000360942,1.23501,11.479,9.28196,115.052,88.4257,0.9883,11.4971,10.1725,114.82,137.736,0.2325,-49.3105 
4,95,43.248,0,40,-0.2,0.19,0.01,4,10506.3,-0.137336,20.6083,11.8296,115.581,0.00152382,-123.695,360.903,-1.84052,-2.22595,-2.23409,-0.847867,-1.09145,-24.5907,87.4069,31.8707,11005.6,7942.23,-1.68568,-2.07111,-1.92441,-0.693026,-0.936604,0.736773,106.994,33.6514,11025.1,0.00851499,0.644994,0.00559111,12565.4,-0.000270645,-0.0125442,9.43173,-11.3414,110.619,72.0967,1.09403,11.5273,10.614,114.642,138.592,-4.0232,-66.4955 
5,75,46.2227,0,46.05,0.2,-0.19,-0.01,5,7553.41,-0.029562,14.5043,12.0495,115.735,0.0142543,25.0754,500,-3.75575,-0.164957,-5.85084,-0.905425,-0.667815,-30.0157,22.1345,12.0481,8171.19,5700.96,-3.56675,0.0240434,-5.47284,-0.716424,-0.478815,0.464014,46.043,14.2216,8195.1,0.0049474,0.649125,0.00318657,9306.5,-0.000674237,0.00220793,-2409.99,3.73863,109.009,76.9595,0.781081,12.0885,10.696,114.792,138.044,-5.7835,-61.085 
7,7,43.248,4,46.05,-0.2,0.19,0.01,7,6480.22,0.00265701,13.4002,11.6155,116.012,-0.012443,-7.56214,8.1842e-14,-3.31762,-2.60534,-1.16236,-0.0665274,-2.9232,6.9827,-77.2229,9.57404,7384.86,5069.98,-3.36159,-2.64931,-1.2503,-0.110496,-2.96716,0.879068,-82.7849,9.0684,7379.29,-0.0100275,1.23716,0.00225865,8255.82,-0.00086187,-0.0306384,-94.8731,0.100145,114.748,74.4323,0.72393,11.8379,10.6631,115.063,137.828,-0.314959,-63.3962 
8,97,43.248,4,48.5,-0.2,0.19,0.01,8,17592.3,-0.00866594,34.2423,11.3835,115.625,-0.00192012,17.2483,1.43771e-11,-0.225743,-1.13453,-1.51077,-1.0306,0.18227,85.403,8889.01,1.12577,8959.69,12690.3,-0.763503,-1.67229,-2.58629,-1.56836,-0.355489,0.627654,8820.98,-5.05846,8891.67,0.467496,1.001,-0.00104907,18868.6,-0.000419512,1.05296,11.4526,9.24158,115.039,89.2166,0.951955,11.4364,10.1014,114.798,138.494,0.241678,-49.2769 
9,97,43.248,0,48.5,-0.2,0.19,0.01,9,19535.4,-0.105104,37.9191,11.5049,115.66,0.0692644,-102.368,192.548,0.198095,1.8921,-1.20918,0.26084,1.90692,115.015,10032.5,2.57111,9704.89,14432.4,-0.526127,1.16787,-2.65762,-0.463381,1.1827,-1.04975,9940.91,-5.75744,9613.28,0.477838,1.00101,-0.00110446,20803.9,-0.000340961,1.16301,11.6183,9.30936,115.05,88.7181,1.01795,11.3787,10.2177,114.888,138.076,0.162575,-49.358 
10,95,43.248,0,40,-0.2,0.19,0.01,10,10597.9,-0.109759,20.5525,11.8063,115.413,-0.0544255,-127.437,33.5565,-4.09629,-2.17743,-1.98966,0.465912,2.70907,61.3987,16.5856,30.0889,10907.2,8124.8,-4.4829,-2.56404,-2.76288,0.0793005,2.32246,0.627044,-32.3208,25.6428,10858.3,-0.00264112,-2.57451,0.00433145,12237.5,-5.21504e-05,-0.0130168,11.7289,-12.5877,109.596,73.557,1.0951,11.536,10.4902,114.6,137.337,-5.00474,-63.7799 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,7665.55,-0.105842,15.2963,11.6701,115.579,0.0563934,235.928,322.014,-3.35797,-1.40582,-4.80354,-1.07694,-3.54664,-21.2706,-58.6904,9.03885,8304.55,6244.21,-3.22404,-1.27189,-4.53567,-0.943003,-3.41271,0.661196,-41.7476,10.5791,8321.5,-0.00445948,1.79682,0.00233639,9361.54,-0.00048353,-0.0111318,9.99031,13.3165,108.754,71.6124,0.818776,11.7763,10.5926,114.672,137.808,-5.91767,-66.1959 
12,75,47.3227,2.7,46.05,0.2,-0.19,-0.01,12,7992.18,-0.0860174,15.6142,12.0985,115.789,0.15213,-11.9711,8.15658e-09,0.350561,3.13668,-4.73619,-3.33536,-2.92777,34.6199,1181.49,19.6019,7425.95,6208.88,0.132569,2.91868,-5.17218,-3.55335,-3.14576,0.413588,1153.91,17.095,7398.37,0.121285,0.974729,0.00423841,9514.07,-0.000607901,0.129767,11.4387,9.97973,114.95,89.6077,0.675094,12.2702,11.0546,114.895,138.11,0.0553318,-48.5024 
13,7,43.248,4,46.05,-0.2,0.19,0.01,13,6381.47,-0.139636,12.9876,11.8921,115.955,0.118,-64.0599,23.591,-2.87566,-3.5347,-4.78351,-1.582,-0.879919,-33.7909,-49.5706,-5.13116,7108.31,5273.93,-2.66289,-3.32193,-4.35796,-1.36922,-0.667147,0.647959,-22.6549,-2.68427,7135.22,-0.00281772,0.82826,-0.000693481,8040.15,-0.000587344,-0.0104199,-12.2506,10.1276,106.646,78.295,0.704217,11.8876,10.4704,114.933,137.451,-8.28776,-59.1564 
14,97,43.248,4,48.5,-0.2,0.19,0.01,14,18394.4,-0.00934155,35.7808,11.4473,115.918,-0.00461353,-7.17762,1.00406e-11,-2.22041,-2.17167,-1.44933,-1.01974,1.01776,85.1307,9352.14,-16.1294,9344.93,13334.7,-2.75646,-2.70772,-2.52142,-1.55579,0.481713,0.721688,9284.33,-22.2939,9277.12,0.469677,1.00422,-0.00444647,19767.5,-0.000400789,1.09734,11.5626,9.20203,115.324,89.0567,0.960972,11.4715,10.3622,115.075,138.346,0.249472,-49.2896 
15,97,43.248,0,48.5,-0.2,0.19,0.01,15,19815.5,-0.0181147,38.8641,11.2643,115.51,0.0028778,-2.35067,0.143547,-0.24031,0.72407,3.02297,1.45809,2.66895,33.3202,10150.3,-4.08553,9798.95,14251.3,-0.450119,0.514262,2.60336,1.24828,2.45914,0.591625,10123.7,-6.49833,9772.4,0.478289,1.00112,-0.00122644,21166.5,-0.000300058,1.2046,11.3687,9.28219,114.877,88.9547,1.04379,11.2717,10.19,114.798,138.507,0.0791423,-49.5519 
16,95,43.248,0,40,-0.2,0.19,0.01,16,10546.6,-0.131507,20.868,11.6927,115.648,0.0217449,-28.1113,26.8893,-4.26063,-3.15868,-3.25542,-2.24628,0.102351,-48.9668,-34.7723,38.7734,11113.7,7962.97,-3.9523,-2.85034,-2.63876,-1.93795,0.410682,0.759428,4.23156,42.3192,11152.7,0.000335658,0.0540497,0.00694141,12606.8,-0.000280136,-0.015991,16.7206,8.92254,108.692,75.3523,1.11384,11.611,10.4792,114.834,137.184,-6.1417,-61.8314 
17,75,46.2227,0,46.05,0.2,-0.19,-0.01,17,7695.43,-0.0782509,15.2005,11.8255,115.756,0.0753815,64.7428,500,-4.41979,0.852779,-2.22624,-3.50886,-1.35464,20.3538,-6.79857,12.3134,8225.07,6010.44,-4.54795,0.724617,-2.48257,-3.63702,-1.4828,0.782721,-23.0112,10.8395,8208.85,-0.00248689,5.69306,0.00242654,9252.99,-0.00057728,0.00823192,22.238,-4.67914,147.998,75.4248,0.81982,11.8274,10.4644,114.833,137.154,33.1655,-61.729 
18,75,47.3227,2.7,46.05,0.2,-0.19,-0.01,18,8120.85,-0.0301819,15.4763,12.0896,116.052,0.00627199,3.83412,500,-2.98304,-2.48999,-8.59946,-0.497821,2.93993,-25.1981,1195.52,25.0476,7495.56,6091.6,-2.82437,-2.33132,-8.28213,-0.339155,3.0986,0.224402,1215.59,26.8723,7515.64,0.125212,0.962755,0.00654337,9708.25,-0.000598382,0.126251,11.4082,10.4939,115.267,89.5503,0.668583,12.4252,11.1606,115.051,138.05,0.216872,-48.4994 
19,7,43.248,4,46.05,-0.2,0.19,0.01,19,6945.7,-0.0822535,13.2713,12.0711,115.748,-0.0412441,90.5948,354.792,0.197852,-2.71825,-2.60775,-3.11407,-1.77433,5.1558,-1.97754,2.37797,7290.97,5336.63,0.165387,-2.75071,-2.67268,-3.14653,-1.8068,0.738263,-6.08433,2.00463,7286.87,-0.000739459,2.36172,0.00050651,8228.08,-0.000224665,-0.00804416,8.63118,-13.3351,110.425,73.6624,0.71748,11.7568,10.5705,114.781,137.819,-4.35599,-64.1564 
20,97,43.248,4,48.5,-0.2,0.19,0.01,20,17754.7,-0.0456775,34.9025,11.2885,115.651,-0.00951055,16.8008,500,-0.332441,-0.369835,-2.81679,2.6296,2.05476,20.1449,8921.56,-0.986595,9128.45,12831.1,-0.459288,-0.496682,-3.07048,2.50275,1.92792,8.59606,8905.52,-2.44533,9112.4,0.463768,1.00048,-0.000494578,19202.5,-0.000430624,1.07607,11.2589,9.24994,115.021,89.1616,0.947659,11.3895,-10.3301,114.853,138.698,0.168122,-49.5368 
21,97,43.248,0,48.5,-0.2,0.19,0.01,21,19205,-0.0397038,37.372,11.3075,115.665,0.00244716,-15.5075,9.23316e-11,-4.93696,1.02542,-0.517251,0.480982,0.730658,61.9492,9751.47,-18.5611,9547.28,13757.8,-5.32703,0.635338,-1.29741,0.0909049,0.340581,0.766554,9702.12,-23.047,9497.93,0.474785,1.00417,-0.00449,20434.8,-0.000270966,1.16694,11.3775,9.19868,115.19,88.3609,1.00524,11.4538,10.1609,114.738,137.468,0.451744,-49.1073 
