cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,201,2.677,42,0,0,19617.4,-0.236164,30.4452,14.8759,115.326,-0.0269323,-40.8788,355.89,2.56795,1.16273,6.59789,-1.40862,0.373325,-25.0402,9405.38,106.735,9553.93,14779.2,2.72562,1.3204,6.91323,-1.25095,0.530996,0.324834,9425.32,108.548,9573.88,0.46559,0.980244,0.0204584,20243.8,-0.000671752,0.628278,15.1969,12.7419,114.685,91.8797,0.582537,14.9896,14.6679,114.861,142.715,-0.176852,-50.8358,381.541,401.854,783.395 
1,201,2.677,43.03,10,1,18586.1,-0.163188,29.084,14.5515,115.415,0.559907,-595.787,124.811,2.15641,0.136926,-0.739279,1.5222,2.67959,35.4891,8768.37,78.3776,9200.43,24636.4,1.93295,-0.0865387,-1.18621,1.29874,2.45612,1.26867,8740.1,75.8077,9172.16,0.457486,0.985048,0.0149966,19104.6,-0.000584962,0.601217,14.9938,-12.5986,114.745,91.945,0.580754,14.6985,14.3301,114.974,143.309,-0.22928,-51.3637,355.339,382.628,737.967 
2,201,2.677,42.93,10,2,15777.5,-0.205708,24.8333,14.7398,115.558,-0.108951,137.28,492.002,-3.80617,0.670695,-4.21619,1.46709,-1.25062,31.9395,7182.78,60.0782,8304.66,12402.7,-4.00729,0.469581,-4.61842,1.26598,-1.45174,0.446358,7157.34,57.7653,8279.21,0.433441,0.986073,0.0126896,16512.9,-0.000645415,0.473498,15.3308,-12.839,114.966,91.7355,0.509823,14.6789,14.5805,115.044,142.97,-0.0782736,-51.2347,292.313,341.784,634.097 
3,201,2.677,43.01,10,3,16090.7,-0.138067,25.3022,14.4324,115.305,0.009768,30.7671,404.805,-0.996475,1.46491,-1.00214,-3.75174,-1.92298,34.1941,7233.11,61.6401,8466.82,11897.3,-1.21179,1.2496,-1.43276,-3.96705,-2.13829,0.808972,7205.88,59.1641,8439.58,0.430392,0.985835,0.0127491,16742.6,-0.000431088,0.500071,14.9096,-12.5405,114.732,91.8452,0.536318,14.5675,14.0382,114.829,143.169,-0.0961967,-51.3236,292.404,342.625,635.029 
4,201,2.677,43.09,10,4,19609.3,-0.214296,30.4194,14.8212,115.457,-0.0520263,-147.218,15.5216,-2.24604,1.23006,-1.58049,0.788993,1.64984,7.45992,9183.6,103.652,9828.1,14926,-2.29301,1.18308,-1.67443,0.74202,1.60287,-2.81012,9177.66,103.112,9822.16,0.452621,0.980718,0.0189713,20276.7,-0.000720129,0.616986,15.2956,12.6013,114.843,91.3486,0.601414,14.967,14.5967,114.968,142.51,-0.125356,-51.1613,372.56,411.466,784.025 
5,201,2.677,42.85,10,5,18529,-0.202145,29.1784,14.5772,115.434,0.208638,-60.1208,414.702,-0.691606,-1.36267,-7.19669,-1.22324,-2.87156,-1.22646,8592.26,88.4217,9658.75,14254.5,-0.683883,-1.35495,-7.18124,-1.21552,-2.86384,0.460034,8593.23,88.5105,9659.72,0.440482,0.982294,0.0165988,19508.7,-0.000708817,0.585971,14.9853,12.6318,114.936,93.1437,0.601548,-14.5306,-14.4145,114.888,144.767,0.0477309,-51.6232,347.124,393.987,741.111 
6,201,2.677,43.07,10,6,17912.5,-0.0800363,27.4755,14.721,115.526,-0.0738868,-53.2456,498.065,-0.207183,-0.552958,0.891539,-1.36614,-0.836677,-21.269,8260.37,68.8291,8929.83,13294.8,-0.0732572,-0.419032,1.15939,-1.23221,-0.702751,1.91445,8277.31,70.3693,8946.77,0.450168,0.985341,0.0142818,18387.2,-0.000444478,0.574126,15.0163,12.3542,114.909,91.5874,0.55425,14.9901,14.3448,115.072,142.778,-0.162845,-51.1911,333.168,372.588,705.756 
7,201,2.677,43.05,10,7,19829.1,-0.176101,30.1111,14.9665,115.592,-0.0430116,-178.646,288.148,2.10701,1.65745,-0.751778,0.54808,-1.76608,42.1394,9088.68,96.7595,9806.65,14920.6,1.84167,1.39211,-1.28246,0.28274,-2.03143,7.32893,9055.12,93.7081,9773.09,0.450532,0.982212,0.0173563,20098.7,-0.000404024,0.606622,15.4328,-12.5835,114.99,92.3747,0.596988,14.8995,14.7064,115.095,143.839,-0.104548,-51.4647,368.986,409.545,778.531 
8,201,2.677,43.13,10,8,20433.1,-0.153276,30.5786,15.0856,115.488,0.0779595,21.1452,0.353217,-3.1104,0.241339,-2.34023,-3.97371,-3.65182,29.7589,9502.51,120.284,9785.87,15070.4,-3.29778,0.0539554,-2.715,-4.16109,-3.83921,0.805504,9478.81,118.129,9762.17,0.462154,0.978656,0.0218048,20510.1,-0.000316117,0.62567,15.4605,12.7431,114.892,91.6834,0.59017,15.1629,14.6984,114.93,142.751,-0.0373588,-51.0681,386.485,412.474,798.96 
9,201,2.677,42.95,10,9,12833.9,-0.156072,20.5614,14.4188,115.576,0.171485,82.5624,154.991,-2.59498,0.509066,-0.71948,0.109134,-2.75929,-59.6655,5557.35,36.2922,7191.52,10112,-2.21928,0.884764,0.0319158,0.484832,-2.38359,1.00997,5604.88,40.6127,7239.05,0.406593,0.987478,0.0102289,13785,-0.000569394,0.386728,15.1135,-12.3249,115.202,92.1824,0.463199,14.4582,13.9089,114.857,143.352,0.345534,-51.1697,225.22,290.731,515.952 
