cyc,field,FB,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd,two2D_int1,two2D_int2,two2D_sumint
0,202.5,3.509,43.2,10,0,32130.7,-0.0304821,52.6529,13.4236,115.793,-0.0165066,13.217,500,-0.337747,0.0155058,-3.78917,1.78313,2.55611,-85.0729,16096.5,113.211,15245.3,23015.5,0.197934,0.551187,-2.7178,2.31881,3.0918,1.78962,16164.3,119.371,15313.1,0.482976,0.987241,0.0141566,33468.1,-8.14506e-05,1.33578,13.511,-11.2321,115.24,91.5108,1.14614,13.4426,12.4735,115.051,141.709,0.18899,-50.1982,631.397,598.586,1229.98 
1,202.5,3.509,43.34,10,1,29645.8,-0.0690126,48.6093,13.4085,115.627,-0.0225062,102.997,79.3889,-0.945514,-1.02903,1.37622,1.3678,-0.502941,-27.9599,14726.8,111.091,14019.5,21293,-0.769458,-0.852973,1.72833,1.54386,-0.326885,-0.306498,14749.1,113.116,14041.7,0.48174,0.986756,0.0146224,30616.3,3.58304e-05,1.22624,13.5168,-11.1716,115.061,90.7997,1.05473,13.3796,12.5884,114.903,140.932,0.157521,-50.1327,576.79,553.34,1130.13 
2,202.5,3.509,43.24,10,2,30292.2,-0.142838,51.4641,13.1016,115.606,-0.0779305,84.0631,171.679,-3.28562,-0.665263,1.79137,0.895473,-1.46174,-17.0622,15356.4,74.3849,14524.9,22162.8,-3.17819,-0.557827,2.00624,1.00291,-1.35431,1.964,15370,75.6204,14538.5,0.483356,0.991464,0.00949055,31798.6,-0.000356484,1.34173,13.3084,-10.8451,115.022,91.1576,1.15217,13.0157,12.1716,114.916,141.194,0.10648,-50.0361,602.982,568.324,1171.31 
3,202.5,3.509,43.38,10,3,30911.5,-0.0252036,50.5235,13.5912,115.708,-0.0165255,38.4774,500,-0.599532,-2.71436,-2.57727,-2.06345,-1.27782,-15.6108,15873.5,155.183,14295.9,22374.3,-0.501235,-2.61606,-2.38068,-1.96515,-1.17953,0.724543,15885.9,156.313,14308.3,0.495593,0.983072,0.0197273,32054.3,-0.000358379,1.26274,13.8127,-11.5452,115.174,90.2702,1.0235,13.6379,13.0693,114.947,140.497,0.226922,-50.2266,627.667,568.76,1196.43 
4,202.5,3.509,43.3,10,4,29670.7,-0.054525,49.203,13.3848,115.737,-0.0349674,89.2291,1.38151e-11,-3.08352,0.286286,1.74459,-1.52829,-1.36151,27.0727,15077.7,112.822,14065.5,21540.2,-3.25399,0.115817,1.40365,-1.69876,-1.53198,1.2827,15056.1,110.861,14043.9,0.486848,0.987278,0.014333,30925.7,-0.000324323,1.24269,13.6467,-11.2266,115.147,90.5994,1.07703,13.2559,12.4488,114.948,140.684,0.19863,-50.0844,593.007,553.599,1146.61 
5,202.5,3.509,43.26,10,5,30979.7,-0.143164,50.9308,13.5313,115.83,-0.00339762,-14.6385,406.876,3.56822,-2.19738,-0.758531,-0.891852,-1.92552,41.7743,15770.4,132.87,14462.8,22436.1,3.30518,-2.46042,-1.28461,-1.15489,-2.18856,0.660453,15737.1,129.845,14429.5,0.491133,0.985766,0.016306,32042.5,-0.000270318,1.29943,13.7351,-11.1682,115.173,89.9891,1.08682,13.4682,12.5761,115.18,140.01,-0.00749324,-50.0207,620.895,573.425,1194.32 
6,202.5,3.509,43.5,10,6,30457.2,-0.0423229,50.0131,13.4675,115.792,-0.106303,104.705,500,0.490691,-3.68262,4.02307,-2.75303,1.33187,56.8743,15829.1,90.3016,13917.2,22288.6,0.132569,-4.04074,3.30682,-3.11115,0.973753,2.20742,15783.8,86.1832,13871.9,0.501725,0.990535,0.0113151,31459,-0.000226547,1.28549,13.7372,-11.3288,115.207,91.2442,1.0368,13.497,12.6017,115.106,141.102,0.100731,-49.8577,623.251,549.484,1172.74 
7,202.5,3.509,43.22,10,7,31726.5,-0.0585915,52.7025,13.2934,115.58,0.508822,-314.71,0.0306901,-2.03594,-2.00351,1.84737,1.22399,-3.48028,67.9685,16301.8,76.9287,14827.1,28019.5,-2.46392,-2.43149,0.991412,0.796009,-3.90826,1.1413,16247.7,72.0069,14773,0.493234,0.992304,0.00889895,32941.1,-0.000298253,1.38758,13.5985,-10.9331,114.92,90.6522,1.16999,13.0949,12.1831,114.907,140.565,0.0125871,-49.9125,642.377,581.23,1223.61 
8,202.5,3.509,43.44,10,8,30650.7,-0.101815,51.6668,13.1095,115.728,-0.0665045,-140.637,167.821,-0.726845,-0.197788,4.72882,3.78683,1.80158,15.5594,15998.3,95.745,14054.9,22353.7,-0.824818,-0.295761,4.53287,3.68886,1.7036,0.485179,15986,94.6183,14042.5,0.501851,0.989748,0.0122599,31854,-0.000191606,1.4037,13.3458,-10.7624,115.126,89.9746,1.13072,13.0517,11.9713,115.036,139.84,0.0902924,-49.865,627.709,550.051,1177.76 
9,202.5,3.509,43.32,10,9,25168.2,-0.0305688,43.5057,12.807,115.551,0.0265789,-34.2856,500,-0.476409,-1.08117,0.332931,1.6755,0.163641,57.4919,12908.4,48.8938,11983.9,18167.7,-0.83842,-1.44318,-0.391091,1.31349,-0.19837,0.74891,12862.6,44.7306,11938.1,0.488095,0.993951,0.00685482,26352.7,-0.000277983,1.19657,12.8386,-10.5624,114.883,90.3619,0.998771,12.9523,11.598,114.941,140.201,-0.0576191,-49.8396,505.111,467.042,972.152 
