cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43.64,0,30154.4,0.0246226,48.9634,13.5567,115.403,-0.0125235,-7.67709,0.0272216,-3.56624,0.0192611,-1.4199,0.0932848,1.95983,-89.3912,15005.2,96.5271,14390.7,21611.4,-3.00337,0.582134,-0.294155,0.656157,2.5227,1.63469,15076.4,103,14461.9,0.488862,0.988185,0.0129499,30839.9,-0.00013125,1.21222,13.816,-11.3221,115.11,90.5109,1.09936,13.3474,12.3856,114.587,140.927,0.52256,-50.4163 
1,43.88,1,27578.7,-0.0736904,44.3809,13.6862,115.144,-0.0109774,51.5826,489.79,-1.06652,-0.889207,1.10802,-0.226765,0.53485,-93.9232,13695.2,92.5503,13046.4,19791.6,-0.475108,-0.297798,2.29084,0.364644,1.12626,0.23863,13770,99.3515,13121.3,0.490521,0.987531,0.0137562,28072.1,-0.00013197,1.08282,13.9806,11.4912,114.846,90.4995,0.961154,13.5193,12.7635,114.397,141.197,0.449078,-50.6973 
2,43.7,2,28763.8,-0.00638447,47.6133,13.3721,115.229,-0.0209521,30.468,3.12581e-06,-1.09095,-1.79082,1.09126,-0.257183,0.980907,-129.492,14740.5,90.976,13517,20747.2,-0.275575,-0.975438,2.72201,0.558195,1.79629,0.288452,14843.6,100.353,13620.2,0.49996,0.988307,0.0133908,29689.7,-0.000329392,1.22171,13.5571,-11.2103,114.863,90.3434,1.03198,13.3019,12.4862,114.505,140.602,0.357826,-50.2585 
3,43.8,3,17933.6,-0.123619,28.2108,14.3046,115.277,0.135367,18.0308,434.303,-0.40024,-1.67322,1.64976,0.966218,2.01891,-105.843,8412.7,72.1567,8991.45,13216.1,0.266228,-1.00675,2.9827,1.63269,2.68538,0.545337,8497.01,79.8211,9075.76,0.462056,0.983826,0.015943,18389.6,-0.000362898,0.606405,14.6239,12.113,114.885,90.7543,0.60516,14.1293,13.7299,114.655,141.839,0.229925,-51.085 
4,43.94,4,28810.9,-0.047831,46.7765,13.5964,115.301,-0.0307917,55.2838,500,-2.16855,-1.05208,2.20206,2.49384,2.07633,-86.5355,14468.4,95.905,13612.3,20759.1,-1.62365,-0.507194,3.29184,3.03873,2.62122,0.517393,14537.3,102.171,13681.2,0.493629,0.98785,0.0135701,29449.8,-0.000231987,1.14734,13.9625,11.412,115.007,90.2977,1.01099,13.4652,12.7437,114.537,140.806,0.470626,-50.5085 
5,43.72,5,28630.7,-0.0660125,45.9878,13.686,115,-0.00921431,69.8091,477.177,0.0790876,-0.969297,1.71827,0.145182,3.25367,-100.33,14134.8,107.576,13642.7,20509.6,0.71084,-0.337544,2.98178,0.776934,3.88543,0.628088,14214.8,114.841,13722.6,0.487267,0.986059,0.0151821,29172.4,5.84725e-05,1.1453,13.924,11.1501,114.605,90.2291,1.02282,13.499,12.4752,114.252,140.697,0.353288,-50.468 
6,43.9,6,28192.7,-0.0501703,46.584,13.268,115.179,0.0239098,11.731,282.869,-1.40896,0.594356,2.82515,0.209421,-2.88931,-121.056,13848.5,43.9195,13596,20129.6,-0.6467,1.35662,4.34967,0.971681,-2.12705,-0.114096,13944.9,52.6855,13692.4,0.48303,0.993432,0.00703813,28869.7,-8.45742e-05,1.16461,13.5666,-11.0434,114.83,90.5637,1.05631,13.1508,12.3958,114.447,141.026,0.382538,-50.4619 
7,43.86,7,25474.9,-0.0937648,41.3162,13.6505,115.321,0.186304,-134.714,490.34,0.395169,-0.264507,0.201347,2.83645,3.32833,-115.362,13014.9,81.8144,11802.9,19176.7,1.12158,0.461899,1.65416,3.56286,4.05474,0.847616,13106.8,90.1681,11894.8,0.502712,0.988104,0.0137717,26072.2,-0.000144304,1.02683,13.9662,11.4392,114.996,90.1329,0.875332,13.5002,12.7062,114.647,140.731,0.34837,-50.5977 
8,43.68,8,28205.6,-0.137117,46.5139,13.506,115.266,0.0458659,7.9096,55.7741,-1.54079,0.951482,-1.02574,-1.53634,1.01387,-88.0671,14132.2,81.9343,13522.8,20462.4,-0.986257,1.50602,0.0833258,-0.981809,1.56841,0.92996,14202.4,88.3114,13592.9,0.489422,0.989235,0.0118264,29018.7,-0.000244981,1.17281,13.645,-11.1218,114.873,90.2838,1.0325,13.4063,12.3596,114.581,140.534,0.292015,-50.2506 
9,43.74,9,27909.3,-0.0853644,45.446,13.5526,115.155,-0.0355386,69.8055,487.636,-1.97999,0.133338,2.93785,0.85492,4.25729,-89.9744,14026.3,99.0652,13091.9,20130.7,-1.41344,0.699883,4.07094,1.42146,4.82383,0.576062,14098,105.581,13163.5,0.495601,0.987064,0.0145598,28446.2,6.19813e-07,1.14486,13.7382,11.2145,114.802,90.0903,0.983534,13.3528,12.6123,114.485,140.535,0.316456,-50.4444 
10,43.98,10,25145,-0.0466015,41.1672,13.5254,115.244,-0.00540312,-60.0903,500,-0.834771,1.47655,-0.486537,1.80783,1.58562,-127.853,12710.5,81.7001,11951.3,18136.4,-0.029714,2.28161,1.12358,2.61289,2.39068,0.865906,12812.3,90.9583,12053.2,0.493726,0.987729,0.0137107,25950.3,-0.00026385,1.03589,13.7623,11.2465,114.954,90.4036,0.905561,13.4279,12.4578,114.544,140.822,0.410608,-50.4185 
11,44,11,27659,-0.0539953,44.9723,13.4954,115.29,0.236741,-146.466,63.5083,0.300295,-0.344659,0.845993,2.45254,1.55283,-80.1255,13864.7,82.7041,12943.8,20886,0.804824,0.159869,1.85505,2.95707,2.05736,0.76321,13928.6,88.5062,13007.6,0.495557,0.989002,0.0123789,28106.8,-4.00974e-05,1.14175,13.6928,11.1697,114.933,89.8315,0.966151,13.5776,12.5702,114.577,140.084,0.356523,-50.2529 
12,43.96,12,27838.7,-0.0972453,46.0261,13.3777,115.303,-0.0324701,135.628,224.254,0.327669,-0.0969836,-1.93355,-0.840067,2.50253,-81.9033,14017.9,91.3774,13119.6,20187.3,0.843392,0.418739,-0.902106,-0.324344,3.01825,1.29539,14083.2,97.3082,13184.9,0.494933,0.988053,0.0134129,28454.7,-0.000103288,1.16631,13.6298,11.1204,114.908,89.9791,1.02452,13.1451,12.3128,114.615,140.196,0.293652,-50.217 
