cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,44.72,0,23900.7,-0.0397802,41.2588,12.6923,114.74,0.147478,43.3469,115.996,3.1853,2.41857,1.59628,1.5828,2.0755,-126.724,12540.2,32.3596,11091.1,17255.3,3.98325,3.21652,3.19218,2.38075,2.87345,0.795977,12641.1,41.536,11192.1,0.508892,0.994283,0.00679,24840.4,-0.000227591,1.18449,12.8155,10.3879,114.394,88.3398,0.955274,12.6917,11.4133,113.996,138.021,0.397173,-49.6813 
1,44.74,1,24339.4,-0.0393637,40.7256,13.0913,114.727,0.0458326,-9.29746,18.3338,-0.593165,1.30771,0.624765,-0.752059,2.70894,-136.265,12262.7,39.7951,11611.4,17369.7,0.264861,2.16574,2.34082,0.105966,3.56697,0.722795,12371.2,49.6624,11719.9,0.491977,0.993024,0.00774535,25145.9,-0.000152351,1.08638,13.2864,10.7208,114.25,88.4275,0.94633,13.0856,11.7619,114.002,138.256,0.248556,-49.8287 
2,44.76,2,19973.4,-0.000616014,33.0348,-13.3167,114.836,-0.00620589,-5.72161,500,-0.261974,2.11153,1.57166,-0.158458,2.3769,-165.362,10163.1,41.5073,9513.67,14321.8,0.779269,3.15277,3.65415,0.882785,3.41814,0.692596,10294.8,53.4816,9645.38,0.494746,0.990991,0.0101108,20808.3,-0.00035844,0.856787,13.7075,10.9845,114.474,88.7073,0.731234,13.3762,12.3446,114.079,138.846,0.395496,-50.1389 
3,44.78,3,17197.9,-0.0675052,27.5555,13.8347,114.873,-0.00705379,52.1988,164.741,1.49231,2.05301,3.82824,3.15894,1.72082,-158.986,7889.34,42.5302,9034.54,12422,2.4934,3.05411,5.83042,4.16003,2.72191,0.680697,8015.97,54.0428,9161.17,0.445291,0.988339,0.01075,18001.7,-0.000328824,0.617647,14.3086,11.3849,114.488,88.5569,0.656343,13.6697,12.7853,114.141,138.638,0.346766,-50.0814 
4,44.8,4,24956.2,0.00415183,42.7341,12.7716,114.889,-0.0577395,-0.475186,499.328,0.602255,2.84845,4.93835,1.41747,1.45566,-84.4362,12458.3,33.0512,12108,17767.9,1.13393,3.38013,6.00169,1.94915,1.98733,0.584722,12525.5,39.1655,12175.2,0.485551,0.994558,0.00589081,25796.5,-0.000189163,1.15469,12.9811,10.4574,114.591,88.3746,1.02609,12.811,11.5417,114.145,138.107,0.446879,-49.7323 
5,44.82,5,26525.8,-0.0740992,44.2571,13.2088,114.554,0.125152,-82.3589,185.307,-1.50572,0.153407,-0.418972,0.210924,0.249178,-90.9173,13514.2,53.1843,12525.7,19365.7,-0.933241,0.72589,0.725992,0.783406,0.82166,0.658148,13586.6,59.7679,12598.2,0.497339,0.992361,0.00866356,27318.6,-0.00028789,1.17642,13.5182,10.7687,114.222,88.7893,1.00291,13.0917,12.0197,113.866,138.657,0.355486,-49.8679 
6,44.84,6,25582,-0.0129639,43.177,12.9039,114.755,0.0609123,-76.2395,465.973,0.556275,0.141865,2.38614,1.82686,-0.7883,-70.8658,12932.2,42.8674,12054.9,18288.3,1.0025,0.588088,3.27858,2.27309,-0.342076,0.517868,12988.7,47.999,12111.4,0.495938,0.993575,0.00724759,26190.1,-7.416e-06,1.17203,13.1174,10.5726,114.373,88.6394,0.996572,12.8287,11.8165,114.109,138.402,0.263466,-49.7629 
7,44.86,7,25779.7,0.0101922,43.3935,12.9703,114.465,-0.0592738,4.61424,3.03769e-11,0.0181206,0.372818,0.592572,-0.886031,0.552132,-110.2,12903.4,33.3763,12406.7,18330.8,0.71202,1.06672,1.98037,-0.192131,1.24603,0.588538,12991.2,41.3562,12494.5,0.488204,0.99446,0.00606034,26610.2,-0.000204598,1.13143,13.3787,10.7677,114.088,88.717,1.01725,12.8791,11.8906,113.769,138.451,0.318554,-49.7337 
8,44.88,8,25036.5,-0.00898157,41.65,13.1335,114.805,-0.0149721,-32.9621,6.97917e-11,1.24723,1.13303,-2.45694,-2.72379,0.118748,-132.615,12361.9,51.8445,12150.7,17823.1,2.08228,1.96807,-0.786853,-1.88875,0.953789,1.33792,12467.5,61.4475,12256.3,0.482733,0.991449,0.00915093,25826.9,-8.02842e-05,1.06878,13.396,10.8551,114.369,89.0495,0.963534,13.1597,12.0287,114.151,138.929,0.217964,-49.88 
9,44.9,9,25986.6,-0.101616,43.1313,13.3544,114.603,0.254378,-192.656,301.42,0.0467058,0.450741,-0.602155,2.60214,1.629,-124.898,13227.9,50.2035,12329.6,20345.8,0.833158,1.23719,0.97075,3.3886,2.41545,0.890251,13327.4,59.2477,12429.1,0.495901,0.99228,0.00870461,26875.1,-0.000230212,1.11181,13.6385,10.9938,114.137,89.1576,0.968203,13.0985,12.2188,113.89,139.179,0.247147,-50.021 
10,44.92,10,25068.7,-0.0238865,41.5976,13.1703,114.789,0.0221163,-48.1842,500,2.08375,0.430928,1.86395,0.570995,0.62355,-159.719,13477.1,32.103,11172.6,17869.1,3.08946,1.43664,3.87538,1.57671,1.62926,0.66613,13604.3,43.6687,11299.8,0.524836,0.994414,0.00706858,25921.1,-0.000301432,1.16571,13.6133,10.7533,114.426,88.3015,0.903629,13.1313,11.8625,113.998,138.174,0.428258,-49.8723 
