cyc,freq,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,46.12,0,23993.9,0.000541535,40.2064,12.9283,114.152,0.00848596,-28.2455,7.68868e-12,1.03243,2.672,0.80095,-0.454268,-0.783141,-124.934,11787.5,44.1432,11680.5,16929,1.8191,3.45868,2.37431,0.33241,0.00353773,0.702767,11887,53.19,11780,0.480727,0.99223,0.00824902,24727.2,3.98841e-05,1.05719,13.142,10.6294,113.675,90.2667,0.947247,12.9394,11.8963,113.45,140.266,0.224948,-49.999 
1,46.24,1,24169.1,-0.0147076,40.1422,13.1701,114.346,-0.0168749,23.2725,2.17528e-10,0.969386,-1.92171,1.62589,1.36318,0.799838,-148.264,11468.5,51.1879,12225.8,17222.9,1.90297,-0.988133,3.49306,2.29676,1.73342,0.586036,11586.6,61.9241,12343.9,0.462696,0.990734,0.00915644,25041.4,-0.000202104,0.990854,13.3877,10.8925,113.992,90.9992,0.962663,13.2659,12.0987,113.531,141.393,0.461384,-50.394 
2,46.1,2,25259.7,-0.00977507,42.813,12.8269,114.345,-0.0188365,-28.8547,500,-2.67231,2.06837,1.29582,0.746466,0.486992,-59.1445,14961.1,50.3995,9857.77,17894.6,-2.29989,2.44079,2.04066,1.11888,0.859409,0.509439,15008.2,54.6823,9904.88,0.581611,0.993664,0.0100674,25804.5,-0.000135306,1.34253,13.1297,-10.6872,113.834,89.7658,0.824974,12.7935,11.659,113.739,140.199,0.0955568,-50.4332 
3,46.22,3,25696.7,-0.0162447,41.6285,13.4526,114.455,-0.146114,87.8624,375.272,0.0441046,1.12798,-0.897368,1.88641,0.940807,-123.822,13667.4,58.1895,11446,18648.2,0.823781,1.90766,0.661986,2.66608,1.72048,0.914912,13766.1,67.1558,11544.6,0.522437,0.991535,0.010602,26349.7,-0.000273735,1.12844,13.789,-11.1324,113.954,90.5224,0.869403,13.5001,12.3961,113.701,140.804,0.253124,-50.2814 
4,46.16,4,18054.5,-0.0392794,29.5124,13.4393,114.306,-0.229836,-116.336,30.1899,2.00057,1.37913,0.958894,2.01179,-0.48008,-101.685,8851.93,31.9903,8965.35,13781.9,2.64086,2.01941,2.23946,2.65207,0.160205,0.769413,8932.93,39.3535,9046.35,0.475321,0.992349,0.00794985,18793.4,-0.000341499,0.716198,13.8408,11.3251,113.721,90.0553,0.672407,13.5619,12.4723,113.611,140.684,0.109771,-50.6292 
5,46.18,5,25918.3,-0.00835044,43.1382,13.0727,114.443,-0.146798,17.5711,32.66,-1.83728,-2.12465,-0.709052,0.645135,0.388122,-105.15,13473.5,51.8781,11933.7,18441.8,-1.17517,-1.46254,0.615155,1.30724,1.05023,-0.836812,13557.2,59.4923,12017.5,0.508594,0.992379,0.00903688,26656.3,-8.46822e-05,1.16671,13.4526,10.7842,114.039,89.9111,0.978221,12.8969,11.8536,113.665,140.152,0.374094,-50.2404 
6,46.14,6,18674.2,-0.0596867,30.6897,13.4377,114.25,0.0548153,-183.234,129.322,2.13894,-2.33646,-0.764878,-0.0403509,-0.794038,-187.235,9826.82,5.90121,8735.21,13752,3.31791,-1.15749,1.59306,1.13862,0.384931,0.698114,9975.96,19.4593,8884.35,0.507427,0.996598,0.00401854,19659.9,-0.000552446,0.814254,13.8844,11.0781,113.576,90.4269,0.660181,13.6383,12.3594,113.686,140.991,-0.1099,-50.5642 
7,46.08,7,24424.6,-0.0331126,41.663,12.8242,114.512,0.026617,-29.3554,221.42,1.56481,0.105387,1.6831,1.67507,0.155465,-176.017,10464.7,21.5089,13666.2,17418.5,2.67314,1.21372,3.89976,2.7834,1.2638,0.670456,10604.9,34.2547,13806.4,0.413383,0.994379,0.0045496,25653.9,-0.000221117,0.954787,13.0166,10.6108,114.088,90.3122,1.12424,12.9486,11.7138,113.827,140.29,0.260856,-49.9774 
8,46.06,8,25212.3,-0.0326217,42.4352,12.9927,114.575,0.0362681,-34.8386,21.3684,0.0271207,-0.37561,0.135043,1.79415,0.179628,-96.9068,13277.6,33.4216,11557.4,17989.3,0.637317,0.234587,1.35544,2.40434,0.789825,0.749989,13354.8,40.4389,11634.6,0.512926,0.994729,0.00636195,26036.5,-0.000303953,1.18588,13.2065,-10.7043,114.098,91.2938,0.946269,13.0642,-11.774,113.911,142.112,0.187333,-50.8181 
9,46.2,9,23331.8,0.011055,39.1028,13.0295,114.545,-0.063961,-18.6344,499.028,1.04486,-2.4217,-1.9543,-1.56082,1.25591,-122.739,11633.5,22.0142,11429.7,16624.4,1.81772,-1.64884,-0.408586,-0.787961,2.02877,1.40814,11731.3,30.902,11527.5,0.482844,0.995411,0.00491392,24296.3,-0.000328135,1.04056,13.4027,-10.5214,114.072,90.5656,0.943021,13.0374,11.6925,113.701,140.934,0.370727,-50.368 
10,46.26,10,26281.5,-0.00615741,42.8044,13.2907,114.264,-0.0131951,-13.2067,5.46708e-11,-1.34493,0.476139,-0.0131241,0.791501,0.302803,-174.286,11393,44.5532,14334.1,18525.3,-0.247498,1.57357,2.18174,1.88893,1.40024,0.679013,11531.8,57.1737,14472.9,0.422297,0.991398,0.00722446,27307.3,-9.98924e-05,0.962422,13.5978,10.9753,113.784,90.5566,1.11367,13.3083,12.1338,113.53,140.894,0.253713,-50.3373 
