cyc,state,freq,VVA,sweepfreq,Blackmantime,dimerswitchtime,squaretime,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,3,46.05,0.2,-0.19,-0.01,0,6797.23,-0.0921038,13.5017,11.7083,114.619,-0.129565,278.242,57.3588,1.13009,-2.19881,-2.59733,0.441749,0.830881,-271.831,1270.75,13.3503,5944.99,6319.67,2.84174,-0.487164,0.825957,2.1534,2.54253,0.895136,1487.28,33.0342,6161.52,0.176014,0.962585,0.00977963,8449.79,-0.000302698,0.118893,12.1947,10.8097,114.058,90.0834,0.609593,11.2471,10.4768,113.811,138.585,0.247263,-48.5016 
1,97,43.248,4.2,48.55,-0.2,0.19,0.01,1,12312.1,-0.0551688,26.2778,10.416,114.44,0.0412723,8.16484,0.216206,-0.245867,-1.74313,0.541397,1.39647,-0.371507,-200.629,6273.76,8.0188,6438.24,8921.16,1.01744,-0.479827,3.06801,2.65978,0.891801,0.571339,6433.57,22.5468,6598.05,0.463201,0.993904,0.00625546,13889.4,-0.000280029,0.832604,10.5784,8.80996,114.121,90.2207,0.772722,10.2645,9.73054,113.674,140.151,0.447524,-49.9304 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,14233.7,-0.0583608,29.5811,10.6756,114.403,0.171506,-161.984,253.034,0.639837,0.166257,2.27323,1.61654,-0.484411,-216.7,7481.83,6.20747,7058.84,11184.6,2.00434,1.53076,5.00223,2.98105,0.880092,0.596544,7654.44,21.8993,7231.45,0.483663,0.995018,0.00554757,15826,-0.000201497,0.954086,10.7346,9.04407,114.157,90.2181,0.81585,10.4411,9.93207,113.612,140.003,0.545018,-49.7844 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,6459.99,-0.0707479,13.7,10.84,114.342,0.138784,133.421,116.397,-0.478201,-2.80725,0.18864,2.88443,0.254836,-268.703,98.6843,16.0832,6857.5,5437.23,1.21375,-1.1153,3.57254,4.57638,1.94679,0.64955,312.716,35.5406,7071.53,0.0376605,0.834105,0.00917326,8303.55,-0.000423622,0.0158781,18.7089,11.0288,121.351,107.213,0.786383,10.409,9.99,113.743,138.659,7.60851,-31.4463 
4,75,47.3227,3,46.05,0.2,-0.19,-0.01,4,6489.65,-0.090197,13.102,11.5397,114.579,-0.0931692,113.019,385.297,2.46351,0.32477,0.0845131,-2.00518,0.365672,-221.353,1309.18,18.8689,5658.81,5264.63,3.85731,1.71857,2.87211,-0.611384,1.75947,0.700699,1485.5,34.8976,5835.13,0.183867,0.960512,0.0108969,8079.19,-0.000346681,0.130618,11.7017,10.3243,114.049,90.4424,0.580662,11.2055,10.5376,113.891,139.374,0.158738,-48.9316 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,12916.8,-0.0194339,27.0213,10.4649,114.433,0.000363535,-0.00178782,93.9665,-0.493165,-2.07356,0.730834,2.481,1.88159,-176.371,6411.16,11.5367,6669.01,9205.3,0.617397,-0.963,2.95196,3.59156,2.99215,0.678788,6551.64,24.3082,6809.5,0.459881,0.993549,0.00653288,14246.4,-0.000122361,0.845807,10.5227,8.91717,113.983,88.8177,0.779979,10.4091,9.93125,113.726,138.823,0.256644,-50.0053 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,15736.5,-0.0121655,32.0648,10.7033,114.444,0.000701306,10.0077,24.0888,1.48774,0.518483,-3.19637,-2.30136,-0.0702832,-136.186,7920.75,-0.889542,7938.98,11172.5,2.34526,1.37601,-1.48132,-1.44384,0.787244,1.93555,8029.23,8.97202,8047.46,0.468919,0.998048,0.00204953,17122.9,-1.82251e-05,1.00766,10.7561,9.02826,114.171,89.7048,0.907306,10.6221,9.88342,113.676,139.64,0.494445,-49.9352 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,6027.11,-0.0842594,13.1556,10.6778,114.241,0.44939,-82.2075,357.213,-1.73906,-1.84592,1.2378,-1.73552,-4.22474,-276.158,92.6964,18.1689,6399.19,5775.49,-0.000161043,-0.107026,4.71559,0.00337748,-2.48585,-1.21813,312.667,38.1662,6619.16,0.040125,0.823983,0.01051,7792.31,-0.00127153,0.00958463,27.0561,64.3902,135,113,0.738723,10.1245,10.0434,113.627,138.668,21.3729,-25.6684 
8,75,47.3227,3,46.05,0.2,-0.19,-0.01,8,6711.44,-0.115512,13.5329,11.7404,114.492,0.0190599,77.4724,492.56,-0.096334,-0.349472,-1.97047,-1.49483,1.01942,-245.563,1188.18,8.02057,6057.98,5220.2,1.44991,1.19677,1.12202,0.0514181,2.56566,0.824294,1383.78,25.8024,6253.58,0.163754,0.9684,0.00754323,8450.33,-0.000465444,0.118755,12.3227,10.2891,113.976,90.7508,0.616766,11.3316,10.5386,113.747,139.919,0.228736,-49.1682 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,12119.1,-0.0385569,25.8861,10.3382,114.5,0.0496461,-30.3762,1.74164,0.462442,1.35599,4.34113,1.47219,1.51434,-179.216,6094.61,-7.31991,6362.3,8760.91,1.59092,2.48447,6.59808,2.60066,2.64281,0.585468,6237.36,5.65754,6505.05,0.459032,0.998415,0.00159954,13588.1,-0.000192202,0.834842,10.3276,8.69577,113.989,89.6055,0.768504,10.2878,9.63979,113.882,139.326,0.107205,-49.7204 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,15951.3,0.0527531,32.3278,10.8358,114.344,0.0245069,39.8356,4.06865e-10,0.0181197,-1.15684,-1.19808,-0.962881,0.0717604,-176.273,8277.44,9.84087,7947.83,11435.1,1.12806,-0.0468965,1.02181,0.14706,1.1817,0.702248,8417.85,22.6052,8088.24,0.479443,0.995323,0.00512199,17557.6,-0.00010569,1.01987,10.7599,9.24069,114,90.5336,0.880957,10.7626,10.0774,113.566,140.265,0.43406,-49.7315 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,6219.84,-0.0111277,13.3512,10.9787,114.625,0.0169553,-0.846898,4.57429e-12,-1.40064,-2.07857,-1.36601,-1.8442,-0.108633,-280.801,71.2576,9.87501,6755.73,4772.08,0.367486,-0.310441,2.17025,-0.076075,1.6595,0.430488,294.926,30.2085,6979.4,0.0360473,0.847998,0.00791,8181.65,-0.0013029,0.011065,22.1379,63.8589,132.18,113,0.776676,10.4024,9.76964,113.861,138.755,18.3191,-25.7552 
12,75,47.3227,3,46.05,0.2,-0.19,-0.01,12,7293.52,-0.10209,14.6424,11.6104,114.455,-0.0659673,36.7215,429.165,-1.5812,0.516352,0.444743,-0.107173,-0.0570792,-283.808,1308.59,20.5617,6477.94,5613.03,0.205861,2.30342,4.01887,1.67989,1.72999,0.595607,1534.65,41.1129,6704,0.168455,0.955218,0.0111707,9110.18,-0.000398093,0.126347,11.8571,10.8463,114.208,91.1821,0.624227,11.3929,11.0606,113.597,139.797,0.611715,-48.6145 
13,97,43.248,4.2,48.55,-0.2,0.19,0.01,13,13970.7,-0.0165124,29.1485,10.5727,114.473,-0.00155095,3.97863,500,0.115364,0.403541,-3.37978,-2.4064,1.55706,-249.031,7091.77,-10.7024,7233.38,10032.4,1.68345,1.97163,-0.243612,-0.83832,3.12514,1.04275,7290.13,7.33052,7431.75,0.464695,0.998243,0.00181372,15688,-0.000303787,0.93688,10.4545,8.95793,114.179,90.0344,0.836154,10.786,9.72296,113.779,139.865,0.399376,-49.8304 
14,97,43.248,0,48.55,-0.2,0.19,0.01,14,14743.1,-0.0328491,30.3792,10.6641,114.699,-0.00710646,12.9005,2.13022,0.677734,-0.58373,-0.687378,-0.184267,1.0932,-203.948,7742.24,0.944504,7194.83,10549.2,1.96194,0.700479,1.88104,1.09994,2.37741,0.76548,7904.69,15.7129,7357.28,0.48739,0.996533,0.00391876,16218.4,-2.0669e-05,0.997135,10.6693,8.93405,114.381,89.5735,0.828671,10.4742,9.89863,114,139.179,0.380438,-49.6058 
15,75,46.2227,0,46.05,0.2,-0.19,-0.01,15,5907.4,-0.0220937,13.0449,-10.7411,114.19,0.0637042,-50.8047,500,-1.01093,-3.56612,-0.21094,-0.408974,-1.74706,-195.921,51.9552,21.7042,6452.81,4666.63,0.222735,-2.33245,2.25639,0.82469,-0.513395,-3.927,208.014,35.8913,6608.87,0.0270991,0.768078,0.00990499,7676.04,-0.000552965,0.0124046,-15.8526,13.2451,122.853,108.468,0.749126,10.3012,10.0388,113.59,138.115,9.26332,-29.6468 
16,75,47.3227,3,46.05,0.2,-0.19,-0.01,16,6298.27,-0.0117205,13.0606,11.3465,114.524,-0.00212566,-0.57717,500,-1.88129,-3.61343,-3.82913,0.793671,1.86886,-288.203,1103.31,-11.6672,5825.75,4824.16,-0.0665556,-1.7987,-0.199665,2.60841,3.68359,1.04723,1332.88,9.20224,6055.31,0.163035,0.988062,0.00279163,8175.38,-0.000590438,0.123929,11.8039,9.77541,114.259,90.5385,0.610221,11.1615,10.4365,113.669,139.92,0.589339,-49.3818 
17,97,43.248,4.2,48.55,-0.2,0.19,0.01,17,12785,-0.0746089,27.4355,10.4306,114.48,-0.0207189,86.6389,10.5742,-0.21894,1.35807,2.9296,1.48453,1.55655,-248.628,6568.44,-12.4597,6651.07,9374.22,1.3466,2.92361,6.06069,3.05007,3.12209,0.632754,6766.48,5.54404,6849.11,0.466462,0.998568,0.00148888,14506,-0.000411662,0.884414,10.4266,8.86455,114.146,88.9111,0.809618,10.4566,9.52679,113.778,138.835,0.368499,-49.9239 
