cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,0,4104.62,-0.0448611,8.93404,10.5491,99.0386,-0.0907732,85.897,30.9371,-2.56679,-1.97298,-0.986441,-1.32148,-3.48704,-26.2476,447.314,4.67911,3736.76,3321.84,-2.40152,-1.8077,-0.655892,-1.15621,-3.32177,0.929799,484.129,7.40613,3773.58,0.133878,0.973927,0.00360234,3616.2,6.45367e-05,0.0641418,10.1274,8.85199,99.302,68.1105,0.451476,9.81812,9.87671,98.6698,118.55,0.632281,-50.4398 
1,97,43.248,4,48.55,-0.2,0.19,0.01,1,8693.54,-0.0204778,20.4275,-9.391,99.1344,-0.0103574,-29.9425,500,-0.0975605,-0.907368,-2.23077,0.326672,0.807245,-70.9362,3582.98,44.8863,5210.2,6254.95,0.349106,-0.460702,-1.33743,0.773338,1.25391,3.31302,3682.47,52.2563,5309.7,0.455215,0.975768,0.0178066,8089.52,0.000103912,0.633614,8.70575,7.96154,99.2968,68.9845,0.704151,9.38834,9.28478,98.4913,118.327,0.80549,-49.343 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,10650.2,-0.00801064,23.6916,9.83024,98.7278,-0.014231,14.5028,500,2.50928,-0.377436,0.244841,0.159963,1.43545,-86.6218,4510.66,47.9737,6120.84,7588.19,3.05471,0.167998,1.33571,0.705397,1.98089,0.81563,4632.16,56.9734,6242.33,0.472029,0.978929,0.0165348,9813.3,0.000142832,0.740113,9.4159,8.011,98.7161,69.0761,0.774652,9.89596,9.52038,98.128,118.808,0.588149,-49.7321 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,4046.23,-0.0196335,9.12005,9.88115,98.7461,0.0232619,-40.9723,468.808,0.244026,0.258279,-3.05844,-1.12974,-1.23233,-28.7871,-121.181,14.1632,4155.39,2964.62,0.425291,0.439544,-2.69591,-0.948475,-1.05106,0.29622,-80.804,17.1541,4195.77,-0.0237542,1.59112,0.00747503,3401.68,0.000132937,-0.0148151,-17.0503,-0.932523,77.4729,56.7563,0.527765,9.44443,9.6766,98.4761,117.972,-21.0032,-61.216 
4,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,4,4462.37,-0.037135,9.90103,10.2151,99.0578,0.00343811,5.37696,23.0776,-1.37329,-1.99699,1.0147,-1.59779,-2.67228,0.37705,391.819,24.1771,4161.53,3293.06,-1.37566,-1.99936,1.00995,-1.60016,-2.67466,1.1521,391.29,24.1379,4161,0.101768,0.902564,0.010573,3844.92,7.73282e-05,0.073583,8.66733,8.8083,99.2713,69.0239,0.490146,9.8049,10.0178,98.6141,119.125,0.65719,-50.1011 
5,97,43.248,4,48.55,-0.2,0.19,0.01,5,8995.9,-0.0288042,20.7049,-9.59543,99.0481,-0.0403445,46.8102,30.032,2.42197,-0.0419345,2.14108,-2.23152,1.08658,-84.0651,3793.25,48.9305,5200.18,6528.91,2.9513,0.487401,3.19975,-1.70218,1.61591,0.511652,3911.15,57.6645,5318.09,0.469799,0.974848,0.019583,8325.17,0.000140212,0.649055,8.98545,8.01013,99.1948,69.4078,0.700126,9.57125,9.23017,98.3382,118.768,0.856608,-49.3597 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,9522.27,-0.0214645,22.0389,-9.63241,98.6936,-0.000788526,70.6719,4.34071e-06,-3.20634,0.243557,-2.31574,-2.43165,-2.54347,-126.366,4341.08,-13.738,5370.41,6912.5,-2.41064,1.03925,-0.724359,-1.63596,-1.74778,0.867805,4518.32,-0.609093,5547.65,0.495274,1.00024,-0.000202291,9122.87,-4.88553e-05,0.718285,9.23843,8.09677,98.8008,69.0007,0.715148,9.56097,9.29456,98.1268,118.491,0.674,-49.4899 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,3668.91,-0.00338377,8.97383,9.04101,98.6713,0.0026326,6.67426,3.73243e-13,-2.73513,2.96708,5.35402,-0.177086,0.496573,-56.1227,-151.229,10.3389,3847.56,2641.7,-2.38174,3.32046,6.0608,0.176304,0.849962,0.244835,-72.5115,16.1698,3926.28,-0.0227573,1.64,0.00752932,3186.3,0.000219905,-0.00955134,29.8946,4.9738,82.2549,72.4077,0.526516,8.74901,9.49794,98.3223,117.586,-16.0674,-45.1778 
8,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,8,4320.19,0.00127422,9.1319,10.2744,98.5338,-0.00914963,-4.40295,500,-0.115693,0.548152,2.04561,-0.651777,-1.73915,-63.1087,429.762,25.5009,3854.85,3055.62,0.281686,0.94553,2.84037,-0.254398,-1.34178,-0.14929,518.279,32.0577,3943.37,0.136703,0.902328,0.0147545,3791.27,0.000241501,0.0577983,10.5425,8.81763,98.3809,68.0088,0.456575,9.813,9.9728,98.1442,117.902,0.236689,-49.8931 
9,97,43.248,4,48.55,-0.2,0.19,0.01,9,8342.42,-0.0309492,20.1859,9.15093,98.9746,0.00925136,12.3914,0.00445021,1.10989,1.29689,-2.35277,-3.16453,-0.865605,-111.78,3676.53,57.9671,4837.22,6016.97,1.81374,2.00074,-0.945076,-2.46068,-0.161757,4.82684,3833.31,69.5806,4994,0.480466,0.969213,0.0250235,7978.33,-3.05884e-05,0.632311,8.86724,8.03499,98.9896,68.964,0.688402,9.05662,9.23103,98.3961,118.307,0.593472,-49.3426 
10,97,43.248,0,48.55,-0.2,0.19,0.01,10,10299.8,-0.0251961,23.313,9.78343,98.6792,0.00194438,-7.11011,500,3.20672,2.49027,2.49335,-2.05166,-0.180027,-98.5799,4364.98,47.0943,5945.9,7425.23,3.82745,3.111,3.73481,-1.43093,0.440704,0.614294,4503.25,57.3364,6084.17,0.471391,0.978204,0.0170635,9553.11,0.000134889,0.700471,9.33467,8.26051,98.6949,69.2057,0.758515,9.67841,9.61665,98.0556,118.868,0.639351,-49.6628 
11,75,46.2227,0,46.05,0.2,-0.19,-0.01,11,4019.73,-0.00431247,9.29184,9.60771,98.5875,-0.0115313,-1.01733,500,1.72035,-0.59385,1.15638,0.972993,2.6699,-32.4012,-125.405,8.75056,4144.98,2906.52,1.92437,-0.389828,1.56442,1.17701,2.87393,0.781197,-79.9592,12.1169,4190.43,-0.0235306,1.3609,0.00529836,3398.1,0.00035314,-0.00506303,46.8165,10.261,82.8538,69.6383,0.553886,9.11809,9.396,98.3303,117.815,-15.4765,-48.1768 
