cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,0,7380.47,-0.0738486,14.2325,11.8524,98.6948,0.0358494,14.8409,327.597,-0.342261,-1.01823,7.03085,-2.43513,0.95842,-18.3313,561.839,-1.42236,6944.62,5508.72,-0.226834,-0.902801,7.2617,-2.31971,1.07385,-0.486162,587.55,0.482191,6970.33,0.0921947,0.998566,0.000127416,6372.92,2.50545e-05,0.085002,9.65026,8.79509,98.7628,67.6719,0.652908,11.5362,11.0107,98.2615,117.98,0.501361,-50.3082 
1,97,43.248,4.2,48.55,-0.2,0.19,0.01,1,14578.7,-0.0299631,28.5797,11.1992,98.658,0.0138202,5.33087,308.905,1.66112,3.4062,2.48087,1.15593,-1.57658,-84.5105,6231.66,71.9456,8314.08,10421.7,2.19326,3.93834,3.54515,1.68807,-1.04444,0.656491,6350.2,80.726,8432.61,0.475696,0.978238,0.017329,13349.3,0.000190301,0.800469,10.6539,9.02563,98.7234,68.9864,0.83079,11.2976,10.5918,97.962,118.622,0.761321,-49.6352 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,15869.7,-0.0408702,31.4242,11.269,98.5916,-0.00417093,34.4561,1.15548e-11,0.730571,1.40052,8.53131,-1.56275,0.988552,-98.1144,7407.1,-8.29098,8693.5,11532.5,1.34837,2.01832,9.76691,-0.944951,1.60635,0.291997,7544.72,1.90272,8831.11,0.507224,0.999559,0.000396736,14874.5,-5.39665e-05,0.936044,10.8606,8.92734,98.5778,68.4888,0.902204,11.2257,10.3057,97.9482,118.019,0.629569,-49.5299 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,7210.7,7.41481e-05,14.6337,11.1707,98.4095,-0.00540951,11.1838,1.23785e-10,0.558949,1.34949,-0.500161,-0.923889,1.80541,-14.7326,-122.35,6.82624,7416.77,5323.43,0.651717,1.44226,-0.314626,-0.831122,1.89818,1.11053,-101.686,8.3569,7437.44,-0.0167484,1.16798,0.00206556,6071.39,1.77138e-05,-1.80295e-05,5.04552,1.78159,97.8201,56.6997,0.744007,10.9801,10.7927,97.9072,118,-0.0870551,-61.3002 
4,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,4,7690.27,-0.000895006,14.6302,11.8623,98.7798,-0.00313795,-3.10351,500,0.619137,-0.230005,-3.85765,-0.782174,2.24478,-21.8793,566.042,17.4984,7166.52,5649.88,0.756905,-0.0922367,-3.58211,-0.644406,2.38255,-2.03747,596.729,19.7716,7197.21,0.0908207,0.945195,0.00503499,6570.41,8.40458e-05,0.0743523,10.3699,9.91504,98.6503,69.2226,0.660278,11.6049,11.1706,98.3585,119.09,0.291838,-49.8679 
5,97,43.248,4.2,48.55,-0.2,0.19,0.01,5,14902.3,-0.0202035,29.5011,11.0502,98.9041,0.00429708,-6.89249,497.256,0.868486,1.10203,1.48724,2.49654,0.837243,-123.573,6488.79,71.0833,8332.33,10613.1,1.64659,1.88013,3.04344,3.27465,1.61535,0.734433,6662.12,83.9221,8505.65,0.485513,0.978431,0.0178509,13721.8,0.000166597,0.840807,10.6351,9.06001,98.9349,69.2705,0.85093,11.1334,10.5154,98.2136,118.873,0.721361,-49.6023 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,15733.6,-0.00536318,31.3678,11.0385,98.7176,-0.0106537,-7.6731,500,-1.9558,3.50034,3.16415,0.146704,-1.53085,-118.032,7203.42,-2.05067,8623.66,11274.4,-1.21258,4.24356,4.65058,0.889922,-0.787634,0.402535,7368.97,10.2124,8789.21,0.502521,0.997581,0.00213582,14664,7.14192e-05,0.926092,10.6882,8.93264,98.7448,68.734,0.897242,11.0087,10.4828,98.1171,118.318,0.627627,-49.5836 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,7150.88,-0.0511327,14.1254,11.4068,98.3602,0.00658927,28.8735,5.30453,0.648854,0.389656,0.871258,-1.68931,-1.6502,-18.1608,-144.754,-12.0007,7267.93,5251.39,0.763208,0.50401,1.09997,-1.57495,-1.53584,2.47922,-119.282,-10.1139,7293.4,-0.0201006,0.87079,-0.00256103,5934.24,0.00017271,-0.0148246,-9.84267,9.52061,72.2337,66.909,0.742938,11.079,10.5646,98.1051,118.404,-25.8714,-51.4945 
8,75,47.3227,2.4,46.05,0.2,-0.19,-0.01,8,6965.68,-0.0708613,13.6058,11.7113,98.6594,0.0253438,-1.44248,481.6,-0.857018,-0.213167,-1.00502,1.49319,0.0768956,-5.8762,496.212,8.48339,6673.03,5188.26,-0.820017,-0.176166,-0.931016,1.53019,0.113896,-2.28847,504.454,9.0939,6681.27,0.0833822,0.969417,0.00250103,6049.91,-0.000145624,0.0788698,10.0488,9.00559,98.881,68.9342,0.631339,11.6398,10.8822,98.244,118.716,0.637001,-49.7815 
9,97,43.248,4.2,48.55,-0.2,0.19,0.01,9,13941.4,-0.0207186,27.9023,10.9374,98.5784,-0.040989,59.516,21.3577,0.683251,3.62021,-0.627025,2.7513,0.844399,-103.644,5914.5,65.7907,8000.71,10014,1.33587,4.27283,0.678213,3.40392,1.49702,0.93938,6059.87,76.5589,8146.08,0.472648,0.978369,0.0170179,12821.1,0.000232475,0.779032,10.5469,8.89804,98.4969,68.8122,0.834969,10.8731,10.4598,98.0208,118.558,0.476089,-49.7459 
