cyc,state,freq,VVA,sweep,HFT time,wait time,square time,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,0,6107.65,-0.00235509,12.3166,11.0624,99.1361,-0.0167631,6.4813,500,2.28214,0.828548,-3.41126,-3.2406,-3.24037,-34.2797,393.648,-0.349098,5740.69,4438.97,2.49799,1.0444,-2.97956,-3.02475,-3.02452,0.456923,441.728,3.21243,5788.77,0.0841964,0.987433,0.00102122,5246.4,0.000170124,0.0649172,10.1648,8.40988,98.5602,69.5047,0.598569,10.518,10.6841,98.7335,119.587,-0.173354,-50.0823 
1,97,43.248,4.1,48.55,-0.2,0.19,0.01,1,12190.1,-0.0228425,25.8117,10.3587,98.9166,0.00161348,33.33,98.7829,3.83851,1.27451,-2.40675,-0.665662,-0.598644,-91.8019,5122.57,44.94,7032.17,8705.76,4.41656,1.85256,-1.25065,-0.0876103,-0.0205922,1.2547,5251.34,54.4778,7160.93,0.469083,0.982169,0.0138204,11194.9,0.0002716,0.778919,9.73219,8.40316,98.9781,69.0895,0.809062,10.3463,9.84851,98.2949,118.577,0.683132,-49.488 
2,97,43.248,0,48.55,-0.2,0.19,0.01,2,13218.2,-0.00637437,27.497,10.4956,98.8885,0.00327368,13.2735,5.47724e-09,1.77736,1.90814,2.65273,-0.986109,0.678197,-117.573,5845.09,-2.7277,7355.64,9396.17,2.51769,2.64847,4.13339,-0.245781,1.41852,0.605302,6010,9.48772,7520.55,0.49053,0.997245,0.00231856,12252.1,0.000313388,0.817272,9.99998,8.73096,98.9222,68.6937,0.817261,10.527,10.099,98.2754,118.374,0.646766,-49.6808 
3,75,46.2227,0,46.05,0.2,-0.19,-0.01,3,6343.99,-0.0264247,12.7912,11.0075,98.3666,-0.0119424,85.3992,499.049,1.1964,2.31687,-6.43269,-0.503548,0.942839,-20.4128,-157.634,11.6208,6382.05,4616.68,1.32494,2.4454,-6.17562,-0.375014,1.07137,-2.61375,-129.003,13.7416,6410.69,-0.0248471,1.22912,0.0039331,5191.87,0.000760553,-0.00697091,60.0663,12.1735,96.8686,70.9046,0.707795,10.4179,9.98811,97.9829,115.898,-1.11427,-44.9936 
4,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,4,6432.02,0.00182933,12.3874,11.2619,98.8846,-0.00726056,7.11986,106.87,-1.81378,0.901259,2.95035,-0.604004,1.2945,-36.1725,347.089,12.5613,5903.78,4543.05,-1.58601,1.12903,3.40589,-0.376235,1.52227,0.168268,397.825,16.3195,5954.51,0.0744981,0.93302,0.00502327,5340.07,0.000412362,0.0720169,9.12946,8.01753,99.0211,68.2898,0.613426,10.893,10.2693,98.459,117.784,0.562088,-49.4946 
5,97,43.248,4.1,48.55,-0.2,0.19,0.01,5,13170,0.0125629,27.0701,10.5152,98.6924,-0.0436558,2.3414,226.601,-0.282587,-0.098181,-0.740088,2.29159,-2.00263,-134.437,5565.43,53.6025,7453.57,9269.56,0.563928,0.748334,0.952943,3.13811,-1.15612,0.77563,5753.99,67.57,7642.13,0.475656,0.979863,0.0160264,12097,0.000524601,0.821309,9.93894,8.3958,98.6296,68.5352,0.84409,10.4535,9.81313,98.1137,118.111,0.515875,-49.5755 
6,97,43.248,0,48.55,-0.2,0.19,0.01,6,12443.8,-0.000716078,26.7746,10.0983,99.372,-0.00532354,3.77548,1.27185,2.19462,0.0319549,-3.95085,1.01134,1.41571,-113.903,5598.87,-13.7384,6840.82,8802.36,2.91184,0.749171,-2.51642,1.72856,2.13293,1.50267,5758.63,-1.90439,7000.58,0.497759,1.00058,-0.000501364,11569.1,0.000334768,0.835168,9.75227,8.40869,99.3227,69.0728,0.807561,10.0179,9.88951,98.7653,118.497,0.557336,-49.4244 
7,75,46.2227,0,46.05,0.2,-0.19,-0.01,7,6357.97,-0.0376086,12.9313,10.974,98.8268,0.0313981,-72.232,156.698,0.979828,-2.33363,-0.528274,-0.835222,-7.02211,0.942602,-158.687,-3.63041,6331.28,4693.42,0.973893,-2.33956,-0.540144,-0.841157,-7.02805,0.944742,-160.009,-3.72834,6329.96,-0.0314122,0.960821,-0.00108618,5093.86,0.000202167,0.007571,-19.4216,-6.88619,123.198,54.9392,0.697212,10.4736,10.2003,98.4105,117.943,24.7875,-63.0042 
8,75,47.3227,2.3,46.05,0.2,-0.19,-0.01,8,6237.11,-0.00392702,12.4918,10.8811,98.5857,0.00452164,-1.04818,4.19605,-2.93211,-1.43518,0.501845,3.49278,-1.48104,-70.5101,369.412,6.31699,5741.47,4424.96,-2.48813,-0.991202,1.38981,3.93676,-1.03705,-0.715413,468.309,13.6427,5840.37,0.0880974,0.951492,0.0042846,5315.82,0.000312433,0.0671652,10.1929,8.69748,98.2686,68.9575,0.610384,10.435,10.4789,98.2027,117.985,0.0659093,-49.0271 
9,97,43.248,4.1,48.55,-0.2,0.19,0.01,9,13028.8,0.0174421,26.7133,10.5201,98.7678,-0.00723003,-7.39982,0.44095,-0.401155,0.527036,4.66431,2.35506,-0.921509,-103.609,5522.56,46.9304,7364.78,9150.11,0.251241,1.17943,5.9691,3.00746,-0.269114,0.411222,5667.89,57.6949,7510.1,0.476242,0.982498,0.0139542,11901.3,0.000347936,0.810002,10.1351,8.36426,98.5688,69.1861,0.824578,10.509,10.0214,98.2639,118.865,0.304901,-49.6784 
