cyc,freq,VVA,cyc,ROIsum,fBg,fA1,fWidth1,fCtr1,fA2,fWidth2,fCtr2,box1,box2,box3,box4,box5,box6,box7,box8,box9,Nfit,BZ-2,BZ-1,BZ0,BZ1,BZ2,Excited,c5,c7,c9,fraction95,fraction75,fraction97,sum95,two2D_bg,two2D_a1,two2D_sh1,two2D_sv1,two2D_ch1,two2D_cv1,two2D_a2,two2D_sh2,two2D_sv2,two2D_ch2,two2D_cv2,two2D_chd,two2D_cvd
0,43,0,0,6029.54,-0.027119,15.4164,8.7134,97.9861,0.0247048,-2.69786,7.19883e-11,2.27208,1.5972,-4.3861,0.23596,0.991116,-20.1876,2477.93,23.5529,3730.04,4375.04,2.39919,1.72431,-4.13186,0.363076,1.11823,3.80516,2506.25,25.6503,3758.35,0.445501,0.982405,0.0124161,5625.68,2.36854e-05,0.492559,8.18721,7.59224,97.927,72.5858,0.53511,8.74012,9.19233,97.4101,123.466,0.516914,-50.8806 
1,43.308,6,1,5650.17,-0.0267364,14.3541,8.76143,97.9514,-0.0250071,28.8523,39.1657,-2.56099,2.44677,-3.10311,-3.1644,-0.429807,-21.1894,2219.09,28.6105,3492.36,4117.46,-2.42757,2.58019,-2.83627,-3.03098,-0.296383,0.528154,2248.81,30.812,3522.08,0.434794,0.976584,0.0158596,5172.14,6.31753e-05,0.445155,8.36404,7.47892,97.8744,72.3064,0.523958,8.55961,9.06182,97.4615,122.771,0.41291,-50.4646 
2,43.488,6,2,5476.23,-0.0656406,14.3313,-8.81957,97.3568,0.0571401,-23.0953,41.3818,2.00349,0.628434,-2.99224,-0.449744,0.0215511,-52.5513,2117.3,34.3108,3491.32,4157.56,2.33439,0.959335,-2.33044,-0.118842,0.352453,2.94707,2191,39.7707,3565.02,0.42544,0.969212,0.0201363,5149.97,-0.000209732,0.451746,8.42019,7.35073,97.4182,72.1749,0.537209,8.75583,8.85686,96.8149,122.619,0.603381,-50.4443 
3,43.128,6,3,5578.74,-0.0060198,14.6688,8.60919,97.9218,-0.0217457,11.3886,500,-0.38656,0.493829,-3.27046,-1.48086,-1.14765,-75.5062,2208.68,18.748,3517.51,4119.09,0.0888822,0.969271,-2.31957,-1.00541,-0.672206,0.210772,2314.58,26.5928,3623.42,0.434907,0.98029,0.0133391,5322.02,-0.000118197,0.457307,8.06803,7.66378,98.1442,72.9198,0.519184,8.69098,9.19853,97.325,123.536,0.819215,-50.6162 
4,43.428,6,4,5439.6,-0.0213686,14.0719,8.5688,97.8614,-0.0178558,26.0495,223.913,0.198512,-0.449608,1.11067,-0.114298,-1.46853,-80.1625,2100.03,27.9543,3393.66,3940.4,0.703274,0.0551541,2.12019,0.390464,-0.963766,0.0803041,2212.46,36.2828,3506.09,0.431909,0.972102,0.0187064,5122.52,5.29003e-05,0.438612,8.20822,7.40163,97.9004,72.8293,0.512546,8.45875,9.08364,97.3299,123.47,0.570461,-50.6405 
5,42.948,6,5,5657.18,-0.0330183,14.8803,8.50971,97.7083,0.0874714,-23.0208,83.0117,-1.68933,-0.817296,-5.29264,-1.91472,-1.55058,-24.1106,2334.26,21.1885,3426.14,4187.7,-1.53751,-0.665478,-4.989,-1.7629,-1.39876,0.518141,2368.07,23.6935,3459.95,0.451937,0.982792,0.0124574,5239.84,1.40151e-05,0.490441,7.95175,7.49759,97.8552,73.384,0.519294,8.57132,8.96911,97.1599,124.059,0.695238,-50.6753 
6,43.008,6,6,5868.84,-0.0118681,14.5643,9.03247,97.6777,0.0196813,29.671,4.1938e-15,0.551922,-1.64683,0.821958,0.660911,-0.648621,-10.0132,2218.09,21.8928,3721.28,4301.46,0.614972,-1.58378,0.948058,0.723961,-0.585571,-7.05886,2232.13,22.9332,3735.33,0.418594,0.982338,0.0111832,5332.46,3.42227e-06,0.462512,8.42341,7.2037,97.7904,73.7584,0.5541,8.9446,8.84081,97.1546,124.389,0.635792,-50.6303 
7,43.038,6,7,5237.06,-0.0265441,13.5706,8.60444,97.7516,0.0683037,-24.2266,308.902,-1.79584,-1.33801,0.265922,0.410841,0.327299,-41.4339,2022.32,21.5039,3313.85,3855.02,-1.53494,-1.07711,0.787719,0.67174,0.588197,2.39568,2080.44,25.8087,3371.96,0.426392,0.978752,0.0139033,4879.17,3.48942e-06,0.4334,8.00419,7.31598,97.8521,73.0887,0.522092,8.52148,8.71195,97.2135,123.593,0.638601,-50.5047 
8,43.518,6,8,5568.58,0.0059801,14.6193,8.38114,98.3131,-0.00606184,11.3551,6.36999e-11,-2.48328,2.18197,-2.92102,-3.12127,-0.36397,-48.6101,2204.04,17.2396,3449.51,3990.88,-2.17719,2.48806,-2.30885,-2.81519,-0.0578853,0.526006,2272.23,22.29,3517.69,0.437648,0.983123,0.0115379,5191.91,6.68303e-05,0.457847,7.85371,7.62736,98.4906,73.5545,0.516974,8.3919,9.22395,97.8577,124.277,0.632977,-50.7223 
9,43.398,6,9,5338.54,-0.000419858,13.6654,8.75305,97.8061,-0.004155,18.987,6.70328e-13,-1.3167,-2.85452,-7.35058,-0.905368,0.15328,-35.5155,2115.58,13.3066,3305.93,3896.39,-1.09307,-2.63089,-6.90331,-0.681737,0.376912,0.368528,2165.4,16.9966,3355.74,0.437396,0.98645,0.00924387,4950.66,2.10954e-05,0.45336,8.11595,7.25563,98.0362,71.8813,0.514247,8.59737,8.70243,97.1138,121.937,0.922423,-50.0559 
